#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 25.60 24.18 27.02
10 28.70 27.54 29.86
11 30.80 29.55 32.05
15 31.24 29.95 32.53
16 32.25 31.05 33.45
20 32.41 31.25 33.57
21 32.83 31.72 33.95
25 32.92 31.81 34.03
26 33.54 32.34 34.74
31 33.63 32.46 34.80
35 33.69 32.54 34.84
36 34.06 32.90 35.22
40 34.35 33.12 35.58
46 34.72 33.28 36.15
47 35.53 33.69 37.36
51 35.74 33.77 37.70
52 36.16 34.12 38.20
56 36.28 34.27 38.30
66 36.57 34.49 38.64
71 36.80 34.62 38.98
72 36.80 34.62 38.98
76 36.88 34.78 38.98
77 37.36 35.37 39.35
81 37.72 35.67 39.77
82 39.96 36.55 43.37
86 40.56 37.13 43.99
87 42.32 39.39 45.25
91 42.59 39.55 45.64
92 43.52 40.20 46.84
96 43.73 40.46 46.99
97 44.39 41.52 47.26
98 44.56 41.78 47.33
102 44.60 41.84 47.35
103 44.79 42.10 47.47
107 44.87 42.19 47.55
108 45.53 42.90 48.16
113 45.60 42.96 48.24
118 47.03 44.62 49.45
119 47.36 45.18 49.54
122 47.37 45.20 49.54
123 47.40 45.28 49.52
124 47.59 45.76 49.41
127 47.75 45.82 49.68
129 48.24 45.88 50.59
132 48.60 45.95 51.24
134 48.90 46.04 51.76
137 48.94 46.09 51.79
139 49.00 46.17 51.83
143 49.04 46.22 51.86
144 49.20 46.41 51.99
148 49.26 46.48 52.04
149 49.50 46.76 52.24
153 49.64 47.08 52.20
154 50.24 48.34 52.14
159 50.27 48.39 52.16
160 50.47 48.64 52.29
164 50.47 48.64 52.30
165 50.81 49.22 52.39
168 51.06 49.36 52.76
170 51.20 49.50 52.90
173 51.24 49.60 52.88
175 51.30 49.74 52.86
180 51.43 49.98 52.89
181 52.56 51.28 53.84
185 52.88 51.48 54.28
186 53.36 52.11 54.61
190 53.44 52.16 54.72
191 53.92 52.21 55.63
195 54.36 52.49 56.23
196 56.12 52.99 59.25
200 56.29 52.99 59.58
201 56.63 52.94 60.32
202 56.99 53.29 60.69
205 57.05 53.34 60.77
206 57.67 54.13 61.21
207 58.28 54.73 61.83
211 58.56 54.79 62.33
212 59.37 54.64 64.09
216 59.49 54.58 64.41
217 61.28 55.17 67.39
221 61.67 55.25 68.09
223 61.80 55.21 68.39
224 61.91 55.17 68.64
226 61.96 55.16 68.76
228 62.33 55.12 69.55
230 62.41 55.11 69.70
232 62.48 55.11 69.85
233 63.14 55.29 70.99
235 63.20 55.29 71.12
237 63.29 55.33 71.24
238 63.67 55.32 72.01
240 63.79 55.56 72.03
242 63.80 55.57 72.03
243 63.96 55.78 72.14
245 64.05 55.78 72.33
247 64.27 56.00 72.53
250 64.36 56.15 72.57
252 64.38 56.14 72.61
253 64.38 56.14 72.62
255 64.38 56.14 72.62
257 64.48 56.32 72.64
258 64.69 56.66 72.72
262 64.70 56.68 72.72
263 65.58 57.00 74.15
264 66.64 57.37 75.91
266 67.21 57.50 76.93
268 68.31 58.49 78.13
271 69.27 59.02 79.53
273 70.19 58.87 81.50
274 70.55 59.04 82.06
277 70.76 59.34 82.19
278 70.80 59.34 82.26
279 71.28 59.16 83.40
282 71.32 59.15 83.49
283 71.50 59.21 83.79
284 71.88 59.30 84.46
287 71.97 59.41 84.53
288 72.32 59.84 84.80
289 72.54 59.86 85.22
292 72.57 59.88 85.26
293 72.76 60.08 85.44
297 72.84 60.11 85.57
298 73.18 60.28 86.08
304 73.19 60.28 86.09
307 73.36 60.23 86.49
312 73.98 60.94 87.03
319 74.11 61.05 87.17
324 74.55 60.93 88.18
328 74.60 60.98 88.22
329 74.78 61.17 88.39
334 74.79 61.18 88.40
338 74.80 61.19 88.41
343 74.80 61.19 88.41
345 74.85 61.25 88.46
346 75.12 61.69 88.55
348 75.40 61.98 88.82
350 75.47 62.06 88.88
351 76.00 62.77 89.23
353 76.16 62.95 89.37
355 76.29 63.10 89.48
360 76.30 63.11 89.48
361 76.32 63.13 89.51
363 76.80 63.55 90.05
365 76.80 63.55 90.05
366 76.80 63.55 90.05
368 76.82 63.58 90.06
370 76.84 63.62 90.06
371 77.48 64.92 90.04
374 77.52 65.00 90.04
375 77.64 65.24 90.04
376 78.92 67.79 90.05
380 79.24 68.35 90.13
381 80.07 69.29 90.85
384 80.12 69.35 90.89
386 80.20 69.44 90.96
389 80.36 69.74 90.98
391 80.60 70.19 91.01
392 81.24 71.23 91.25
394 81.40 71.42 91.38
396 81.61 71.65 91.56
397 82.66 72.66 92.66
401 83.01 72.94 93.07
402 83.40 73.42 93.37
404 83.63 73.90 93.37
406 83.91 74.42 93.41
407 86.08 78.06 94.10
409 86.41 78.49 94.33
411 86.50 78.60 94.40
412 87.22 79.43 95.01
416 87.44 79.57 95.31
417 87.98 79.66 96.31
420 87.99 79.65 96.33
421 88.03 79.64 96.41
422 88.36 79.80 96.92
425 88.40 79.80 97.00
426 89.17 80.67 97.66
430 89.40 80.97 97.82
432 89.62 81.25 97.98
433 90.16 81.86 98.46
435 90.60 82.29 98.90
437 90.71 82.36 99.05
438 91.26 82.51 100.01
440 91.63 82.53 100.72
443 91.87 82.54 101.20
445 92.01 82.66 101.37
447 92.09 82.71 101.48
448 92.52 82.95 102.09
450 92.82 83.18 102.46
452 92.91 83.22 102.61
453 93.46 83.33 103.59
456 93.58 83.43 103.73
457 93.76 83.56 103.96
458 94.22 83.82 104.62
461 94.46 83.92 105.01
463 94.71 83.97 105.45
466 94.80 84.03 105.57
467 94.90 84.07 105.73
468 95.29 84.26 106.32
471 95.46 84.30 106.62
473 95.63 84.29 106.96
474 95.87 84.56 107.17
476 96.14 84.83 107.45
483 96.20 84.89 107.50
484 98.07 86.59 109.55
486 98.52 86.93 110.10
488 98.64 87.02 110.26
489 99.77 87.92 111.62
494 100.20 88.14 112.26
497 102.20 92.09 112.31
499 105.32 97.14 113.50
502 105.57 97.46 113.68
503 106.08 98.08 114.08
504 109.34 101.65 117.03
507 110.88 102.24 119.53
