#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
46 0.00 0.00 0.00
47 0.00 0.00 0.00
51 0.00 0.00 0.00
52 0.00 0.00 0.00
56 0.00 0.00 0.00
66 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
98 0.00 0.00 0.00
102 0.00 0.00 0.00
103 0.00 0.00 0.00
107 0.00 0.00 0.00
108 0.00 0.00 0.00
113 0.00 0.00 0.00
118 0.00 0.00 0.00
119 0.00 0.00 0.00
122 0.00 0.00 0.00
123 0.00 0.00 0.00
124 0.00 0.00 0.00
127 0.00 0.00 0.00
129 0.00 0.00 0.00
132 0.00 0.00 0.00
134 0.00 0.00 0.00
137 0.00 0.00 0.00
139 0.00 0.00 0.00
143 0.00 0.00 0.00
144 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
159 0.00 0.00 0.00
160 0.00 0.00 0.00
164 0.00 0.00 0.00
165 0.00 0.00 0.00
168 0.00 0.00 0.00
170 0.00 0.00 0.00
173 0.00 0.00 0.00
175 0.00 0.00 0.00
180 0.00 0.00 0.00
181 0.00 0.00 0.00
185 0.00 0.00 0.00
186 0.00 0.00 0.00
190 0.00 0.00 0.00
191 0.00 0.00 0.00
195 0.00 0.00 0.00
196 0.00 0.00 0.00
200 0.00 0.00 0.00
201 0.00 0.00 0.00
202 0.00 0.00 0.00
205 0.00 0.00 0.00
206 0.00 0.00 0.00
207 0.00 0.00 0.00
211 0.00 0.00 0.00
212 0.00 0.00 0.00
216 0.00 0.00 0.00
217 0.00 0.00 0.00
221 0.00 0.00 0.00
223 0.00 0.00 0.00
224 0.00 0.00 0.00
226 0.00 0.00 0.00
228 0.00 0.00 0.00
230 0.00 0.00 0.00
232 0.00 0.00 0.00
233 0.00 0.00 0.00
235 0.00 0.00 0.00
237 0.00 0.00 0.00
238 0.00 0.00 0.00
240 0.00 0.00 0.00
242 0.00 0.00 0.00
243 0.00 0.00 0.00
245 0.00 0.00 0.00
247 0.00 0.00 0.00
250 0.00 0.00 0.00
252 0.00 0.00 0.00
253 0.00 0.00 0.00
255 0.00 0.00 0.00
257 0.00 0.00 0.00
258 0.00 0.00 0.00
262 0.00 0.00 0.00
263 0.00 0.00 0.00
264 0.00 0.00 0.00
266 0.00 0.00 0.00
268 0.00 0.00 0.00
271 0.00 0.00 0.00
273 0.00 0.00 0.00
274 0.00 0.00 0.00
277 0.00 0.00 0.00
278 0.00 0.00 0.00
279 0.00 0.00 0.00
282 0.00 0.00 0.00
283 0.00 0.00 0.00
284 0.00 0.00 0.00
287 0.00 0.00 0.00
288 0.00 0.00 0.00
289 0.16 -0.12 0.44
292 0.17 -0.13 0.47
293 0.20 -0.15 0.55
297 0.20 -0.15 0.55
298 0.20 -0.15 0.55
304 0.40 -0.30 1.10
307 0.40 -0.30 1.10
312 0.40 -0.30 1.10
319 0.40 -0.30 1.10
324 0.40 -0.30 1.10
328 0.40 -0.30 1.10
329 0.40 -0.30 1.10
334 0.40 -0.30 1.10
338 0.40 -0.30 1.10
343 0.40 -0.30 1.10
345 0.40 -0.30 1.10
346 0.40 -0.30 1.10
348 0.40 -0.30 1.10
350 0.40 -0.30 1.10
351 0.40 -0.30 1.10
353 0.40 -0.30 1.10
355 0.40 -0.30 1.10
360 0.40 -0.30 1.10
361 0.40 -0.30 1.10
363 0.40 -0.30 1.10
365 0.40 -0.30 1.10
366 0.40 -0.30 1.10
368 0.40 -0.30 1.10
370 0.40 -0.30 1.10
371 0.40 -0.30 1.10
374 0.40 -0.30 1.10
375 0.40 -0.30 1.10
376 0.40 -0.30 1.10
380 0.40 -0.30 1.10
381 0.40 -0.30 1.10
384 0.40 -0.30 1.10
386 0.40 -0.30 1.10
389 0.40 -0.30 1.10
391 0.40 -0.30 1.10
392 0.40 -0.30 1.10
394 0.40 -0.30 1.10
396 0.40 -0.30 1.10
397 0.40 -0.30 1.10
401 0.40 -0.30 1.10
402 0.40 -0.30 1.10
404 0.40 -0.30 1.10
406 0.40 -0.30 1.10
407 0.40 -0.30 1.10
409 0.40 -0.30 1.10
411 0.40 -0.30 1.10
412 0.40 -0.30 1.10
416 0.40 -0.30 1.10
417 0.40 -0.30 1.10
420 0.41 -0.29 1.11
421 0.43 -0.25 1.12
422 0.57 -0.12 1.26
425 0.58 -0.12 1.27
426 0.58 -0.11 1.28
430 0.58 -0.11 1.28
432 0.58 -0.11 1.28
433 0.59 -0.11 1.29
435 0.59 -0.11 1.29
437 0.59 -0.11 1.29
438 0.60 -0.10 1.30
440 0.60 -0.10 1.30
443 0.60 -0.10 1.30
445 0.60 -0.10 1.30
447 0.63 -0.06 1.31
448 0.68 0.02 1.34
450 0.80 0.14 1.46
452 0.80 0.14 1.46
453 0.80 0.14 1.46
456 0.80 0.14 1.46
457 0.80 0.14 1.46
458 0.80 0.14 1.46
461 0.80 0.14 1.46
463 0.92 0.20 1.64
466 1.00 0.22 1.78
467 1.00 0.22 1.78
468 1.00 0.22 1.78
471 1.00 0.22 1.78
473 1.00 0.22 1.78
474 1.00 0.22 1.78
476 1.00 0.22 1.78
483 1.00 0.22 1.78
484 1.00 0.22 1.78
486 1.02 0.26 1.78
488 1.04 0.29 1.79
489 1.20 0.54 1.86
494 1.20 0.54 1.86
497 1.20 0.54 1.86
499 1.20 0.54 1.86
502 1.20 0.54 1.86
503 1.20 0.54 1.86
504 1.20 0.54 1.86
507 1.20 0.55 1.86
509 1.20 0.55 1.86
512 1.21 0.55 1.86
513 1.21 0.56 1.86
514 1.30 0.65 1.96
517 1.33 0.66 1.99
519 1.36 0.68 2.03
522 1.36 0.68 2.03
523 1.36 0.68 2.04
524 1.36 0.68 2.04
525 1.40 0.70 2.10
527 1.40 0.70 2.10
528 1.40 0.70 2.10
529 1.40 0.70 2.10
530 1.40 0.70 2.10
533 1.40 0.70 2.10
534 1.40 0.70 2.10
535 1.40 0.70 2.10
539 1.40 0.70 2.10
540 1.40 0.70 2.10
544 1.40 0.70 2.10
545 1.40 0.70 2.10
549 1.40 0.70 2.10
550 1.40 0.70 2.10
554 1.40 0.70 2.10
555 1.40 0.70 2.10
556 1.40 0.70 2.10
559 1.40 0.70 2.10
561 1.40 0.70 2.10
564 1.40 0.70 2.10
565 1.40 0.70 2.10
566 1.40 0.70 2.10
569 1.40 0.70 2.10
570 1.40 0.70 2.10
571 1.40 0.70 2.10
575 1.40 0.70 2.10
576 1.40 0.70 2.10
580 1.40 0.70 2.10
581 1.40 0.70 2.10
584 1.40 0.70 2.10
585 1.40 0.70 2.10
586 1.40 0.70 2.10
587 1.40 0.70 2.10
589 1.40 0.70 2.10
591 1.40 0.70 2.10
592 1.40 0.70 2.10
594 1.40 0.70 2.10
596 1.40 0.70 2.10
597 1.40 0.70 2.10
599 1.40 0.70 2.10
602 1.40 0.70 2.10
604 1.40 0.70 2.10
607 1.40 0.70 2.10
610 1.40 0.70 2.10
612 1.40 0.70 2.10
615 1.40 0.70 2.10
617 1.40 0.70 2.10
618 1.40 0.70 2.10
620 1.40 0.70 2.10
622 1.40 0.70 2.10
623 1.40 0.70 2.10
625 1.40 0.70 2.10
627 1.40 0.70 2.10
628 1.40 0.70 2.10
630 1.40 0.70 2.10
632 1.40 0.70 2.10
633 1.40 0.70 2.10
635 1.40 0.70 2.10
638 1.40 0.70 2.10
640 1.40 0.70 2.10
