#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 37.20 34.04 40.36
10 41.80 38.50 45.10
15 44.51 42.62 46.40
20 45.59 43.40 47.78
21 46.64 44.74 48.54
25 46.88 44.98 48.78
26 47.92 45.97 49.87
31 48.38 46.66 50.10
35 48.57 46.76 50.38
36 49.46 47.20 51.72
40 49.69 47.23 52.16
41 50.76 47.45 54.07
45 51.08 47.80 54.36
46 52.70 49.54 55.86
51 53.67 50.76 56.58
56 55.14 52.37 57.92
61 56.27 53.56 58.99
71 56.94 54.50 59.38
76 57.47 55.27 59.67
81 57.78 55.47 60.08
82 58.12 55.71 60.53
86 58.20 55.76 60.64
87 58.23 55.79 60.67
91 58.23 55.79 60.67
92 58.56 55.96 61.16
96 58.60 55.96 61.24
97 58.77 55.96 61.58
101 58.81 55.99 61.64
102 59.16 56.22 62.10
106 59.40 56.40 62.40
107 61.03 57.29 64.78
112 62.13 58.85 65.42
117 62.57 59.30 65.84
122 63.00 59.72 66.28
127 63.96 60.27 67.65
132 65.94 63.27 68.61
137 67.29 64.29 70.29
143 67.47 64.33 70.61
147 67.64 64.37 70.92
148 68.68 64.95 72.41
153 69.27 65.59 72.95
157 69.42 65.70 73.14
158 70.18 66.28 74.07
163 70.49 66.65 74.33
167 70.71 66.99 74.42
168 70.98 67.17 74.78
177 71.15 67.13 75.16
188 71.21 67.18 75.23
192 71.52 67.61 75.43
197 71.77 67.83 75.70
198 71.93 67.95 75.91
202 71.97 67.98 75.97
203 72.11 68.06 76.17
204 72.43 68.07 76.78
209 73.86 69.43 78.28
214 74.10 69.54 78.65
219 74.24 69.62 78.85
224 74.68 70.04 79.33
229 75.33 70.60 80.07
233 75.55 70.85 80.25
234 76.35 71.79 80.90
239 77.17 72.15 82.19
243 77.25 72.19 82.30
244 77.50 72.30 82.70
249 77.86 72.48 83.24
254 78.24 72.98 83.49
264 78.57 73.20 83.95
269 78.89 73.34 84.43
270 78.97 73.43 84.52
279 78.98 73.43 84.53
289 79.22 73.69 84.74
294 79.23 73.71 84.74
295 79.60 74.07 85.12
299 79.73 74.26 85.21
300 80.11 74.85 85.38
304 80.20 74.98 85.41
305 80.38 75.39 85.36
309 80.40 75.42 85.38
315 80.40 75.42 85.38
316 80.72 76.20 85.24
320 80.92 76.46 85.38
321 81.64 76.97 86.31
325 81.79 77.07 86.51
330 82.09 77.32 86.87
335 82.57 78.22 86.92
336 82.96 78.60 87.32
340 82.99 78.62 87.37
341 83.29 79.03 87.55
345 83.33 79.07 87.59
346 83.60 79.24 87.95
351 83.72 79.45 87.99
356 84.07 79.87 88.27
360 84.14 79.96 88.32
361 84.58 80.58 88.57
362 85.09 81.09 89.09
365 85.12 81.14 89.10
366 85.50 81.83 89.16
367 86.25 82.26 90.24
370 86.33 82.33 90.34
371 86.72 82.88 90.56
375 86.80 83.01 90.59
376 87.19 83.55 90.83
377 87.79 83.88 91.70
381 87.90 83.94 91.86
386 88.12 84.06 92.18
387 88.20 84.07 92.33
390 88.20 84.07 92.33
392 88.32 84.24 92.40
397 88.33 84.25 92.41
406 88.36 84.26 92.45
407 88.76 84.79 92.73
412 88.77 84.81 92.73
417 88.78 84.84 92.72
418 88.78 84.84 92.72
422 88.78 84.84 92.72
427 88.78 84.84 92.72
428 88.94 84.92 92.96
432 88.98 84.94 93.03
437 88.98 84.94 93.03
441 89.02 85.01 93.03
442 89.10 85.22 92.98
443 89.18 85.42 92.94
447 89.20 85.46 92.94
448 89.36 85.86 92.86
452 89.40 85.96 92.84
453 89.40 85.96 92.84
458 89.40 85.96 92.84
461 89.40 85.96 92.84
462 89.40 85.96 92.84
463 89.72 86.71 92.73
467 89.80 86.90 92.70
472 90.00 87.34 92.66
473 90.00 87.34 92.66
478 90.01 87.35 92.68
479 90.08 87.37 92.79
483 90.20 87.41 92.99
484 90.20 87.41 92.99
487 90.20 87.41 92.99
488 90.52 87.96 93.08
492 90.60 88.08 93.12
493 90.60 88.08 93.12
498 90.71 88.08 93.34
502 90.81 88.09 93.53
504 90.88 88.09 93.67
507 90.89 88.09 93.68
514 90.90 88.09 93.70
517 91.08 88.19 93.98
519 91.36 88.30 94.42
524 91.59 88.79 94.39
527 91.59 88.79 94.40
529 91.78 89.10 94.47
534 91.80 89.11 94.48
535 91.80 89.12 94.48
540 91.93 89.12 94.74
545 91.97 89.12 94.81
550 92.00 89.12 94.88
555 92.20 89.30 95.10
558 92.23 89.32 95.14
559 92.32 89.39 95.25
560 92.33 89.39 95.27
563 92.40 89.39 95.42
564 92.79 89.63 95.95
565 93.15 89.78 96.51
568 93.33 89.92 96.75
570 93.40 89.96 96.85
575 93.53 90.01 97.04
578 93.83 90.03 97.63
580 94.41 90.22 98.59
581 95.01 90.60 99.42
583 95.09 90.67 99.51
585 95.14 90.69 99.59
586 95.38 90.78 99.98
588 95.41 90.79 100.03
590 95.44 90.80 100.08
595 95.91 90.92 100.90
605 96.07 90.98 101.15
606 97.11 92.43 101.79
610 97.18 92.45 101.90
611 97.28 92.47 102.10
614 97.41 92.52 102.29
616 97.94 93.22 102.66
621 98.25 93.40 103.09
625 98.26 93.42 103.10
629 98.29 93.45 103.14
630 98.57 93.76 103.38
634 98.68 93.92 103.44
635 99.33 94.89 103.78
640 99.77 95.50 104.04
644 99.97 95.68 104.26
645 100.68 96.15 105.21
647 100.91 96.51 105.31
655 101.06 96.61 105.51
662 101.35 96.98 105.73
672 101.38 97.03 105.74
676 101.39 97.03 105.75
677 102.19 96.91 107.47
681 102.42 96.88 107.96
686 102.83 96.74 108.91
691 103.23 96.56 109.89
693 103.59 96.39 110.79
696 104.12 96.58 111.66
698 105.11 97.50 112.73
702 105.50 97.84 113.15
707 106.31 98.48 114.14
708 106.74 98.75 114.74
713 106.97 98.91 115.02
716 106.99 98.92 115.06
717 107.09 98.94 115.25
718 107.47 99.12 115.82
722 107.57 99.13 116.01
727 107.57 99.13 116.01
729 107.70 99.19 116.20
730 107.76 99.21 116.31
732 107.97 99.56 116.37
738 108.04 99.71 116.36
746 108.07 99.76 116.37
749 108.27 100.12 116.42
751 108.74 100.96 116.51
752 109.38 102.11 116.66
754 109.71 102.58 116.84
756 109.76 102.64 116.87
762 109.76 102.64 116.88
767 109.77 102.65 116.88
769 109.98 102.80 117.16
771 110.11 102.89 117.34
774 110.36 103.26 117.47
787 110.42 103.34 117.50
790 110.73 103.51 117.94
792 111.03 103.84 118.22
795 111.23 104.05 118.40
797 111.43 104.28 118.57
803 111.58 104.54 118.62
810 111.62 104.57 118.68
813 111.72 104.63 118.82
818 111.85 104.69 119.01
823 112.05 104.86 119.23
828 112.16 105.03 119.30
833 112.58 105.66 119.50
841 112.59 105.66 119.51
843 112.62 105.69 119.56
846 112.68 105.76 119.60
848 113.07 106.04 120.11
853 113.18 106.19 120.17
858 113.19 106.20 120.18
859 113.52 106.99 120.06
873 113.57 107.05 120.09
894 113.83 107.64 120.02
899 114.06 108.10 120.02
900 114.56 108.87 120.25
909 114.80 108.90 120.70
922 114.93 109.17 120.69
932 115.17 109.42 120.92
945 115.20 109.48 120.92
952 115.26 109.61 120.91
955 115.76 110.14 121.38
980 115.96 110.55 121.38
982 116.00 110.57 121.43
992 116.03 110.58 121.47
995 116.12 110.63 121.60
1000 116.38 111.05 121.70
1011 116.58 111.43 121.73
1013 116.84 111.87 121.81
1016 117.19 112.22 122.15
