#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
15 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
45 0.00 0.00 0.00
46 0.00 0.00 0.00
51 0.00 0.00 0.00
56 0.00 0.00 0.00
61 0.00 0.00 0.00
71 0.00 0.00 0.00
76 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
101 0.00 0.00 0.00
102 0.00 0.00 0.00
106 0.00 0.00 0.00
107 0.00 0.00 0.00
112 0.00 0.00 0.00
117 0.00 0.00 0.00
122 0.00 0.00 0.00
127 0.00 0.00 0.00
132 0.00 0.00 0.00
137 0.00 0.00 0.00
143 0.00 0.00 0.00
147 0.00 0.00 0.00
148 0.00 0.00 0.00
153 0.00 0.00 0.00
157 0.00 0.00 0.00
158 0.00 0.00 0.00
163 0.00 0.00 0.00
167 0.00 0.00 0.00
168 0.00 0.00 0.00
177 0.00 0.00 0.00
188 0.00 0.00 0.00
192 0.00 0.00 0.00
197 0.00 0.00 0.00
198 0.00 0.00 0.00
202 0.00 0.00 0.00
203 0.00 0.00 0.00
204 0.00 0.00 0.00
209 0.00 0.00 0.00
214 0.00 0.00 0.00
219 0.00 0.00 0.00
224 0.00 0.00 0.00
229 0.00 0.00 0.00
233 0.00 0.00 0.00
234 0.00 0.00 0.00
239 0.00 0.00 0.00
243 0.00 0.00 0.00
244 0.00 0.00 0.00
249 0.00 0.00 0.00
254 0.00 0.00 0.00
264 0.00 0.00 0.00
269 0.00 0.00 0.00
270 0.00 0.00 0.00
279 0.00 0.00 0.00
289 0.00 0.00 0.00
294 0.00 0.00 0.00
295 0.00 0.00 0.00
299 0.00 0.00 0.00
300 0.00 0.00 0.00
304 0.00 0.00 0.00
305 0.00 0.00 0.00
309 0.00 0.00 0.00
315 0.00 0.00 0.00
316 0.00 0.00 0.00
320 0.00 0.00 0.00
321 0.00 0.00 0.00
325 0.00 0.00 0.00
330 0.00 0.00 0.00
335 0.00 0.00 0.00
336 0.00 0.00 0.00
340 0.00 0.00 0.00
341 0.00 0.00 0.00
345 0.00 0.00 0.00
346 0.00 0.00 0.00
351 0.00 0.00 0.00
356 0.00 0.00 0.00
360 0.00 0.00 0.00
361 0.00 0.00 0.00
362 0.00 0.00 0.00
365 0.00 0.00 0.00
366 0.00 0.00 0.00
367 0.00 0.00 0.00
370 0.00 0.00 0.00
371 0.00 0.00 0.00
375 0.00 0.00 0.00
376 0.00 0.00 0.00
377 0.00 0.00 0.00
381 0.00 0.00 0.00
386 0.00 0.00 0.00
387 0.00 0.00 0.00
390 0.00 0.00 0.00
392 0.00 0.00 0.00
397 0.00 0.00 0.00
406 0.00 0.00 0.00
407 0.00 0.00 0.00
412 0.00 0.00 0.00
417 0.00 0.00 0.00
418 0.00 0.00 0.00
422 0.00 0.00 0.00
427 0.00 0.00 0.00
428 0.00 0.00 0.00
432 0.00 0.00 0.00
437 0.00 0.00 0.00
441 0.00 0.00 0.00
442 0.00 0.00 0.00
443 0.00 0.00 0.00
447 0.00 0.00 0.00
448 0.00 0.00 0.00
452 0.00 0.00 0.00
453 0.00 0.00 0.00
458 0.00 0.00 0.00
461 0.00 0.00 0.00
462 0.00 0.00 0.00
463 0.00 0.00 0.00
467 0.00 0.00 0.00
472 0.00 0.00 0.00
473 0.00 0.00 0.00
478 0.00 0.00 0.00
479 0.00 0.00 0.00
483 0.00 0.00 0.00
484 0.00 0.00 0.00
487 0.00 0.00 0.00
488 0.00 0.00 0.00
492 0.00 0.00 0.00
493 0.00 0.00 0.00
498 0.00 0.00 0.00
502 0.00 0.00 0.00
504 0.00 0.00 0.00
507 0.00 0.00 0.00
514 0.00 0.00 0.00
517 0.00 0.00 0.00
519 0.00 0.00 0.00
524 0.00 0.00 0.00
527 0.00 0.00 0.00
529 0.00 0.00 0.00
534 0.00 0.00 0.00
535 0.00 0.00 0.00
540 0.00 0.00 0.00
545 0.00 0.00 0.00
550 0.00 0.00 0.00
555 0.00 0.00 0.00
558 0.00 0.00 0.00
559 0.00 0.00 0.00
560 0.00 0.00 0.00
563 0.00 0.00 0.00
564 0.00 0.00 0.00
565 0.00 0.00 0.00
568 0.00 0.00 0.00
570 0.00 0.00 0.00
575 0.00 0.00 0.00
578 0.00 0.00 0.00
580 0.00 0.00 0.00
581 0.00 0.00 0.00
583 0.00 0.00 0.00
585 0.00 0.00 0.00
586 0.00 0.00 0.00
588 0.00 0.00 0.00
590 0.00 0.00 0.00
595 0.00 0.00 0.00
605 0.00 0.00 0.00
606 0.00 0.00 0.00
610 0.00 0.00 0.00
611 0.00 0.00 0.00
614 0.00 0.00 0.00
616 0.00 0.00 0.00
621 0.00 0.00 0.00
625 0.00 0.00 0.00
629 0.00 0.00 0.00
630 0.00 0.00 0.00
634 0.00 0.00 0.00
635 0.00 0.00 0.00
640 0.00 0.00 0.00
644 0.00 0.00 0.00
645 0.00 0.00 0.00
647 0.00 0.00 0.00
655 0.00 0.00 0.00
662 0.00 0.00 0.00
672 0.00 0.00 0.00
676 0.00 0.00 0.00
677 0.00 0.00 0.00
681 0.00 0.00 0.00
686 0.00 0.00 0.00
691 0.00 0.00 0.00
693 0.00 0.00 0.00
696 0.00 0.00 0.00
698 0.00 0.00 0.00
702 0.00 0.00 0.00
707 0.00 0.00 0.00
708 0.00 0.00 0.00
713 0.00 0.00 0.00
716 0.00 0.00 0.00
717 0.00 0.00 0.00
718 0.00 0.00 0.00
722 0.00 0.00 0.00
727 0.00 0.00 0.00
729 0.00 0.00 0.00
730 0.00 0.00 0.00
732 0.00 0.00 0.00
738 0.00 0.00 0.00
746 0.00 0.00 0.00
749 0.00 0.00 0.00
751 0.00 0.00 0.00
752 0.00 0.00 0.00
754 0.00 0.00 0.00
756 0.00 0.00 0.00
762 0.00 0.00 0.00
767 0.00 0.00 0.00
769 0.00 0.00 0.00
771 0.00 0.00 0.00
774 0.00 0.00 0.00
787 0.00 0.00 0.00
790 0.00 0.00 0.00
792 0.00 0.00 0.00
795 0.00 0.00 0.00
797 0.00 0.00 0.00
803 0.00 0.00 0.00
810 0.00 0.00 0.00
813 0.00 0.00 0.00
818 0.00 0.00 0.00
823 0.00 0.00 0.00
828 0.00 0.00 0.00
833 0.00 0.00 0.00
841 0.00 0.00 0.00
843 0.00 0.00 0.00
846 0.00 0.00 0.00
848 0.00 0.00 0.00
853 0.00 0.00 0.00
858 0.00 0.00 0.00
859 0.00 0.00 0.00
873 0.00 0.00 0.00
894 0.00 0.00 0.00
899 0.00 0.00 0.00
900 0.00 0.00 0.00
909 0.00 0.00 0.00
922 0.00 0.00 0.00
932 0.00 0.00 0.00
945 0.00 0.00 0.00
952 0.00 0.00 0.00
955 0.00 0.00 0.00
980 0.00 0.00 0.00
982 0.00 0.00 0.00
992 0.00 0.00 0.00
995 0.00 0.00 0.00
1000 0.00 0.00 0.00
1011 0.00 0.00 0.00
1013 0.00 0.00 0.00
1016 0.00 0.00 0.00
1061 0.00 0.00 0.00
1063 0.00 0.00 0.00
1069 0.00 0.00 0.00
1077 0.00 0.00 0.00
1084 0.00 0.00 0.00
1104 0.00 0.00 0.00
1119 0.00 0.00 0.00
1145 0.00 0.00 0.00
1160 0.00 0.00 0.00
1185 0.00 0.00 0.00
1206 0.00 0.00 0.00
1210 0.00 0.00 0.00
1245 0.00 0.00 0.00
1247 0.00 0.00 0.00
1256 0.00 0.00 0.00
1272 0.00 0.00 0.00
1278 0.00 0.00 0.00
1282 0.00 0.00 0.00
1292 0.00 0.00 0.00
1293 0.00 0.00 0.00
1333 0.00 0.00 0.00
1358 0.00 0.00 0.00
1369 0.00 0.00 0.00
