#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 4.22 2.13 6.32
6 5.60 4.64 6.56
10 5.67 4.60 6.73
16 5.67 4.60 6.73
21 5.67 4.60 6.73
26 5.67 4.60 6.73
31 5.67 4.60 6.73
36 5.83 4.50 7.17
41 6.00 4.40 7.60
46 7.00 6.08 7.92
51 7.00 6.08 7.92
56 7.33 6.27 8.40
57 7.33 6.27 8.40
62 7.33 6.27 8.40
67 7.33 6.27 8.40
72 7.33 6.27 8.40
77 7.67 6.26 9.08
82 7.67 6.26 9.08
87 7.67 6.26 9.08
92 7.67 6.26 9.08
93 8.20 7.53 8.87
97 8.33 7.80 8.87
98 8.46 7.99 8.93
103 8.48 8.02 8.95
108 8.67 8.13 9.20
113 8.89 8.11 9.66
118 8.94 8.10 9.79
123 9.00 8.08 9.92
128 10.00 7.56 12.44
133 10.33 7.36 13.30
138 10.61 7.20 14.02
143 10.66 7.18 14.14
148 10.66 7.17 14.16
149 10.67 7.17 14.16
153 10.67 7.17 14.16
154 10.67 7.17 14.16
159 10.67 7.17 14.16
163 10.67 7.17 14.16
164 16.37 3.77 28.96
169 16.65 3.60 29.70
173 17.00 3.39 30.61
174 19.40 1.95 36.85
178 20.00 1.59 38.41
179 21.11 0.92 41.30
184 21.33 0.79 41.88
189 22.00 0.39 43.61
190 22.27 0.23 44.30
194 22.33 0.19 44.48
195 22.60 0.03 45.17
199 22.67 -0.01 45.34
200 22.93 -0.17 46.04
204 23.00 -0.21 46.21
205 28.07 -3.25 59.38
209 29.33 -4.01 62.68
210 29.87 -4.33 64.06
214 30.00 -4.41 64.41
215 30.00 -4.41 64.41
219 30.00 -4.41 64.41
220 30.00 -4.41 64.41
224 30.00 -4.41 64.41
225 30.27 -4.57 65.10
226 30.32 -4.60 65.23
229 30.33 -4.61 65.28
230 30.63 -4.79 66.06
231 30.65 -4.80 66.09
235 30.65 -4.80 66.09
236 30.66 -4.81 66.13
239 30.67 -4.81 66.14
240 30.93 -4.97 66.84
241 30.98 -5.00 66.97
244 31.00 -5.01 67.01
245 31.27 -5.17 67.70
246 31.32 -5.20 67.83
249 31.33 -5.21 67.88
250 32.40 -5.85 70.65
251 32.60 -5.97 71.17
254 32.67 -6.01 71.34
255 37.73 -9.05 84.52
256 38.68 -9.62 86.99
259 39.00 -9.81 87.81
260 40.39 -10.65 91.42
261 40.61 -10.78 92.00
265 40.67 -10.81 92.15
266 41.20 -11.13 93.53
270 41.33 -11.21 93.88
272 41.53 -11.33 94.40
275 41.67 -11.41 94.75
276 41.98 -11.60 95.57
277 41.99 -11.61 95.59
281 42.00 -11.61 95.60
282 42.00 -11.61 95.61
286 42.00 -11.61 95.61
287 42.00 -11.61 95.61
291 42.00 -11.61 95.61
292 42.00 -11.61 95.61
295 42.00 -11.61 95.61
296 42.53 -11.93 97.00
297 42.63 -11.99 97.26
300 42.67 -12.01 97.35
301 43.73 -12.65 100.12
302 43.93 -12.77 100.64
305 44.00 -12.81 100.81
306 44.61 -13.18 102.39
307 44.63 -13.19 102.45
311 44.64 -13.19 102.47
312 44.66 -13.21 102.53
316 44.67 -13.21 102.55
318 45.27 -13.57 104.11
321 45.67 -13.81 105.15
323 45.93 -13.97 105.84
327 46.07 -14.05 106.19
328 46.52 -14.32 107.36
331 46.67 -14.41 107.75
332 48.53 -15.53 112.60
333 48.88 -15.74 113.51
336 49.00 -15.81 113.81
337 54.87 -19.34 129.07
338 55.97 -20.00 131.93
341 56.33 -20.22 132.88
342 57.40 -20.86 135.66
343 57.60 -20.98 136.18
346 57.67 -21.02 136.35
347 59.06 -21.85 139.96
348 59.28 -21.98 140.54
352 59.33 -22.02 140.68
354 59.53 -22.14 141.20
357 59.67 -22.22 141.55
359 62.52 -23.93 148.96
362 64.42 -25.07 153.90
364 65.05 -25.45 155.55
367 65.47 -25.70 156.65
369 65.63 -25.80 157.06
372 65.74 -25.86 157.33
374 65.89 -25.96 157.74
377 66.00 -26.02 158.02
378 76.67 -32.42 185.76
379 78.67 -33.62 190.96
382 79.33 -34.02 192.69
383 79.60 -34.18 193.38
384 79.65 -34.21 193.51
387 79.67 -34.22 193.56
388 79.93 -34.38 194.25
389 79.98 -34.41 194.38
392 80.00 -34.42 194.42
393 82.10 -35.68 199.88
395 82.16 -35.72 200.05
398 82.20 -35.75 200.15
400 82.27 -35.78 200.32
402 82.33 -35.82 200.49
403 91.40 -41.27 224.07
405 92.53 -41.95 227.01
407 93.67 -42.63 229.96
408 104.87 -49.35 259.08
410 106.27 -50.19 262.72
412 107.67 -51.03 266.36
413 108.20 -51.35 267.75
415 108.27 -51.39 267.92
417 108.33 -51.43 268.10
419 116.21 -56.16 288.58
420 116.79 -56.51 290.08
424 116.93 -56.59 290.46
425 117.07 -56.68 290.83
429 117.11 -56.70 290.92
430 117.28 -56.80 291.36
433 117.33 -56.83 291.50
434 125.33 -61.64 312.30
435 126.83 -62.54 316.20
438 127.33 -62.84 317.50
439 127.87 -63.16 318.89
440 127.97 -63.22 319.15
443 128.00 -63.24 319.24
444 128.27 -63.40 319.93
445 128.32 -63.43 320.06
448 128.33 -63.44 320.10
450 128.60 -63.60 320.80
455 128.63 -63.61 320.86
458 128.67 -63.64 320.97
460 132.42 -65.89 330.74
461 132.71 -66.06 331.48
465 132.78 -66.10 331.66
466 132.84 -66.14 331.83
470 132.86 -66.15 331.88
471 132.95 -66.21 332.12
473 133.00 -66.24 332.24
475 140.60 -70.80 352.00
476 143.98 -72.83 360.78
478 145.67 -73.84 365.18
481 147.53 -74.96 370.03
483 150.33 -76.64 377.31
486 153.13 -78.32 384.59
491 153.48 -78.53 385.48
493 154.33 -79.04 387.71
496 164.87 -85.37 415.10
498 180.67 -94.85 456.19
501 181.07 -95.09 457.23
502 181.37 -95.27 458.01
503 181.67 -95.45 458.79
506 181.80 -95.53 459.13
507 181.90 -95.59 459.39
508 182.00 -95.65 459.65
511 182.24 -95.80 460.28
512 182.27 -95.82 460.35
516 182.28 -95.82 460.37
517 182.31 -95.84 460.47
519 182.33 -95.85 460.52
522 182.47 -95.93 460.87
524 182.67 -96.05 461.39
527 184.53 -97.17 466.24
532 184.76 -97.31 466.83
534 185.33 -97.65 468.32
537 189.07 -99.90 478.03
539 194.67 -103.26 492.59
542 197.47 -104.94 499.87
544 201.67 -107.46 510.79
547 202.00 -107.66 511.66
550 202.33 -107.86 512.53
552 202.53 -107.98 513.05
553 202.62 -108.03 513.28
555 202.67 -108.06 513.39
558 202.80 -108.14 513.74
560 203.00 -108.26 514.26
563 203.27 -108.42 514.95
565 203.67 -108.66 515.99
568 205.30 -109.64 520.24
573 205.50 -109.76 520.76
575 206.40 -109.34 522.14
578 210.13 -110.94 531.21
580 215.78 -113.26 544.83
583 217.02 -113.28 547.31
585 218.52 -113.94 550.98
588 226.58 -118.63 571.79
593 227.75 -119.23 574.73
596 229.64 -120.32 579.61
598 238.07 -125.32 601.45
601 245.13 -126.04 616.31
603 248.93 -123.04 620.91
606 250.40 -122.96 623.76
608 251.63 -123.16 626.41
611 252.66 -122.91 628.22
616 253.71 -123.41 630.83
619 254.34 -123.55 632.24
621 255.30 -123.75 634.35
624 255.94 -123.89 635.76
626 256.90 -124.09 637.88
629 257.50 -124.20 639.20
632 258.00 -124.50 640.50
634 258.60 -124.86 642.06
637 259.13 -124.86 643.13
639 272.73 -132.55 678.02
642 282.37 -136.66 701.40
647 321.79 -160.12 803.69
649 322.20 -159.85 804.25
652 323.93 -157.09 804.96
654 342.42 -162.49 847.34
659 344.35 -162.86 851.55
663 349.30 -158.82 857.43
668 363.79 -166.36 893.94
670 370.87 -167.76 909.49
675 375.42 -161.11 911.94
678 376.73 -160.97 914.43
680 380.53 -161.84 922.91
683 383.20 -162.19 928.59
685 387.00 -162.60 936.60
688 389.47 -162.99 941.93
693 389.86 -163.09 942.81
695 390.22 -162.98 943.42
699 390.67 -162.47 943.80
700 393.27 -160.93 947.46
705 395.65 -156.95 948.25
