#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
16 0.00 0.00 0.00
21 0.00 0.00 0.00
26 0.00 0.00 0.00
31 0.00 0.00 0.00
36 0.00 0.00 0.00
41 0.00 0.00 0.00
46 0.00 0.00 0.00
51 0.00 0.00 0.00
56 0.00 0.00 0.00
57 0.00 0.00 0.00
62 0.00 0.00 0.00
67 0.00 0.00 0.00
72 0.00 0.00 0.00
77 0.00 0.00 0.00
82 0.00 0.00 0.00
87 0.00 0.00 0.00
92 0.00 0.00 0.00
93 0.00 0.00 0.00
97 0.00 0.00 0.00
98 0.00 0.00 0.00
103 0.00 0.00 0.00
108 0.00 0.00 0.00
113 0.00 0.00 0.00
118 0.00 0.00 0.00
123 0.00 0.00 0.00
128 0.00 0.00 0.00
133 0.00 0.00 0.00
138 0.00 0.00 0.00
143 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
159 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
169 0.00 0.00 0.00
173 0.00 0.00 0.00
174 0.00 0.00 0.00
178 0.00 0.00 0.00
179 0.00 0.00 0.00
184 0.00 0.00 0.00
189 0.00 0.00 0.00
190 0.00 0.00 0.00
194 0.00 0.00 0.00
195 0.00 0.00 0.00
199 0.00 0.00 0.00
200 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
209 0.00 0.00 0.00
210 0.00 0.00 0.00
214 0.00 0.00 0.00
215 0.00 0.00 0.00
219 0.00 0.00 0.00
220 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
226 0.00 0.00 0.00
229 0.00 0.00 0.00
230 0.00 0.00 0.00
231 0.00 0.00 0.00
235 0.00 0.00 0.00
236 0.00 0.00 0.00
239 0.00 0.00 0.00
240 0.00 0.00 0.00
241 0.00 0.00 0.00
244 0.00 0.00 0.00
245 0.00 0.00 0.00
246 0.00 0.00 0.00
249 0.00 0.00 0.00
250 0.00 0.00 0.00
251 0.00 0.00 0.00
254 0.00 0.00 0.00
255 0.00 0.00 0.00
256 0.00 0.00 0.00
259 0.00 0.00 0.00
260 0.00 0.00 0.00
261 0.00 0.00 0.00
265 0.00 0.00 0.00
266 0.00 0.00 0.00
270 0.00 0.00 0.00
272 0.00 0.00 0.00
275 0.00 0.00 0.00
276 0.00 0.00 0.00
277 0.00 0.00 0.00
281 0.00 0.00 0.00
282 0.00 0.00 0.00
286 0.00 0.00 0.00
287 0.00 0.00 0.00
291 0.00 0.00 0.00
292 0.00 0.00 0.00
295 0.00 0.00 0.00
296 0.00 0.00 0.00
297 0.00 0.00 0.00
300 0.00 0.00 0.00
301 0.00 0.00 0.00
302 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
307 0.00 0.00 0.00
311 0.00 0.00 0.00
312 0.00 0.00 0.00
316 0.00 0.00 0.00
318 0.00 0.00 0.00
321 0.00 0.00 0.00
323 0.00 0.00 0.00
327 0.00 0.00 0.00
328 0.00 0.00 0.00
331 0.00 0.00 0.00
332 0.00 0.00 0.00
333 0.00 0.00 0.00
336 0.00 0.00 0.00
337 0.00 0.00 0.00
338 0.00 0.00 0.00
341 0.00 0.00 0.00
342 0.00 0.00 0.00
343 0.00 0.00 0.00
346 0.00 0.00 0.00
347 0.00 0.00 0.00
348 0.00 0.00 0.00
352 0.00 0.00 0.00
354 0.00 0.00 0.00
357 0.00 0.00 0.00
359 0.00 0.00 0.00
362 0.00 0.00 0.00
364 0.00 0.00 0.00
367 0.00 0.00 0.00
369 0.00 0.00 0.00
372 0.00 0.00 0.00
374 0.00 0.00 0.00
377 0.00 0.00 0.00
378 0.00 0.00 0.00
379 0.00 0.00 0.00
382 0.00 0.00 0.00
383 0.00 0.00 0.00
384 0.00 0.00 0.00
387 0.00 0.00 0.00
388 0.00 0.00 0.00
389 0.00 0.00 0.00
392 0.00 0.00 0.00
393 0.00 0.00 0.00
395 0.00 0.00 0.00
398 0.00 0.00 0.00
400 0.00 0.00 0.00
402 0.00 0.00 0.00
403 0.00 0.00 0.00
405 0.00 0.00 0.00
407 0.00 0.00 0.00
408 0.00 0.00 0.00
410 0.00 0.00 0.00
412 0.00 0.00 0.00
413 0.00 0.00 0.00
415 0.00 0.00 0.00
417 0.00 0.00 0.00
419 0.00 0.00 0.00
420 0.00 0.00 0.00
424 0.00 0.00 0.00
425 0.00 0.00 0.00
429 0.00 0.00 0.00
430 0.00 0.00 0.00
433 0.00 0.00 0.00
434 0.00 0.00 0.00
435 0.00 0.00 0.00
438 0.00 0.00 0.00
439 0.00 0.00 0.00
440 0.00 0.00 0.00
443 0.00 0.00 0.00
444 0.00 0.00 0.00
445 0.00 0.00 0.00
448 0.00 0.00 0.00
450 0.00 0.00 0.00
455 0.00 0.00 0.00
458 0.00 0.00 0.00
460 0.00 0.00 0.00
461 0.00 0.00 0.00
465 0.00 0.00 0.00
466 0.00 0.00 0.00
470 0.00 0.00 0.00
471 0.00 0.00 0.00
473 0.00 0.00 0.00
475 0.00 0.00 0.00
476 0.00 0.00 0.00
478 0.00 0.00 0.00
481 0.00 0.00 0.00
483 0.00 0.00 0.00
486 0.00 0.00 0.00
491 0.00 0.00 0.00
493 0.00 0.00 0.00
496 0.00 0.00 0.00
498 0.00 0.00 0.00
501 0.00 0.00 0.00
502 0.00 0.00 0.00
503 0.00 0.00 0.00
506 0.00 0.00 0.00
507 0.00 0.00 0.00
508 0.00 0.00 0.00
511 0.00 0.00 0.00
512 0.00 0.00 0.00
516 0.00 0.00 0.00
517 0.00 0.00 0.00
519 0.00 0.00 0.00
522 0.00 0.00 0.00
524 0.00 0.00 0.00
527 0.00 0.00 0.00
532 0.00 0.00 0.00
534 0.00 0.00 0.00
537 0.00 0.00 0.00
539 0.00 0.00 0.00
542 0.00 0.00 0.00
544 0.00 0.00 0.00
547 0.00 0.00 0.00
550 0.00 0.00 0.00
552 0.00 0.00 0.00
553 0.00 0.00 0.00
555 0.00 0.00 0.00
558 0.00 0.00 0.00
560 0.00 0.00 0.00
563 0.00 0.00 0.00
565 0.00 0.00 0.00
568 0.00 0.00 0.00
573 0.00 0.00 0.00
575 0.00 0.00 0.00
578 0.00 0.00 0.00
580 0.00 0.00 0.00
583 0.00 0.00 0.00
585 0.00 0.00 0.00
588 0.00 0.00 0.00
593 0.00 0.00 0.00
596 0.00 0.00 0.00
598 0.00 0.00 0.00
601 0.00 0.00 0.00
603 0.00 0.00 0.00
606 0.00 0.00 0.00
608 0.00 0.00 0.00
611 0.00 0.00 0.00
616 0.00 0.00 0.00
619 0.00 0.00 0.00
621 0.00 0.00 0.00
624 0.00 0.00 0.00
626 0.00 0.00 0.00
629 0.00 0.00 0.00
632 0.00 0.00 0.00
634 0.00 0.00 0.00
637 0.00 0.00 0.00
639 0.00 0.00 0.00
642 0.00 0.00 0.00
647 0.00 0.00 0.00
649 0.00 0.00 0.00
652 0.00 0.00 0.00
654 0.00 0.00 0.00
659 0.00 0.00 0.00
663 0.00 0.00 0.00
668 0.00 0.00 0.00
670 0.00 0.00 0.00
675 0.00 0.00 0.00
678 0.00 0.00 0.00
680 0.00 0.00 0.00
683 0.00 0.00 0.00
685 0.00 0.00 0.00
688 0.00 0.00 0.00
693 0.00 0.00 0.00
695 0.00 0.00 0.00
699 0.00 0.00 0.00
700 0.00 0.00 0.00
705 0.00 0.00 0.00
711 0.00 0.00 0.00
716 0.00 0.00 0.00
719 0.00 0.00 0.00
724 0.33 -0.20 0.87
726 0.33 -0.20 0.87
729 0.33 -0.20 0.87
731 0.61 -0.36 1.58
736 0.63 -0.38 1.65
740 0.67 -0.40 1.73
741 0.67 -0.40 1.73
745 0.67 -0.40 1.73
746 0.67 -0.40 1.73
751 0.67 -0.40 1.73
755 0.67 -0.40 1.73
760 0.67 -0.40 1.73
761 0.67 -0.40 1.73
766 0.67 -0.40 1.73
770 0.67 -0.40 1.73
