#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 4.37 3.26 5.48
6 5.79 5.66 5.92
10 6.12 5.76 6.48
21 6.37 5.97 6.76
46 6.39 5.97 6.81
90 6.39 5.97 6.81
91 6.40 5.97 6.83
92 6.40 5.97 6.83
96 6.40 5.97 6.83
97 6.40 5.97 6.83
111 6.40 5.97 6.83
116 6.40 5.97 6.83
117 6.52 6.13 6.91
121 6.55 6.15 6.95
122 6.60 6.17 7.02
133 6.60 6.17 7.02
136 6.77 6.16 7.38
141 6.79 6.15 7.43
153 6.80 6.14 7.46
163 6.80 6.14 7.46
164 6.92 6.35 7.49
168 6.95 6.39 7.51
177 6.97 6.41 7.53
183 7.00 6.45 7.55
188 7.00 6.45 7.55
189 7.00 6.45 7.55
193 7.00 6.45 7.55
194 7.00 6.45 7.55
199 7.00 6.45 7.55
204 7.37 6.72 8.01
209 7.39 6.70 8.08
214 7.60 6.90 8.30
218 7.60 6.90 8.30
219 7.60 6.90 8.30
223 7.60 6.90 8.30
224 7.60 6.90 8.30
228 7.60 6.90 8.30
229 7.60 6.90 8.30
230 7.60 6.90 8.30
233 7.61 6.89 8.33
234 7.64 6.88 8.40
235 7.80 6.78 8.82
238 7.80 6.78 8.82
240 7.80 6.78 8.82
243 7.80 6.78 8.83
245 7.81 6.77 8.85
248 7.82 6.79 8.86
249 7.86 6.83 8.89
250 8.20 6.91 9.49
253 8.24 6.88 9.60
255 8.30 6.84 9.76
259 8.32 6.83 9.81
260 8.40 6.77 10.03
264 8.48 6.72 10.24
265 8.80 6.49 11.11
269 8.87 6.53 11.20
270 9.13 6.68 11.58
274 9.14 6.68 11.60
275 9.17 6.66 11.67
279 9.17 6.66 11.69
280 9.20 6.64 11.76
284 9.20 6.64 11.76
285 9.20 6.64 11.76
289 9.20 6.64 11.76
290 9.20 6.64 11.76
291 9.20 6.64 11.76
294 9.20 6.64 11.76
295 9.20 6.64 11.76
296 9.36 6.52 12.20
299 9.37 6.51 12.23
300 9.40 6.49 12.31
301 9.59 6.35 12.83
304 9.59 6.35 12.83
305 9.59 6.35 12.83
306 9.60 6.34 12.85
309 9.60 6.34 12.85
310 9.60 6.34 12.85
311 9.60 6.34 12.86
314 9.60 6.34 12.86
315 9.60 6.34 12.86
316 9.60 6.34 12.86
320 9.64 6.31 12.97
321 9.80 6.19 13.41
325 9.83 6.17 13.48
326 9.93 6.09 13.78
330 9.94 6.09 13.79
331 9.97 6.07 13.87
335 9.97 6.06 13.89
336 10.00 6.04 13.96
340 10.66 5.55 15.76
341 13.28 3.58 22.98
345 13.29 3.57 23.00
346 13.33 3.55 23.11
347 13.56 3.37 23.76
350 13.56 3.37 23.76
351 13.57 3.36 23.78
352 13.60 3.34 23.85
355 13.60 3.34 23.85
356 13.60 3.34 23.85
357 13.60 3.34 23.86
360 13.60 3.34 23.86
361 13.60 3.34 23.86
362 13.60 3.34 23.86
365 13.60 3.34 23.86
366 13.60 3.34 23.86
367 13.60 3.34 23.86
370 13.60 3.34 23.86
371 13.60 3.34 23.86
372 13.60 3.34 23.86
376 13.60 3.34 23.86
377 13.60 3.34 23.86
381 13.60 3.34 23.86
382 13.60 3.34 23.86
386 13.60 3.34 23.86
387 13.60 3.34 23.86
388 13.60 3.34 23.86
391 13.60 3.34 23.86
392 13.60 3.34 23.86
393 14.72 2.50 26.94
396 14.79 2.44 27.14
397 15.00 2.29 27.71
398 15.11 2.20 28.02
401 15.12 2.20 28.04
402 15.14 2.18 28.09
403 15.16 2.16 28.17
406 15.17 2.16 28.17
407 15.17 2.16 28.19
408 15.18 2.15 28.20
411 15.18 2.15 28.20
412 15.18 2.15 28.20
413 15.20 2.14 28.26
416 15.23 2.11 28.35
417 15.32 2.05 28.59
418 15.80 1.68 29.92
421 15.81 1.68 29.94
422 15.84 1.65 30.03
423 16.00 1.53 30.47
426 16.01 1.53 30.49
427 16.04 1.50 30.58
428 16.20 1.38 31.02
431 16.23 1.36 31.10
432 16.32 1.29 31.35
433 16.80 0.93 32.67
437 16.84 0.90 32.78
438 17.00 0.78 33.22
442 17.04 0.75 33.33
443 17.20 0.63 33.77
444 17.68 0.27 35.09
447 17.71 0.25 35.17
448 17.80 0.18 35.42
449 18.01 0.02 36.01
452 18.03 0.01 36.05
453 18.07 -0.02 36.16
454 18.12 -0.06 36.30
457 18.12 -0.06 36.31
458 18.13 -0.07 36.34
459 18.19 -0.11 36.49
462 18.19 -0.11 36.49
463 18.20 -0.12 36.52
464 18.28 -0.18 36.74
467 18.29 -0.19 36.76
468 18.30 -0.20 36.80
469 18.38 -0.26 37.02
472 18.39 -0.26 37.03
473 18.57 -0.03 37.16
474 18.68 -0.06 37.42
478 18.71 -0.06 37.48
479 18.72 -0.07 37.52
483 18.72 -0.08 37.52
484 18.80 -0.13 37.73
488 18.88 -0.19 37.95
489 19.20 -0.43 38.83
490 19.23 -0.46 38.92
493 19.24 -0.46 38.94
494 19.40 -0.58 39.38
495 19.43 -0.61 39.47
498 19.44 -0.61 39.49
499 19.60 -0.74 39.94
500 19.60 -0.74 39.94
504 19.60 -0.74 39.94
505 19.60 -0.74 39.94
509 19.60 -0.74 39.94
510 19.60 -0.74 39.94
514 19.60 -0.74 39.94
515 19.92 -0.98 40.82
519 20.00 -1.04 41.04
520 20.03 -1.06 41.11
524 20.03 -1.06 41.13
525 20.20 -1.19 41.59
529 20.24 -1.22 41.70
530 20.40 -1.34 42.14
534 21.43 -2.11 44.96
535 21.59 -2.23 45.41
539 21.63 -2.26 45.52
540 21.65 -2.28 45.59
544 21.66 -2.29 45.60
545 21.80 -2.39 45.99
549 22.28 -2.75 47.31
550 24.36 -3.97 52.69
554 24.44 -3.94 52.82
555 24.60 -4.06 53.26
556 24.92 -4.31 54.15
559 24.94 -4.32 54.20
560 25.00 -4.37 54.37
561 25.08 -4.43 54.59
564 25.09 -4.43 54.60
565 25.10 -4.44 54.64
566 25.18 -4.50 54.86
569 25.19 -4.50 54.87
570 25.20 -4.52 54.92
571 25.68 -4.88 56.24
575 25.80 -4.97 56.57
576 26.06 -5.16 57.29
579 26.08 -5.18 57.33
580 26.13 -5.21 57.47
581 26.16 -5.24 57.57
584 26.17 -5.24 57.58
585 26.17 -5.25 57.59
586 26.40 -5.42 58.22
589 26.44 -5.45 58.32
590 26.91 -5.01 58.83
591 26.95 -5.01 58.90
595 26.96 -5.01 58.92
596 27.08 -4.83 59.00
600 27.27 -4.56 59.10
601 29.56 -1.32 60.44
605 29.96 -0.93 60.84
606 30.75 -0.49 61.98
610 30.96 -0.44 62.36
615 31.18 -0.15 62.51
616 31.27 -0.16 62.71
625 31.41 -0.21 63.03
636 31.52 -0.25 63.29
647 32.06 -0.36 64.47
652 32.29 -0.46 65.04
668 32.36 -0.51 65.23
677 32.52 -0.57 65.60
682 32.73 -0.70 66.16
687 32.84 -0.76 66.44
692 33.06 -0.66 66.79
693 33.36 -0.59 67.30
697 33.44 -0.56 67.44
698 33.92 -0.57 68.41
702 34.00 -0.63 68.63
718 34.20 -0.78 69.18
723 34.40 -0.93 69.73
732 34.44 -0.96 69.84
733 34.80 -1.23 70.83
737 34.84 -1.26 70.94
738 35.00 -1.38 71.38
754 36.80 -2.74 76.34
774 37.00 -2.89 76.89
779 37.20 -3.04 77.44
789 37.60 -3.34 78.54
795 37.80 -3.49 79.09
800 38.20 -3.79 80.19
805 38.60 -4.09 81.29
810 38.80 -4.24 81.84
820 39.00 -4.39 82.39
825 39.20 -4.54 82.94
830 39.60 -4.84 84.04
835 40.00 -5.15 85.15
841 40.60 -5.60 86.80
851 40.60 -5.60 86.80
856 41.00 -5.90 87.90
881 41.20 -6.05 88.45
897 41.40 -6.20 89.00
902 41.60 -6.35 89.55
907 42.00 -6.65 90.65
912 42.40 -6.95 91.75
917 42.60 -7.10 92.30
922 43.00 -7.40 93.40
927 43.20 -7.55 93.95
933 43.80 -8.01 95.61
943 44.00 -8.16 96.16
948 44.40 -8.46 97.26
979 44.80 -8.76 98.36
989 45.00 -8.91 98.91
994 45.40 -9.21 100.01
1009 45.60 -9.36 100.56
1029 46.00 -9.66 101.66
1049 46.00 -9.66 101.66
1054 46.20 -9.81 102.21
1075 46.60 -10.11 103.31
1080 46.80 -10.27 103.87
1088 46.95 -10.38 104.27
1110 47.00 -10.42 104.42
1141 47.20 -10.57 104.97
1146 48.00 -11.17 107.17
1151 48.60 -11.62 108.82
1171 49.00 -11.92 109.92
1181 49.40 -12.22 111.02
1186 49.60 -12.37 111.57
1197 50.00 -12.67 112.67
1202 50.40 -12.98 113.78
1212 50.60 -13.13 114.33
1228 50.80 -13.28 114.88
1243 51.00 -13.43 115.43
1284 51.20 -13.58 115.98
1304 51.60 -13.88 117.08
1309 52.00 -14.18 118.18
1345 52.40 -14.48 119.28
1386 52.60 -14.63 119.83
1391 52.80 -14.78 120.38
1396 53.00 -14.93 120.93
1401 53.00 -14.93 120.93
1406 53.20 -15.08 121.48
1426 54.20 -15.84 124.24
1431 55.20 -16.59 126.99
1436 56.20 -17.34 129.74
1442 57.00 -17.95 131.95
1447 57.60 -18.40 133.60
1452 58.00 -18.70 134.70
1457 58.20 -18.85 135.25
1467 58.60 -19.15 136.35
1472 59.20 -19.60 138.00
1477 59.60 -19.90 139.10
1483 60.60 -20.66 141.86
1488 61.00 -20.96 142.96
1493 61.60 -21.41 144.61
1498 62.20 -21.86 146.26
1503 62.40 -22.01 146.81
1523 63.00 -22.46 148.46
1528 63.20 -22.61 149.01
1534 63.60 -22.92 150.12
1539 64.00 -23.22 151.22
1544 64.40 -23.52 152.32
1549 64.80 -23.82 153.42
1554 65.40 -24.27 155.07
1559 66.20 -24.87 157.27
1569 66.40 -25.02 157.82
1579 67.20 -25.63 160.03
1584 67.80 -26.08 161.68
1590 68.00 -26.23 162.23
1595 68.20 -26.38 162.78
1600 68.20 -26.38 162.78
1605 68.40 -26.53 163.33
1625 69.40 -27.28 166.08
1630 69.80 -27.58 167.18
1636 70.80 -28.34 169.94
1641 71.60 -28.94 172.14
1646 71.80 -29.09 172.69
1651 72.40 -29.54 174.34
1656 73.20 -30.14 176.54
1661 74.20 -30.90 179.30
1666 74.40 -31.05 179.85
1672 74.60 -31.20 180.40
1677 74.80 -31.35 180.95
1682 75.80 -32.10 183.70
1687 76.00 -32.25 184.25
1692 76.60 -32.70 185.90
1697 76.80 -32.85 186.45
1728 77.00 -33.01 187.01
1758 77.40 -33.31 188.11
1799 77.40 -33.31 188.11
1840 77.40 -33.31 188.11
1870 77.60 -33.46 188.66
1875 77.80 -33.61 189.21
1891 78.00 -33.76 189.76
1921 78.20 -33.91 190.31
1936 78.20 -33.91 190.31
1941 78.40 -34.06 190.86
1972 78.60 -34.21 191.41
1982 78.80 -34.36 191.96
2012 79.20 -34.66 193.06
