#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
21 0.00 0.00 0.00
46 0.00 0.00 0.00
90 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
111 0.00 0.00 0.00
116 0.00 0.00 0.00
117 0.00 0.00 0.00
121 0.00 0.00 0.00
122 0.00 0.00 0.00
133 0.00 0.00 0.00
136 0.00 0.00 0.00
141 0.00 0.00 0.00
153 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
168 0.00 0.00 0.00
177 0.00 0.00 0.00
183 0.00 0.00 0.00
188 0.00 0.00 0.00
189 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
199 0.00 0.00 0.00
204 0.00 0.00 0.00
209 0.00 0.00 0.00
214 0.00 0.00 0.00
218 0.00 0.00 0.00
219 0.00 0.00 0.00
223 0.00 0.00 0.00
224 0.00 0.00 0.00
228 0.00 0.00 0.00
229 0.00 0.00 0.00
230 0.00 0.00 0.00
233 0.00 0.00 0.00
234 0.00 0.00 0.00
235 0.00 0.00 0.00
238 0.00 0.00 0.00
240 0.00 0.00 0.00
243 0.00 0.00 0.00
245 0.00 0.00 0.00
248 0.00 0.00 0.00
249 0.00 0.00 0.00
250 0.00 0.00 0.00
253 0.00 0.00 0.00
255 0.00 0.00 0.00
259 0.00 0.00 0.00
260 0.00 0.00 0.00
264 0.00 0.00 0.00
265 0.00 0.00 0.00
269 0.00 0.00 0.00
270 0.00 0.00 0.00
274 0.00 0.00 0.00
275 0.00 0.00 0.00
279 0.00 0.00 0.00
280 0.00 0.00 0.00
284 0.00 0.00 0.00
285 0.00 0.00 0.00
289 0.00 0.00 0.00
290 0.00 0.00 0.00
291 0.00 0.00 0.00
294 0.00 0.00 0.00
295 0.00 0.00 0.00
296 0.00 0.00 0.00
299 0.00 0.00 0.00
300 0.00 0.00 0.00
301 0.00 0.00 0.00
304 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
309 0.00 0.00 0.00
310 0.00 0.00 0.00
311 0.00 0.00 0.00
314 0.00 0.00 0.00
315 0.00 0.00 0.00
316 0.00 0.00 0.00
320 0.00 0.00 0.00
321 0.00 0.00 0.00
325 0.00 0.00 0.00
326 0.00 0.00 0.00
330 0.00 0.00 0.00
331 0.00 0.00 0.00
335 0.00 0.00 0.00
336 0.00 0.00 0.00
340 0.00 0.00 0.00
341 0.00 0.00 0.00
345 0.00 0.00 0.00
346 0.00 0.00 0.00
347 0.00 0.00 0.00
350 0.00 0.00 0.00
351 0.00 0.00 0.00
352 0.00 0.00 0.00
355 0.00 0.00 0.00
356 0.00 0.00 0.00
357 0.00 0.00 0.00
360 0.00 0.00 0.00
361 0.00 0.00 0.00
362 0.00 0.00 0.00
365 0.00 0.00 0.00
366 0.00 0.00 0.00
367 0.00 0.00 0.00
370 0.00 0.00 0.00
371 0.00 0.00 0.00
372 0.00 0.00 0.00
376 0.00 0.00 0.00
377 0.00 0.00 0.00
381 0.00 0.00 0.00
382 0.00 0.00 0.00
386 0.00 0.00 0.00
387 0.00 0.00 0.00
388 0.00 0.00 0.00
391 0.00 0.00 0.00
392 0.00 0.00 0.00
393 0.00 0.00 0.00
396 0.00 0.00 0.00
397 0.00 0.00 0.00
398 0.00 0.00 0.00
401 0.00 0.00 0.00
402 0.00 0.00 0.00
403 0.00 0.00 0.00
406 0.00 0.00 0.00
407 0.00 0.00 0.00
408 0.00 0.00 0.00
411 0.00 0.00 0.00
412 0.00 0.00 0.00
413 0.00 0.00 0.00
416 0.00 0.00 0.00
417 0.00 0.00 0.00
418 0.00 0.00 0.00
421 0.00 0.00 0.00
422 0.00 0.00 0.00
423 0.00 0.00 0.00
426 0.00 0.00 0.00
427 0.00 0.00 0.00
428 0.00 0.00 0.00
431 0.00 0.00 0.00
432 0.00 0.00 0.00
433 0.00 0.00 0.00
437 0.00 0.00 0.00
438 0.00 0.00 0.00
442 0.00 0.00 0.00
443 0.00 0.00 0.00
444 0.00 0.00 0.00
447 0.00 0.00 0.00
448 0.00 0.00 0.00
449 0.00 0.00 0.00
452 0.00 0.00 0.00
453 0.00 0.00 0.00
454 0.00 0.00 0.00
457 0.00 0.00 0.00
458 0.00 0.00 0.00
459 0.00 0.00 0.00
462 0.00 0.00 0.00
463 0.00 0.00 0.00
464 0.00 0.00 0.00
467 0.00 0.00 0.00
468 0.00 0.00 0.00
469 0.00 0.00 0.00
472 0.00 0.00 0.00
473 0.00 0.00 0.00
474 0.00 0.00 0.00
478 0.00 0.00 0.00
479 0.00 0.00 0.00
483 0.00 0.00 0.00
484 0.00 0.00 0.00
488 0.00 0.00 0.00
489 0.00 0.00 0.00
490 0.00 0.00 0.00
493 0.00 0.00 0.00
494 0.00 0.00 0.00
495 0.00 0.00 0.00
498 0.00 0.00 0.00
499 0.00 0.00 0.00
500 0.00 0.00 0.00
504 0.00 0.00 0.00
505 0.00 0.00 0.00
509 0.00 0.00 0.00
510 0.00 0.00 0.00
514 0.00 0.00 0.00
515 0.00 0.00 0.00
519 0.00 0.00 0.00
520 0.00 0.00 0.00
524 0.00 0.00 0.00
525 0.00 0.00 0.00
529 0.00 0.00 0.00
530 0.00 0.00 0.00
534 0.00 0.00 0.00
535 0.00 0.00 0.00
539 0.00 0.00 0.00
540 0.00 0.00 0.00
544 0.00 0.00 0.00
545 0.00 0.00 0.00
549 0.00 0.00 0.00
550 0.00 0.00 0.00
554 0.00 0.00 0.00
555 0.00 0.00 0.00
556 0.00 0.00 0.00
559 0.00 0.00 0.00
560 0.00 0.00 0.00
561 0.00 0.00 0.00
564 0.00 0.00 0.00
565 0.00 0.00 0.00
566 0.00 0.00 0.00
569 0.00 0.00 0.00
570 0.00 0.00 0.00
571 0.00 0.00 0.00
575 0.00 0.00 0.00
576 0.00 0.00 0.00
579 0.00 0.00 0.00
580 0.00 0.00 0.00
581 0.00 0.00 0.00
584 0.00 0.00 0.00
585 0.00 0.00 0.00
586 0.00 0.00 0.00
589 0.00 0.00 0.00
590 0.00 0.00 0.00
591 0.00 0.00 0.00
595 0.00 0.00 0.00
596 0.00 0.00 0.00
600 0.00 0.00 0.00
601 0.00 0.00 0.00
605 0.00 0.00 0.00
606 0.00 0.00 0.00
610 0.00 0.00 0.00
615 0.00 0.00 0.00
616 0.00 0.00 0.00
625 0.00 0.00 0.00
636 0.00 0.00 0.00
647 0.00 0.00 0.00
652 0.00 0.00 0.00
668 0.00 0.00 0.00
677 0.00 0.00 0.00
682 0.00 0.00 0.00
687 0.00 0.00 0.00
692 0.00 0.00 0.00
693 0.00 0.00 0.00
697 0.00 0.00 0.00
698 0.00 0.00 0.00
702 0.00 0.00 0.00
718 0.00 0.00 0.00
723 0.00 0.00 0.00
732 0.00 0.00 0.00
733 0.00 0.00 0.00
737 0.00 0.00 0.00
738 0.00 0.00 0.00
754 0.00 0.00 0.00
774 0.00 0.00 0.00
779 0.00 0.00 0.00
789 0.00 0.00 0.00
795 0.00 0.00 0.00
800 0.00 0.00 0.00
805 0.00 0.00 0.00
810 0.00 0.00 0.00
820 0.00 0.00 0.00
825 0.00 0.00 0.00
830 0.00 0.00 0.00
835 0.00 0.00 0.00
841 0.00 0.00 0.00
851 0.00 0.00 0.00
856 0.00 0.00 0.00
881 0.00 0.00 0.00
897 0.00 0.00 0.00
902 0.00 0.00 0.00
907 0.00 0.00 0.00
912 0.00 0.00 0.00
917 0.00 0.00 0.00
922 0.00 0.00 0.00
927 0.00 0.00 0.00
933 0.00 0.00 0.00
943 0.00 0.00 0.00
948 0.00 0.00 0.00
979 0.00 0.00 0.00
989 0.00 0.00 0.00
994 0.00 0.00 0.00
1009 0.00 0.00 0.00
1029 0.00 0.00 0.00
1049 0.00 0.00 0.00
1054 0.00 0.00 0.00
1075 0.00 0.00 0.00
1080 0.00 0.00 0.00
1088 0.00 0.00 0.00
1110 0.00 0.00 0.00
