#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 88.13 57.04 119.23
6 138.69 121.56 155.82
10 147.53 128.67 166.39
11 172.51 150.88 194.14
15 178.47 157.05 199.88
16 188.90 171.99 205.81
17 202.72 187.71 217.73
20 210.41 195.25 225.57
21 217.63 202.16 233.10
22 232.73 220.04 245.43
26 239.48 225.66 253.30
27 254.04 240.33 267.75
31 257.72 243.92 271.52
32 275.32 263.22 287.42
36 278.80 266.86 290.74
37 293.36 279.42 307.30
41 296.69 281.66 311.73
42 302.23 287.80 316.66
43 310.08 299.03 321.13
46 314.09 301.74 326.44
47 318.08 304.73 331.43
48 327.10 316.86 337.34
51 331.94 320.02 343.86
53 338.56 324.39 352.73
56 341.44 326.16 356.72
57 345.22 329.19 361.25
58 354.60 341.42 367.78
61 357.40 342.75 372.05
62 359.92 345.15 374.69
63 367.40 354.16 380.64
66 369.11 356.13 382.09
67 371.20 357.94 384.46
68 377.44 362.47 392.41
72 379.72 364.45 394.99
73 387.72 372.33 403.11
77 389.45 373.77 405.13
78 393.37 377.62 409.12
79 398.40 383.46 413.34
82 401.38 384.69 418.07
83 404.02 386.76 421.28
84 409.32 393.43 425.21
87 411.71 395.66 427.76
88 413.96 397.71 430.21
89 420.16 404.92 435.40
92 421.93 406.74 437.12
93 424.00 408.90 439.10
94 429.31 416.27 442.34
97 431.23 418.35 444.11
98 432.74 419.84 445.64
99 434.96 421.02 448.90
102 437.73 424.43 451.03
103 440.09 427.07 453.11
104 442.95 429.57 456.32
107 444.32 430.25 458.39
108 445.98 432.14 459.82
109 452.32 440.59 464.05
112 453.24 441.07 465.41
113 454.62 442.51 466.73
114 461.00 450.16 471.84
117 461.79 450.73 472.85
118 463.26 452.34 474.18
119 470.17 460.57 479.78
122 470.78 461.05 480.51
123 471.53 462.15 480.91
124 474.07 466.30 481.85
125 479.24 469.41 489.07
128 480.98 471.20 490.76
129 481.94 471.71 492.17
130 485.92 475.28 496.56
133 486.50 475.82 497.18
134 488.00 477.42 498.58
135 492.00 480.56 503.44
138 493.46 482.06 504.86
139 494.72 483.23 506.21
140 497.68 486.04 509.32
143 498.81 487.19 510.43
144 499.98 488.51 511.45
145 504.37 492.82 515.93
148 505.99 494.40 517.58
149 507.36 495.43 519.29
150 509.48 496.70 522.26
153 511.54 498.99 524.09
154 513.00 500.47 525.53
155 515.24 502.20 528.28
158 515.81 502.62 529.00
159 516.80 503.43 530.17
160 521.84 507.83 535.85
163 522.45 508.36 536.54
164 523.86 509.60 538.12
165 528.72 513.86 543.58
168 529.68 514.56 544.80
169 530.76 515.28 546.24
170 535.15 519.45 550.85
173 535.90 520.08 551.73
174 537.19 521.21 553.16
175 542.12 525.81 558.43
178 543.11 526.57 559.65
179 544.76 527.87 561.65
180 550.96 532.99 568.93
184 552.84 534.26 571.42
185 559.56 538.58 580.54
186 563.98 542.07 585.88
189 564.71 543.08 586.34
190 566.46 545.00 587.92
191 569.44 547.62 591.26
194 571.93 549.76 594.10
195 574.00 551.53 596.47
196 576.60 553.61 599.59
199 577.74 554.42 601.06
200 579.54 555.88 603.20
201 584.48 560.45 608.51
204 585.75 561.18 610.32
205 587.16 562.24 612.08
206 592.20 567.26 617.14
209 593.39 567.83 618.95
210 594.74 568.75 620.73
211 597.96 571.68 624.24
214 599.04 572.07 626.01
215 599.94 572.75 627.13
216 604.40 577.26 631.54
219 605.05 577.58 632.52
220 606.34 578.36 634.32
221 610.61 581.62 639.60
224 611.49 581.97 641.00
225 612.41 582.61 642.22
226 615.17 585.41 644.94
230 616.48 586.49 646.47
231 621.28 591.18 651.38
235 622.52 592.32 652.72
236 627.00 596.88 657.12
240 628.04 597.84 658.24
241 633.32 601.81 664.83
245 634.95 603.54 666.35
246 637.18 606.13 668.23
247 639.89 609.10 670.69
250 640.36 609.44 671.28
251 641.52 610.37 672.67
252 644.56 613.82 675.30
255 645.35 614.14 676.56
256 646.16 614.76 677.56
257 649.24 617.97 680.51
260 649.90 618.26 681.54
261 650.92 618.93 682.91
262 653.64 621.71 685.57
265 654.44 622.02 686.86
266 655.22 622.71 687.73
267 658.88 627.00 690.76
270 659.48 627.29 691.67
271 660.38 628.04 692.72
