#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
17 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
22 0.00 0.00 0.00
26 0.00 0.00 0.00
27 0.00 0.00 0.00
31 0.00 0.00 0.00
32 0.00 0.00 0.00
36 0.00 0.00 0.00
37 0.00 0.00 0.00
41 0.00 0.00 0.00
42 0.00 0.00 0.00
43 0.00 0.00 0.00
46 0.00 0.00 0.00
47 0.00 0.00 0.00
48 0.00 0.00 0.00
51 0.00 0.00 0.00
53 0.00 0.00 0.00
56 0.00 0.00 0.00
57 0.00 0.00 0.00
58 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
63 0.00 0.00 0.00
66 0.00 0.00 0.00
67 0.00 0.00 0.00
68 0.00 0.00 0.00
72 0.00 0.00 0.00
73 0.00 0.00 0.00
77 0.00 0.00 0.00
78 0.00 0.00 0.00
79 0.00 0.00 0.00
82 0.00 0.00 0.00
83 0.00 0.00 0.00
84 0.00 0.00 0.00
87 0.00 0.00 0.00
88 0.00 0.00 0.00
89 0.00 0.00 0.00
92 0.00 0.00 0.00
93 0.00 0.00 0.00
94 0.00 0.00 0.00
97 0.00 0.00 0.00
98 0.00 0.00 0.00
99 0.00 0.00 0.00
102 0.00 0.00 0.00
103 0.00 0.00 0.00
104 0.00 0.00 0.00
107 0.00 0.00 0.00
108 0.00 0.00 0.00
109 0.00 0.00 0.00
112 0.00 0.00 0.00
113 0.00 0.00 0.00
114 0.00 0.00 0.00
117 0.00 0.00 0.00
118 0.00 0.00 0.00
119 0.00 0.00 0.00
122 0.00 0.00 0.00
123 0.00 0.00 0.00
124 0.00 0.00 0.00
125 0.00 0.00 0.00
128 0.00 0.00 0.00
129 0.00 0.00 0.00
130 0.00 0.00 0.00
133 0.00 0.00 0.00
134 0.00 0.00 0.00
135 0.00 0.00 0.00
138 0.00 0.00 0.00
139 0.00 0.00 0.00
140 0.00 0.00 0.00
143 0.00 0.00 0.00
144 0.00 0.00 0.00
145 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
150 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
155 0.00 0.00 0.00
158 0.00 0.00 0.00
159 0.00 0.00 0.00
160 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
165 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
170 0.00 0.00 0.00
173 0.00 0.00 0.00
174 0.00 0.00 0.00
175 0.00 0.00 0.00
178 0.00 0.00 0.00
179 0.00 0.00 0.00
180 0.00 0.00 0.00
184 0.00 0.00 0.00
185 0.00 0.00 0.00
186 0.00 0.00 0.00
189 0.00 0.00 0.00
190 0.00 0.00 0.00
191 0.00 0.00 0.00
194 0.00 0.00 0.00
195 0.00 0.00 0.00
196 0.00 0.00 0.00
199 0.00 0.00 0.00
200 0.00 0.00 0.00
201 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
206 0.00 0.00 0.00
209 0.00 0.00 0.00
210 0.00 0.00 0.00
211 0.00 0.00 0.00
214 0.00 0.00 0.00
215 0.00 0.00 0.00
216 0.00 0.00 0.00
219 0.00 0.00 0.00
220 0.00 0.00 0.00
221 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
226 0.00 0.00 0.00
230 0.00 0.00 0.00
231 0.00 0.00 0.00
235 0.00 0.00 0.00
236 0.00 0.00 0.00
240 0.00 0.00 0.00
241 0.00 0.00 0.00
245 0.00 0.00 0.00
246 0.00 0.00 0.00
247 0.00 0.00 0.00
250 0.00 0.00 0.00
251 0.00 0.00 0.00
252 0.00 0.00 0.00
255 0.00 0.00 0.00
256 0.00 0.00 0.00
257 0.00 0.00 0.00
260 0.00 0.00 0.00
261 0.00 0.00 0.00
262 0.00 0.00 0.00
265 0.00 0.00 0.00
266 0.00 0.00 0.00
267 0.00 0.00 0.00
270 0.00 0.00 0.00
271 0.00 0.00 0.00
272 0.00 0.00 0.00
275 0.00 0.00 0.00
276 0.00 0.00 0.00
277 0.00 0.00 0.00
280 0.00 0.00 0.00
281 0.00 0.00 0.00
282 0.00 0.00 0.00
283 0.00 0.00 0.00
286 0.00 0.00 0.00
287 0.00 0.00 0.00
288 0.00 0.00 0.00
291 0.00 0.00 0.00
292 0.00 0.00 0.00
296 0.00 0.00 0.00
297 0.00 0.00 0.00
298 0.00 0.00 0.00
301 0.00 0.00 0.00
302 0.00 0.00 0.00
303 0.00 0.00 0.00
304 0.00 0.00 0.00
306 0.00 0.00 0.00
307 0.00 0.00 0.00
308 0.00 0.00 0.00
309 0.00 0.00 0.00
311 0.00 0.00 0.00
312 0.00 0.00 0.00
313 0.00 0.00 0.00
314 0.00 0.00 0.00
316 0.00 0.00 0.00
317 0.00 0.00 0.00
318 0.00 0.00 0.00
319 0.00 0.00 0.00
321 0.00 0.00 0.00
322 0.00 0.00 0.00
323 0.00 0.00 0.00
324 0.00 0.00 0.00
326 0.00 0.00 0.00
327 0.00 0.00 0.00
328 0.00 0.00 0.00
329 0.00 0.00 0.00
332 0.00 0.00 0.00
333 0.00 0.00 0.00
334 0.00 0.00 0.00
337 0.00 0.00 0.00
338 0.00 0.00 0.00
339 0.00 0.00 0.00
342 0.00 0.00 0.00
343 0.00 0.00 0.00
344 0.00 0.00 0.00
345 0.00 0.00 0.00
347 0.00 0.00 0.00
348 0.00 0.00 0.00
350 0.00 0.00 0.00
352 0.00 0.00 0.00
353 0.00 0.00 0.00
354 0.00 0.00 0.00
355 0.00 0.00 0.00
357 0.00 0.00 0.00
358 0.00 0.00 0.00
359 0.00 0.00 0.00
360 0.00 0.00 0.00
363 0.00 0.00 0.00
365 0.00 0.00 0.00
368 0.00 0.00 0.00
369 0.00 0.00 0.00
370 0.00 0.00 0.00
373 0.00 0.00 0.00
374 0.00 0.00 0.00
375 0.00 0.00 0.00
378 0.00 0.00 0.00
379 0.00 0.00 0.00
380 0.00 0.00 0.00
383 0.00 0.00 0.00
384 0.00 0.00 0.00
385 0.00 0.00 0.00
386 0.00 0.00 0.00
389 0.00 0.00 0.00
390 0.00 0.00 0.00
391 0.00 0.00 0.00
394 0.00 0.00 0.00
395 0.00 0.00 0.00
396 0.00 0.00 0.00
399 0.00 0.00 0.00
400 0.00 0.00 0.00
401 0.00 0.00 0.00
404 0.00 0.00 0.00
405 0.00 0.00 0.00
406 0.00 0.00 0.00
409 0.00 0.00 0.00
410 0.00 0.00 0.00
411 0.00 0.00 0.00
414 0.00 0.00 0.00
415 0.00 0.00 0.00
416 0.00 0.00 0.00
419 0.00 0.00 0.00
420 0.00 0.00 0.00
421 0.00 0.00 0.00
424 0.00 0.00 0.00
425 0.00 0.00 0.00
426 0.00 0.00 0.00
429 0.00 0.00 0.00
430 0.00 0.00 0.00
431 0.00 0.00 0.00
435 0.00 0.00 0.00
436 0.00 0.00 0.00
440 0.00 0.00 0.00
441 0.00 0.00 0.00
442 0.00 0.00 0.00
445 0.00 0.00 0.00
446 0.00 0.00 0.00
447 0.00 0.00 0.00
450 0.00 0.00 0.00
451 0.00 0.00 0.00
452 0.00 0.00 0.00
455 0.00 0.00 0.00
456 0.00 0.00 0.00
457 0.00 0.00 0.00
460 0.00 0.00 0.00
461 0.00 0.00 0.00
462 0.00 0.00 0.00
465 0.00 0.00 0.00
466 0.00 0.00 0.00
467 0.00 0.00 0.00
470 0.00 0.00 0.00
471 0.00 0.00 0.00
472 0.00 0.00 0.00
475 0.00 0.00 0.00
476 0.00 0.00 0.00
477 0.00 0.00 0.00
481 0.00 0.00 0.00
482 0.00 0.00 0.00
486 0.00 0.00 0.00
487 0.00 0.00 0.00
491 0.00 0.00 0.00
492 0.00 0.00 0.00
496 0.00 0.00 0.00
497 0.00 0.00 0.00
498 0.00 0.00 0.00
501 0.00 0.00 0.00
