#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 41.27 26.79 55.75
6 54.04 49.96 58.12
10 55.96 52.26 59.66
11 62.39 59.96 64.83
15 63.47 60.65 66.28
16 67.01 63.76 70.26
20 67.59 64.39 70.78
21 69.57 66.50 72.65
25 70.27 67.16 73.37
26 72.58 69.18 75.98
31 76.59 72.84 80.34
35 77.20 73.19 81.21
36 79.92 74.99 84.85
40 80.44 75.63 85.25
41 82.52 78.12 86.92
45 82.73 78.33 87.14
46 83.59 79.12 88.07
47 85.19 80.29 90.09
51 86.20 81.62 90.78
52 88.17 84.02 92.33
56 88.50 84.32 92.68
57 89.79 85.57 94.01
61 90.12 85.87 94.36
66 91.10 86.49 95.71
67 92.82 87.96 97.68
71 93.14 88.32 97.96
72 94.18 89.23 99.12
76 94.34 89.43 99.25
77 94.84 89.94 99.74
81 95.12 90.29 99.95
82 96.24 91.64 100.84
86 96.60 91.98 101.22
87 97.90 93.15 102.65
92 98.80 93.92 103.68
97 100.03 95.07 105.00
102 101.10 96.53 105.67
107 102.17 98.24 106.10
112 102.90 99.21 106.59
117 103.31 99.75 106.87
122 103.72 100.08 107.37
123 104.28 100.41 108.15
127 104.48 100.52 108.44
128 105.28 101.08 109.48
132 105.48 101.22 109.74
133 106.28 102.46 110.10
137 106.52 102.77 110.27
138 107.33 103.31 111.35
142 107.41 103.38 111.45
143 107.76 103.64 111.88
147 107.96 103.70 112.22
148 109.08 104.41 113.75
152 109.42 104.80 114.04
153 110.46 105.89 115.03
157 110.60 106.01 115.19
158 111.19 106.53 115.84
163 111.75 107.06 116.45
168 111.90 107.31 116.49
169 112.43 108.14 116.72
173 112.91 108.68 117.15
178 113.58 109.58 117.57
183 114.31 110.38 118.25
184 114.75 110.77 118.74
189 114.83 110.80 118.86
193 114.96 110.92 118.99
194 115.29 111.47 119.10
198 115.33 111.52 119.14
199 115.43 111.61 119.24
204 115.63 112.06 119.20
205 115.64 112.08 119.21
208 116.12 112.36 119.88
209 116.30 112.37 120.24
215 116.37 112.46 120.29
218 116.47 112.48 120.47
220 116.63 112.49 120.76
223 116.71 112.49 120.92
225 116.96 112.69 121.23
228 117.12 112.81 121.43
230 117.24 112.79 121.69
233 117.24 112.79 121.69
234 117.24 112.79 121.69
235 117.31 112.92 121.69
238 117.31 112.93 121.69
239 117.32 112.96 121.69
240 117.54 113.11 121.98
243 117.57 113.12 122.02
244 117.64 113.14 122.14
245 117.96 113.13 122.79
248 117.98 113.13 122.83
249 118.04 113.13 122.95
250 118.36 113.12 123.60
254 118.69 113.08 124.31
259 119.15 113.41 124.89
264 119.37 113.64 125.10
265 119.50 113.66 125.34
269 119.52 113.67 125.38
270 119.84 113.94 125.74
274 119.90 113.97 125.83
279 120.20 114.09 126.31
280 120.29 114.08 126.49
284 120.31 114.08 126.54
285 120.31 114.08 126.55
286 120.32 114.08 126.56
289 120.32 114.08 126.57
290 120.73 114.51 126.96
291 120.87 114.56 127.17
294 120.88 114.57 127.18
295 120.90 114.58 127.22
296 121.14 114.75 127.53
300 121.24 114.80 127.68
301 121.59 114.80 128.37
305 121.59 114.80 128.38
306 121.76 115.13 128.38
310 121.80 115.21 128.39
315 122.20 115.89 128.51
316 122.36 116.15 128.57
320 122.40 116.21 128.59
321 122.40 116.21 128.59
325 122.44 116.22 128.66
326 123.08 116.93 129.23
330 123.20 117.09 129.31
331 123.20 117.09 129.31
335 123.20 117.09 129.31
340 123.20 117.09 129.31
345 123.60 117.31 129.89
346 123.67 117.39 129.94
351 123.73 117.52 129.94
355 124.03 117.78 130.28
357 124.07 117.84 130.29
360 124.09 117.89 130.30
361 124.32 118.06 130.59
362 124.36 118.10 130.61
365 124.37 118.11 130.62
366 124.56 118.43 130.69
367 124.59 118.47 130.71
370 124.60 118.49 130.71
371 124.60 118.49 130.71
372 124.75 118.83 130.67
375 124.80 118.95 130.65
377 125.47 120.13 130.80
381 125.76 120.55 130.97
382 126.56 121.77 131.35
386 126.68 121.91 131.45
387 127.14 122.40 131.88
391 127.30 122.48 132.13
393 127.63 122.61 132.64
396 127.74 122.67 132.81
397 127.95 122.96 132.93
398 128.08 123.11 133.06
401 128.33 123.27 133.40
403 128.91 123.65 134.18
406 129.31 123.87 134.75
407 129.97 124.90 135.04
411 130.00 124.96 135.04
412 130.51 125.96 135.06
413 130.77 126.47 135.07
416 130.94 126.81 135.07
421 131.16 127.22 135.10
423 131.32 127.52 135.12
426 131.62 127.77 135.47
428 131.99 128.41 135.57
431 132.16 128.66 135.66
433 132.33 128.82 135.83
436 132.44 128.92 135.96
437 132.62 129.00 136.24
438 132.82 129.39 136.25
442 132.84 129.43 136.25
443 132.92 129.42 136.42
447 133.09 129.34 136.83
448 133.45 129.89 137.02
449 133.55 130.07 137.02
453 133.67 130.31 137.03
456 133.76 130.40 137.12
458 134.01 130.68 137.34
459 134.13 130.89 137.38
461 134.16 130.92 137.40
462 134.34 131.14 137.55
463 134.58 131.40 137.75
464 134.59 131.42 137.76
468 134.59 131.42 137.76
472 134.64 131.47 137.81
473 134.94 131.76 138.13
477 135.11 131.73 138.48
482 135.15 131.74 138.55
484 135.20 131.72 138.68
487 135.52 131.55 139.49
489 136.00 131.26 140.74
492 136.08 131.21 140.95
494 136.20 131.14 141.26
495 136.84 130.72 142.96
499 137.00 130.61 143.39
500 137.16 130.50 143.82
504 137.24 130.54 143.94
505 137.58 130.70 144.46
510 137.59 130.69 144.48
514 137.64 130.75 144.53
515 137.83 131.00 144.66
518 137.84 131.00 144.68
519 138.00 130.88 145.12
523 138.12 130.79 145.45
524 138.60 130.44 146.76
529 138.80 130.29 147.31
530 138.83 130.27 147.39
533 139.33 131.01 147.64
534 140.02 131.69 148.35
538 140.30 131.78 148.83
539 140.51 132.05 148.96
543 140.55 132.10 148.99
544 141.03 132.70 149.36
546 141.09 132.77 149.41
548 141.75 133.72 149.79
549 143.06 135.20 150.92
551 143.29 135.47 151.12
553 143.47 135.66 151.29
554 143.96 136.13 151.79
555 144.38 136.72 152.04
556 144.58 136.96 152.20
558 144.95 137.37 152.54
561 145.32 137.70 152.93
564 145.52 137.87 153.17
565 146.18 138.72 153.65
566 146.32 138.84 153.80
568 146.40 138.92 153.88
570 146.60 139.10 154.10
571 146.99 139.43 154.55
573 147.06 139.49 154.63
575 147.25 139.64 154.86
576 147.69 139.91 155.46
578 147.82 139.98 155.67
579 148.45 140.22 156.68
581 148.88 140.48 157.28
584 149.11 140.61 157.61
589 149.15 140.63 157.67
590 149.38 140.81 157.96
595 149.49 140.99 157.98
600 149.59 141.18 158.00
604 149.64 141.25 158.02
605 149.80 141.53 158.06
606 149.83 141.58 158.07
609 149.84 141.60 158.08
610 150.00 141.87 158.13
611 150.03 141.92 158.14
614 150.03 141.92 158.14
616 150.03 141.92 158.14
617 150.22 141.89 158.54
619 150.39 141.92 158.87
626 150.54 141.91 159.17
629 150.54 141.92 159.17
636 150.55 141.92 159.18
637 150.79 141.93 159.65
641 150.99 142.00 159.97
642 151.69 142.26 161.12
645 151.88 142.31 161.45
646 152.24 142.32 162.16
650 152.76 142.23 163.28
651 153.49 143.65 163.32
660 153.55 143.78 163.33
661 153.89 144.26 163.52
662 153.96 144.36 163.57
665 154.06 144.42 163.70
666 154.45 145.11 163.78
667 154.66 145.43 163.89
670 154.88 145.59 164.17
672 155.17 146.02 164.32
676 155.34 146.22 164.46
677 156.36 147.66 165.05
681 156.61 147.99 165.23
682 156.94 148.21 165.68
686 157.34 148.15 166.54
688 157.38 148.18 166.57
690 157.52 148.28 166.76
691 158.27 148.98 167.56
692 158.73 149.24 168.21
