#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
45 0.00 0.00 0.00
46 0.00 0.00 0.00
47 0.00 0.00 0.00
51 0.00 0.00 0.00
52 0.00 0.00 0.00
56 0.00 0.00 0.00
57 0.00 0.00 0.00
61 0.00 0.00 0.00
66 0.00 0.00 0.00
67 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
92 0.00 0.00 0.00
97 0.00 0.00 0.00
102 0.00 0.00 0.00
107 0.00 0.00 0.00
112 0.00 0.00 0.00
117 0.00 0.00 0.00
122 0.00 0.00 0.00
123 0.00 0.00 0.00
127 0.00 0.00 0.00
128 0.00 0.00 0.00
132 0.00 0.00 0.00
133 0.00 0.00 0.00
137 0.00 0.00 0.00
138 0.00 0.00 0.00
142 0.00 0.00 0.00
143 0.00 0.00 0.00
147 0.00 0.00 0.00
148 0.00 0.00 0.00
152 0.00 0.00 0.00
153 0.00 0.00 0.00
157 0.00 0.00 0.00
158 0.00 0.00 0.00
163 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
173 0.00 0.00 0.00
178 0.00 0.00 0.00
183 0.00 0.00 0.00
184 0.00 0.00 0.00
189 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
198 0.00 0.00 0.00
199 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
208 0.00 0.00 0.00
209 0.00 0.00 0.00
215 0.00 0.00 0.00
218 0.00 0.00 0.00
220 0.00 0.00 0.00
223 0.00 0.00 0.00
225 0.00 0.00 0.00
228 0.00 0.00 0.00
230 0.00 0.00 0.00
233 0.00 0.00 0.00
234 0.00 0.00 0.00
235 0.00 0.00 0.00
238 0.00 0.00 0.00
239 0.00 0.00 0.00
240 0.00 0.00 0.00
243 0.00 0.00 0.00
244 0.00 0.00 0.00
245 0.00 0.00 0.00
248 0.00 0.00 0.00
249 0.00 0.00 0.00
250 0.00 0.00 0.00
254 0.00 0.00 0.00
259 0.00 0.00 0.00
264 0.00 0.00 0.00
265 0.00 0.00 0.00
269 0.00 0.00 0.00
270 0.00 0.00 0.00
274 0.00 0.00 0.00
279 0.00 0.00 0.00
280 0.00 0.00 0.00
284 0.00 0.00 0.00
285 0.00 0.00 0.00
286 0.00 0.00 0.00
289 0.00 0.00 0.00
290 0.00 0.00 0.00
291 0.00 0.00 0.00
294 0.00 0.00 0.00
295 0.00 0.00 0.00
296 0.00 0.00 0.00
300 0.00 0.00 0.00
301 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
310 0.00 0.00 0.00
315 0.00 0.00 0.00
316 0.00 0.00 0.00
320 0.00 0.00 0.00
321 0.00 0.00 0.00
325 0.00 0.00 0.00
326 0.00 0.00 0.00
330 0.00 0.00 0.00
331 0.00 0.00 0.00
335 0.00 0.00 0.00
340 0.00 0.00 0.00
345 0.00 0.00 0.00
346 0.00 0.00 0.00
351 0.00 0.00 0.00
355 0.00 0.00 0.00
357 0.00 0.00 0.00
360 0.00 0.00 0.00
361 0.00 0.00 0.00
362 0.00 0.00 0.00
365 0.00 0.00 0.00
366 0.00 0.00 0.00
367 0.00 0.00 0.00
370 0.00 0.00 0.00
371 0.00 0.00 0.00
372 0.00 0.00 0.00
375 0.00 0.00 0.00
377 0.00 0.00 0.00
381 0.00 0.00 0.00
382 0.00 0.00 0.00
386 0.00 0.00 0.00
387 0.00 0.00 0.00
391 0.00 0.00 0.00
393 0.00 0.00 0.00
396 0.00 0.00 0.00
397 0.00 0.00 0.00
398 0.00 0.00 0.00
401 0.00 0.00 0.00
403 0.00 0.00 0.00
406 0.00 0.00 0.00
407 0.00 0.00 0.00
411 0.00 0.00 0.00
412 0.00 0.00 0.00
413 0.00 0.00 0.00
416 0.00 0.00 0.00
421 0.00 0.00 0.00
423 0.00 0.00 0.00
426 0.00 0.00 0.00
428 0.00 0.00 0.00
431 0.00 0.00 0.00
433 0.00 0.00 0.00
436 0.00 0.00 0.00
437 0.00 0.00 0.00
438 0.00 0.00 0.00
442 0.00 0.00 0.00
443 0.00 0.00 0.00
447 0.00 0.00 0.00
448 0.00 0.00 0.00
449 0.00 0.00 0.00
453 0.00 0.00 0.00
456 0.00 0.00 0.00
458 0.00 0.00 0.00
459 0.00 0.00 0.00
461 0.00 0.00 0.00
462 0.00 0.00 0.00
463 0.00 0.00 0.00
464 0.00 0.00 0.00
468 0.00 0.00 0.00
472 0.00 0.00 0.00
473 0.00 0.00 0.00
477 0.00 0.00 0.00
482 0.00 0.00 0.00
484 0.00 0.00 0.00
487 0.00 0.00 0.00
489 0.00 0.00 0.00
492 0.00 0.00 0.00
494 0.00 0.00 0.00
495 0.00 0.00 0.00
499 0.00 0.00 0.00
500 0.00 0.00 0.00
504 0.00 0.00 0.00
505 0.00 0.00 0.00
510 0.00 0.00 0.00
514 0.00 0.00 0.00
515 0.00 0.00 0.00
518 0.00 0.00 0.00
519 0.00 0.00 0.00
523 0.00 0.00 0.00
524 0.00 0.00 0.00
529 0.00 0.00 0.00
530 0.00 0.00 0.00
533 0.00 0.00 0.00
534 0.00 0.00 0.00
538 0.00 0.00 0.00
539 0.00 0.00 0.00
543 0.00 0.00 0.00
544 0.00 0.00 0.00
546 0.00 0.00 0.00
548 0.00 0.00 0.00
549 0.00 0.00 0.00
551 0.00 0.00 0.00
553 0.00 0.00 0.00
554 0.00 0.00 0.00
555 0.00 0.00 0.00
556 0.00 0.00 0.00
558 0.00 0.00 0.00
561 0.00 0.00 0.00
564 0.00 0.00 0.00
565 0.00 0.00 0.00
566 0.00 0.00 0.00
568 0.00 0.00 0.00
570 0.00 0.00 0.00
571 0.00 0.00 0.00
573 0.00 0.00 0.00
575 0.00 0.00 0.00
576 0.00 0.00 0.00
578 0.00 0.00 0.00
579 0.00 0.00 0.00
581 0.00 0.00 0.00
584 0.00 0.00 0.00
589 0.00 0.00 0.00
590 0.00 0.00 0.00
595 0.00 0.00 0.00
600 0.00 0.00 0.00
604 0.00 0.00 0.00
605 0.00 0.00 0.00
606 0.00 0.00 0.00
609 0.00 0.00 0.00
610 0.00 0.00 0.00
611 0.00 0.00 0.00
614 0.00 0.00 0.00
616 0.00 0.00 0.00
617 0.00 0.00 0.00
619 0.00 0.00 0.00
626 0.00 0.00 0.00
629 0.00 0.00 0.00
636 0.00 0.00 0.00
637 0.00 0.00 0.00
641 0.00 0.00 0.00
642 0.00 0.00 0.00
645 0.00 0.00 0.00
646 0.00 0.00 0.00
650 0.00 0.00 0.00
651 0.00 0.00 0.00
660 0.00 0.00 0.00
661 0.00 0.00 0.00
662 0.00 0.00 0.00
665 0.00 0.00 0.00
666 0.00 0.00 0.00
667 0.00 0.00 0.00
670 0.00 0.00 0.00
672 0.00 0.00 0.00
676 0.00 0.00 0.00
677 0.00 0.00 0.00
681 0.00 0.00 0.00
682 0.00 0.00 0.00
686 0.00 0.00 0.00
688 0.00 0.00 0.00
690 0.00 0.00 0.00
691 0.00 0.00 0.00
692 0.00 0.00 0.00
696 0.00 0.00 0.00
697 0.00 0.00 0.00
701 0.00 0.00 0.00
702 0.00 0.00 0.00
708 0.00 0.00 0.00
713 0.00 0.00 0.00
716 0.00 0.00 0.00
718 0.00 0.00 0.00
721 0.00 0.00 0.00
727 0.00 0.00 0.00
728 0.00 0.00 0.00
736 0.00 0.00 0.00
742 0.00 0.00 0.00
746 0.00 0.00 0.00
757 0.00 0.00 0.00
759 0.00 0.00 0.00
