#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 31.00 30.22 31.78
10 35.13 32.33 37.94
11 38.56 35.79 41.33
15 39.40 36.55 42.25
16 42.95 39.44 46.47
20 43.55 39.99 47.10
21 46.24 43.25 49.23
25 46.72 43.80 49.64
26 47.84 45.13 50.55
30 48.30 45.72 50.88
31 50.32 48.28 52.36
35 50.56 48.47 52.65
36 51.37 49.30 53.43
41 52.60 50.97 54.23
46 54.57 52.59 56.54
47 55.96 54.07 57.85
51 56.14 54.30 57.98
52 57.20 55.76 58.64
56 57.50 56.09 58.91
57 58.70 57.23 60.17
61 58.84 57.39 60.29
62 59.64 58.29 60.99
66 60.16 58.58 61.74
67 61.78 60.47 63.09
71 62.11 60.82 63.39
72 63.36 62.51 64.21
76 63.72 62.81 64.63
77 64.90 63.68 66.12
81 65.07 63.86 66.27
82 65.73 64.44 67.01
86 65.88 64.56 67.20
87 66.44 64.85 68.03
91 66.62 64.93 68.31
92 67.76 65.60 69.92
96 67.84 65.63 70.05
97 68.00 65.65 70.35
102 69.67 68.30 71.04
103 71.04 69.46 72.62
107 71.34 69.75 72.93
108 73.29 71.60 74.97
112 73.85 72.04 75.67
117 74.43 72.79 76.08
118 74.87 73.34 76.40
122 75.05 73.54 76.56
123 76.03 74.51 77.56
127 76.32 74.75 77.89
132 77.16 75.68 78.63
133 77.57 76.19 78.94
137 77.64 76.32 78.97
138 77.91 76.74 79.08
142 78.39 77.07 79.72
143 78.90 77.35 80.45
147 78.94 77.34 80.55
148 79.02 77.31 80.73
157 79.13 77.45 80.81
158 79.71 77.93 81.48
162 79.84 78.00 81.67
163 80.39 78.36 82.42
168 81.13 79.18 83.08
178 81.37 79.45 83.29
183 82.12 80.42 83.82
188 82.94 81.14 84.73
193 83.57 81.78 85.37
194 83.59 81.79 85.39
198 83.59 81.79 85.39
199 84.07 82.93 85.21
203 84.28 83.15 85.41
204 84.92 83.45 86.39
208 85.48 84.02 86.94
209 85.78 84.14 87.42
214 85.84 84.16 87.53
218 87.13 84.06 90.20
219 87.72 84.89 90.55
223 87.87 85.02 90.71
224 88.52 85.77 91.27
228 89.06 86.24 91.89
229 90.39 86.18 94.60
233 90.56 86.21 94.90
234 91.37 86.55 96.18
239 91.70 86.67 96.73
244 91.86 86.85 96.86
245 92.34 87.26 97.42
250 92.58 87.20 97.96
259 92.83 87.07 98.59
264 93.09 87.32 98.86
265 93.42 87.17 99.68
266 93.75 87.34 100.16
270 93.95 87.50 100.41
275 94.21 87.44 100.98
276 94.44 87.40 101.48
280 94.52 87.42 101.63
281 94.87 87.45 102.29
290 95.05 87.58 102.53
294 95.40 88.03 102.77
295 96.27 89.05 103.50
300 96.54 89.39 103.69
301 96.97 89.98 103.96
305 97.01 90.06 103.97
306 97.19 90.37 104.01
310 97.19 90.37 104.01
311 97.35 90.62 104.08
315 97.40 90.69 104.11
316 98.38 91.99 104.77
321 98.40 92.01 104.78
326 98.40 92.02 104.78
330 98.48 92.18 104.78
331 98.80 92.79 104.81
332 98.80 92.79 104.81
336 98.85 92.85 104.84
342 99.65 94.22 105.08
346 99.69 94.28 105.10
347 99.85 94.51 105.19
351 99.87 94.54 105.20
360 99.91 94.51 105.31
366 100.05 94.58 105.52
367 101.09 95.54 106.65
370 101.18 95.62 106.73
371 101.71 96.24 107.18
376 101.96 96.16 107.76
378 102.32 95.90 108.75
381 102.59 95.76 109.41
382 102.87 95.76 109.98
383 103.46 96.55 110.36
388 103.71 96.89 110.53
397 103.75 96.94 110.57
398 104.07 97.08 111.05
417 104.17 97.19 111.14
422 104.99 98.10 111.89
427 105.15 98.03 112.27
432 105.49 97.82 113.16
434 105.67 98.04 113.31
437 107.08 99.48 114.67
442 107.38 99.90 114.86
443 107.39 99.91 114.88
447 107.58 100.21 114.95
452 107.60 100.23 114.96
453 107.60 100.23 114.97
472 107.61 100.23 114.99
475 108.93 101.73 116.14
480 110.17 102.54 117.79
482 111.04 103.12 118.96
485 112.01 103.75 120.27
487 112.99 104.27 121.70
488 113.32 104.38 122.26
489 113.86 104.51 123.21
490 114.62 105.05 124.18
492 114.79 105.13 124.45
494 115.43 105.25 125.61
495 115.89 105.40 126.38
497 116.09 105.44 126.74
499 116.23 105.48 126.99
500 117.04 106.04 128.04
502 117.42 106.04 128.80
504 117.56 106.04 129.08
505 117.80 106.13 129.47
507 118.06 106.23 129.90
510 118.30 106.29 130.32
512 118.74 106.40 131.09
517 118.97 106.41 131.54
520 119.07 106.42 131.71
524 119.32 106.52 132.12
525 119.56 106.59 132.52
528 119.59 106.59 132.59
530 119.71 106.58 132.84
531 119.80 106.63 132.96
533 120.07 106.71 133.42
536 120.39 106.75 134.02
538 120.75 106.78 134.72
541 120.91 106.79 135.02
543 121.13 106.82 135.44
555 121.23 106.82 135.64
560 121.74 107.14 136.33
561 122.02 107.22 136.83
563 122.05 107.22 136.88
566 122.13 107.21 137.04
568 122.49 107.27 137.70
571 122.65 107.31 137.98
581 122.65 107.31 137.98
585 122.65 107.31 137.98
587 122.70 107.41 137.99
589 122.82 107.44 138.20
592 122.95 107.46 138.43
595 123.14 107.50 138.77
602 123.36 107.69 139.04
606 123.40 107.69 139.12
607 123.58 107.72 139.44
616 123.60 107.72 139.47
621 123.60 107.72 139.48
626 124.20 108.16 140.24
631 124.40 108.29 140.51
636 124.60 108.41 140.79
641 124.80 108.53 141.07
646 125.00 108.64 141.36
651 125.40 108.84 141.96
652 125.56 108.91 142.21
655 125.57 108.91 142.23
656 125.76 108.95 142.57
657 125.95 109.02 142.88
660 125.97 109.03 142.91
661 126.16 109.06 143.26
665 126.23 109.08 143.38
668 126.27 109.10 143.45
670 126.34 109.12 143.55
672 126.52 109.16 143.88
675 126.74 109.23 144.25
680 126.96 109.25 144.66
682 127.00 109.27 144.73
683 127.32 109.39 145.25
685 127.36 109.40 145.32
687 127.56 109.43 145.69
692 127.78 109.50 146.05
695 127.80 109.50 146.10
723 127.88 109.51 146.25
728 128.17 109.58 146.75
733 128.19 109.59 146.79
739 128.21 109.59 146.83
742 128.23 109.59 146.86
745 128.40 109.61 147.18
747 128.65 109.63 147.66
767 128.65 109.63 147.67
775 128.82 109.64 147.99
781 128.93 109.67 148.19
786 129.16 110.11 148.21
789 129.20 110.12 148.28
791 129.20 110.12 148.28
794 129.20 110.12 148.28
796 129.20 110.12 148.28
799 129.20 110.12 148.28
813 129.20 110.12 148.28
818 129.20 110.12 148.28
822 129.20 110.12 148.28
831 129.20 110.12 148.28
832 129.20 110.12 148.28
833 129.20 110.12 148.28
838 129.40 110.13 148.67
843 129.60 110.13 149.07
849 130.40 110.09 150.71
852 130.57 110.08 151.06
857 130.59 110.08 151.10
862 130.69 110.29 151.10
864 130.87 110.65 151.10
867 130.99 110.89 151.09
869 131.00 110.89 151.11
872 131.14 110.87 151.41
877 131.22 111.00 151.45
878 131.74 111.98 151.49
879 131.82 112.10 151.54
882 131.98 112.12 151.84
883 132.19 112.42 151.96
888 132.29 112.61 151.98
889 132.45 112.81 152.10
893 132.49 112.85 152.13
903 132.93 113.63 152.24
908 133.59 114.74 152.44
913 135.80 118.26 153.33
919 137.00 119.86 154.14
923 137.08 119.96 154.20
924 137.58 120.80 154.37
929 137.99 121.27 154.71
934 138.20 121.51 154.89
939 139.00 122.24 155.76
940 139.11 122.35 155.87
944 139.13 122.37 155.89
949 139.17 122.40 155.93
951 139.19 122.42 155.95
954 139.54 122.41 156.67
