#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 25.80 25.14 26.46
10 28.17 27.04 29.30
11 31.60 31.14 32.06
15 32.04 31.54 32.54
16 32.69 32.10 33.27
20 32.89 32.34 33.44
21 33.88 33.05 34.71
25 34.16 33.26 35.06
26 35.44 34.39 36.49
30 35.64 34.44 36.84
31 35.80 34.51 37.09
35 35.84 34.59 37.09
36 36.00 34.89 37.11
41 36.20 35.18 37.22
46 36.80 36.14 37.46
47 36.96 36.21 37.71
51 37.00 36.22 37.78
52 37.00 36.22 37.78
56 37.00 36.22 37.78
57 37.24 36.48 38.00
61 37.34 36.63 38.05
62 37.90 37.17 38.63
66 38.00 37.22 38.78
67 38.00 37.22 38.78
71 38.00 37.22 38.78
72 38.16 37.19 39.13
76 38.20 37.18 39.22
77 38.20 37.18 39.22
81 38.20 37.18 39.22
82 38.20 37.18 39.22
86 38.20 37.18 39.22
87 38.20 37.18 39.22
91 38.20 37.18 39.22
92 38.20 37.18 39.22
96 38.20 37.18 39.22
97 38.20 37.18 39.22
102 38.23 37.24 39.23
103 38.40 37.51 39.29
107 38.40 37.51 39.29
108 38.40 37.51 39.29
112 38.40 37.51 39.29
117 38.40 37.51 39.29
118 38.40 37.51 39.29
122 38.40 37.51 39.29
123 38.40 37.51 39.29
127 38.40 37.51 39.29
132 38.40 37.51 39.30
133 38.42 37.54 39.31
137 38.43 37.55 39.32
138 38.46 37.59 39.34
142 38.62 37.74 39.50
143 38.80 37.94 39.66
147 38.88 38.08 39.68
148 39.20 38.54 39.86
157 39.20 38.54 39.86
158 39.20 38.54 39.86
162 39.24 38.59 39.89
163 39.40 38.70 40.10
168 39.40 38.70 40.10
178 39.40 38.70 40.10
183 39.40 38.70 40.10
188 39.40 38.70 40.10
193 39.40 38.70 40.10
194 39.40 38.70 40.10
198 39.44 38.71 40.17
199 39.60 38.71 40.49
203 39.60 38.71 40.49
204 39.60 38.71 40.49
208 39.60 38.71 40.49
209 39.60 38.71 40.49
214 39.60 38.71 40.49
218 39.60 38.71 40.49
219 39.60 38.71 40.49
223 39.60 38.71 40.49
224 39.76 38.91 40.61
228 39.80 38.94 40.66
229 39.80 38.94 40.66
233 39.80 38.94 40.66
234 39.80 38.94 40.66
239 39.80 38.94 40.66
244 39.80 38.94 40.66
245 39.80 38.94 40.66
250 39.80 38.94 40.66
259 39.80 38.94 40.66
264 39.80 38.94 40.66
265 39.80 38.94 40.66
266 39.80 38.94 40.66
270 39.80 38.94 40.66
275 39.80 38.94 40.66
276 39.80 38.94 40.66
280 39.80 38.94 40.66
281 39.80 38.94 40.66
290 39.80 38.94 40.66
294 39.80 38.94 40.66
295 39.80 38.94 40.66
300 39.80 38.94 40.66
301 39.80 38.94 40.66
305 39.80 38.94 40.66
306 39.80 38.94 40.66
310 39.80 38.94 40.66
311 39.80 38.94 40.66
315 39.80 38.94 40.66
316 39.80 38.94 40.66
321 39.80 38.94 40.66
326 39.80 38.94 40.66
330 39.80 38.94 40.66
331 39.80 38.94 40.66
332 39.80 38.94 40.66
336 39.80 38.94 40.66
342 39.80 38.94 40.66
346 39.80 38.94 40.66
347 39.80 38.94 40.66
351 39.80 38.94 40.66
360 39.80 38.94 40.66
366 39.80 38.94 40.66
367 39.80 38.94 40.66
370 39.80 38.94 40.66
371 39.80 38.94 40.66
376 39.80 38.94 40.66
378 39.80 38.94 40.66
381 39.80 38.94 40.66
382 39.80 38.94 40.66
383 39.80 38.94 40.66
388 39.80 38.94 40.66
397 39.80 38.94 40.66
398 39.80 38.94 40.66
417 39.80 38.94 40.66
422 39.80 38.94 40.66
427 39.80 38.94 40.66
432 39.80 38.94 40.66
434 39.80 38.94 40.66
437 39.80 38.94 40.66
442 39.80 38.94 40.66
443 39.80 38.94 40.66
447 39.80 38.94 40.66
452 39.80 38.94 40.66
453 39.80 38.94 40.66
472 39.80 38.94 40.66
475 39.80 38.94 40.66
480 39.80 38.94 40.66
482 39.80 38.94 40.66
485 39.80 38.94 40.66
487 39.80 38.94 40.66
488 39.80 38.94 40.66
489 39.80 38.94 40.66
490 39.80 38.94 40.66
492 39.80 38.94 40.66
494 39.80 38.94 40.66
495 39.80 38.94 40.66
497 39.80 38.94 40.66
499 39.80 38.94 40.66
500 39.80 38.94 40.66
502 39.80 38.94 40.66
504 39.80 38.94 40.66
505 39.80 38.94 40.66
507 39.80 38.94 40.66
510 39.80 38.94 40.66
512 39.80 38.94 40.66
517 39.80 38.94 40.66
520 39.80 38.94 40.66
524 39.80 38.94 40.66
525 39.80 38.94 40.66
528 39.80 38.94 40.66
530 39.80 38.94 40.66
531 39.80 38.94 40.66
533 39.80 38.94 40.66
536 39.80 38.94 40.66
538 39.80 38.94 40.66
541 39.80 38.94 40.66
543 39.80 38.94 40.66
555 39.80 38.94 40.66
560 39.80 38.94 40.66
561 39.80 38.94 40.66
563 39.80 38.94 40.66
566 39.80 38.94 40.66
568 39.80 38.94 40.66
571 39.80 38.94 40.66
581 39.80 38.94 40.66
585 39.80 38.94 40.66
587 39.80 38.94 40.66
589 39.80 38.94 40.66
592 39.80 38.94 40.66
595 39.80 38.94 40.66
602 39.80 38.94 40.66
606 39.80 38.94 40.66
607 39.80 38.94 40.66
616 39.80 38.94 40.66
621 39.80 38.94 40.66
626 39.80 38.94 40.66
631 39.80 38.94 40.66
636 39.80 38.94 40.66
641 39.80 38.94 40.66
646 39.80 38.94 40.66
651 39.80 38.94 40.66
652 39.80 38.94 40.66
655 39.80 38.94 40.66
656 39.80 38.94 40.66
657 39.80 38.94 40.66
660 39.80 38.94 40.66
661 39.80 38.94 40.66
665 39.80 38.94 40.66
668 39.80 38.94 40.66
670 39.80 38.94 40.66
672 39.80 38.94 40.66
675 39.80 38.94 40.66
680 39.80 38.94 40.66
682 39.80 38.94 40.66
683 39.80 38.94 40.66
685 39.80 38.94 40.66
687 39.80 38.94 40.66
692 39.80 38.94 40.66
695 39.80 38.94 40.66
723 39.80 38.94 40.66
728 39.80 38.94 40.66
733 39.80 38.94 40.66
739 39.80 38.94 40.66
742 39.80 38.94 40.66
745 39.80 38.94 40.66
747 39.80 38.94 40.66
767 39.80 38.94 40.66
775 39.80 38.94 40.66
781 39.80 38.94 40.66
786 39.80 38.94 40.66
789 39.80 38.94 40.66
791 39.80 38.94 40.66
794 39.80 38.94 40.66
796 39.80 38.94 40.66
799 39.80 38.94 40.66
813 39.80 38.94 40.66
818 39.80 38.94 40.66
822 39.80 38.94 40.66
831 39.80 38.94 40.66
832 39.80 38.94 40.66
833 39.80 38.94 40.66
838 39.80 38.94 40.66
843 39.80 38.94 40.66
849 39.80 38.94 40.66
852 39.80 38.94 40.66
857 39.80 38.94 40.66
862 39.80 38.94 40.66
864 39.80 38.94 40.66
867 39.80 38.94 40.66
869 39.80 38.94 40.66
872 39.80 38.94 40.66
877 39.80 38.94 40.66
878 39.80 38.94 40.66
879 39.80 38.94 40.66
882 39.80 38.94 40.66
883 39.80 38.94 40.66
888 39.80 38.94 40.66
889 39.80 38.94 40.66
893 39.80 38.94 40.66
903 39.80 38.94 40.66
908 39.80 38.94 40.66
913 39.80 38.94 40.66
919 39.80 38.94 40.66
923 39.80 38.94 40.66
924 39.80 38.94 40.66
929 39.80 38.94 40.66
934 39.80 38.94 40.66
939 39.80 38.94 40.66
940 39.80 38.94 40.66
944 39.80 38.94 40.66
949 39.80 38.94 40.66
951 39.80 38.94 40.66
954 39.80 38.94 40.66
956 39.80 38.94 40.66
959 39.80 38.94 40.66
