#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 13.40 12.21 14.59
10 16.07 13.91 18.22
11 18.68 17.06 20.30
15 19.20 17.58 20.82
16 21.28 19.62 22.94
20 21.80 20.12 23.48
21 23.73 22.02 25.45
25 24.11 22.36 25.85
26 25.13 23.69 26.56
30 25.29 23.84 26.75
31 25.80 24.40 27.20
35 26.04 24.76 27.32
36 27.64 25.86 29.42
40 28.32 26.40 30.24
41 30.57 28.33 32.80
46 32.00 30.08 33.92
51 33.93 32.57 35.28
56 34.99 33.55 36.42
57 35.60 33.62 37.58
61 35.92 33.78 38.06
62 36.88 33.96 39.80
66 37.12 34.09 40.15
67 38.12 34.81 41.43
71 38.20 34.89 41.51
72 38.54 35.22 41.87
76 38.89 35.54 42.24
77 40.68 37.16 44.20
81 41.84 38.18 45.50
82 46.48 40.61 52.35
86 47.28 41.64 52.92
87 50.67 45.98 55.35
92 52.22 47.56 56.88
97 54.05 51.25 56.85
98 54.84 52.43 57.25
102 55.04 52.71 57.37
103 55.52 52.88 58.16
107 55.88 52.92 58.84
108 56.12 53.04 59.20
112 56.16 53.06 59.27
113 57.11 53.84 60.39
118 57.98 54.04 61.91
122 58.08 54.11 62.05
123 58.73 54.73 62.73
128 60.30 55.33 65.27
133 62.20 56.56 67.84
138 63.70 58.17 69.23
139 65.64 61.74 69.54
143 66.00 62.49 69.51
144 67.96 65.50 70.41
148 68.49 65.67 71.30
149 69.36 65.97 72.75
153 69.64 66.21 73.07
154 70.12 66.52 73.72
158 70.36 66.77 73.95
159 71.64 68.02 75.26
163 71.84 68.23 75.45
164 72.00 68.54 75.46
168 72.16 68.75 75.57
169 72.96 69.83 76.09
173 73.18 70.03 76.33
174 73.90 70.43 77.37
178 74.08 70.52 77.64
179 75.76 72.59 78.93
183 76.28 73.15 79.41
184 77.72 74.45 80.99
188 78.15 74.49 81.80
189 79.70 74.36 85.04
190 79.91 74.31 85.52
193 79.99 74.29 85.68
194 80.99 73.78 88.19
195 81.16 73.69 88.62
198 81.19 73.72 88.65
199 81.46 74.03 88.88
200 81.95 74.45 89.45
204 81.99 74.42 89.55
205 82.00 74.44 89.56
208 82.07 74.56 89.57
209 82.33 75.01 89.66
210 83.58 76.83 90.32
215 84.20 77.75 90.66
218 85.04 78.89 91.19
220 86.44 80.84 92.05
223 87.04 81.69 92.40
225 87.83 82.75 92.92
226 88.10 83.13 93.08
228 88.20 83.27 93.13
230 88.24 83.33 93.15
231 88.83 83.80 93.86
235 88.87 83.85 93.90
238 88.92 83.90 93.93
240 89.14 84.20 94.09
241 89.52 84.31 94.73
245 89.54 84.34 94.75
246 89.55 84.34 94.77
250 90.05 85.15 94.95
255 90.08 85.19 94.96
256 90.53 85.50 95.56
259 90.70 85.75 95.66
260 90.77 85.78 95.77
261 90.98 86.04 95.92
264 91.15 86.23 96.07
266 92.36 87.83 96.89
