#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 29.80 28.94 30.66
10 32.37 30.06 34.68
11 35.32 34.21 36.43
15 35.76 34.76 36.76
16 36.72 36.13 37.31
20 37.04 36.46 37.62
21 38.66 37.66 39.66
25 38.80 37.79 39.81
26 40.34 39.77 40.91
30 40.72 40.00 41.44
31 41.76 40.94 42.58
35 41.96 41.06 42.86
36 42.76 41.50 44.02
40 43.04 41.77 44.31
41 44.00 42.34 45.66
46 44.70 43.19 46.21
51 47.31 44.44 50.18
56 49.34 45.04 53.63
57 50.47 45.28 55.65
61 50.76 45.40 56.11
62 51.11 45.23 56.99
66 51.31 45.33 57.30
67 52.32 46.38 58.26
71 52.56 46.59 58.54
72 53.38 47.45 59.30
76 54.08 48.59 59.57
77 57.44 53.47 61.41
81 58.04 54.27 61.81
82 60.44 57.43 63.45
86 61.10 58.22 63.98
87 64.27 62.40 66.13
92 66.11 63.63 68.58
97 68.42 63.98 72.86
98 70.44 65.57 75.31
102 70.88 65.92 75.84
103 72.80 67.44 78.16
107 73.56 68.01 79.11
108 73.94 68.50 79.37
112 74.03 68.62 79.45
113 74.94 69.54 80.34
118 75.70 70.08 81.32
122 76.02 70.39 81.65
123 77.17 71.42 82.91
128 79.70 72.38 87.02
133 81.20 73.59 88.81
138 82.73 74.78 90.68
139 84.07 77.07 91.06
143 84.31 77.44 91.19
144 85.65 79.40 91.91
148 85.95 79.83 92.06
149 86.60 80.44 92.76
153 86.72 80.59 92.85
154 87.20 81.19 93.21
158 87.32 81.18 93.46
159 87.80 81.12 94.48
163 88.00 81.35 94.65
164 89.13 82.71 95.54
168 89.33 82.97 95.70
169 90.16 83.98 96.34
173 90.20 84.04 96.36
174 90.20 84.04 96.36
178 90.24 84.11 96.37
179 90.72 84.84 96.60
183 90.92 85.14 96.70
184 91.40 85.84 96.96
188 91.76 86.19 97.32
189 93.18 87.34 99.02
190 93.88 88.79 98.98
193 93.92 88.84 99.00
194 94.51 89.67 99.35
195 94.98 90.50 99.46
198 95.06 90.58 99.53
199 95.60 91.38 99.82
200 96.57 92.00 101.15
204 96.82 92.34 101.29
205 97.95 93.76 102.15
208 97.97 93.78 102.16
209 98.31 94.44 102.18
210 98.35 94.52 102.18
215 98.36 94.54 102.18
218 99.20 95.90 102.50
220 99.44 96.18 102.70
223 99.69 96.35 103.03
225 99.95 96.48 103.43
226 100.41 96.73 104.10
228 100.47 96.78 104.16
230 100.66 96.93 104.39
231 100.78 97.14 104.41
235 100.80 97.19 104.41
238 100.80 97.19 104.42
240 101.03 97.33 104.73
241 101.25 97.38 105.13
245 101.25 97.38 105.13
246 101.33 97.56 105.11
250 101.52 97.60 105.43
255 101.71 97.85 105.56
256 102.16 97.98 106.33
259 102.39 98.12 106.65
260 102.63 98.23 107.03
261 102.87 98.30 107.44
264 103.28 98.52 108.03
266 103.52 98.78 108.26
269 103.60 98.78 108.42
271 103.60 98.78 108.42
274 103.74 98.97 108.51
276 104.07 99.24 108.90
279 104.25 99.40 109.09
281 104.74 99.59 109.88
286 106.18 101.58 110.77
291 106.38 101.71 111.06
292 106.40 101.71 111.09
295 106.40 101.71 111.09
296 106.40 101.71 111.09
301 106.60 101.94 111.26
302 106.78 102.40 111.16
305 106.88 102.49 111.28
306 106.95 102.54 111.36
308 106.99 102.57 111.41
311 107.00 102.60 111.40
315 107.00 102.60 111.40
316 107.00 102.60 111.40
317 107.00 102.60 111.40
318 107.00 102.60 111.40
320 107.12 102.67 111.57
323 107.20 102.72 111.68
325 107.22 102.73 111.71
326 107.23 102.73 111.73
327 107.24 102.74 111.74
328 107.40 102.81 111.99
331 107.48 102.84 112.12
333 107.60 102.88 112.32
337 107.64 102.89 112.39
338 107.80 102.92 112.68
341 107.80 102.92 112.68
346 107.80 102.92 112.68
347 107.80 102.92 112.68
351 107.80 102.92 112.68
352 107.80 102.92 112.68
353 108.12 103.53 112.71
357 108.27 103.69 112.84
359 108.64 104.16 113.12
361 108.69 104.26 113.13
362 109.12 104.51 113.73
364 109.50 105.02 113.97
366 109.61 105.14 114.08
367 109.73 105.28 114.18
368 109.90 105.45 114.35
369 110.13 105.77 114.48
371 110.13 105.78 114.48
372 110.30 105.80 114.80
376 110.34 105.81 114.87
379 110.34 105.81 114.87
381 110.35 105.81 114.88
382 110.35 105.82 114.88
383 110.35 105.82 114.88
386 110.61 106.22 115.00
388 111.00 106.78 115.22
389 111.67 108.47 114.87
393 111.87 108.89 114.85
394 112.20 109.09 115.31
397 112.23 109.12 115.34
398 112.32 109.18 115.46
399 112.96 109.81 116.11
402 112.97 109.84 116.10
403 113.00 109.91 116.09
404 113.00 109.91 116.09
409 113.00 109.91 116.09
412 113.00 109.91 116.09
414 113.12 109.94 116.30
417 113.20 109.95 116.45
418 113.20 109.95 116.45
419 113.56 110.44 116.68
422 113.57 110.45 116.69
424 113.58 110.46 116.70
427 113.58 110.46 116.70
428 113.60 110.48 116.72
429 113.60 110.48 116.72
433 113.60 110.48 116.72
434 113.60 110.48 116.72
435 113.60 110.48 116.72
438 113.60 110.48 116.72
439 114.24 111.02 117.46
440 114.36 111.08 117.64
443 114.40 111.09 117.71
444 114.41 111.10 117.72
448 114.41 111.10 117.72
449 114.42 111.11 117.73
450 114.60 111.25 117.95
453 114.66 111.41 117.91
455 114.87 111.70 118.04
458 115.28 111.96 118.61
460 115.78 112.15 119.42
465 115.99 112.18 119.81
468 116.00 112.19 119.80
470 116.00 112.20 119.80
473 116.00 112.20 119.80
474 116.00 112.20 119.80
475 116.00 112.20 119.80
476 116.29 112.52 120.06
478 116.30 112.53 120.06
479 116.32 112.55 120.08
480 116.40 112.64 120.16
481 116.58 112.85 120.31
484 116.58 112.85 120.31
490 116.58 112.85 120.31
491 116.58 112.85 120.31
496 116.58 112.85 120.31
499 116.58 112.85 120.31
500 116.74 112.96 120.53
501 116.79 113.02 120.56
504 116.81 113.03 120.59
505 117.40 113.48 121.33
506 117.58 113.64 121.52
510 117.63 113.68 121.57
511 117.96 113.85 122.08
515 117.97 113.85 122.09
516 118.18 113.96 122.41
521 118.59 113.97 123.22
524 118.68 113.97 123.39
526 118.80 113.95 123.64
527 118.96 113.93 123.99
530 118.97 113.93 124.01
531 119.00 113.92 124.08
532 119.00 113.92 124.08
534 119.00 113.92 124.08
536 119.00 113.92 124.08
537 119.22 114.47 123.97
539 119.23 114.48 123.97
540 119.24 114.51 123.98
541 119.32 114.64 123.99
542 119.53 114.94 124.12
546 119.54 114.97 124.12
547 119.71 114.94 124.48
549 119.73 114.94 124.52
551 119.75 114.94 124.57
552 119.80 115.05 124.55
554 119.80 115.05 124.55
556 119.80 115.05 124.55
557 119.80 115.05 124.55
561 119.80 115.05 124.55
562 119.80 115.05 124.55
564 119.84 115.15 124.53
566 119.88 115.24 124.52
567 120.68 115.99 125.37
