#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 1.00 1.00 1.00
10 1.00 1.00 1.00
15 1.00 1.00 1.00
20 1.00 1.00 1.00
21 1.00 1.00 1.00
25 1.00 1.00 1.00
26 1.00 1.00 1.00
30 1.00 1.00 1.00
31 1.00 1.00 1.00
35 1.00 1.00 1.00
36 1.00 1.00 1.00
40 1.00 1.00 1.00
41 1.00 1.00 1.00
45 1.00 1.00 1.00
46 1.00 1.00 1.00
50 1.00 1.00 1.00
51 1.00 1.00 1.00
55 1.00 1.00 1.00
56 1.00 1.00 1.00
57 1.00 1.00 1.00
60 1.00 1.00 1.00
61 1.00 1.00 1.00
62 1.00 1.00 1.00
66 1.00 1.00 1.00
67 1.00 1.00 1.00
71 1.00 1.00 1.00
72 1.00 1.00 1.00
76 1.00 1.00 1.00
77 1.00 1.00 1.00
81 1.00 1.00 1.00
82 1.00 1.00 1.00
86 1.00 1.00 1.00
87 1.00 1.00 1.00
91 1.00 1.00 1.00
92 1.00 1.00 1.00
96 1.00 1.00 1.00
97 1.00 1.00 1.00
101 1.00 1.00 1.00
102 1.00 1.00 1.00
106 1.00 1.00 1.00
107 1.00 1.00 1.00
111 1.00 1.00 1.00
112 1.00 1.00 1.00
116 1.00 1.00 1.00
117 1.00 1.00 1.00
118 1.00 1.00 1.00
121 1.00 1.00 1.00
122 1.00 1.00 1.00
123 1.00 1.00 1.00
126 1.00 1.00 1.00
127 1.00 1.00 1.00
128 1.00 1.00 1.00
131 1.00 1.00 1.00
132 1.00 1.00 1.00
133 1.00 1.00 1.00
137 1.00 1.00 1.00
138 1.00 1.00 1.00
142 1.00 1.00 1.00
143 1.00 1.00 1.00
147 1.00 1.00 1.00
148 1.00 1.00 1.00
149 1.00 1.00 1.00
152 1.00 1.00 1.00
153 1.00 1.00 1.00
154 1.00 1.00 1.00
157 1.00 1.00 1.00
158 1.00 1.00 1.00
159 1.00 1.00 1.00
162 1.00 1.00 1.00
163 1.00 1.00 1.00
