#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
15 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
45 0.00 0.00 0.00
46 0.00 0.00 0.00
50 0.00 0.00 0.00
51 0.00 0.00 0.00
55 0.00 0.00 0.00
56 0.00 0.00 0.00
57 0.00 0.00 0.00
60 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
66 0.00 0.00 0.00
67 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
101 0.00 0.00 0.00
102 0.00 0.00 0.00
106 0.00 0.00 0.00
107 0.00 0.00 0.00
111 0.00 0.00 0.00
112 0.00 0.00 0.00
116 0.00 0.00 0.00
117 0.00 0.00 0.00
118 0.00 0.00 0.00
121 0.00 0.00 0.00
122 0.00 0.00 0.00
123 0.00 0.00 0.00
126 0.00 0.00 0.00
127 0.00 0.00 0.00
128 0.00 0.00 0.00
131 0.00 0.00 0.00
132 0.00 0.00 0.00
133 0.00 0.00 0.00
137 0.00 0.00 0.00
138 0.00 0.00 0.00
142 0.00 0.00 0.00
143 0.00 0.00 0.00
147 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
152 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
157 0.00 0.00 0.00
158 0.00 0.00 0.00
159 0.00 0.00 0.00
162 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
167 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
172 0.00 0.00 0.00
173 0.00 0.00 0.00
174 0.00 0.00 0.00
177 0.00 0.00 0.00
178 0.00 0.00 0.00
179 0.00 0.00 0.00
182 0.00 0.00 0.00
183 0.00 0.00 0.00
184 0.00 0.00 0.00
187 0.00 0.00 0.00
188 0.00 0.00 0.00
189 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
198 0.00 0.00 0.00
199 0.00 0.00 0.00
203 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
208 0.00 0.00 0.00
209 0.00 0.00 0.00
210 0.00 0.00 0.00
213 0.00 0.00 0.00
214 0.00 0.00 0.00
215 0.00 0.00 0.00
218 0.00 0.00 0.00
219 0.00 0.00 0.00
220 0.00 0.00 0.00
223 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
228 0.00 0.00 0.00
229 0.00 0.00 0.00
230 0.00 0.00 0.00
233 0.00 0.00 0.00
234 0.00 0.00 0.00
235 0.00 0.00 0.00
238 0.00 0.00 0.00
239 0.00 0.00 0.00
241 0.00 0.00 0.00
243 0.00 0.00 0.00
244 0.00 0.00 0.00
246 0.00 0.00 0.00
248 0.00 0.00 0.00
249 0.00 0.00 0.00
251 0.00 0.00 0.00
254 0.00 0.00 0.00
256 0.00 0.00 0.00
259 0.00 0.00 0.00
261 0.00 0.00 0.00
264 0.00 0.00 0.00
266 0.00 0.00 0.00
269 0.00 0.00 0.00
270 0.00 0.00 0.00
271 0.00 0.00 0.00
274 0.00 0.00 0.00
275 0.00 0.00 0.00
276 0.00 0.00 0.00
279 0.00 0.00 0.00
280 0.00 0.00 0.00
281 0.00 0.00 0.00
284 0.00 0.00 0.00
285 0.00 0.00 0.00
286 0.00 0.00 0.00
289 0.00 0.00 0.00
290 0.00 0.00 0.00
291 0.00 0.00 0.00
294 0.00 0.00 0.00
295 0.00 0.00 0.00
296 0.00 0.00 0.00
299 0.00 0.00 0.00
300 0.00 0.00 0.00
301 0.00 0.00 0.00
304 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
310 0.00 0.00 0.00
311 0.00 0.00 0.00
312 0.00 0.00 0.00
315 0.00 0.00 0.00
316 0.00 0.00 0.00
317 0.00 0.00 0.00
320 0.00 0.00 0.00
321 0.00 0.00 0.00
322 0.00 0.00 0.00
325 0.00 0.00 0.00
326 0.00 0.00 0.00
327 0.00 0.00 0.00
330 0.00 0.00 0.00
331 0.00 0.00 0.00
332 0.00 0.00 0.00
335 0.00 0.00 0.00
336 0.00 0.00 0.00
337 0.00 0.00 0.00
340 0.00 0.00 0.00
341 0.00 0.00 0.00
342 0.00 0.00 0.00
345 0.00 0.00 0.00
346 0.00 0.00 0.00
347 0.00 0.00 0.00
350 0.00 0.00 0.00
351 0.00 0.00 0.00
352 0.00 0.00 0.00
355 0.00 0.00 0.00
356 0.00 0.00 0.00
357 0.00 0.00 0.00
360 0.00 0.00 0.00
361 0.00 0.00 0.00
362 0.00 0.00 0.00
365 0.00 0.00 0.00
366 0.00 0.00 0.00
367 0.00 0.00 0.00
370 0.00 0.00 0.00
371 0.00 0.00 0.00
372 0.00 0.00 0.00
375 0.00 0.00 0.00
376 0.00 0.00 0.00
377 0.00 0.00 0.00
378 0.00 0.00 0.00
380 0.00 0.00 0.00
381 0.00 0.00 0.00
382 0.00 0.00 0.00
383 0.00 0.00 0.00
386 0.00 0.00 0.00
387 0.00 0.00 0.00
388 0.00 0.00 0.00
391 0.00 0.00 0.00
392 0.00 0.00 0.00
393 0.00 0.00 0.00
396 0.00 0.00 0.00
397 0.00 0.00 0.00
398 0.00 0.00 0.00
401 0.00 0.00 0.00
402 0.00 0.00 0.00
403 0.00 0.00 0.00
406 0.00 0.00 0.00
407 0.00 0.00 0.00
408 0.00 0.00 0.00
411 0.00 0.00 0.00
412 0.00 0.00 0.00
413 0.00 0.00 0.00
416 0.00 0.00 0.00
417 0.00 0.00 0.00
418 0.00 0.00 0.00
421 0.00 0.00 0.00
422 0.00 0.00 0.00
423 0.00 0.00 0.00
424 0.00 0.00 0.00
427 0.00 0.00 0.00
428 0.00 0.00 0.00
429 0.00 0.00 0.00
432 0.00 0.00 0.00
433 0.00 0.00 0.00
434 0.00 0.00 0.00
437 0.00 0.00 0.00
438 0.00 0.00 0.00
439 0.00 0.00 0.00
442 0.00 0.00 0.00
443 0.00 0.00 0.00
444 0.00 0.00 0.00
447 0.00 0.00 0.00
448 0.00 0.00 0.00
449 0.00 0.00 0.00
452 0.00 0.00 0.00
453 0.00 0.00 0.00
454 0.00 0.00 0.00
457 0.00 0.00 0.00
458 0.00 0.00 0.00
460 0.00 0.00 0.00
462 0.00 0.00 0.00
463 0.00 0.00 0.00
465 0.00 0.00 0.00
467 0.00 0.00 0.00
468 0.00 0.00 0.00
470 0.00 0.00 0.00
472 0.00 0.00 0.00
473 0.00 0.00 0.00
474 0.00 0.00 0.00
475 0.00 0.00 0.00
477 0.00 0.00 0.00
478 0.00 0.00 0.00
479 0.00 0.00 0.00
480 0.00 0.00 0.00
482 0.00 0.00 0.00
483 0.00 0.00 0.00
484 0.00 0.00 0.00
485 0.00 0.00 0.00
487 0.00 0.00 0.00
488 0.00 0.00 0.00
489 0.00 0.00 0.00
490 0.00 0.00 0.00
492 0.00 0.00 0.00
493 0.00 0.00 0.00
494 0.00 0.00 0.00
495 0.00 0.00 0.00
498 0.00 0.00 0.00
499 0.00 0.00 0.00
500 0.00 0.00 0.00
503 0.00 0.00 0.00
504 0.00 0.00 0.00
506 0.00 0.00 0.00
508 0.00 0.00 0.00
509 0.00 0.00 0.00
511 0.00 0.00 0.00
513 0.00 0.00 0.00
514 0.00 0.00 0.00
516 0.00 0.00 0.00
518 0.00 0.00 0.00
519 0.00 0.00 0.00
521 0.00 0.00 0.00
523 0.00 0.00 0.00
524 0.00 0.00 0.00
526 0.00 0.00 0.00
528 0.00 0.00 0.00
