#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 6.73 4.76 8.71
6 8.78 7.60 9.96
20 8.80 7.63 9.96
25 9.00 8.04 9.96
30 9.00 8.04 9.96
40 9.20 8.18 10.22
41 9.20 8.18 10.22
45 9.20 8.18 10.22
46 9.20 8.18 10.22
51 9.20 8.18 10.22
56 9.20 8.18 10.22
57 9.20 8.18 10.22
61 9.20 8.18 10.22
62 9.36 8.32 10.40
66 9.40 8.35 10.45
67 9.40 8.35 10.45
71 9.40 8.35 10.45
72 9.40 8.35 10.45
76 9.40 8.35 10.45
77 9.40 8.35 10.45
81 9.40 8.35 10.45
82 9.40 8.35 10.45
86 9.40 8.35 10.45
87 9.40 8.35 10.45
88 9.40 8.35 10.45
91 9.40 8.35 10.45
92 9.40 8.35 10.45
93 9.40 8.35 10.45
96 9.40 8.35 10.45
97 9.40 8.35 10.45
98 9.40 8.35 10.45
101 9.40 8.35 10.45
102 9.40 8.35 10.45
103 9.40 8.35 10.45
106 9.40 8.35 10.45
107 9.40 8.35 10.45
108 9.40 8.35 10.45
111 9.40 8.35 10.45
112 9.40 8.35 10.45
113 9.40 8.35 10.45
116 9.40 8.35 10.45
117 9.40 8.35 10.45
118 9.40 8.35 10.45
121 9.40 8.35 10.45
122 9.40 8.35 10.45
123 9.40 8.35 10.45
126 9.40 8.35 10.45
127 9.40 8.35 10.45
128 9.40 8.35 10.45
131 9.40 8.35 10.45
132 9.40 8.35 10.45
133 9.40 8.35 10.45
136 9.40 8.35 10.45
137 9.40 8.35 10.45
138 9.40 8.35 10.45
141 9.40 8.35 10.45
142 9.40 8.35 10.45
143 9.40 8.35 10.45
146 9.40 8.35 10.45
147 9.40 8.35 10.45
148 9.40 8.35 10.45
151 9.40 8.35 10.45
152 9.40 8.35 10.45
153 9.40 8.35 10.45
156 9.40 8.35 10.45
157 9.40 8.35 10.45
158 9.56 8.41 10.71
161 9.57 8.41 10.73
162 9.60 8.41 10.79
163 9.60 8.41 10.79
166 9.60 8.41 10.79
167 9.60 8.41 10.79
168 9.60 8.41 10.79
172 9.60 8.41 10.79
173 9.60 8.41 10.79
177 9.60 8.41 10.79
178 9.60 8.41 10.79
182 9.60 8.41 10.79
183 9.60 8.41 10.79
187 9.60 8.41 10.79
188 9.60 8.41 10.79
192 9.60 8.41 10.79
193 9.60 8.41 10.79
197 9.60 8.41 10.79
198 9.60 8.41 10.79
202 9.60 8.41 10.79
203 9.60 8.41 10.79
207 9.64 8.41 10.87
208 9.80 8.40 11.20
212 9.80 8.40 11.20
213 9.80 8.40 11.20
217 9.80 8.40 11.20
218 9.80 8.40 11.20
219 9.80 8.40 11.20
222 9.80 8.40 11.20
223 9.80 8.40 11.20
224 9.80 8.40 11.20
227 9.80 8.40 11.20
228 9.80 8.40 11.20
229 9.80 8.40 11.20
232 9.80 8.40 11.20
233 9.80 8.40 11.20
234 9.80 8.40 11.20
238 9.80 8.40 11.20
239 9.80 8.40 11.20
243 9.80 8.40 11.20
244 9.80 8.40 11.20
248 9.80 8.40 11.20
249 9.80 8.40 11.20
253 9.80 8.40 11.20
254 9.80 8.40 11.20
258 9.80 8.40 11.20
259 9.80 8.40 11.20
263 9.80 8.40 11.20
264 9.80 8.40 11.20
268 9.80 8.40 11.20
269 9.80 8.40 11.20
273 9.80 8.40 11.20
274 9.80 8.40 11.20
275 9.80 8.40 11.20
278 9.80 8.40 11.20
279 9.80 8.40 11.20
280 9.80 8.40 11.20
283 9.80 8.40 11.20
284 9.80 8.40 11.20
285 9.80 8.40 11.20
289 9.80 8.40 11.20
290 9.80 8.40 11.20
294 9.80 8.40 11.20
295 9.80 8.40 11.20
299 9.80 8.40 11.20
300 9.80 8.40 11.20
304 9.80 8.40 11.20
305 9.80 8.40 11.20
309 9.80 8.40 11.20
310 9.80 8.40 11.20
314 9.80 8.40 11.20
315 9.80 8.40 11.20
316 9.80 8.40 11.20
319 9.80 8.40 11.20
320 9.80 8.40 11.20
321 9.80 8.40 11.20
324 9.80 8.40 11.20
325 9.80 8.40 11.20
326 9.80 8.40 11.20
329 9.80 8.40 11.20
330 9.80 8.40 11.20
331 9.80 8.40 11.20
334 9.80 8.40 11.20
335 9.80 8.40 11.20
336 9.80 8.40 11.20
340 9.80 8.40 11.20
341 9.80 8.40 11.20
345 9.80 8.40 11.20
346 9.80 8.40 11.20
350 9.80 8.40 11.20
351 9.80 8.40 11.20
355 9.80 8.40 11.20
356 9.80 8.40 11.20
357 9.80 8.40 11.20
360 9.80 8.40 11.20
361 9.80 8.40 11.20
362 9.80 8.40 11.20
365 9.80 8.40 11.20
366 9.80 8.40 11.20
367 9.80 8.40 11.20
370 9.80 8.40 11.20
371 9.80 8.40 11.20
372 9.80 8.40 11.20
375 9.80 8.40 11.20
376 9.80 8.40 11.20
377 9.80 8.40 11.20
380 9.80 8.40 11.20
381 9.80 8.40 11.20
382 9.80 8.40 11.20
385 9.80 8.40 11.20
386 9.80 8.40 11.20
387 9.80 8.40 11.20
390 9.80 8.40 11.20
391 9.80 8.40 11.20
392 9.80 8.40 11.20
395 9.80 8.40 11.20
396 9.80 8.40 11.20
397 9.80 8.40 11.20
401 9.80 8.40 11.20
402 9.80 8.40 11.20
403 9.80 8.40 11.20
406 9.80 8.40 11.20
407 9.80 8.40 11.20
408 9.80 8.40 11.20
411 9.80 8.40 11.20
412 9.80 8.40 11.20
413 9.80 8.40 11.20
416 9.80 8.40 11.20
417 9.80 8.40 11.20
418 9.80 8.40 11.20
421 9.80 8.40 11.20
422 9.80 8.40 11.20
423 9.80 8.40 11.20
426 9.80 8.40 11.20
427 9.80 8.40 11.20
428 9.80 8.40 11.20
431 9.80 8.40 11.20
432 9.80 8.40 11.20
433 9.80 8.40 11.20
436 9.80 8.40 11.20
437 9.80 8.40 11.20
438 9.80 8.40 11.20
441 9.80 8.40 11.20
442 9.80 8.40 11.20
443 9.80 8.40 11.20
444 9.80 8.40 11.20
446 9.80 8.40 11.20
447 9.80 8.40 11.20
448 9.80 8.40 11.20
449 9.80 8.40 11.20
451 9.80 8.40 11.20
452 9.80 8.40 11.20
453 9.80 8.40 11.20
454 9.80 8.40 11.20
457 9.80 8.40 11.20
458 9.80 8.40 11.20
459 9.80 8.40 11.20
462 9.80 8.40 11.20
463 9.80 8.40 11.20
464 9.80 8.40 11.20
467 9.80 8.40 11.20
468 9.80 8.40 11.20
469 9.80 8.40 11.20
472 9.80 8.40 11.20
473 9.80 8.40 11.20
474 9.80 8.40 11.20
475 9.80 8.40 11.20
477 9.80 8.40 11.20
478 9.80 8.40 11.20
479 9.80 8.40 11.20
480 9.80 8.40 11.20
482 9.80 8.40 11.20
483 9.80 8.40 11.20
484 9.80 8.40 11.20
485 9.80 8.40 11.20
487 9.80 8.40 11.20
488 9.80 8.40 11.20
489 9.80 8.40 11.20
490 9.80 8.40 11.20
