#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 61.60 57.54 65.66
10 87.20 85.80 88.60
15 100.83 95.64 106.02
16 109.40 105.48 113.32
20 111.52 107.86 115.18
21 116.96 114.83 119.09
25 117.92 115.49 120.35
26 119.36 117.27 121.45
30 120.32 118.53 122.11
35 123.60 121.41 125.79
36 127.39 125.32 129.46
40 128.55 126.63 130.48
41 131.56 130.45 132.67
45 131.90 130.64 133.16
46 135.17 132.26 138.08
51 135.56 132.05 139.08
52 142.15 135.97 148.34
56 143.92 136.91 150.93
57 153.84 145.07 162.61
61 157.04 148.75 165.33
62 169.20 163.56 174.84
66 171.68 165.68 177.68
67 178.24 171.45 185.03
71 180.12 173.47 186.77
72 186.52 181.76 191.28
76 187.92 183.26 192.58
77 192.72 188.01 197.43
81 193.76 188.77 198.75
82 196.80 191.89 201.71
86 197.52 192.57 202.47
87 200.72 194.80 206.64
91 201.40 194.97 207.83
92 204.32 196.49 212.15
96 204.88 196.61 213.15
97 206.32 196.98 215.66
101 207.00 197.43 216.57
102 209.40 198.92 219.88
106 209.76 199.06 220.46
107 210.40 199.42 221.38
112 210.60 199.50 221.70
113 211.24 199.76 222.72
117 211.77 200.66 222.89
122 212.33 201.58 223.08
132 212.53 201.89 223.17
137 213.24 202.90 223.58
138 213.49 203.15 223.83
142 213.60 203.23 223.98
143 214.11 203.44 224.77
147 214.19 203.48 224.91
148 214.93 204.25 225.61
149 215.06 204.43 225.69
152 215.23 204.79 225.68
159 215.41 205.13 225.69
162 215.84 205.97 225.72
168 216.20 206.13 226.28
173 216.47 206.27 226.67
174 217.06 206.70 227.43
178 217.24 206.87 227.61
179 218.20 207.92 228.48
183 218.72 208.83 228.61
188 219.23 209.27 229.20
193 219.35 209.34 229.36
198 219.56 209.42 229.69
199 219.72 209.55 229.88
204 221.34 213.10 229.58
208 221.54 213.43 229.65
209 222.20 214.67 229.72
214 223.60 216.89 230.31
218 223.68 216.99 230.37
219 224.32 217.45 231.19
223 224.60 217.68 231.52
225 225.27 218.12 232.41
229 225.52 218.25 232.79
234 225.68 218.27 233.10
235 226.31 218.53 234.08
239 226.35 218.57 234.13
240 226.59 218.88 234.30
244 226.71 218.99 234.42
249 228.06 219.35 236.78
254 228.70 219.47 237.93
255 228.92 219.56 238.28
259 229.22 219.86 238.58
265 229.39 220.04 238.74
270 229.39 220.05 238.74
285 229.39 220.05 238.74
286 229.52 220.10 238.94
291 229.93 220.49 239.36
295 229.94 220.50 239.38
296 230.46 220.47 240.45
300 230.63 220.51 240.76
301 230.80 220.70 240.90
305 231.16 221.43 240.89
310 232.01 221.33 242.68
311 232.29 221.70 242.87
315 232.67 222.41 242.93
316 234.18 225.03 243.33
320 234.30 225.14 243.46
321 234.58 225.16 243.99
322 235.49 226.20 244.77
332 235.58 226.29 244.87
336 235.81 226.49 245.12
341 235.87 226.55 245.19
346 236.03 226.57 245.50
347 236.23 226.68 245.78
351 236.53 227.03 246.03
352 237.38 227.99 246.77
357 238.38 229.32 247.44
358 239.04 229.95 248.13
362 239.36 230.31 248.41
363 240.48 231.63 249.33
367 240.63 231.79 249.47
372 241.10 232.03 250.17
377 241.61 232.28 250.93
382 242.36 232.98 251.74
387 243.01 233.62 252.40
388 243.52 234.02 253.02
392 243.80 234.11 253.49
393 244.61 234.14 255.08
398 244.61 234.14 255.08
403 244.63 234.14 255.11
407 244.65 234.15 255.15
408 245.28 234.39 256.17
409 245.52 234.66 256.38
412 245.55 234.69 256.42
413 245.98 234.92 257.04
414 246.55 235.45 257.64
417 246.68 235.54 257.82
423 246.69 235.55 257.84
429 247.09 236.54 257.65
433 247.18 236.74 257.62
434 248.00 237.60 258.40
439 248.29 238.00 258.57
443 248.44 238.07 258.80
444 248.91 238.30 259.52
448 249.00 238.35 259.64
449 249.57 238.60 260.54
454 249.99 238.89 261.09
459 250.10 238.96 261.23
464 250.23 239.10 261.36
465 250.56 239.50 261.61
469 250.60 239.50 261.69
470 251.38 239.65 263.11
474 251.70 239.89 263.51
475 252.65 240.83 264.46
480 253.07 241.45 264.69
484 253.14 241.52 264.76
489 253.41 241.62 265.19
490 253.53 241.66 265.40
495 253.95 242.64 265.26
499 254.58 243.10 266.07
504 255.64 243.68 267.60
506 255.99 243.92 268.06
510 256.15 244.02 268.29
511 256.38 244.28 268.48
521 256.39 244.29 268.50
525 256.62 244.38 268.87
530 257.92 244.78 271.05
531 258.94 245.34 272.54
535 259.24 245.56 272.91
536 260.36 246.88 273.85
540 260.80 247.41 274.18
541 261.04 247.86 274.21
545 261.10 247.98 274.22
546 261.48 248.45 274.51
547 261.96 249.46 274.46
550 262.29 250.06 274.52
551 262.52 250.12 274.91
556 263.33 250.10 276.55
560 263.40 250.10 276.69
561 264.05 250.58 277.52
566 264.75 251.05 278.45
567 265.71 251.89 279.53
576 265.76 251.90 279.63
577 266.99 253.49 280.48
581 267.29 253.88 280.71
582 267.96 255.27 280.65
586 268.05 255.45 280.64
587 268.71 256.06 281.37
591 268.84 256.13 281.55
592 269.64 257.19 282.09
593 269.89 257.58 282.20
596 270.05 257.86 282.24
598 270.36 258.28 282.44
601 270.48 258.41 282.56
612 270.51 258.44 282.59
617 270.58 258.51 282.65
618 270.74 258.67 282.82
622 270.82 258.78 282.87
623 271.48 259.53 283.43
627 271.85 260.12 283.58
628 272.66 261.40 283.93
632 272.75 261.47 284.03
634 273.04 261.73 284.35
637 273.44 262.30 284.58
639 273.92 263.05 284.79
642 274.05 263.19 284.91
647 274.28 263.35 285.21
649 274.60 263.93 285.27
652 274.92 264.65 285.19
654 275.52 265.76 285.28
657 276.02 266.68 285.36
662 276.27 266.88 285.66
663 276.72 267.17 286.27
664 276.95 267.40 286.50
668 277.08 267.59 286.56
669 277.72 268.20 287.23
673 277.84 268.27 287.41
