#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 8.00 8.00 8.00
10 10.00 10.00 10.00
15 10.83 10.54 11.13
16 11.00 11.00 11.00
20 11.00 11.00 11.00
21 11.00 11.00 11.00
25 11.00 11.00 11.00
26 11.00 11.00 11.00
30 11.00 11.00 11.00
35 11.00 11.00 11.00
36 11.00 11.00 11.00
40 11.00 11.00 11.00
41 11.16 10.88 11.44
45 11.20 10.85 11.55
46 12.12 10.49 13.75
51 12.74 11.05 14.43
52 15.70 12.74 18.66
56 16.40 13.00 19.80
57 21.68 17.25 26.11
61 23.60 19.58 27.62
62 27.44 26.39 28.49
66 27.84 26.84 28.84
67 29.12 28.26 29.98
71 29.40 28.51 30.29
72 29.72 28.51 30.93
76 29.88 28.67 31.09
77 30.52 29.76 31.28
81 30.64 29.96 31.32
82 31.44 30.20 32.68
86 31.60 30.18 33.02
87 31.79 30.19 33.38
91 31.83 30.19 33.48
92 32.16 30.44 33.88
96 32.20 30.50 33.90
97 32.36 30.73 33.99
101 32.40 30.77 34.03
102 32.56 30.94 34.18
106 32.64 30.97 34.31
107 32.80 30.93 34.67
112 32.80 30.93 34.67
113 32.80 30.93 34.67
117 32.80 30.93 34.67
122 32.80 30.93 34.67
132 32.80 30.93 34.67
137 32.80 30.93 34.67
138 32.93 30.98 34.87
142 32.96 30.99 34.93
143 32.98 31.00 34.97
147 32.99 31.00 34.98
148 33.00 31.00 35.00
149 33.00 31.00 35.00
152 33.00 31.00 35.00
159 33.00 31.00 35.00
162 33.00 31.00 35.00
168 33.00 31.00 35.00
173 33.00 31.00 35.00
174 33.00 31.00 35.00
178 33.00 31.00 35.00
179 33.00 31.00 35.00
183 33.00 31.00 35.00
188 33.00 31.00 35.00
193 33.00 31.00 35.00
198 33.00 31.00 35.00
199 33.00 31.00 35.00
204 33.20 31.33 35.07
208 33.20 31.33 35.07
209 33.20 31.33 35.07
214 33.40 31.60 35.20
218 33.40 31.60 35.20
219 33.40 31.60 35.20
223 33.40 31.60 35.20
225 33.40 31.60 35.20
229 33.40 31.60 35.20
234 33.40 31.60 35.20
235 33.40 31.60 35.20
239 33.40 31.60 35.20
240 33.40 31.60 35.20
244 33.40 31.60 35.20
249 33.40 31.60 35.20
254 33.40 31.60 35.20
255 33.40 31.60 35.20
259 33.40 31.60 35.20
265 33.40 31.60 35.20
270 33.40 31.60 35.20
285 33.40 31.60 35.20
286 33.40 31.60 35.20
291 33.40 31.60 35.20
295 33.40 31.60 35.20
296 33.40 31.60 35.20
300 33.40 31.60 35.20
301 33.56 31.76 35.36
305 33.60 31.80 35.40
310 33.80 31.93 35.67
311 33.80 31.93 35.67
315 33.80 31.93 35.67
316 33.80 31.93 35.67
320 33.80 31.93 35.67
321 33.99 32.00 35.98
322 33.99 32.00 35.98
332 33.99 32.00 35.98
336 34.00 32.00 36.00
341 34.00 32.00 36.00
346 34.00 32.00 36.00
347 34.00 32.00 36.00
351 34.00 32.00 36.00
352 34.00 32.00 36.00
357 34.00 32.00 36.00
358 34.00 32.00 36.00
362 34.00 32.00 36.00
363 34.00 32.00 36.00
367 34.00 32.00 36.00
372 34.00 32.00 36.00
377 34.00 32.00 36.00
382 34.00 32.00 36.00
