#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 13.60 12.18 15.02
10 17.73 16.13 19.34
11 20.17 18.82 21.53
15 20.59 19.15 22.03
16 22.24 20.29 24.19
20 22.72 20.48 24.96
21 24.00 21.21 26.79
25 24.40 21.70 27.10
26 26.00 23.68 28.32
30 26.48 24.19 28.77
31 28.27 26.90 29.63
36 30.40 28.98 31.82
41 32.00 30.25 33.75
46 33.60 31.34 35.86
47 35.68 33.59 37.77
51 36.28 34.19 38.37
52 37.73 35.55 39.90
56 38.13 36.01 40.25
57 39.96 38.64 41.28
61 40.08 38.74 41.42
62 40.73 38.98 42.49
67 41.80 40.29 43.31
72 42.40 40.98 43.82
77 42.87 41.10 44.64
78 44.16 42.24 46.08
82 44.44 42.48 46.40
83 45.24 42.85 47.63
87 45.44 42.93 47.95
88 45.87 43.55 48.19
92 46.05 43.77 48.34
93 47.05 44.74 49.36
97 47.21 44.85 49.57
98 47.93 45.35 50.51
103 48.40 45.54 51.26
108 49.20 46.76 51.64
113 50.20 47.30 53.10
114 50.68 47.87 53.49
118 50.84 48.09 53.59
119 51.48 48.77 54.19
123 51.76 49.08 54.44
124 52.59 49.96 55.21
128 52.75 50.03 55.48
129 53.88 51.14 56.62
133 54.20 51.45 56.95
134 55.19 52.19 58.18
138 55.31 52.29 58.33
139 55.98 52.86 59.09
140 56.63 53.40 59.86
144 56.76 53.47 60.05
149 56.96 53.37 60.54
150 57.28 53.65 60.92
154 57.40 53.78 61.02
155 58.06 54.44 61.68
159 58.22 54.60 61.85
160 58.42 54.94 61.89
164 58.43 54.97 61.90
165 58.60 55.02 62.18
169 58.68 55.04 62.32
170 59.33 55.37 63.30
175 59.40 55.42 63.39
176 59.47 55.46 63.49
179 59.66 55.76 63.56
180 60.51 56.33 64.70
184 60.56 56.42 64.70
185 60.64 56.58 64.70
186 60.81 56.76 64.86
189 61.08 57.25 64.91
190 61.76 57.68 65.84
191 62.12 58.20 66.04
195 62.18 58.26 66.10
199 62.35 58.34 66.35
200 62.79 58.62 66.97
201 62.95 58.75 67.15
204 63.04 58.91 67.17
205 63.27 59.09 67.44
206 63.36 59.23 67.49
210 63.61 59.64 67.57
211 64.07 59.95 68.18
212 64.26 60.24 68.28
215 64.36 60.40 68.32
216 64.82 60.72 68.92
217 65.12 61.00 69.24
221 65.20 61.08 69.33
222 65.50 61.43 69.57
225 65.73 61.77 69.68
226 66.24 62.64 69.85
230 66.37 62.84 69.90
231 66.72 63.31 70.13
232 66.87 63.45 70.29
235 66.92 63.50 70.33
236 66.95 63.53 70.36
237 66.98 63.57 70.39
242 67.03 63.65 70.41
243 67.47 64.11 70.84
245 67.77 64.48 71.06
247 68.27 64.81 71.74
250 68.59 64.99 72.19
252 68.72 65.03 72.42
253 68.85 65.07 72.64
255 69.08 65.38 72.78
257 69.34 65.38 73.29
258 69.62 65.35 73.88
261 69.99 65.39 74.58
262 70.06 65.42 74.70
263 70.20 65.53 74.86
268 70.27 65.59 74.94
271 70.40 65.69 75.12
273 71.18 66.61 75.75
276 71.33 66.61 76.04
278 71.34 66.61 76.07
281 71.35 66.61 76.08
283 71.40 66.61 76.19
284 71.75 66.61 76.90
288 71.88 66.67 77.09
289 72.09 66.94 77.24
291 72.12 66.95 77.29
293 72.40 67.15 77.65
296 72.40 67.15 77.65
299 72.40 67.15 77.65
301 72.92 67.74 78.10
303 73.00 67.85 78.15
304 73.17 68.07 78.26
306 73.17 68.07 78.28
309 73.28 68.27 78.29
311 73.64 68.56 78.72
313 73.69 68.56 78.83
314 73.93 68.72 79.14
315 74.07 68.87 79.26
319 74.24 69.08 79.40
320 74.78 69.51 80.04
325 74.82 69.52 80.12
327 75.01 69.53 80.50
330 75.14 69.75 80.52
332 75.48 70.32 80.64
335 75.66 70.72 80.59
337 76.04 71.34 80.74
339 76.15 71.47 80.83
340 76.47 71.82 81.11
342 76.92 72.40 81.44
345 77.09 72.55 81.63
347 77.23 72.57 81.90
349 77.41 72.79 82.02
350 77.46 72.80 82.13
355 77.67 72.78 82.57
356 77.89 72.85 82.92
361 78.12 73.21 83.03
362 78.28 73.46 83.10
365 78.54 73.78 83.29
367 78.83 74.18 83.49
370 78.98 74.35 83.60
371 79.17 74.67 83.67
375 79.32 74.93 83.72
376 79.52 75.11 83.93
380 79.64 75.16 84.13
381 79.97 75.26 84.68
385 80.13 75.27 84.99
386 81.02 75.46 86.58
391 81.19 75.55 86.84
392 81.40 75.56 87.24
396 81.50 75.64 87.37
397 81.68 75.62 87.74
401 81.69 75.63 87.75
402 81.85 75.84 87.86
403 82.77 76.72 88.83
406 82.89 76.84 88.94
407 83.14 77.13 89.14
408 83.43 77.59 89.27
411 83.60 77.69 89.50
