#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 45.80 43.01 48.59
10 57.30 52.09 62.51
11 65.16 61.62 68.70
15 66.40 63.04 69.76
16 70.56 68.46 72.66
20 71.76 69.91 73.61
21 76.24 75.36 77.12
25 77.20 76.23 78.17
26 80.76 79.68 81.84
30 81.44 80.36 82.52
31 84.03 82.40 85.67
36 86.60 83.74 89.46
41 90.20 86.81 93.59
46 93.27 89.52 97.01
47 95.20 91.46 98.94
51 95.80 92.02 99.58
52 98.70 95.26 102.14
56 99.12 95.92 102.32
57 100.02 96.84 103.20
61 100.14 96.87 103.41
62 100.63 96.98 104.28
67 102.80 99.85 105.75
72 104.40 101.19 107.61
77 105.27 102.59 107.95
78 106.40 103.37 109.43
82 106.64 103.54 109.74
83 107.76 104.53 110.99
87 108.08 104.79 111.37
88 109.15 105.96 112.33
92 109.33 106.24 112.43
93 110.16 106.99 113.33
97 110.28 107.19 113.37
98 111.10 108.84 113.36
103 111.50 109.25 113.75
108 113.20 110.30 116.10
113 113.70 110.62 116.78
114 115.03 111.54 118.51
118 115.23 111.80 118.67
119 115.72 112.25 119.19
123 115.84 112.31 119.37
124 116.53 112.89 120.18
128 116.83 113.10 120.55
129 117.80 113.79 121.81
133 117.96 113.91 122.01
134 118.60 114.36 122.84
138 118.75 114.42 123.07
139 119.22 114.76 123.68
140 120.17 116.06 124.29
144 120.50 116.35 124.65
149 120.91 116.99 124.83
150 121.59 118.01 125.17
154 121.84 118.27 125.41
155 122.70 118.70 126.70
159 122.74 118.73 126.76
160 123.13 119.56 126.71
164 123.40 119.73 127.06
165 123.92 120.29 127.54
169 124.00 120.39 127.60
170 124.16 120.43 127.88
175 124.16 120.44 127.88
176 124.37 120.67 128.07
179 124.60 120.93 128.27
180 125.29 121.55 129.03
184 125.45 121.78 129.13
185 126.12 122.72 129.52
186 126.33 122.98 129.68
189 126.52 123.17 129.87
190 127.00 123.82 130.18
191 127.80 125.00 130.60
195 128.05 125.30 130.79
199 128.49 125.89 131.10
200 129.02 126.63 131.41
201 129.26 126.85 131.68
204 129.62 127.02 132.22
205 129.99 127.35 132.63
206 130.23 127.45 133.00
210 130.43 127.63 133.24
211 130.98 127.77 134.20
212 131.08 127.84 134.32
215 131.17 127.95 134.40
216 131.64 128.25 135.03
217 132.24 129.09 135.38
221 132.37 129.28 135.45
222 133.11 129.67 136.54
225 133.32 129.77 136.87
226 133.93 130.66 137.20
230 133.96 130.69 137.24
231 134.21 130.84 137.58
232 134.32 130.82 137.82
235 134.41 130.78 138.04
236 134.78 131.10 138.46
237 135.41 131.83 139.00
242 135.72 131.86 139.58
243 136.24 132.54 139.93
245 136.49 132.82 140.16
247 136.98 133.25 140.72
250 136.99 133.27 140.72
252 137.02 133.29 140.74
253 137.13 133.41 140.84
255 137.44 133.81 141.06
257 137.59 133.99 141.20
258 137.79 134.19 141.39
261 138.08 134.25 141.90
262 138.20 134.34 142.07
263 138.33 134.42 142.23
268 138.37 134.45 142.30
271 138.43 134.51 142.34
273 138.71 134.85 142.58
276 139.01 135.32 142.71
278 139.39 135.64 143.13
281 139.55 135.72 143.39
283 139.69 135.84 143.55
284 140.23 136.13 144.34
288 140.32 136.17 144.47
289 140.46 136.15 144.76
291 140.76 136.42 145.10
293 140.95 136.77 145.12
296 141.06 136.91 145.21
299 141.27 137.10 145.44
301 141.39 137.12 145.66
303 141.45 137.13 145.76
304 141.56 137.14 145.98
306 142.04 137.33 146.75
309 142.28 137.45 147.11
311 142.91 138.00 147.81
313 143.03 138.13 147.92
