#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 120.10 78.07 162.13
6 164.19 148.08 180.29
10 170.57 152.41 188.74
11 191.45 178.91 203.98
15 194.89 183.00 206.79
16 206.92 198.33 215.51
20 209.88 201.41 218.35
21 222.20 213.52 230.88
25 224.68 215.69 233.67
26 233.80 223.89 243.71
30 235.80 225.70 245.90
31 241.24 232.65 249.83
35 242.56 234.24 250.88
36 249.33 240.57 258.09
40 250.79 242.00 259.57
41 256.12 247.70 264.54
45 257.16 248.49 265.83
46 261.16 251.68 270.64
50 262.44 252.83 272.05
51 267.27 257.42 277.11
56 271.60 263.85 279.35
61 274.27 265.96 282.58
62 276.80 269.50 284.10
66 277.14 269.74 284.54
67 279.37 271.62 287.12
71 280.09 272.38 287.79
72 283.32 275.53 291.11
76 284.04 276.07 292.01
77 285.34 277.66 293.03
81 285.79 278.27 293.31
82 287.85 280.66 295.04
86 288.23 281.09 295.37
87 290.04 282.50 297.58
91 291.16 283.66 298.66
92 295.33 288.29 302.38
97 299.27 291.90 306.64
98 303.59 297.16 310.01
102 304.49 297.79 311.20
103 308.64 300.12 317.16
107 309.58 300.62 318.54
108 313.60 303.74 323.46
112 314.56 304.42 324.70
113 318.56 307.03 330.09
117 319.36 307.52 331.20
118 322.56 309.32 335.80
122 323.56 309.93 337.19
123 326.45 311.57 341.33
127 326.91 311.77 342.06
128 329.67 313.28 346.06
129 330.96 315.38 346.55
132 331.29 315.86 346.72
133 336.00 321.44 350.56
134 338.01 324.40 351.62
137 338.40 324.75 352.05
138 341.27 326.88 355.66
139 344.62 329.04 360.20
143 346.08 329.99 362.17
144 349.84 332.83 366.85
148 351.00 333.84 368.16
149 354.52 337.78 371.26
153 355.12 338.38 371.86
154 357.36 340.63 374.09
158 357.85 340.98 374.72
159 359.85 342.39 377.30
160 360.44 343.44 377.43
163 360.64 343.81 377.47
164 362.52 345.71 379.33
168 363.09 346.11 380.07
169 365.27 347.65 382.90
170 367.66 349.75 385.57
174 368.40 350.81 385.98
175 371.36 355.11 387.61
178 372.94 357.87 388.01
179 374.56 360.08 389.04
180 377.16 362.96 391.36
183 378.28 363.94 392.62
184 379.18 364.70 393.66
185 381.28 366.06 396.50
188 382.81 368.89 396.73
189 384.11 371.10 397.12
190 385.79 373.50 398.08
194 386.27 374.21 398.33
195 387.92 376.90 398.94
199 388.64 378.12 399.16
200 392.52 383.31 401.73
204 392.78 383.51 402.05
205 393.82 384.30 403.34
206 394.91 386.01 403.82
209 395.51 387.20 403.82
210 396.75 388.46 405.04
211 397.26 389.40 405.11
214 397.71 390.19 405.23
215 398.44 390.98 405.89
216 399.00 391.75 406.25
219 399.37 392.07 406.67
220 399.55 392.25 406.85
221 400.02 392.57 407.47
224 400.24 392.78 407.70
225 400.57 393.04 408.10
226 401.17 393.44 408.89
229 401.51 393.82 409.20
230 401.80 394.12 409.49
231 402.23 394.44 410.01
235 402.56 394.72 410.40
236 404.38 395.92 412.84
240 404.87 396.61 413.12
241 406.24 399.24 413.24
242 406.65 399.80 413.51
245 406.88 399.95 413.81
246 407.14 400.14 414.14
247 408.63 401.51 415.75
250 408.86 401.69 416.03
251 409.20 401.97 416.42
252 410.33 404.43 416.23
255 410.48 404.68 416.29
257 410.71 405.04 416.37
260 411.27 406.25 416.29
261 411.71 407.16 416.25
262 412.29 408.16 416.43
266 412.60 408.78 416.42
267 413.64 411.09 416.19
268 414.20 412.07 416.33
271 414.70 412.43 416.97
272 415.20 412.85 417.56
273 415.96 413.95 417.97
276 416.39 414.20 418.58
277 416.69 414.51 418.88
278 417.26 415.50 419.02
281 417.52 415.63 419.42
282 417.79 415.84 419.75
283 418.31 416.62 419.99
286 418.60 416.90 420.30
287 418.95 417.20 420.69
288 419.77 418.34 421.20
292 420.96 419.09 422.83
297 421.80 419.97 423.63
298 424.04 422.23 425.86
302 424.53 422.25 426.81
303 426.35 422.11 430.59
307 426.60 421.98 431.22
308 427.58 421.39 433.76
312 427.66 421.45 433.86
313 428.17 421.87 434.46
314 429.09 422.00 436.18
317 429.33 421.97 436.68
318 429.75 422.21 437.29
319 430.41 422.86 437.97
323 430.92 422.92 438.92
324 432.57 422.67 442.48
328 432.70 422.59 442.80
329 433.19 422.29 444.09
333 433.39 422.23 444.55
334 434.35 422.18 446.53
338 434.52 422.31 446.73
339 435.64 423.50 447.78
343 435.96 423.76 448.16
344 436.92 424.34 449.50
348 437.24 424.61 449.87
349 438.54 425.70 451.39
353 438.95 426.24 451.65
354 440.73 428.53 452.92
358 441.01 428.81 453.22
359 441.90 429.47 454.33
360 443.48 430.57 456.39
364 443.77 430.84 456.70
365 444.84 431.77 457.91
369 445.36 432.02 458.70
370 447.76 433.35 462.17
374 448.53 433.69 463.38
379 448.57 433.70 463.44
380 448.74 433.75 463.73
384 448.90 433.87 463.94
385 449.91 434.85 464.97
390 451.57 435.33 467.80
395 452.30 435.96 468.64
400 454.72 439.03 470.42
401 456.40 442.17 470.63
405 456.88 442.92 470.84
406 459.92 446.81 473.03
410 460.33 447.32 473.35
411 462.02 448.39 475.64
415 462.44 448.61 476.27
416 464.10 449.52 478.69
420 464.46 449.84 479.08
421 465.56 450.71 480.41
425 465.92 450.94 480.89
426 467.26 451.70 482.83
427 469.36 452.60 486.12
431 469.85 453.06 486.63
432 470.98 453.69 488.27
436 471.32 453.87 488.77
441 473.13 456.24 490.03
442 474.34 457.84 490.84
446 474.52 458.00 491.04
447 475.08 458.24 491.92
451 475.44 458.70 492.18
452 476.40 460.46 492.34
456 476.44 460.55 492.33
457 476.60 460.89 492.31
462 476.80 461.32 492.28
467 477.40 462.45 492.35
472 478.00 463.15 492.85
477 480.03 466.56 493.51
478 481.60 468.82 494.38
482 481.82 469.07 494.58
483 482.40 469.71 495.09
487 482.57 469.90 495.23
488 483.24 470.63 495.84
