#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
45 0.00 0.00 0.00
46 0.00 0.00 0.00
50 0.00 0.00 0.00
51 0.00 0.00 0.00
56 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
66 0.00 0.00 0.00
67 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
97 0.00 0.00 0.00
98 0.00 0.00 0.00
102 0.00 0.00 0.00
103 0.00 0.00 0.00
107 0.00 0.00 0.00
108 0.00 0.00 0.00
112 0.00 0.00 0.00
113 0.00 0.00 0.00
117 0.00 0.00 0.00
118 0.00 0.00 0.00
122 0.00 0.00 0.00
123 0.00 0.00 0.00
127 0.00 0.00 0.00
128 0.00 0.00 0.00
129 0.00 0.00 0.00
132 0.00 0.00 0.00
133 0.00 0.00 0.00
134 0.00 0.00 0.00
137 0.00 0.00 0.00
138 0.00 0.00 0.00
139 0.00 0.00 0.00
143 0.00 0.00 0.00
144 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
158 0.00 0.00 0.00
159 0.00 0.00 0.00
160 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
170 0.00 0.00 0.00
174 0.00 0.00 0.00
175 0.00 0.00 0.00
178 0.00 0.00 0.00
179 0.00 0.00 0.00
180 0.00 0.00 0.00
183 0.00 0.00 0.00
184 0.00 0.00 0.00
185 0.00 0.00 0.00
188 0.00 0.00 0.00
189 0.00 0.00 0.00
190 0.00 0.00 0.00
194 0.00 0.00 0.00
195 0.00 0.00 0.00
199 0.00 0.00 0.00
200 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
206 0.00 0.00 0.00
209 0.00 0.00 0.00
210 0.00 0.00 0.00
211 0.00 0.00 0.00
214 0.00 0.00 0.00
215 0.00 0.00 0.00
216 0.00 0.00 0.00
219 0.00 0.00 0.00
220 0.00 0.00 0.00
221 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
226 0.00 0.00 0.00
229 0.00 0.00 0.00
230 0.00 0.00 0.00
231 0.00 0.00 0.00
235 0.00 0.00 0.00
236 0.00 0.00 0.00
240 0.00 0.00 0.00
241 0.00 0.00 0.00
242 0.00 0.00 0.00
245 0.00 0.00 0.00
246 0.00 0.00 0.00
247 0.00 0.00 0.00
250 0.00 0.00 0.00
251 0.00 0.00 0.00
252 0.00 0.00 0.00
255 0.00 0.00 0.00
257 0.00 0.00 0.00
260 0.00 0.00 0.00
261 0.00 0.00 0.00
262 0.00 0.00 0.00
266 0.00 0.00 0.00
267 0.00 0.00 0.00
268 0.00 0.00 0.00
271 0.00 0.00 0.00
272 0.00 0.00 0.00
273 0.00 0.00 0.00
276 0.00 0.00 0.00
277 0.00 0.00 0.00
278 0.00 0.00 0.00
281 0.00 0.00 0.00
282 0.00 0.00 0.00
283 0.00 0.00 0.00
286 0.00 0.00 0.00
287 0.00 0.00 0.00
288 0.00 0.00 0.00
292 0.00 0.00 0.00
297 0.00 0.00 0.00
298 0.00 0.00 0.00
302 0.00 0.00 0.00
303 0.00 0.00 0.00
307 0.00 0.00 0.00
308 0.00 0.00 0.00
312 0.00 0.00 0.00
313 0.00 0.00 0.00
314 0.00 0.00 0.00
317 0.00 0.00 0.00
318 0.00 0.00 0.00
319 0.00 0.00 0.00
323 0.00 0.00 0.00
324 0.00 0.00 0.00
328 0.00 0.00 0.00
329 0.00 0.00 0.00
333 0.00 0.00 0.00
334 0.00 0.00 0.00
338 0.00 0.00 0.00
339 0.00 0.00 0.00
343 0.00 0.00 0.00
344 0.00 0.00 0.00
348 0.00 0.00 0.00
349 0.00 0.00 0.00
353 0.00 0.00 0.00
354 0.00 0.00 0.00
358 0.00 0.00 0.00
359 0.00 0.00 0.00
360 0.00 0.00 0.00
364 0.00 0.00 0.00
365 0.00 0.00 0.00
369 0.00 0.00 0.00
370 0.00 0.00 0.00
374 0.00 0.00 0.00
379 0.00 0.00 0.00
380 0.00 0.00 0.00
384 0.00 0.00 0.00
385 0.00 0.00 0.00
390 0.00 0.00 0.00
395 0.00 0.00 0.00
400 0.00 0.00 0.00
401 0.00 0.00 0.00
405 0.00 0.00 0.00
406 0.00 0.00 0.00
410 0.00 0.00 0.00
411 0.00 0.00 0.00
415 0.00 0.00 0.00
416 0.00 0.00 0.00
420 0.00 0.00 0.00
421 0.00 0.00 0.00
425 0.00 0.00 0.00
426 0.00 0.00 0.00
427 0.00 0.00 0.00
431 0.00 0.00 0.00
432 0.00 0.00 0.00
436 0.00 0.00 0.00
441 0.00 0.00 0.00
442 0.00 0.00 0.00
446 0.00 0.00 0.00
447 0.00 0.00 0.00
451 0.00 0.00 0.00
452 0.00 0.00 0.00
456 0.00 0.00 0.00
457 0.00 0.00 0.00
462 0.00 0.00 0.00
467 0.00 0.00 0.00
472 0.00 0.00 0.00
477 0.00 0.00 0.00
478 0.00 0.00 0.00
482 0.00 0.00 0.00
483 0.00 0.00 0.00
487 0.00 0.00 0.00
488 0.00 0.00 0.00
492 0.00 0.00 0.00
493 0.00 0.00 0.00
497 0.00 0.00 0.00
498 0.00 0.00 0.00
503 0.00 0.00 0.00
508 0.00 0.00 0.00
509 0.00 0.00 0.00
513 0.00 0.00 0.00
514 0.00 0.00 0.00
518 0.00 0.00 0.00
519 0.00 0.00 0.00
523 0.00 0.00 0.00
524 0.00 0.00 0.00
528 0.00 0.00 0.00
529 0.00 0.00 0.00
533 0.00 0.00 0.00
534 0.00 0.00 0.00
538 0.00 0.00 0.00
539 0.00 0.00 0.00
543 0.00 0.00 0.00
544 0.00 0.00 0.00
549 0.00 0.00 0.00
550 0.00 0.00 0.00
554 0.00 0.00 0.00
555 0.00 0.00 0.00
559 0.00 0.00 0.00
560 0.00 0.00 0.00
564 0.00 0.00 0.00
565 0.00 0.00 0.00
569 0.00 0.00 0.00
570 0.00 0.00 0.00
574 0.00 0.00 0.00
575 0.00 0.00 0.00
576 0.00 0.00 0.00
579 0.00 0.00 0.00
580 0.00 0.00 0.00
581 0.00 0.00 0.00
585 0.00 0.00 0.00
586 0.00 0.00 0.00
590 0.00 0.00 0.00
591 0.00 0.00 0.00
595 0.00 0.00 0.00
596 0.00 0.00 0.00
600 0.00 0.00 0.00
601 0.00 0.00 0.00
605 0.00 0.00 0.00
606 0.00 0.00 0.00
607 0.00 0.00 0.00
610 0.00 0.00 0.00
611 0.00 0.00 0.00
612 0.00 0.00 0.00
615 0.00 0.00 0.00
616 0.00 0.00 0.00
617 0.00 0.00 0.00
621 0.00 0.00 0.00
622 0.00 0.00 0.00
626 0.00 0.00 0.00
627 0.00 0.00 0.00
631 0.00 0.00 0.00
632 0.00 0.00 0.00
633 0.00 0.00 0.00
636 0.00 0.00 0.00
637 0.00 0.00 0.00
638 0.00 0.00 0.00
641 0.00 0.00 0.00
642 0.00 0.00 0.00
647 0.00 0.00 0.00
652 0.00 0.00 0.00
653 0.00 0.00 0.00
657 0.00 0.00 0.00
658 0.00 0.00 0.00
662 0.00 0.00 0.00
663 0.00 0.00 0.00
667 0.00 0.00 0.00
668 0.00 0.00 0.00
672 0.00 0.00 0.00
674 0.00 0.00 0.00
677 0.00 0.00 0.00
679 0.00 0.00 0.00
682 0.00 0.00 0.00
