#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 46.60 44.97 48.23
10 59.60 56.58 62.62
15 65.40 61.70 69.10
20 68.90 65.12 72.68
21 70.97 68.08 73.87
25 71.57 68.89 74.25
26 74.21 71.90 76.52
30 74.75 72.52 76.97
31 77.19 75.17 79.20
35 77.49 75.44 79.55
36 78.73 76.49 80.98
41 80.20 77.30 83.10
46 82.70 80.26 85.14
51 84.60 81.91 87.29
56 85.80 83.37 88.23
61 86.60 84.21 88.99
66 88.70 85.99 91.41
71 89.66 86.96 92.36
76 90.61 88.30 92.91
77 91.09 88.89 93.29
81 91.31 89.10 93.53
86 91.93 89.88 93.98
87 92.48 90.27 94.69
91 92.60 90.34 94.86
92 92.95 91.17 94.72
96 93.07 91.41 94.74
97 93.56 92.08 95.04
101 93.80 92.28 95.32
102 94.60 92.63 96.57
107 95.40 93.36 97.44
112 96.40 94.01 98.79
117 97.43 94.46 100.40
118 98.51 95.75 101.28
122 98.89 96.15 101.62
127 99.21 96.74 101.68
128 99.64 97.18 102.09
132 99.83 97.28 102.37
133 99.89 97.37 102.41
137 100.04 97.51 102.57
138 100.16 97.59 102.73
142 100.24 97.60 102.87
143 100.25 97.61 102.90
147 100.34 97.67 103.01
148 100.42 97.72 103.12
152 100.58 97.84 103.33
157 100.71 97.88 103.55
162 100.74 97.89 103.58
163 100.97 98.08 103.85
168 101.10 98.11 104.09
173 101.40 98.28 104.52
178 102.10 98.98 105.22
183 102.70 99.75 105.65
184 103.36 100.22 106.50
188 103.40 100.23 106.57
189 103.72 100.69 106.75
193 103.88 100.91 106.85
194 104.47 101.74 107.19
198 104.53 101.85 107.22
199 104.72 102.26 107.18
203 104.77 102.36 107.18
204 105.11 103.14 107.08
208 105.20 103.33 107.07
209 105.33 103.30 107.37
213 105.49 103.42 107.55
214 106.15 104.24 108.06
215 106.21 104.31 108.11
218 106.31 104.45 108.17
219 106.54 104.56 108.52
220 106.60 104.63 108.56
224 106.60 104.63 108.56
225 106.76 104.63 108.89
229 106.88 104.72 109.04
230 107.29 105.02 109.56
234 107.31 105.02 109.60
239 107.42 105.01 109.84
240 108.01 105.42 110.61
244 108.11 105.52 110.71
245 108.66 106.07 111.25
249 108.91 106.26 111.56
250 109.90 106.90 112.90
254 110.06 106.98 113.14
255 110.55 107.19 113.91
259 110.90 107.34 114.46
260 111.40 107.80 115.01
264 111.61 107.91 115.31
265 111.98 108.43 115.53
269 112.11 108.59 115.64
270 112.39 108.89 115.90
271 112.50 108.95 116.05
274 112.68 109.00 116.36
275 113.23 109.49 116.97
276 113.49 109.56 117.43
281 113.70 109.57 117.83
284 113.90 109.57 118.22
294 114.14 110.02 118.25
300 114.15 110.03 118.28
301 114.43 110.37 118.50
305 114.49 110.45 118.54
310 115.37 111.84 118.90
315 115.48 112.00 118.96
316 115.57 112.12 119.01
320 115.63 112.16 119.10
321 115.96 112.40 119.52
325 116.26 112.48 120.04
326 116.67 112.61 120.73
335 116.86 112.62 121.10
341 116.93 112.67 121.20
342 117.17 112.69 121.65
345 117.19 112.71 121.67
346 117.39 112.94 121.85
352 117.40 112.94 121.85
356 117.48 112.93 122.03
357 117.96 113.06 122.86
361 118.00 113.10 122.90
362 118.00 113.10 122.90
366 118.09 113.09 123.10
367 118.50 113.06 123.94
368 118.93 113.21 124.65
370 118.98 113.20 124.76
371 119.20 113.46 124.93
373 119.22 113.49 124.96
376 119.47 113.67 125.27
377 119.56 113.69 125.44
381 119.62 113.69 125.54
382 119.97 114.08 125.87
386 119.98 114.09 125.87
387 120.48 114.67 126.30
388 120.73 114.72 126.74
392 120.84 114.76 126.91
393 121.96 115.88 128.04
397 122.24 116.11 128.36
398 122.61 116.38 128.84
401 122.76 116.47 129.05
402 123.30 117.24 129.35
403 123.50 117.31 129.70
407 123.55 117.33 129.77
408 124.04 117.55 130.52
412 124.24 117.64 130.85
413 125.41 118.46 132.35
417 125.58 118.61 132.54
422 125.88 118.81 132.94
427 126.14 118.99 133.29
428 126.47 119.54 133.39
432 126.54 119.67 133.41
433 126.89 120.17 133.62
437 127.32 120.41 134.23
438 127.53 120.63 134.42
442 127.90 120.86 134.94
447 128.17 121.13 135.20
448 128.51 121.49 135.52
452 128.96 122.49 135.44
453 129.33 122.81 135.84
457 129.38 122.87 135.88
458 129.57 123.05 136.08
459 129.70 123.12 136.28
468 129.71 123.12 136.30
469 129.83 123.24 136.42
473 129.86 123.26 136.46
483 129.93 123.32 136.54
484 130.44 123.62 137.27
488 130.60 123.70 137.51
489 131.26 124.02 138.49
493 131.50 124.14 138.86
494 131.89 124.65 139.13
498 131.89 124.66 139.13
499 132.00 124.72 139.29
504 132.23 124.87 139.59
513 132.38 124.95 139.81
514 133.12 125.36 140.89
