#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
15 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
41 0.00 0.00 0.00
46 0.00 0.00 0.00
51 0.00 0.00 0.00
56 0.00 0.00 0.00
61 0.00 0.00 0.00
66 0.00 0.00 0.00
71 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
101 0.00 0.00 0.00
102 0.00 0.00 0.00
107 0.00 0.00 0.00
112 0.00 0.00 0.00
117 0.00 0.00 0.00
118 0.00 0.00 0.00
122 0.00 0.00 0.00
127 0.00 0.00 0.00
128 0.00 0.00 0.00
132 0.00 0.00 0.00
133 0.00 0.00 0.00
137 0.00 0.00 0.00
138 0.00 0.00 0.00
142 0.00 0.00 0.00
143 0.00 0.00 0.00
147 0.00 0.00 0.00
148 0.00 0.00 0.00
152 0.00 0.00 0.00
157 0.00 0.00 0.00
162 0.00 0.00 0.00
163 0.00 0.00 0.00
168 0.00 0.00 0.00
173 0.00 0.00 0.00
178 0.00 0.00 0.00
183 0.00 0.00 0.00
184 0.00 0.00 0.00
188 0.00 0.00 0.00
189 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
198 0.00 0.00 0.00
199 0.00 0.00 0.00
203 0.00 0.00 0.00
204 0.00 0.00 0.00
208 0.00 0.00 0.00
209 0.00 0.00 0.00
213 0.00 0.00 0.00
214 0.00 0.00 0.00
215 0.00 0.00 0.00
218 0.00 0.00 0.00
219 0.00 0.00 0.00
220 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
229 0.00 0.00 0.00
230 0.00 0.00 0.00
234 0.00 0.00 0.00
239 0.00 0.00 0.00
240 0.00 0.00 0.00
244 0.00 0.00 0.00
245 0.00 0.00 0.00
249 0.00 0.00 0.00
250 0.00 0.00 0.00
254 0.00 0.00 0.00
255 0.00 0.00 0.00
259 0.00 0.00 0.00
260 0.00 0.00 0.00
264 0.00 0.00 0.00
265 0.00 0.00 0.00
269 0.00 0.00 0.00
270 0.00 0.00 0.00
271 0.00 0.00 0.00
274 0.00 0.00 0.00
275 0.00 0.00 0.00
276 0.00 0.00 0.00
281 0.00 0.00 0.00
284 0.00 0.00 0.00
294 0.00 0.00 0.00
300 0.00 0.00 0.00
301 0.00 0.00 0.00
305 0.00 0.00 0.00
310 0.00 0.00 0.00
315 0.00 0.00 0.00
316 0.00 0.00 0.00
320 0.00 0.00 0.00
321 0.00 0.00 0.00
325 0.00 0.00 0.00
326 0.00 0.00 0.00
335 0.00 0.00 0.00
341 0.00 0.00 0.00
342 0.00 0.00 0.00
345 0.00 0.00 0.00
346 0.00 0.00 0.00
352 0.00 0.00 0.00
356 0.00 0.00 0.00
357 0.00 0.00 0.00
361 0.00 0.00 0.00
362 0.00 0.00 0.00
366 0.00 0.00 0.00
367 0.00 0.00 0.00
368 0.00 0.00 0.00
370 0.00 0.00 0.00
371 0.00 0.00 0.00
373 0.00 0.00 0.00
376 0.00 0.00 0.00
377 0.00 0.00 0.00
381 0.00 0.00 0.00
382 0.00 0.00 0.00
386 0.00 0.00 0.00
387 0.00 0.00 0.00
388 0.00 0.00 0.00
392 0.00 0.00 0.00
393 0.00 0.00 0.00
397 0.00 0.00 0.00
398 0.00 0.00 0.00
401 0.00 0.00 0.00
402 0.00 0.00 0.00
403 0.00 0.00 0.00
407 0.00 0.00 0.00
408 0.00 0.00 0.00
412 0.00 0.00 0.00
413 0.00 0.00 0.00
417 0.00 0.00 0.00
422 0.00 0.00 0.00
427 0.00 0.00 0.00
428 0.00 0.00 0.00
432 0.00 0.00 0.00
433 0.00 0.00 0.00
437 0.00 0.00 0.00
438 0.00 0.00 0.00
442 0.00 0.00 0.00
447 0.00 0.00 0.00
448 0.00 0.00 0.00
452 0.00 0.00 0.00
453 0.00 0.00 0.00
457 0.00 0.00 0.00
458 0.00 0.00 0.00
459 0.00 0.00 0.00
468 0.00 0.00 0.00
469 0.00 0.00 0.00
473 0.00 0.00 0.00
483 0.00 0.00 0.00
484 0.00 0.00 0.00
488 0.00 0.00 0.00
489 0.00 0.00 0.00
493 0.00 0.00 0.00
494 0.00 0.00 0.00
498 0.00 0.00 0.00
499 0.00 0.00 0.00
504 0.00 0.00 0.00
513 0.00 0.00 0.00
514 0.00 0.00 0.00
518 0.00 0.00 0.00
519 0.00 0.00 0.00
524 0.00 0.00 0.00
525 0.00 0.00 0.00
529 0.00 0.00 0.00
530 0.00 0.00 0.00
534 0.00 0.00 0.00
535 0.00 0.00 0.00
539 0.00 0.00 0.00
540 0.00 0.00 0.00
544 0.00 0.00 0.00
549 0.00 0.00 0.00
550 0.00 0.00 0.00
554 0.00 0.00 0.00
555 0.00 0.00 0.00
559 0.00 0.00 0.00
560 0.00 0.00 0.00
564 0.00 0.00 0.00
565 0.00 0.00 0.00
570 0.00 0.00 0.00
574 0.00 0.00 0.00
579 0.00 0.00 0.00
580 0.00 0.00 0.00
585 0.00 0.00 0.00
590 0.00 0.00 0.00
595 0.00 0.00 0.00
600 0.00 0.00 0.00
610 0.00 0.00 0.00
611 0.00 0.00 0.00
612 0.00 0.00 0.00
616 0.00 0.00 0.00
620 0.00 0.00 0.00
622 0.00 0.00 0.00
625 0.00 0.00 0.00
627 0.00 0.00 0.00
631 0.00 0.00 0.00
635 0.00 0.00 0.00
637 0.00 0.00 0.00
640 0.00 0.00 0.00
641 0.00 0.00 0.00
645 0.00 0.00 0.00
646 0.00 0.00 0.00
647 0.00 0.00 0.00
651 0.00 0.00 0.00
657 0.00 0.00 0.00
662 0.00 0.00 0.00
667 0.00 0.00 0.00
671 0.00 0.00 0.00
672 0.00 0.00 0.00
673 0.00 0.00 0.00
677 0.00 0.00 0.00
678 0.00 0.00 0.00
681 0.00 0.00 0.00
682 0.00 0.00 0.00
691 0.00 0.00 0.00
692 0.00 0.00 0.00
696 0.00 0.00 0.00
697 0.00 0.00 0.00
707 0.00 0.00 0.00
711 0.00 0.00 0.00
712 0.00 0.00 0.00
716 0.00 0.00 0.00
717 0.00 0.00 0.00
718 0.00 0.00 0.00
721 0.00 0.00 0.00
722 0.00 0.00 0.00
723 0.00 0.00 0.00
726 0.00 0.00 0.00
728 0.00 0.00 0.00
734 0.00 0.00 0.00
736 0.00 0.00 0.00
737 0.00 0.00 0.00
739 0.00 0.00 0.00
747 0.00 0.00 0.00
748 0.00 0.00 0.00
749 0.00 0.00 0.00
757 0.00 0.00 0.00
758 0.00 0.00 0.00
759 0.00 0.00 0.00
763 0.00 0.00 0.00
767 0.00 0.00 0.00
768 0.00 0.00 0.00
773 0.00 0.00 0.00
775 0.00 0.00 0.00
778 0.00 0.00 0.00
782 0.00 0.00 0.00
783 0.00 0.00 0.00
784 0.00 0.00 0.00
789 0.00 0.00 0.00
794 0.00 0.00 0.00
802 0.00 0.00 0.00
804 0.00 0.00 0.00
805 0.00 0.00 0.00
809 0.00 0.00 0.00
814 0.00 0.00 0.00
815 0.00 0.00 0.00
819 0.00 0.00 0.00
822 0.00 0.00 0.00
825 0.00 0.00 0.00
828 0.00 0.00 0.00
829 0.00 0.00 0.00
833 0.00 0.00 0.00
835 0.00 0.00 0.00
843 0.00 0.00 0.00
844 0.00 0.00 0.00
845 0.00 0.00 0.00
848 0.00 0.00 0.00
850 0.00 0.00 0.00
853 0.00 0.00 0.00
861 0.00 0.00 0.00
865 0.00 0.00 0.00
875 0.00 0.00 0.00
876 0.00 0.00 0.00
880 0.00 0.00 0.00
881 0.00 0.00 0.00
886 0.00 0.00 0.00
890 0.00 0.00 0.00
891 0.00 0.00 0.00
896 0.00 0.00 0.00
