#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 36.80 24.14 49.46
6 52.92 48.11 57.73
10 55.68 50.56 60.80
11 61.76 57.80 65.72
15 63.04 58.98 67.10
16 66.13 62.39 69.88
20 66.91 63.19 70.62
21 69.87 66.15 73.58
25 70.43 66.79 74.08
26 72.61 68.60 76.61
30 73.11 68.92 77.30
31 75.12 70.17 80.06
36 76.00 70.65 81.35
41 77.90 72.99 82.81
46 78.60 73.82 83.38
51 79.67 75.29 84.05
56 80.77 77.18 84.36
57 81.71 78.25 85.16
61 81.98 78.54 85.42
62 83.10 79.24 86.96
66 83.31 79.37 87.25
71 83.89 79.99 87.78
72 84.75 80.70 88.79
76 84.99 80.93 89.05
77 85.92 82.35 89.49
81 86.27 82.69 89.85
82 86.91 83.36 90.46
87 87.38 83.75 91.02
92 88.05 84.33 91.77
93 88.68 84.69 92.67
97 88.81 84.75 92.87
102 89.02 84.91 93.13
103 89.20 85.07 93.33
107 89.20 85.07 93.33
108 89.36 85.44 93.28
112 89.40 85.54 93.26
113 89.56 85.79 93.33
117 89.60 85.86 93.34
118 89.60 85.86 93.34
122 89.60 85.86 93.34
123 89.79 86.16 93.42
127 89.87 86.22 93.52
128 90.20 86.59 93.81
129 90.36 86.65 94.07
133 90.44 86.70 94.18
134 90.92 87.27 94.57
138 91.00 87.36 94.64
139 91.08 87.38 94.78
143 91.14 87.42 94.86
144 91.70 88.07 95.33
148 91.84 88.23 95.45
149 93.12 89.59 96.65
153 93.52 89.99 97.05
158 94.64 91.12 98.17
159 95.03 91.69 98.37
164 95.09 91.78 98.40
168 95.23 91.88 98.59
169 95.80 92.21 99.39
170 96.40 92.72 100.08
174 96.59 92.87 100.30
175 97.33 93.39 101.28
179 97.44 93.44 101.44
180 98.08 94.15 102.01
184 98.24 94.32 102.16
185 98.94 94.91 102.97
190 99.17 95.04 103.29
194 99.52 95.19 103.85
199 100.21 95.99 104.44
204 100.35 96.12 104.57
210 100.46 96.23 104.70
215 100.60 96.35 104.85
220 101.03 96.68 105.38
225 101.55 96.94 106.15
230 101.77 97.03 106.51
235 102.58 97.13 108.03
240 102.73 97.12 108.34
245 103.15 97.76 108.53
246 103.37 97.98 108.75
250 103.47 98.07 108.87
251 103.80 98.27 109.32
255 103.80 98.27 109.33
265 104.00 98.27 109.73
276 104.19 98.25 110.13
281 105.10 99.93 110.26
286 105.40 100.33 110.47
291 105.87 100.69 111.05
296 106.34 101.47 111.21
301 106.80 101.69 111.90
302 107.28 101.92 112.63
306 107.37 102.03 112.71
307 107.41 102.09 112.72
311 107.42 102.11 112.72
312 107.60 102.50 112.70
322 107.76 102.85 112.68
323 107.79 102.90 112.68
327 107.80 102.91 112.68
328 107.80 102.92 112.68
332 107.80 102.92 112.68
337 107.80 102.92 112.68
342 107.80 102.92 112.68
347 107.80 102.92 112.68
353 107.81 102.93 112.69
357 107.82 102.93 112.71
358 108.12 103.18 113.05
359 108.13 103.20 113.05
364 108.13 103.20 113.05
368 108.25 103.34 113.16
374 108.46 103.69 113.23
378 108.47 103.71 113.23
379 108.68 103.72 113.64
388 108.72 103.76 113.68
389 108.80 103.86 113.74
393 108.90 103.97 113.83
394 109.40 104.28 114.53
399 109.61 104.45 114.76
404 109.81 104.59 115.02
409 110.21 104.68 115.73
414 110.48 104.81 116.16
418 110.75 104.92 116.59
419 110.90 105.16 116.64
424 110.97 105.24 116.70
425 111.15 105.35 116.96
429 111.20 105.37 117.02
430 111.38 105.46 117.29
434 111.42 105.49 117.36
435 111.59 105.56 117.63
439 111.67 105.59 117.75
444 111.73 105.62 117.85
445 111.85 105.68 118.02
449 111.85 105.68 118.02
450 111.86 105.68 118.03
454 111.86 105.69 118.04
459 111.93 105.72 118.14
461 111.99 105.75 118.23
464 111.99 105.75 118.23
465 112.00 105.75 118.25
471 112.05 105.78 118.33
474 112.16 105.83 118.49
475 112.25 106.02 118.49
476 112.60 106.20 119.01
485 112.67 106.28 119.07
486 112.74 106.28 119.20
491 112.75 106.28 119.21
495 112.87 106.34 119.40
496 112.98 106.37 119.60
501 113.18 106.71 119.65
510 113.20 106.72 119.68
511 113.56 106.81 120.30
515 113.60 106.82 120.38
520 113.80 106.80 120.80
521 113.81 106.80 120.82
536 113.89 106.83 120.95
546 113.90 106.84 120.97
547 114.01 106.88 121.14
552 114.02 106.88 121.15
557 114.02 106.88 121.16
562 114.29 107.27 121.31
571 114.33 107.28 121.37
576 114.58 107.30 121.86
582 114.80 107.29 122.30
588 114.81 107.29 122.33
593 114.82 107.31 122.32
602 114.90 107.34 122.46
607 114.92 107.34 122.49
608 115.18 107.35 123.00
612 115.26 107.36 123.15
613 115.42 107.41 123.42
617 115.86 108.18 123.54
619 116.00 108.22 123.78
622 116.00 108.22 123.78
627 116.20 108.20 124.20
632 116.40 108.63 124.17
637 116.53 108.91 124.16
647 116.70 109.03 124.37
652 116.75 109.02 124.48
657 116.80 109.01 124.59
662 116.80 109.01 124.59
687 116.88 108.99 124.76
693 117.55 110.16 124.95
698 117.58 110.16 125.00
703 117.60 110.15 125.05
704 117.76 110.45 125.07
708 117.84 110.56 125.12
709 118.00 110.73 125.27
728 118.00 110.73 125.27
760 118.01 110.74 125.27
762 118.12 110.95 125.29
765 118.27 111.11 125.44
767 118.50 111.34 125.66
770 118.58 111.46 125.71
776 118.63 111.52 125.73
777 119.32 112.61 126.04
781 119.38 112.68 126.07
786 119.42 112.73 126.10
788 119.83 113.27 126.39
791 120.08 113.62 126.54
793 120.31 113.76 126.85
796 120.38 113.85 126.91
802 120.40 113.87 126.92
807 120.40 113.87 126.93
808 120.40 113.87 126.93
812 120.40 113.87 126.93
813 120.44 113.95 126.93
818 120.44 113.95 126.93
842 120.44 113.95 126.93
843 120.44 113.95 126.93
847 120.44 113.95 126.93
849 120.44 113.95 126.93
854 120.44 113.95 126.93
857 120.44 113.95 126.93
872 120.44 113.95 126.93
876 120.44 113.95 126.93
881 120.74 114.53 126.96
882 120.96 114.95 126.97
883 121.18 115.37 126.99
890 121.19 115.39 127.00
895 121.40 115.41 127.39
900 121.40 115.41 127.39
901 121.40 115.41 127.39
904 121.40 115.41 127.39
911 121.40 115.41 127.39
926 121.40 115.41 127.39
931 121.80 115.40 128.20
934 121.80 115.40 128.20
939 122.40 116.49 128.31
