#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
36 0.00 0.00 0.00
41 0.00 0.00 0.00
46 0.00 0.00 0.00
51 0.00 0.00 0.00
56 0.00 0.00 0.00
57 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
66 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
87 0.00 0.00 0.00
92 0.00 0.00 0.00
93 0.00 0.00 0.00
97 0.00 0.00 0.00
102 0.00 0.00 0.00
103 0.00 0.00 0.00
107 0.00 0.00 0.00
108 0.00 0.00 0.00
112 0.00 0.00 0.00
113 0.00 0.00 0.00
117 0.00 0.00 0.00
118 0.00 0.00 0.00
122 0.00 0.00 0.00
123 0.00 0.00 0.00
127 0.00 0.00 0.00
128 0.00 0.00 0.00
129 0.00 0.00 0.00
133 0.00 0.00 0.00
134 0.00 0.00 0.00
138 0.00 0.00 0.00
139 0.00 0.00 0.00
143 0.00 0.00 0.00
144 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
153 0.00 0.00 0.00
158 0.00 0.00 0.00
159 0.00 0.00 0.00
164 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
170 0.00 0.00 0.00
174 0.00 0.00 0.00
175 0.00 0.00 0.00
179 0.00 0.00 0.00
180 0.00 0.00 0.00
184 0.00 0.00 0.00
185 0.00 0.00 0.00
190 0.00 0.00 0.00
194 0.00 0.00 0.00
199 0.00 0.00 0.00
204 0.00 0.00 0.00
210 0.00 0.00 0.00
215 0.00 0.00 0.00
220 0.00 0.00 0.00
225 0.00 0.00 0.00
230 0.00 0.00 0.00
235 0.00 0.00 0.00
240 0.00 0.00 0.00
245 0.00 0.00 0.00
246 0.00 0.00 0.00
250 0.00 0.00 0.00
251 0.00 0.00 0.00
255 0.00 0.00 0.00
265 0.00 0.00 0.00
276 0.00 0.00 0.00
281 0.00 0.00 0.00
286 0.00 0.00 0.00
291 0.00 0.00 0.00
296 0.00 0.00 0.00
301 0.00 0.00 0.00
302 0.00 0.00 0.00
306 0.00 0.00 0.00
307 0.00 0.00 0.00
311 0.00 0.00 0.00
312 0.00 0.00 0.00
322 0.00 0.00 0.00
323 0.00 0.00 0.00
327 0.00 0.00 0.00
328 0.00 0.00 0.00
332 0.00 0.00 0.00
337 0.00 0.00 0.00
342 0.00 0.00 0.00
347 0.00 0.00 0.00
353 0.00 0.00 0.00
357 0.00 0.00 0.00
358 0.00 0.00 0.00
359 0.00 0.00 0.00
364 0.00 0.00 0.00
368 0.00 0.00 0.00
374 0.00 0.00 0.00
378 0.00 0.00 0.00
379 0.00 0.00 0.00
388 0.00 0.00 0.00
389 0.00 0.00 0.00
393 0.00 0.00 0.00
394 0.00 0.00 0.00
399 0.00 0.00 0.00
404 0.00 0.00 0.00
409 0.00 0.00 0.00
414 0.00 0.00 0.00
418 0.00 0.00 0.00
419 0.00 0.00 0.00
424 0.00 0.00 0.00
425 0.00 0.00 0.00
429 0.00 0.00 0.00
430 0.00 0.00 0.00
434 0.00 0.00 0.00
435 0.00 0.00 0.00
439 0.00 0.00 0.00
444 0.00 0.00 0.00
445 0.00 0.00 0.00
449 0.00 0.00 0.00
450 0.00 0.00 0.00
454 0.00 0.00 0.00
459 0.00 0.00 0.00
461 0.00 0.00 0.00
464 0.00 0.00 0.00
465 0.00 0.00 0.00
471 0.00 0.00 0.00
474 0.00 0.00 0.00
475 0.00 0.00 0.00
476 0.00 0.00 0.00
485 0.00 0.00 0.00
486 0.00 0.00 0.00
491 0.00 0.00 0.00
495 0.00 0.00 0.00
496 0.00 0.00 0.00
501 0.00 0.00 0.00
510 0.00 0.00 0.00
511 0.00 0.00 0.00
515 0.00 0.00 0.00
520 0.00 0.00 0.00
521 0.00 0.00 0.00
536 0.00 0.00 0.00
546 0.00 0.00 0.00
547 0.00 0.00 0.00
552 0.00 0.00 0.00
557 0.00 0.00 0.00
562 0.00 0.00 0.00
571 0.00 0.00 0.00
576 0.00 0.00 0.00
582 0.00 0.00 0.00
588 0.00 0.00 0.00
593 0.00 0.00 0.00
602 0.00 0.00 0.00
607 0.00 0.00 0.00
608 0.00 0.00 0.00
612 0.00 0.00 0.00
613 0.00 0.00 0.00
617 0.00 0.00 0.00
619 0.00 0.00 0.00
622 0.00 0.00 0.00
627 0.00 0.00 0.00
632 0.00 0.00 0.00
637 0.00 0.00 0.00
647 0.00 0.00 0.00
652 0.00 0.00 0.00
657 0.00 0.00 0.00
662 0.00 0.00 0.00
687 0.00 0.00 0.00
693 0.00 0.00 0.00
698 0.00 0.00 0.00
703 0.00 0.00 0.00
704 0.00 0.00 0.00
708 0.00 0.00 0.00
709 0.00 0.00 0.00
728 0.00 0.00 0.00
760 0.00 0.00 0.00
762 0.00 0.00 0.00
765 0.00 0.00 0.00
767 0.00 0.00 0.00
770 0.00 0.00 0.00
776 0.00 0.00 0.00
777 0.00 0.00 0.00
781 0.00 0.00 0.00
786 0.00 0.00 0.00
788 0.00 0.00 0.00
791 0.00 0.00 0.00
793 0.00 0.00 0.00
796 0.00 0.00 0.00
802 0.00 0.00 0.00
807 0.00 0.00 0.00
808 0.00 0.00 0.00
812 0.00 0.00 0.00
813 0.00 0.00 0.00
818 0.00 0.00 0.00
842 0.00 0.00 0.00
843 0.00 0.00 0.00
847 0.00 0.00 0.00
849 0.00 0.00 0.00
854 0.00 0.00 0.00
857 0.00 0.00 0.00
872 0.00 0.00 0.00
876 0.00 0.00 0.00
881 0.00 0.00 0.00
882 0.00 0.00 0.00
883 0.00 0.00 0.00
890 0.00 0.00 0.00
895 0.00 0.00 0.00
900 0.00 0.00 0.00
901 0.00 0.00 0.00
904 0.00 0.00 0.00
911 0.00 0.00 0.00
926 0.00 0.00 0.00
931 0.00 0.00 0.00
934 0.00 0.00 0.00
939 0.00 0.00 0.00
946 0.00 0.00 0.00
954 0.00 0.00 0.00
970 0.00 0.00 0.00
973 0.00 0.00 0.00
974 0.00 0.00 0.00
982 0.00 0.00 0.00
1000 0.00 0.00 0.00
1015 0.00 0.00 0.00
1016 0.00 0.00 0.00
1026 0.00 0.00 0.00
1028 0.00 0.00 0.00
1030 0.00 0.00 0.00
1033 0.00 0.00 0.00
1036 0.00 0.00 0.00
1046 0.00 0.00 0.00
1057 0.00 0.00 0.00
1067 0.00 0.00 0.00
1077 0.00 0.00 0.00
1085 0.00 0.00 0.00
1087 0.00 0.00 0.00
1103 0.00 0.00 0.00
1105 0.00 0.00 0.00
1110 0.00 0.00 0.00
1118 0.00 0.00 0.00
1120 0.00 0.00 0.00
1129 0.00 0.00 0.00
1136 0.00 0.00 0.00
1146 0.00 0.00 0.00
1149 0.00 0.00 0.00
1151 0.00 0.00 0.00
1154 0.00 0.00 0.00
1171 0.00 0.00 0.00
1185 0.00 0.00 0.00
1195 0.00 0.00 0.00
1210 0.00 0.00 0.00
1212 0.00 0.00 0.00
1230 0.00 0.00 0.00
1232 0.00 0.00 0.00
1237 0.00 0.00 0.00
1241 0.00 0.00 0.00
1257 0.00 0.00 0.00
1267 0.00 0.00 0.00
1283 0.00 0.00 0.00
1287 0.00 0.00 0.00
1297 0.00 0.00 0.00
1312 0.00 0.00 0.00
1318 0.00 0.00 0.00
1323 0.00 0.00 0.00
1351 0.00 0.00 0.00
1358 0.00 0.00 0.00
1379 0.00 0.00 0.00
1384 0.00 0.00 0.00
1389 0.00 0.00 0.00
1390 0.00 0.00 0.00
1395 0.00 0.00 0.00
1400 0.00 0.00 0.00
1410 0.00 0.00 0.00
1416 0.00 0.00 0.00
1421 0.00 0.00 0.00
