#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 6.73 4.84 8.62
6 29.26 20.62 37.90
10 36.10 26.80 45.40
11 72.37 57.63 87.11
15 82.28 66.40 98.15
16 146.37 115.49 177.24
20 167.22 135.10 199.35
21 216.63 205.23 228.03
25 219.77 209.93 229.61
26 233.86 229.87 237.85
30 236.30 232.24 240.36
31 247.71 241.78 253.64
35 253.61 247.36 259.85
36 280.06 269.99 290.13
40 288.20 277.11 299.30
41 303.58 293.68 313.49
42 309.22 299.53 318.91
44 311.20 301.36 321.04
45 314.81 304.35 325.27
46 322.09 315.64 328.54
47 325.47 319.82 331.12
48 326.69 320.97 332.42
49 327.87 321.95 333.79
50 332.76 325.39 340.13
51 341.15 331.50 350.80
52 346.86 336.46 357.26
53 348.72 338.49 358.95
54 351.41 341.30 361.53
55 360.72 349.76 371.67
56 371.71 361.60 381.81
57 375.09 364.51 385.67
58 378.98 367.86 390.10
59 380.47 369.10 391.85
60 382.62 372.05 393.19
61 387.73 376.72 398.74
62 390.15 378.79 401.51
63 392.14 380.50 403.79
64 392.82 381.13 404.52
65 394.11 384.36 403.87
66 396.13 388.21 404.05
67 400.41 393.69 407.13
68 401.72 395.23 408.21
69 402.81 396.60 409.02
70 403.51 398.14 408.88
71 404.92 400.19 409.65
72 410.45 405.37 415.54
73 412.39 407.15 417.63
74 414.00 408.70 419.30
75 414.71 409.91 419.52
76 416.30 411.84 420.76
77 424.36 418.33 430.39
78 426.99 420.64 433.33
79 428.22 421.81 434.63
80 428.63 422.36 434.90
81 430.24 424.08 436.40
82 434.96 428.36 441.57
83 436.25 429.47 443.03
84 436.46 429.69 443.24
85 436.70 430.24 443.16
86 437.16 430.98 443.35
87 438.37 432.09 444.65
88 440.32 433.53 447.10
89 441.26 434.58 447.93
90 441.71 435.47 447.95
92 442.05 436.02 448.08
93 446.79 440.36 453.22
94 448.25 442.08 454.42
95 449.12 443.93 454.31
97 450.33 445.74 454.91
98 455.53 451.18 459.89
99 456.80 452.54 461.06
100 457.23 453.20 461.26
102 457.75 454.01 461.48
103 459.04 455.19 462.89
104 459.67 455.72 463.62
105 459.97 456.00 463.93
107 460.56 456.57 464.54
108 461.51 457.34 465.69
109 462.16 457.86 466.45
110 462.93 458.55 467.31
112 463.72 460.04 467.40
113 466.19 462.21 470.17
114 467.06 463.02 471.10
115 467.75 463.68 471.82
116 468.18 464.55 471.81
117 469.09 465.92 472.27
118 472.16 468.83 475.49
119 473.19 469.77 476.60
120 473.56 470.20 476.92
121 473.73 470.52 476.95
122 474.38 471.29 477.47
123 476.42 473.07 479.77
124 477.45 473.70 481.20
125 477.88 474.03 481.72
126 478.14 474.53 481.75
127 478.64 475.23 482.05
128 479.79 476.26 483.32
129 480.29 476.70 483.87
131 480.73 477.09 484.37
132 481.76 477.89 485.64
133 485.46 480.85 490.07
134 487.06 482.06 492.06
135 487.52 482.40 492.65
136 487.73 482.72 492.74
137 488.65 483.85 493.45
138 490.39 485.64 495.14
139 490.55 485.82 495.28
140 490.67 485.96 495.38
141 490.87 486.34 495.41
143 491.01 486.57 495.46
144 491.18 486.95 495.42
145 491.43 487.38 495.47
147 492.30 488.85 495.75
148 493.61 490.19 497.03
149 493.94 490.47 497.40
150 494.29 490.76 497.83
151 494.68 491.11 498.25
152 495.73 492.42 499.04
153 497.61 494.09 501.14
154 498.00 494.40 501.59
155 498.23 494.58 501.88
156 498.47 494.79 502.15
157 499.57 497.29 501.85
158 500.65 498.30 503.00
159 500.81 498.42 503.19
160 501.06 498.59 503.53
161 501.58 498.98 504.18
162 502.25 499.48 505.02
163 503.84 500.78 506.91
164 504.47 501.25 507.69
165 505.02 501.65 508.40
166 505.69 502.16 509.23
168 506.50 503.13 509.87
169 509.09 505.17 513.01
170 509.82 505.82 513.83
171 510.43 506.35 514.50
173 511.33 507.46 515.19
174 513.77 509.60 517.95
175 514.63 510.31 518.96
177 514.75 510.40 519.10
178 515.03 510.63 519.44
181 515.10 510.73 519.46
182 515.16 510.82 519.49
183 515.21 510.91 519.52
184 515.54 511.33 519.75
185 515.94 511.83 520.05
186 516.37 512.35 520.38
188 516.71 512.99 520.44
189 517.33 513.65 521.02
191 517.54 513.88 521.20
192 517.67 514.09 521.26
194 517.86 514.30 521.42
195 518.16 514.67 521.66
196 518.47 515.04 521.91
197 518.75 515.33 522.18
198 519.16 515.71 522.61
199 520.25 516.60 523.89
200 520.45 516.79 524.12
201 520.70 517.00 524.41
203 521.50 518.44 524.56
204 522.86 519.83 525.90
205 523.21 520.11 526.32
206 523.77 520.50 527.03
207 524.17 520.87 527.47
208 525.18 522.50 527.86
209 527.65 524.60 530.70
210 528.29 525.06 531.52
211 528.57 525.27 531.87
212 528.78 525.46 532.09
213 529.76 526.92 532.60
214 530.92 528.00 533.84
215 531.20 528.21 534.19
216 531.74 528.60 534.88
217 532.41 529.12 535.70
218 533.22 529.88 536.56
220 533.79 530.36 537.22
222 533.88 530.44 537.32
223 534.50 530.99 538.02
224 535.27 531.63 538.91
225 535.41 531.73 539.08
226 535.51 531.81 539.21
227 535.62 531.90 539.34
228 535.91 532.48 539.33
229 536.25 532.80 539.71
230 536.70 533.16 540.24
231 537.19 533.55 540.82
232 537.62 533.88 541.36
233 538.13 534.25 542.00
235 538.63 534.68 542.59
237 538.80 534.82 542.77
238 539.62 535.81 543.42
239 540.23 536.34 544.12
240 541.12 536.99 545.24
241 541.33 537.19 545.48
242 541.38 537.25 545.52
243 541.44 537.33 545.55
244 541.93 537.72 546.13
245 543.73 538.98 548.49
246 545.34 540.54 550.14
247 545.60 540.91 550.29
248 546.21 541.92 550.49
249 547.83 543.62 552.04
250 550.88 545.92 555.85
251 551.79 546.67 556.91
253 552.16 546.99 557.33
254 553.26 548.00 558.52
255 556.47 550.75 562.19
256 557.77 551.76 563.79
258 557.96 551.92 564.00
259 559.10 553.17 565.03
260 561.37 555.02 567.73
261 562.21 555.61 568.80
262 562.39 555.79 569.00
263 562.79 556.14 569.44
264 564.02 557.36 570.68
265 566.29 559.29 573.28
266 566.72 559.64 573.81
267 566.92 559.79 574.05
268 567.02 559.88 574.15
269 567.58 560.54 574.62
270 568.13 561.06 575.19
271 568.21 561.13 575.29
272 568.37 561.26 575.48
273 568.53 561.39 575.67
274 568.99 562.41 575.57
275 569.26 562.76 575.77
277 569.33 562.82 575.84
278 569.41 562.91 575.90
279 569.63 563.25 576.01
280 569.86 563.47 576.25
281 569.90 563.51 576.29
282 569.92 563.52 576.31
283 569.97 563.57 576.38
284 570.49 564.54 576.45
285 570.65 564.68 576.61
286 570.67 564.70 576.64
290 570.74 564.76 576.72
291 570.79 564.81 576.77
292 570.83 564.84 576.81
293 570.88 564.91 576.85
295 570.99 565.14 576.85
296 571.15 565.32 576.99
299 571.28 565.43 577.13
300 572.30 567.23 577.37
301 572.60 567.52 577.67
302 572.85 567.77 577.93
303 572.95 567.91 577.99
304 573.07 568.07 578.07
305 573.90 569.87 577.94
306 574.45 570.31 578.59
307 574.78 570.63 578.93
309 574.96 570.90 579.02
310 575.74 572.61 578.87
311 576.57 573.38 579.75
312 577.09 573.88 580.29
313 577.33 574.18 580.49
314 577.50 574.39 580.62
315 577.94 574.91 580.97
316 578.41 575.30 581.52
317 578.53 575.40 581.66
318 578.65 575.49 581.80
319 578.88 575.71 582.04
320 579.73 577.67 581.79
321 580.80 578.71 582.89
322 580.95 578.85 583.05
323 581.11 578.99 583.23
324 581.34 579.23 583.45
325 581.55 579.39 583.71
326 582.71 580.36 585.06
327 582.82 580.44 585.20
328 583.00 580.55 585.44
329 583.17 580.67 585.66
330 583.58 581.18 585.97
331 584.17 581.74 586.60
332 584.29 581.83 586.74
333 584.43 581.94 586.92
334 584.59 582.06 587.12
335 584.83 582.25 587.42
336 585.32 582.71 587.94
337 585.39 582.76 588.01
338 585.42 582.80 588.05
339 585.49 582.85 588.13
340 585.83 583.31 588.34
341 586.30 583.72 588.88
342 586.34 583.76 588.93
343 586.37 583.78 588.95
345 586.39 583.80 588.98
347 586.45 583.86 589.03
348 586.45 583.86 589.04
349 586.45 583.86 589.04
350 586.46 583.87 589.05
351 586.49 583.90 589.08
352 586.64 584.03 589.26
353 586.66 584.04 589.28
354 586.77 584.13 589.41
355 587.12 584.40 589.84
356 587.23 584.55 589.90
357 587.32 584.64 590.00
361 587.48 584.75 590.20
362 587.62 584.95 590.29
364 587.72 585.04 590.40
365 587.86 585.16 590.56
366 588.27 586.01 590.52
367 588.48 586.25 590.70
368 588.50 586.27 590.73
369 588.56 586.32 590.80
372 588.65 586.40 590.89
375 588.70 586.44 590.96
377 588.90 586.82 590.97
380 589.00 587.06 590.95
381 589.16 587.35 590.98
382 590.25 588.19 592.32
383 590.50 588.38 592.61
384 590.55 588.43 592.66
386 590.64 588.51 592.77
387 590.95 588.75 593.14
388 591.39 589.05 593.72
389 591.45 589.10 593.79
390 591.48 589.14 593.83
391 591.57 589.23 593.92
392 592.31 590.28 594.34
394 592.87 590.76 594.97
395 592.98 590.90 595.06
396 593.10 591.03 595.17
397 593.36 591.42 595.30
399 593.66 591.68 595.63
400 593.78 591.79 595.78
401 593.86 591.85 595.87
402 594.23 592.32 596.15
404 594.35 592.41 596.29
405 594.55 592.56 596.53
406 594.82 592.78 596.86
407 595.46 593.54 597.38
408 595.65 593.68 597.62
409 595.86 593.72 598.00
410 595.94 593.75 598.14
411 596.11 593.86 598.36
412 596.25 594.02 598.47
413 596.31 594.12 598.50
414 596.47 594.29 598.65
415 596.59 594.41 598.78
416 596.98 594.72 599.25
417 597.19 594.86 599.51
418 597.63 595.21 600.06
419 598.17 595.47 600.86
421 598.19 595.49 600.89
422 598.33 595.62 601.03
423 598.64 595.88 601.40
424 599.18 596.35 602.01
425 599.52 596.62 602.41
426 600.17 597.11 603.23
427 600.78 597.63 603.93
428 601.09 597.93 604.26
429 601.75 598.44 605.06
430 602.02 598.68 605.36
431 602.35 598.95 605.75
432 602.67 599.23 606.11
434 602.80 599.34 606.25
435 602.99 599.51 606.47
436 603.24 599.72 606.77
437 603.54 600.02 607.07
438 603.84 600.31 607.38
439 604.27 600.65 607.89
440 604.48 600.82 608.14
441 604.57 600.89 608.24
442 604.81 601.10 608.51
444 604.99 601.27 608.72
445 605.27 601.51 609.03
446 605.78 601.92 609.63
447 606.61 602.56 610.66
448 607.45 603.58 611.32
449 607.58 603.71 611.45
450 607.75 603.87 611.62
452 608.11 604.19 612.03
454 608.35 604.37 612.33
455 608.74 604.65 612.83
456 609.00 604.88 613.12
457 609.35 605.18 613.52
458 609.68 605.54 613.82
460 609.76 605.61 613.90
462 609.89 605.73 614.04
463 610.52 606.33 614.71
465 610.67 606.44 614.90
466 610.74 606.51 614.98
467 610.85 606.59 615.10
470 611.08 606.84 615.32
471 611.61 607.32 615.90
472 612.27 607.86 616.69
475 612.72 608.50 616.95
477 613.71 609.68 617.74
482 613.74 609.71 617.76
484 613.84 609.87 617.81
487 614.12 610.18 618.07
489 614.38 610.43 618.34
492 614.54 610.59 618.50
493 614.78 610.88 618.67
494 615.06 611.30 618.81
495 615.16 611.39 618.93
496 615.17 611.39 618.94
498 615.19 611.41 618.96
499 615.34 611.53 619.14
500 615.41 611.59 619.23
501 615.57 611.72 619.42
502 615.58 611.73 619.44
503 615.68 611.81 619.54
504 615.77 612.05 619.50
505 615.82 612.10 619.53
507 615.82 612.11 619.54
510 615.83 612.12 619.54
511 616.14 612.65 619.63
513 616.21 612.85 619.57
516 616.33 613.11 619.55
517 616.46 613.34 619.59
518 616.69 613.64 619.75
521 616.84 613.93 619.76
523 617.26 614.51 620.00
528 617.36 614.80 619.93
534 617.46 615.08 619.84
535 617.47 615.10 619.85
536 617.52 615.15 619.89
538 617.75 615.33 620.16
539 617.91 615.62 620.20
540 618.02 615.80 620.25
542 618.12 615.92 620.33
545 618.24 616.03 620.46
546 618.50 616.31 620.70
547 619.16 617.22 621.10
549 619.34 617.54 621.13
551 619.57 617.92 621.21
552 619.89 618.21 621.57
554 619.94 618.25 621.63
556 619.97 618.28 621.67
557 619.99 618.29 621.69
559 620.00 618.30 621.70
561 620.03 618.32 621.74
564 620.15 618.41 621.89
569 620.48 619.07 621.90
574 621.15 620.18 622.11
576 621.30 620.35 622.25
577 621.36 620.40 622.33
578 621.48 620.48 622.47
580 621.53 620.52 622.54
581 621.74 620.66 622.81
584 621.80 620.72 622.88
586 621.97 620.86 623.08
587 622.02 620.93 623.12
600 622.04 620.95 623.14
606 622.23 621.22 623.25
610 622.37 621.46 623.28
617 622.42 621.51 623.34
618 622.56 621.60 623.51
619 622.57 621.61 623.53
620 622.59 621.63 623.56
621 622.66 621.68 623.64
626 622.66 621.68 623.64
627 622.68 621.73 623.64
628 623.18 622.11 624.25
629 623.31 622.22 624.41
630 623.47 622.33 624.60
631 623.50 622.36 624.63
637 623.51 622.37 624.66
638 623.60 622.44 624.76
642 623.68 622.50 624.85
652 623.89 622.67 625.12
657 624.11 623.03 625.20
662 624.35 623.44 625.27
667 624.51 623.78 625.24
693 624.54 623.83 625.25
695 624.72 624.04 625.39
697 624.76 624.17 625.36
698 624.77 624.17 625.36
700 624.78 624.18 625.37
701 624.83 624.23 625.42
702 624.87 624.27 625.46
705 624.90 624.30 625.50
709 624.99 624.37 625.61
710 625.30 624.62 625.99
711 625.41 624.69 626.12
714 625.41 624.70 626.12
715 625.41 624.70 626.12
717 625.41 624.70 626.12
719 625.41 624.70 626.12
720 625.53 624.78 626.29
722 625.60 624.82 626.38
724 625.73 624.91 626.55
725 625.76 624.94 626.58
727 625.83 625.00 626.67
733 625.96 625.10 626.82
739 626.16 625.37 626.95
743 626.25 625.54 626.96
749 626.32 625.68 626.95
753 626.39 625.85 626.93
754 626.52 626.10 626.95
759 626.64 626.14 627.15
760 626.92 626.31 627.53
761 627.06 626.45 627.66
763 627.10 626.50 627.70
764 627.34 626.71 627.97
765 627.76 626.73 628.79
766 628.65 626.77 630.53
768 629.11 627.09 631.13
771 629.28 627.29 631.26
773 629.53 627.59 631.47
776 630.09 628.13 632.05
778 631.61 629.14 634.07
801 632.74 630.00 635.49
806 634.22 631.01 637.43
811 634.45 631.32 637.57
816 634.89 631.99 637.79
821 635.02 632.21 637.83
840 635.08 632.32 637.84
855 635.20 632.59 637.81
865 635.20 632.60 637.81
887 635.25 632.71 637.79
888 637.22 633.99 640.44
892 637.95 634.49 641.40
893 639.28 635.31 643.25
895 639.34 635.33 643.36
897 640.43 636.27 644.59
898 641.53 636.80 646.26
900 641.93 637.07 646.79
902 642.82 637.85 647.78
903 644.18 638.93 649.43
905 644.40 639.09 649.71
906 644.62 639.25 650.00
907 644.93 639.59 650.27
908 645.73 640.08 651.38
910 645.87 640.17 651.58
911 646.10 640.33 651.86
912 646.38 640.53 652.24
913 655.61 639.07 672.15
915 657.77 639.55 675.99
916 660.16 641.05 679.28
917 662.85 642.63 683.08
918 685.48 649.41 721.55
921 686.99 650.19 723.78
922 709.78 669.44 750.12
923 729.53 681.97 777.09
926 731.49 683.61 779.37
927 746.51 697.11 795.92
928 763.15 706.97 819.32
