#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 1.24 0.52 1.96
20 1.73 0.94 2.52
21 2.70 2.14 3.26
25 2.76 2.31 3.21
26 3.00 3.00 3.00
30 3.00 3.00 3.00
31 3.00 3.00 3.00
35 3.00 3.00 3.00
36 3.28 2.84 3.72
40 4.02 3.55 4.49
41 5.19 4.64 5.73
42 5.63 5.07 6.18
44 5.70 5.14 6.26
45 5.70 5.14 6.26
46 5.70 5.14 6.26
47 5.81 5.46 6.16
48 5.82 5.48 6.16
49 5.83 5.50 6.15
50 5.85 5.57 6.13
51 5.92 5.70 6.14
52 6.03 5.83 6.23
53 6.10 5.94 6.26
54 6.20 6.07 6.33
55 6.44 6.25 6.63
56 6.77 6.42 7.12
57 6.92 6.56 7.28
58 7.11 6.73 7.49
59 7.32 6.91 7.72
60 7.52 7.04 8.00
61 8.03 7.56 8.50
62 8.32 7.81 8.83
63 8.58 8.02 9.13
64 8.60 8.04 9.16
65 8.64 8.14 9.15
66 8.68 8.22 9.13
67 8.79 8.39 9.18
68 8.79 8.41 9.18
69 8.80 8.43 9.17
70 8.83 8.51 9.15
71 8.86 8.60 9.12
72 8.89 8.68 9.10
73 8.91 8.71 9.11
74 8.92 8.73 9.11
75 8.95 8.81 9.09
76 8.98 8.89 9.07
77 9.25 8.99 9.50
78 9.31 9.05 9.58
79 9.41 9.17 9.65
80 9.44 9.20 9.67
81 9.54 9.32 9.76
82 9.81 9.62 9.99
83 9.90 9.71 10.08
84 9.90 9.71 10.08
85 9.90 9.71 10.09
86 9.90 9.71 10.09
87 9.90 9.71 10.09
88 9.90 9.71 10.09
89 9.90 9.71 10.09
90 9.90 9.71 10.09
92 9.90 9.71 10.09
93 9.90 9.71 10.09
94 9.90 9.71 10.09
95 9.93 9.81 10.06
97 9.95 9.86 10.04
98 9.98 9.95 10.01
99 9.99 9.98 10.01
100 10.00 10.00 10.00
102 10.00 10.00 10.00
103 10.00 10.00 10.00
104 10.00 10.00 10.00
105 10.00 10.00 10.00
107 10.00 10.00 10.00
108 10.00 10.00 10.00
109 10.00 10.00 10.00
110 10.00 10.00 10.00
112 10.00 10.00 10.00
113 10.00 10.00 10.00
114 10.02 9.99 10.04
115 10.02 9.98 10.05
116 10.02 9.98 10.05
117 10.02 9.98 10.06
118 10.26 10.01 10.51
119 10.32 10.06 10.58
120 10.41 10.17 10.65
121 10.44 10.20 10.67
122 10.54 10.32 10.76
123 10.81 10.62 10.99
124 10.90 10.71 11.08
125 10.90 10.71 11.08
126 10.90 10.71 11.09
127 10.90 10.71 11.09
128 10.90 10.71 11.09
129 10.90 10.71 11.09
131 10.90 10.71 11.09
132 10.90 10.71 11.09
133 10.90 10.71 11.09
134 10.90 10.71 11.09
135 10.90 10.71 11.09
136 10.90 10.71 11.09
137 10.90 10.71 11.09
138 10.90 10.71 11.09
139 10.90 10.71 11.09
140 10.90 10.71 11.09
141 10.90 10.71 11.09
143 10.90 10.71 11.09
144 10.90 10.71 11.09
145 10.90 10.71 11.09
147 10.97 10.90 11.03
148 10.99 10.98 11.01
149 10.99 10.98 11.01
150 10.99 10.98 11.00
151 11.00 11.00 11.00
152 11.00 11.00 11.00
153 11.00 11.00 11.00
154 11.00 11.00 11.00
155 11.00 11.00 11.00
156 11.00 11.00 11.00
157 11.00 11.00 11.00
158 11.00 11.00 11.00
159 11.00 11.00 11.00
160 11.00 11.00 11.00
161 11.00 11.00 11.00
162 11.00 11.00 11.00
163 11.00 11.00 11.00
164 11.00 11.00 11.00
165 11.00 11.00 11.00
166 11.00 11.00 11.00
168 11.00 11.00 11.00
169 11.16 10.86 11.46
170 11.25 10.90 11.60
171 11.43 11.08 11.78
173 11.52 11.15 11.89
174 12.34 11.90 12.78
175 12.58 12.09 13.07
177 12.59 12.09 13.08
178 12.76 12.39 13.13
181 12.77 12.40 13.14
182 12.80 12.43 13.17
183 12.80 12.43 13.17
184 12.89 12.47 13.31
185 13.02 12.54 13.50
186 13.34 12.78 13.89
188 13.49 12.86 14.13
189 13.96 13.24 14.67
191 13.99 13.27 14.72
192 14.01 13.28 14.74
194 14.14 13.44 14.84
195 14.33 13.61 15.06
196 14.43 13.70 15.15
197 14.54 13.80 15.28
198 14.60 13.86 15.34
199 14.60 13.86 15.34
200 14.60 13.86 15.34
201 14.60 13.86 15.34
203 14.60 13.86 15.34
204 14.60 13.86 15.34
205 14.60 13.86 15.34
206 14.60 13.86 15.34
207 14.60 13.86 15.34
208 14.60 13.86 15.34
209 14.60 13.86 15.34
210 14.60 13.86 15.34
211 14.60 13.86 15.34
212 14.60 13.86 15.34
213 14.76 14.31 15.21
214 14.79 14.40 15.18
215 14.79 14.40 15.18
216 14.79 14.41 15.18
217 14.80 14.43 15.17
218 14.80 14.43 15.17
220 14.80 14.43 15.17
222 14.80 14.43 15.17
223 14.80 14.43 15.17
224 14.80 14.43 15.17
225 14.80 14.43 15.17
226 14.80 14.43 15.17
227 14.80 14.43 15.17
228 14.98 14.94 15.02
229 14.98 14.95 15.01
230 14.99 14.96 15.01
231 14.99 14.96 15.01
232 14.99 14.97 15.01
233 14.99 14.97 15.01
235 14.99 14.98 15.00
237 15.03 14.98 15.08
238 15.08 14.93 15.23
239 15.14 14.88 15.40
240 15.36 14.91 15.81
241 15.37 14.91 15.83
242 15.38 14.92 15.83
243 15.38 14.93 15.84
244 15.51 15.04 15.98
245 15.74 15.28 16.20
246 16.28 15.73 16.82
247 16.29 15.74 16.84
248 16.37 15.86 16.88
249 16.45 15.97 16.94
250 16.90 16.40 17.41
251 17.00 16.46 17.55
253 17.05 16.50 17.60
254 17.12 16.55 17.69
255 17.58 16.80 18.36
256 17.74 16.91 18.57
258 17.81 16.98 18.64
259 18.11 17.29 18.94
260 18.70 17.88 19.53
261 18.88 18.03 19.73
262 18.92 18.06 19.77
263 18.97 18.11 19.82
264 19.15 18.27 20.03
265 19.41 18.50 20.33
266 19.47 18.54 20.39
267 19.49 18.56 20.41
268 19.49 18.57 20.42
269 19.50 18.57 20.43
270 19.50 18.57 20.43
271 19.50 18.57 20.43
272 19.50 18.57 20.43
273 19.50 18.57 20.43
274 19.50 18.57 20.43
275 19.50 18.57 20.43
277 19.50 18.57 20.43
278 19.50 18.57 20.43
279 19.50 18.57 20.43
280 19.50 18.57 20.43
281 19.50 18.57 20.43
282 19.50 18.57 20.43
283 19.50 18.57 20.43
284 19.50 18.57 20.43
285 19.50 18.57 20.43
286 19.50 18.57 20.43
290 19.50 18.57 20.43
291 19.50 18.57 20.43
292 19.50 18.57 20.43
293 19.50 18.57 20.43
295 19.50 18.57 20.43
296 19.50 18.57 20.43
299 19.50 18.57 20.43
300 19.66 19.03 20.29
301 19.67 19.06 20.28
302 19.68 19.08 20.28
303 19.69 19.11 20.27
304 19.70 19.14 20.26
305 19.70 19.14 20.26
306 19.70 19.14 20.26
307 19.70 19.14 20.26
309 19.70 19.14 20.26
310 19.86 19.60 20.12
311 19.90 19.65 20.15
312 19.97 19.70 20.24
313 20.00 19.74 20.26
314 20.02 19.77 20.28
315 20.09 19.79 20.39
316 20.32 19.85 20.79
317 20.34 19.86 20.82
318 20.39 19.92 20.86
319 20.50 20.02 20.99
320 20.69 20.27 21.12
321 21.12 20.66 21.58
322 21.18 20.72 21.63
323 21.24 20.78 21.70
324 21.30 20.85 21.75
325 21.36 20.90 21.82
326 21.66 21.25 22.06
327 21.67 21.27 22.07
328 21.68 21.28 22.09
329 21.70 21.29 22.10
330 21.70 21.30 22.10
331 21.78 21.41 22.15
332 21.79 21.42 22.15
333 21.79 21.42 22.16
334 21.79 21.42 22.17
335 21.80 21.43 22.17
336 21.80 21.43 22.17
337 21.80 21.43 22.17
338 21.80 21.43 22.17
339 21.80 21.43 22.17
340 21.80 21.43 22.17
341 21.80 21.43 22.17
342 21.80 21.43 22.17
343 21.80 21.43 22.17
345 21.80 21.43 22.17
347 21.80 21.43 22.17
