#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 29.00 27.53 30.47
10 34.03 30.56 37.50
11 37.60 34.51 40.69
15 38.32 35.15 41.49
16 41.52 38.25 44.79
20 42.36 39.07 45.65
21 44.62 41.76 47.48
25 45.00 42.18 47.82
26 46.56 44.69 48.43
30 46.84 45.14 48.54
31 48.63 46.48 50.78
35 48.93 46.87 51.00
36 50.16 48.37 51.95
40 50.68 48.71 52.65
41 53.10 50.46 55.74
46 55.80 52.19 59.41
51 57.20 53.63 60.77
56 60.00 56.12 63.88
61 61.49 57.65 65.34
62 62.62 58.89 66.35
66 62.98 58.95 67.01
67 63.47 59.46 67.48
71 63.64 59.65 67.63
72 64.30 60.20 68.40
76 64.46 60.36 68.57
77 64.79 60.89 68.68
81 64.96 61.14 68.78
82 67.42 62.72 72.11
86 67.77 62.92 72.62
87 68.39 63.80 72.98
92 69.20 64.35 74.05
97 70.60 66.11 75.09
102 71.83 68.10 75.56
103 72.48 69.25 75.71
107 72.61 69.50 75.73
112 73.02 69.70 76.34
113 74.00 70.53 77.47
117 74.24 70.68 77.80
118 76.83 71.98 81.68
122 77.39 72.02 82.77
123 77.92 72.15 83.69
127 77.97 72.14 83.79
128 78.50 72.42 84.58
133 79.20 73.35 85.04
138 79.86 73.88 85.84
139 81.16 75.43 86.89
143 81.48 75.78 87.18
144 82.80 77.34 88.26
148 83.08 77.72 88.45
149 83.93 78.73 89.13
153 84.11 78.97 89.26
158 84.76 79.61 89.91
159 85.36 80.77 89.94
163 85.40 80.82 89.98
164 85.74 81.02 90.45
168 85.84 81.12 90.56
169 87.76 84.30 91.22
173 88.68 85.44 91.92
174 89.80 87.11 92.49
178 89.93 87.35 92.52
179 90.15 87.68 92.62
183 90.35 87.97 92.74
184 91.18 89.06 93.30
189 92.99 89.70 96.28
194 94.50 91.41 97.59
199 95.56 92.28 98.84
204 95.58 92.30 98.86
209 95.60 92.32 98.88
214 95.62 92.34 98.91
219 95.75 92.38 99.12
224 96.07 92.66 99.48
225 96.25 92.79 99.72
229 96.27 92.80 99.73
230 96.60 93.16 100.04
234 96.60 93.16 100.04
235 96.76 93.59 99.93
239 96.88 93.75 100.01
240 97.20 93.90 100.50
244 97.31 93.99 100.62
245 97.73 94.30 101.17
250 97.77 94.31 101.22
254 97.77 94.31 101.23
255 97.80 94.32 101.28
259 97.87 94.36 101.38
260 98.13 94.49 101.78
264 98.14 94.49 101.79
265 98.49 95.36 101.61
269 98.57 95.58 101.57
270 98.60 95.58 101.62
271 98.60 95.58 101.62
274 98.70 95.67 101.73
275 99.14 96.29 102.00
279 99.21 96.40 102.01
280 99.47 96.87 102.06
285 99.60 96.96 102.23
290 100.03 98.00 102.07
291 100.37 98.39 102.35
295 100.40 98.44 102.36
300 100.43 98.48 102.38
301 100.99 99.22 102.75
306 101.00 99.24 102.75
311 101.00 99.24 102.75
316 101.27 99.57 102.96
320 101.36 99.63 103.09
321 101.73 99.78 103.68
325 101.75 99.80 103.70
326 101.80 99.85 103.75
330 101.80 99.85 103.75
331 101.80 99.85 103.75
335 101.80 99.85 103.75
336 101.80 99.85 103.75
337 101.96 99.98 103.94
341 102.00 100.00 104.00
345 102.00 100.00 104.00
346 102.00 100.00 104.00
350 102.00 100.00 104.00
351 102.26 100.65 103.87
357 102.31 100.76 103.86
362 102.34 100.77 103.90
363 102.49 100.81 104.16
367 102.76 100.84 104.68
368 102.95 100.79 105.10
372 102.96 100.79 105.13
377 103.37 101.07 105.66
378 103.95 101.00 106.90
380 104.03 101.00 107.06
382 105.37 102.79 107.95
387 105.50 102.90 108.10
393 105.52 102.92 108.13
401 105.60 102.96 108.24
402 105.78 103.05 108.51
407 105.99 103.01 108.97
408 106.00 103.01 108.98
411 106.00 103.01 108.99
412 106.20 103.09 109.30
413 106.20 103.09 109.31
417 106.20 103.09 109.31
418 106.20 103.09 109.31
422 106.44 103.44 109.44
428 106.60 103.64 109.56
433 106.80 103.60 110.00
434 106.80 103.60 110.00
438 106.80 103.60 110.00
443 107.20 103.46 110.94
448 107.20 103.46 110.94
449 107.20 103.46 110.94
453 107.32 103.73 110.91
454 107.80 104.74 110.86
458 107.95 105.03 110.87
459 107.97 105.07 110.88
463 107.98 105.08 110.88
464 107.98 105.09 110.88
469 107.98 105.09 110.88
470 108.00 105.12 110.88
474 108.00 105.12 110.88
479 108.00 105.12 110.88
480 108.00 105.12 110.88
487 108.02 105.16 110.88
489 108.06 105.20 110.92
490 108.15 105.29 111.00
495 108.69 106.10 111.29
499 108.71 106.11 111.30
500 108.76 106.15 111.36
504 108.77 106.15 111.38
505 108.78 106.16 111.39
510 109.02 106.57 111.47
513 109.16 106.76 111.56
518 109.37 106.89 111.84
519 109.42 106.97 111.86
520 109.80 107.42 112.18
525 109.80 107.42 112.18
529 109.80 107.42 112.18
530 109.80 107.42 112.18
534 109.90 107.55 112.26
535 110.33 107.99 112.67
539 110.39 108.03 112.75
540 110.63 108.15 113.12
544 110.65 108.17 113.14
545 110.73 108.23 113.24
550 111.20 108.19 114.21
556 111.28 108.21 114.35
560 111.40 108.23 114.57
561 111.40 108.23 114.57
566 111.45 108.23 114.67
571 111.46 108.23 114.70
576 111.46 108.23 114.70
581 111.47 108.23 114.71
587 111.68 108.24 115.12
591 112.00 108.24 115.76
592 112.03 108.24 115.82
595 112.04 108.24 115.84
596 112.68 108.73 116.63
597 112.98 108.83 117.13
600 113.13 108.96 117.30
