#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 30.00 29.04 30.96
10 32.77 31.01 34.52
11 34.88 33.94 35.82
15 35.32 34.32 36.32
16 36.12 35.49 36.75
20 36.24 35.59 36.89
21 36.56 35.87 37.25
25 36.60 35.90 37.30
26 36.93 36.38 37.48
30 37.01 36.42 37.61
31 37.20 36.54 37.86
35 37.20 36.54 37.86
36 37.20 36.54 37.86
40 37.32 36.63 38.01
41 37.97 37.00 38.93
46 38.20 37.54 38.86
51 38.60 38.17 39.03
56 38.60 38.17 39.03
61 38.81 38.15 39.47
62 38.88 38.19 39.57
66 39.04 38.25 39.83
67 39.36 38.64 40.08
71 39.40 38.70 40.10
72 39.57 38.88 40.26
76 39.57 38.88 40.26
77 39.76 39.34 40.18
81 39.80 39.45 40.15
82 39.80 39.45 40.15
86 39.80 39.45 40.15
87 39.80 39.45 40.15
92 39.80 39.45 40.15
97 39.80 39.45 40.15
102 39.80 39.45 40.15
103 39.98 39.45 40.51
107 39.99 39.45 40.53
112 40.20 39.54 40.86
113 40.20 39.54 40.86
117 40.20 39.54 40.86
118 40.20 39.54 40.86
122 40.20 39.54 40.86
123 40.20 39.54 40.86
127 40.20 39.54 40.86
128 40.20 39.54 40.86
133 40.40 39.70 41.10
138 40.40 39.70 41.10
139 40.40 39.70 41.10
143 40.40 39.70 41.10
144 40.40 39.70 41.10
148 40.40 39.70 41.10
149 40.40 39.70 41.10
153 40.40 39.70 41.10
158 40.40 39.70 41.10
159 40.40 39.70 41.10
163 40.40 39.70 41.10
164 40.40 39.70 41.10
168 40.40 39.70 41.10
169 40.40 39.70 41.10
173 40.40 39.70 41.10
174 40.40 39.70 41.10
178 40.40 39.70 41.10
179 40.40 39.70 41.10
183 40.40 39.70 41.10
184 40.40 39.70 41.10
189 40.40 39.70 41.10
194 40.40 39.70 41.10
199 40.40 39.70 41.10
204 40.40 39.70 41.10
209 40.40 39.70 41.10
214 40.40 39.70 41.10
219 40.40 39.70 41.10
224 40.40 39.70 41.10
225 40.40 39.70 41.10
229 40.40 39.70 41.10
230 40.40 39.70 41.10
234 40.40 39.70 41.10
235 40.40 39.70 41.10
239 40.40 39.70 41.10
240 40.40 39.70 41.10
244 40.40 39.70 41.10
245 40.40 39.70 41.10
250 40.40 39.70 41.10
254 40.40 39.70 41.10
255 40.40 39.70 41.10
259 40.40 39.70 41.10
260 40.40 39.70 41.10
264 40.40 39.70 41.10
265 40.40 39.70 41.10
269 40.40 39.70 41.10
270 40.40 39.70 41.10
271 40.40 39.70 41.10
274 40.40 39.70 41.10
275 40.40 39.70 41.10
279 40.40 39.70 41.10
280 40.40 39.70 41.10
285 40.40 39.70 41.10
290 40.40 39.70 41.10
291 40.40 39.70 41.10
295 40.40 39.70 41.10
300 40.40 39.70 41.10
301 40.40 39.70 41.10
306 40.40 39.70 41.10
311 40.40 39.70 41.10
316 40.40 39.70 41.10
320 40.40 39.70 41.10
321 40.40 39.70 41.10
325 40.40 39.70 41.10
326 40.40 39.70 41.10
330 40.40 39.70 41.10
331 40.40 39.70 41.10
335 40.40 39.70 41.10
336 40.40 39.70 41.10
337 40.40 39.70 41.10
341 40.40 39.70 41.10
345 40.40 39.70 41.10
