#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 45.52 37.98 53.05
6 59.37 54.36 64.38
10 64.00 58.07 69.92
11 69.63 65.10 74.17
30 70.04 65.58 74.49
31 76.33 73.67 78.99
35 77.44 74.76 80.12
36 81.16 78.81 83.51
40 81.82 79.52 84.12
41 84.17 82.00 86.33
45 84.54 82.43 86.65
46 86.11 84.16 88.07
51 87.55 85.61 89.49
56 88.95 86.96 90.94
61 89.00 87.02 90.98
62 89.10 87.08 91.12
66 89.11 87.08 91.13
71 89.11 87.08 91.14
72 89.18 87.16 91.20
77 89.29 87.42 91.16
81 89.43 87.59 91.26
82 89.71 87.99 91.42
87 89.81 88.08 91.55
92 89.81 88.08 91.55
96 89.83 88.09 91.58
97 89.92 88.13 91.71
102 90.05 88.32 91.78
107 90.20 88.52 91.89
112 90.53 88.83 92.22
117 90.75 89.03 92.47
122 91.17 89.32 93.01
128 91.47 89.59 93.35
132 91.56 89.63 93.49
133 91.81 89.74 93.87
137 91.94 89.84 94.04
138 92.37 90.27 94.47
143 92.74 90.60 94.89
148 92.96 90.76 95.17
153 93.01 90.79 95.22
158 93.13 90.93 95.33
159 93.32 91.11 95.53
163 93.37 91.15 95.58
164 93.55 91.26 95.83
168 93.65 91.35 95.96
169 93.85 91.42 96.27
173 93.89 91.44 96.35
174 94.10 91.53 96.66
178 94.12 91.54 96.70
179 94.22 91.58 96.86
183 94.26 91.62 96.90
184 94.43 91.78 97.09
189 94.51 91.84 97.18
193 94.60 91.90 97.30
194 94.82 92.11 97.53
199 94.86 92.15 97.58
204 94.99 92.34 97.65
205 95.17 92.62 97.71
209 95.27 92.75 97.79
210 95.37 92.87 97.86
218 95.50 93.15 97.84
219 95.80 93.48 98.12
220 95.92 93.57 98.27
224 95.92 93.57 98.27
225 96.10 93.75 98.46
229 96.16 93.81 98.51
230 96.32 93.99 98.66
235 96.34 94.00 98.68
239 96.36 94.01 98.70
240 96.60 94.28 98.92
244 96.70 94.35 99.05
245 97.11 94.68 99.55
249 97.23 94.78 99.68
250 97.37 94.95 99.79
255 97.49 95.05 99.94
256 97.74 95.40 100.08
259 97.82 95.51 100.13
260 97.98 95.65 100.31
261 98.00 95.67 100.34
265 98.01 95.68 100.34
269 98.22 95.85 100.58
270 98.30 95.89 100.71
276 98.34 95.91 100.78
280 98.41 95.93 100.88
281 98.64 95.97 101.31
284 98.88 96.15 101.61
286 98.97 96.21 101.74
289 99.07 96.33 101.81
290 99.30 96.40 102.20
291 99.80 96.35 103.24
294 100.07 96.48 103.66
296 100.21 96.50 103.92
299 100.37 96.57 104.16
305 100.47 96.53 104.41
306 100.58 96.51 104.64
310 100.62 96.53 104.71
311 100.86 96.55 105.18
312 101.07 96.74 105.40
315 101.10 96.76 105.44
316 101.16 96.81 105.50
317 101.26 96.98 105.55
321 101.27 96.99 105.55
322 101.44 97.15 105.72
326 101.62 97.32 105.93
327 102.10 97.66 106.53
330 102.33 97.80 106.87
331 102.52 97.87 107.17
332 102.60 97.92 107.27
336 102.62 97.93 107.30
337 102.70 98.00 107.40
341 102.71 98.00 107.41
342 102.71 98.00 107.42
347 102.71 98.00 107.42
351 102.71 98.01 107.42
352 102.72 98.01 107.43
357 102.82 98.05 107.58
362 102.87 98.11 107.62
366 102.93 98.19 107.67
368 103.23 98.40 108.06
372 103.24 98.41 108.07
373 103.30 98.45 108.15
377 103.32 98.46 108.18
378 103.40 98.50 108.30
383 103.40 98.50 108.30
388 103.40 98.50 108.30
393 103.45 98.52 108.38
397 103.51 98.54 108.48
403 103.56 98.56 108.56
408 103.65 98.63 108.66
409 103.68 98.64 108.72
413 103.72 98.65 108.79
414 103.88 98.69 109.08
419 103.89 98.69 109.08
423 103.89 98.69 109.09
424 103.98 98.71 109.26
428 104.00 98.71 109.29
429 104.09 98.76 109.43
434 104.21 98.85 109.58
439 104.32 98.93 109.71
440 104.43 99.00 109.86
444 104.50 99.01 109.98
449 104.55 99.02 110.09
455 104.81 99.18 110.44
459 104.83 99.19 110.47
460 104.91 99.24 110.57
464 104.92 99.25 110.58
465 105.04 99.35 110.74
470 105.26 99.48 111.05
474 105.40 99.67 111.12
475 105.64 99.88 111.39
476 105.77 100.04 111.50
480 105.79 100.07 111.51
481 105.84 100.16 111.53
486 105.95 100.18 111.73
491 106.28 100.54 112.02
494 106.44 100.67 112.21
495 106.57 100.79 112.34
496 106.71 100.90 112.53
500 106.73 100.91 112.55
501 106.77 100.96 112.59
506 106.78 100.96 112.59
510 106.80 100.98 112.63
511 106.90 101.02 112.78
512 106.91 101.05 112.78
515 106.92 101.05 112.78
517 106.92 101.05 112.80
522 106.93 101.05 112.81
526 106.96 101.08 112.83
527 107.04 101.20 112.89
531 107.05 101.20 112.89
532 107.16 101.26 113.07
536 107.24 101.34 113.14
537 107.57 101.62 113.52
541 107.59 101.63 113.55
542 107.68 101.64 113.71
546 107.70 101.65 113.75
547 107.71 101.65 113.77
553 107.75 101.70 113.79
557 107.75 101.71 113.79
562 107.75 101.71 113.80
563 107.82 101.80 113.84
566 107.84 101.83 113.86
568 107.91 101.86 113.97
572 107.97 101.92 114.03
573 108.15 102.12 114.17
576 108.45 102.51 114.38
577 108.69 102.63 114.76
582 108.71 102.65 114.77
583 108.80 102.78 114.82
588 108.90 102.93 114.87
592 108.90 102.93 114.87
593 108.93 102.93 114.93
594 108.94 102.95 114.94
598 108.99 103.01 114.97
599 109.32 103.40 115.23
603 109.74 103.81 115.66
608 110.38 104.40 116.35
609 110.69 104.46 116.92
613 110.89 104.68 117.09
614 111.93 105.52 118.34
618 112.19 105.83 118.55
619 113.01 106.75 119.28
623 113.39 107.15 119.63
624 113.99 107.90 120.07
628 114.00 107.91 120.09
629 114.35 107.90 120.80
630 114.88 108.31 121.45
633 115.10 108.49 121.71
634 115.30 108.64 121.97
635 115.48 108.75 122.22
639 115.60 108.78 122.42
