#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
45 0.00 0.00 0.00
46 0.00 0.00 0.00
51 0.00 0.00 0.00
56 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
66 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
87 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
102 0.00 0.00 0.00
107 0.00 0.00 0.00
112 0.00 0.00 0.00
117 0.00 0.00 0.00
122 0.00 0.00 0.00
128 0.00 0.00 0.00
132 0.00 0.00 0.00
133 0.00 0.00 0.00
137 0.00 0.00 0.00
138 0.00 0.00 0.00
143 0.00 0.00 0.00
148 0.00 0.00 0.00
153 0.00 0.00 0.00
158 0.00 0.00 0.00
159 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
168 0.00 0.00 0.00
169 0.00 0.00 0.00
173 0.00 0.00 0.00
174 0.00 0.00 0.00
178 0.00 0.00 0.00
179 0.00 0.00 0.00
183 0.00 0.00 0.00
184 0.00 0.00 0.00
189 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
199 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
209 0.00 0.00 0.00
210 0.00 0.00 0.00
218 0.00 0.00 0.00
219 0.00 0.00 0.00
220 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
229 0.00 0.00 0.00
230 0.00 0.00 0.00
235 0.00 0.00 0.00
239 0.00 0.00 0.00
240 0.00 0.00 0.00
244 0.00 0.00 0.00
245 0.00 0.00 0.00
249 0.00 0.00 0.00
250 0.00 0.00 0.00
255 0.00 0.00 0.00
256 0.00 0.00 0.00
259 0.00 0.00 0.00
260 0.00 0.00 0.00
261 0.00 0.00 0.00
265 0.00 0.00 0.00
269 0.00 0.00 0.00
270 0.00 0.00 0.00
276 0.00 0.00 0.00
280 0.00 0.00 0.00
281 0.00 0.00 0.00
284 0.00 0.00 0.00
286 0.00 0.00 0.00
289 0.00 0.00 0.00
290 0.00 0.00 0.00
291 0.00 0.00 0.00
294 0.00 0.00 0.00
296 0.00 0.00 0.00
299 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
310 0.00 0.00 0.00
311 0.00 0.00 0.00
312 0.00 0.00 0.00
315 0.00 0.00 0.00
316 0.00 0.00 0.00
317 0.00 0.00 0.00
321 0.00 0.00 0.00
322 0.00 0.00 0.00
326 0.00 0.00 0.00
327 0.00 0.00 0.00
330 0.00 0.00 0.00
331 0.00 0.00 0.00
332 0.00 0.00 0.00
336 0.00 0.00 0.00
337 0.00 0.00 0.00
341 0.00 0.00 0.00
342 0.00 0.00 0.00
347 0.00 0.00 0.00
351 0.00 0.00 0.00
352 0.00 0.00 0.00
357 0.00 0.00 0.00
362 0.00 0.00 0.00
366 0.00 0.00 0.00
368 0.00 0.00 0.00
372 0.00 0.00 0.00
373 0.00 0.00 0.00
377 0.00 0.00 0.00
378 0.00 0.00 0.00
383 0.00 0.00 0.00
388 0.00 0.00 0.00
393 0.00 0.00 0.00
397 0.00 0.00 0.00
403 0.00 0.00 0.00
408 0.00 0.00 0.00
409 0.00 0.00 0.00
413 0.00 0.00 0.00
414 0.00 0.00 0.00
419 0.00 0.00 0.00
423 0.00 0.00 0.00
424 0.00 0.00 0.00
428 0.00 0.00 0.00
429 0.00 0.00 0.00
434 0.00 0.00 0.00
439 0.00 0.00 0.00
440 0.00 0.00 0.00
444 0.00 0.00 0.00
449 0.00 0.00 0.00
455 0.00 0.00 0.00
459 0.00 0.00 0.00
460 0.00 0.00 0.00
464 0.00 0.00 0.00
465 0.00 0.00 0.00
470 0.00 0.00 0.00
474 0.00 0.00 0.00
475 0.00 0.00 0.00
476 0.00 0.00 0.00
480 0.00 0.00 0.00
481 0.00 0.00 0.00
486 0.00 0.00 0.00
491 0.00 0.00 0.00
494 0.00 0.00 0.00
495 0.00 0.00 0.00
496 0.00 0.00 0.00
500 0.00 0.00 0.00
501 0.00 0.00 0.00
506 0.00 0.00 0.00
510 0.00 0.00 0.00
511 0.00 0.00 0.00
512 0.00 0.00 0.00
515 0.00 0.00 0.00
517 0.00 0.00 0.00
522 0.00 0.00 0.00
526 0.00 0.00 0.00
527 0.00 0.00 0.00
531 0.00 0.00 0.00
532 0.00 0.00 0.00
536 0.00 0.00 0.00
537 0.00 0.00 0.00
541 0.00 0.00 0.00
542 0.00 0.00 0.00
546 0.00 0.00 0.00
547 0.00 0.00 0.00
553 0.00 0.00 0.00
557 0.00 0.00 0.00
562 0.00 0.00 0.00
563 0.00 0.00 0.00
566 0.00 0.00 0.00
568 0.00 0.00 0.00
572 0.00 0.00 0.00
573 0.00 0.00 0.00
576 0.00 0.00 0.00
577 0.00 0.00 0.00
582 0.00 0.00 0.00
583 0.00 0.00 0.00
588 0.00 0.00 0.00
592 0.00 0.00 0.00
593 0.00 0.00 0.00
594 0.00 0.00 0.00
598 0.13 -0.11 0.38
599 0.67 -0.57 1.91
603 0.92 -0.68 2.53
608 0.96 -0.69 2.60
609 1.08 -0.77 2.93
613 1.12 -0.80 3.04
614 2.40 -0.58 5.38
618 2.50 -0.60 5.60
619 2.90 -0.72 6.52
623 3.08 -0.75 6.91
624 3.18 -0.77 7.13
628 3.18 -0.77 7.14
629 3.20 -0.78 7.18
630 3.27 -0.80 7.35
633 3.30 -0.80 7.40
634 3.40 -0.83 7.63
635 3.50 -0.86 7.86
639 3.58 -0.88 8.04
640 3.90 -0.95 8.75
644 3.92 -0.96 8.80
645 4.00 -0.99 8.99
650 4.00 -0.99 8.99
654 4.10 -1.03 9.23
655 4.10 -1.03 9.23
659 4.10 -1.03 9.23
660 4.10 -1.03 9.23
664 4.10 -1.03 9.23
665 4.10 -1.03 9.23
670 4.10 -1.03 9.23
675 4.10 -1.03 9.23
676 4.10 -1.03 9.23
680 4.10 -1.03 9.23
681 4.10 -1.03 9.23
685 4.10 -1.03 9.23
686 4.10 -1.03 9.23
690 4.10 -1.03 9.23
691 4.10 -1.03 9.23
695 4.53 -0.53 9.59
696 4.85 -0.13 9.84
700 4.87 -0.12 9.85
701 4.92 -0.06 9.90
702 5.00 0.02 9.97
707 5.00 0.02 9.97
711 5.00 0.02 9.97
712 5.00 0.02 9.97
717 5.00 0.02 9.97
721 5.00 0.03 9.97
726 5.20 0.21 10.19
728 5.27 0.27 10.26
731 5.31 0.30 10.32
732 5.36 0.36 10.37
733 5.37 0.36 10.38
736 5.37 0.37 10.38
737 5.70 0.67 10.73
738 5.83 0.76 10.89
741 5.84 0.77 10.90
748 5.84 0.77 10.91
754 5.89 0.81 10.98
757 6.00 0.87 11.14
759 6.12 0.93 11.32
762 6.20 0.97 11.44
768 6.20 0.97 11.44
769 6.21 0.97 11.45
772 6.22 0.97 11.46
773 6.45 1.16 11.74
774 6.49 1.18 11.80
777 6.49 1.18 11.81
778 6.50 1.18 11.82
779 6.66 1.27 12.05
783 6.70 1.30 12.10
787 6.74 1.32 12.16
788 6.90 1.40 12.40
790 6.90 1.40 12.40
793 6.90 1.40 12.40
794 6.90 1.40 12.40
795 6.92 1.44 12.41
798 7.02 1.58 12.46
799 7.42 2.13 12.70
803 7.43 2.14 12.71
804 7.48 2.22 12.75
805 7.56 2.28 12.85
809 7.58 2.30 12.87
814 7.59 2.30 12.88
818 7.59 2.30 12.88
819 7.60 2.31 12.89
820 8.24 3.08 13.40
824 8.40 3.23 13.58
828 8.44 3.26 13.62
829 8.60 3.39 13.81
831 8.65 3.42 13.87
836 9.55 4.37 14.74
842 9.65 4.44 14.87
844 9.71 4.48 14.95
