#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 14.60 12.63 16.57
10 17.60 14.43 20.77
11 20.41 18.25 22.58
15 20.99 18.95 23.03
16 23.05 20.59 25.51
20 23.65 21.08 26.21
21 26.40 24.63 28.17
25 27.00 25.40 28.60
26 29.08 27.34 30.82
30 29.36 27.45 31.27
31 31.12 28.48 33.76
35 31.52 28.68 34.36
36 32.43 29.30 35.55
40 33.01 29.88 36.15
41 35.77 33.31 38.23
46 36.10 33.74 38.46
47 37.11 34.37 39.84
51 37.27 34.59 39.96
52 37.92 35.40 40.44
56 38.16 35.75 40.57
57 39.44 37.25 41.63
61 39.92 37.68 42.16
62 41.36 38.81 43.91
66 41.68 39.14 44.22
67 42.96 40.32 45.60
71 43.07 40.41 45.73
72 43.35 40.74 45.96
73 43.51 40.87 46.15
76 43.71 40.91 46.51
77 44.70 42.11 47.29
81 44.78 42.23 47.33
82 45.12 42.68 47.55
83 45.68 43.03 48.32
87 45.86 43.11 48.61
88 47.00 44.03 49.97
92 47.40 44.39 50.41
93 48.36 45.39 51.33
97 48.56 45.60 51.52
98 50.00 46.74 53.26
102 50.28 46.91 53.65
103 50.76 47.50 54.02
107 50.91 47.65 54.17
108 51.61 48.49 54.74
109 51.83 48.70 54.96
112 51.96 48.77 55.15
113 52.52 49.56 55.48
114 52.85 49.80 55.90
118 52.92 49.86 55.99
119 53.60 51.21 55.99
122 53.76 51.53 55.99
123 53.88 51.77 55.99
124 54.00 52.00 56.00
127 54.16 52.31 56.01
128 54.28 52.55 56.01
129 54.40 52.77 56.03
133 54.56 53.00 56.12
134 55.20 53.80 56.60
137 55.44 54.13 56.75
139 55.96 54.83 57.10
140 56.31 55.23 57.39
144 56.48 55.35 57.60
145 56.86 55.42 58.29
148 56.88 55.44 58.31
149 57.12 55.54 58.70
150 57.26 55.60 58.92
153 57.44 55.69 59.19
154 58.04 56.05 60.03
155 58.28 56.14 60.42
158 58.48 56.24 60.72
160 58.73 56.36 61.10
163 58.81 56.40 61.23
164 59.30 57.05 61.55
165 59.69 57.87 61.52
169 59.90 58.10 61.69
170 60.55 58.37 62.74
173 60.83 58.49 63.18
174 61.52 59.22 63.82
175 61.85 59.62 64.07
178 62.11 59.99 64.23
180 62.67 60.37 64.98
183 62.92 60.51 65.33
185 63.20 60.52 65.88
186 63.31 60.48 66.14
188 63.36 60.45 66.27
190 63.73 60.58 66.89
191 63.78 60.67 66.90
194 63.80 60.69 66.91
195 63.98 60.98 66.98
196 64.15 60.91 67.39
200 64.21 60.91 67.51
201 64.23 60.94 67.52
204 64.32 61.11 67.53
205 64.46 61.32 67.60
206 64.60 61.53 67.67
209 65.08 62.23 67.93
210 65.44 62.70 68.18
211 65.83 63.10 68.56
216 67.03 64.45 69.62
219 67.12 64.53 69.70
221 67.52 64.89 70.15
222 67.68 65.05 70.31
224 67.76 65.12 70.40
226 68.00 65.17 70.83
231 68.13 65.28 70.99
236 68.15 65.29 71.01
237 68.29 65.33 71.25
239 68.44 65.39 71.49
241 68.76 65.72 71.80
242 69.11 65.96 72.25
244 69.92 66.76 73.08
247 70.50 67.31 73.69
252 70.77 67.61 73.92
255 71.09 67.92 74.26
257 71.17 67.98 74.36
258 71.34 67.95 74.74
262 71.39 67.95 74.83
263 71.43 67.97 74.88
267 71.51 68.06 74.96
268 72.05 68.49 75.62
270 72.08 68.48 75.68
272 72.32 68.76 75.88
