#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 47.00 44.78 49.22
10 58.43 53.62 63.25
11 65.63 61.30 69.95
15 66.91 62.26 71.57
16 71.85 67.64 76.07
20 72.91 68.39 77.42
21 78.40 74.89 81.91
25 79.48 76.08 82.88
26 84.12 80.73 87.51
30 85.08 81.62 88.54
31 88.28 85.38 91.18
35 89.16 86.30 92.02
36 91.45 88.81 94.10
40 91.87 89.15 94.59
41 94.63 91.56 97.70
46 96.73 94.43 99.04
47 98.28 95.66 100.90
51 98.78 96.00 101.56
52 101.20 98.10 104.30
56 101.72 98.57 104.87
57 103.48 100.26 106.70
61 103.88 100.77 106.99
62 105.48 103.05 107.91
66 105.84 103.56 108.12
67 107.28 105.50 109.06
71 107.68 105.81 109.55
72 108.23 106.23 110.22
73 108.58 106.35 110.81
76 108.63 106.40 110.86
77 109.92 107.66 112.18
81 110.21 107.86 112.56
82 111.00 108.68 113.32
83 111.21 108.73 113.69
87 111.31 108.74 113.89
88 112.44 110.02 114.86
92 112.96 110.51 115.41
93 114.56 111.40 117.72
97 114.88 111.63 118.13
98 116.16 112.68 119.64
102 116.36 112.81 119.91
103 117.08 113.13 121.03
107 117.18 113.13 121.23
108 118.16 114.13 122.19
109 118.34 114.34 122.34
112 118.40 114.41 122.39
113 119.38 115.55 123.21
114 119.73 116.09 123.37
118 119.86 116.27 123.45
119 120.23 116.76 123.69
122 120.40 116.98 123.82
123 121.00 117.91 124.09
124 121.21 118.21 124.21
127 121.32 118.36 124.28
128 121.72 118.96 124.48
129 122.11 119.47 124.75
133 122.39 119.85 124.92
134 123.25 120.95 125.54
137 123.69 121.03 126.34
139 124.50 121.49 127.51
140 124.59 121.58 127.60
144 124.64 121.63 127.64
145 124.92 121.94 127.89
148 125.24 122.22 128.25
149 125.99 123.18 128.79
150 126.16 123.28 129.04
153 126.19 123.33 129.06
154 126.72 124.11 129.33
155 126.97 124.43 129.51
158 127.12 124.48 129.76
160 127.50 124.93 130.06
163 127.81 125.15 130.46
164 128.17 125.61 130.73
165 128.50 125.99 131.01
169 128.66 126.18 131.14
170 129.08 126.69 131.47
173 129.27 126.63 131.90
174 129.61 126.82 132.41
175 129.85 126.89 132.81
178 130.09 127.06 133.12
180 130.47 127.36 133.58
183 130.82 127.67 133.97
185 131.03 127.96 134.10
186 131.30 128.22 134.39
188 131.53 128.28 134.77
190 131.68 128.40 134.97
191 131.77 128.39 135.14
194 131.94 128.30 135.58
195 132.27 128.45 136.10
196 132.43 128.42 136.44
200 132.50 128.48 136.52
201 132.75 128.78 136.71
204 132.85 128.91 136.80
205 133.66 130.00 137.32
206 133.92 130.22 137.63
209 134.04 130.22 137.86
210 134.84 131.18 138.51
211 135.03 131.31 138.75
216 135.03 131.31 138.75
219 135.28 131.50 139.05
221 135.60 131.80 139.40
222 135.83 132.01 139.66
224 136.09 132.02 140.16
226 136.57 132.67 140.47
231 136.81 132.94 140.68
236 137.02 133.13 140.91
237 137.03 133.15 140.92
239 137.16 133.08 141.23
241 137.48 133.45 141.51
242 137.75 133.73 141.76
244 137.92 134.01 141.83
247 138.15 134.30 141.99
252 138.58 135.01 142.15
255 138.74 135.01 142.47
257 139.28 135.45 143.11
258 139.37 135.44 143.31
262 139.42 135.42 143.42
263 139.75 135.51 143.98
267 139.87 135.60 144.13
268 140.20 135.78 144.61
270 140.52 136.02 145.02
272 140.66 136.14 145.18
275 140.75 136.21 145.29
277 140.93 136.34 145.51
278 141.14 136.56 145.71
283 141.17 136.59 145.75
284 141.31 136.83 145.78
285 141.60 136.98 146.22
288 141.77 137.27 146.27
289 142.02 137.66 146.38
290 142.24 138.06 146.42
293 142.37 138.29 146.45
298 142.46 138.43 146.49
300 142.71 138.85 146.57
303 142.95 139.20 146.70
304 142.96 139.22 146.71
305 143.17 139.12 147.22
308 143.25 139.20 147.31
310 143.55 139.61 147.48
313 143.56 139.63 147.49
314 143.63 139.72 147.53
316 143.65 139.76 147.55
318 143.90 140.02 147.78
319 144.03 140.16 147.89
321 144.32 140.63 148.01
323 144.49 140.85 148.13
324 144.60 141.02 148.18
325 144.60 141.02 148.18
326 144.60 141.02 148.18
328 144.60 141.02 148.18
329 144.78 141.21 148.35
334 144.99 141.53 148.45
335 145.02 141.57 148.47
338 145.18 141.90 148.47
341 145.48 142.37 148.59
344 145.62 142.54 148.71
345 145.88 142.82 148.94
349 145.92 142.85 148.99
354 145.92 142.85 148.99
355 146.01 142.91 149.11
357 146.30 143.28 149.32
360 146.55 143.65 149.44
361 146.74 143.93 149.54
362 147.11 144.12 150.10
364 147.74 144.92 150.56
365 147.90 145.10 150.69
366 147.95 145.18 150.72
369 147.96 145.19 150.73
370 148.17 145.38 150.97
371 148.32 145.49 151.15
372 148.65 145.53 151.78
376 148.79 145.60 151.98
379 148.83 145.62 152.04
381 148.84 145.62 152.06
382 149.03 146.01 152.05
386 149.21 146.17 152.25
387 149.38 146.54 152.23
391 149.46 146.61 152.31
395 149.51 146.61 152.40
396 149.75 146.67 152.83
397 150.32 146.85 153.79
400 150.62 146.99 154.25
401 150.87 147.26 154.47
405 150.98 147.34 154.62
407 151.36 147.65 155.08
412 151.68 147.94 155.42
416 151.76 148.01 155.51
417 152.16 148.37 155.95
421 152.35 148.47 156.23
422 153.14 148.82 157.46
431 153.29 149.03 157.56
432 153.67 149.36 157.99
433 153.74 149.42 158.06
436 153.76 149.44 158.09
437 153.96 149.54 158.37
438 154.05 149.57 158.52
442 154.07 149.58 158.56
443 154.22 149.80 158.64
446 154.34 150.03 158.65
448 154.65 150.47 158.83
451 154.77 150.65 158.89
452 155.13 151.21 159.06
453 155.21 151.35 159.08
458 155.23 151.38 159.08
463 155.32 151.48 159.16
467 155.46 151.68 159.24
468 155.57 151.85 159.30
469 155.68 152.01 159.36
474 155.92 152.44 159.39
477 156.30 152.76 159.85
479 156.63 153.03 160.23
484 156.91 153.13 160.69
489 157.20 153.17 161.24
493 157.32 153.31 161.33
494 157.72 153.82 161.63
498 157.81 153.92 161.71
499 158.17 154.30 162.03
503 158.36 154.59 162.13
504 158.52 154.66 162.37
505 158.60 154.73 162.47
508 158.69 154.81 162.56
509 159.17 155.24 163.10
510 159.67 155.49 163.84
515 159.87 155.90 163.84
518 159.97 155.93 164.02
520 160.30 156.16 164.43
524 160.40 156.29 164.51
525 160.88 157.01 164.74
529 160.99 157.18 164.80
530 161.53 157.69 165.36
535 161.55 157.70 165.39
539 161.57 157.71 165.43
545 161.68 157.80 165.56
549 161.80 157.83 165.77
550 161.88 157.84 165.91
555 161.92 157.84 166.01
556 162.26 158.02 166.50
560 162.34 158.06 166.62
561 162.74 158.24 167.24
565 163.00 158.31 167.69
566 163.80 158.33 169.27
570 163.80 158.33 169.27
571 163.88 158.36 169.40
572 164.29 159.02 169.57
576 164.32 159.05 169.58
577 164.45 159.18 169.72
580 164.56 159.27 169.85
581 164.72 159.22 170.22
582 164.72 159.23 170.22
585 164.73 159.23 170.23
586 164.74 159.23 170.24
587 164.80 159.23 170.38
590 164.83 159.23 170.44
591 165.10 159.31 170.89
592 165.20 159.32 171.08
595 165.51 159.42 171.59
596 165.70 159.76 171.64
600 165.75 159.84 171.66
601 165.94 160.18 171.69
602 165.98 160.22 171.74
603 166.03 160.26 171.80
605 166.11 160.32 171.89
607 166.31 160.59 172.02
611 166.44 160.81 172.07
612 166.76 161.43 172.09
616 166.80 161.50 172.10
617 166.98 161.65 172.31
618 167.26 161.77 172.74
621 167.61 162.04 173.17
623 167.86 162.39 173.33
626 167.95 162.53 173.37
628 168.09 162.54 173.65
631 168.23 162.72 173.74
633 168.37 162.97 173.77
636 168.56 163.18 173.94
638 168.58 163.19 173.96
641 168.59 163.20 173.98
643 168.71 163.42 174.01
646 168.99 163.75 174.24
647 169.29 164.14 174.44
649 169.38 164.24 174.52
651 169.56 164.60 174.52
657 169.77 164.95 174.58
659 169.96 165.27 174.65
667 170.04 165.41 174.67
669 170.44 166.11 174.77
672 170.60 166.32 174.88
673 170.60 166.32 174.88
674 170.63 166.33 174.93
677 170.74 166.30 175.18
678 170.97 166.34 175.59
680 171.00 166.33 175.68
685 171.03 166.32 175.75
687 171.29 166.53 176.04
688 171.51 166.60 176.41
690 171.51 166.60 176.42
692 171.52 166.60 176.43
693 171.77 166.88 176.65
695 171.80 166.89 176.71
698 172.27 167.39 177.15
700 172.54 167.92 177.16
704 172.55 167.92 177.18
706 172.71 168.03 177.40
709 172.88 168.17 177.58
711 173.12 168.37 177.86
714 173.20 168.39 178.00
715 173.20 168.39 178.01
716 173.25 168.37 178.13
719 173.35 168.54 178.15
721 173.65 168.76 178.53
722 173.90 169.01 178.79
726 173.99 169.11 178.88
729 174.16 169.24 179.08
731 174.29 169.35 179.23
732 174.72 169.95 179.50
736 174.86 169.93 179.78
737 175.10 169.93 180.27
739 175.53 170.52 180.53
741 175.54 170.55 180.54
742 175.75 170.98 180.52
744 175.87 171.21 180.52
750 175.90 171.28 180.53
752 176.02 171.46 180.57
753 176.26 171.84 180.67
755 176.40 171.90 180.89
760 176.40 171.90 180.89
762 176.40 171.91 180.89
765 176.44 171.99 180.89
767 176.45 172.01 180.89
768 176.48 172.06 180.90
772 176.61 172.30 180.92
773 176.67 172.41 180.94
775 176.84 172.69 180.99
778 177.22 173.29 181.15
781 177.45 173.66 181.25
783 177.65 173.81 181.48
786 177.80 173.95 181.65
787 177.97 174.11 181.82
788 178.45 174.86 182.03
793 178.63 175.14 182.12
796 178.90 175.53 182.28
798 179.09 175.83 182.34
801 179.21 176.03 182.39
803 179.34 176.25 182.44
804 179.48 176.46 182.50
808 179.49 176.47 182.50
809 179.52 176.52 182.52
811 179.58 176.61 182.55
818 179.60 176.64 182.57
819 180.02 177.11 182.93
821 180.19 177.13 183.25
824 180.30 177.14 183.45
827 180.56 177.38 183.74
830 180.57 177.39 183.75
832 180.70 177.69 183.72
835 180.79 177.89 183.70
839 180.80 177.90 183.70
840 180.91 178.04 183.77
842 181.02 178.25 183.79
844 181.44 178.68 184.20
847 181.77 178.92 184.61
849 182.13 179.19 185.08
850 182.27 179.46 185.08
852 182.42 179.80 185.04
854 182.48 179.91 185.05
855 183.16 180.39 185.92
857 183.19 180.40 185.97
860 183.35 180.43 186.27
865 183.39 180.51 186.27
866 183.73 180.94 186.53
870 183.78 180.95 186.62
872 184.03 180.96 187.11
875 184.19 180.94 187.44
876 184.25 180.94 187.56
878 184.30 180.98 187.62
880 184.56 181.04 188.08
881 184.80 181.43 188.17
883 184.90 181.57 188.23
885 185.20 181.79 188.61
890 185.34 181.96 188.72
891 185.57 182.38 188.76
895 185.82 182.82 188.82
896 185.99 182.96 189.02
900 186.15 183.04 189.26
901 186.33 183.06 189.60
902 186.37 183.08 189.66
903 186.69 183.68 189.70
905 187.17 184.20 190.14
906 187.30 184.34 190.26
910 187.47 184.47 190.47
911 188.07 185.34 190.80
916 188.28 185.47 191.10
921 188.51 185.73 191.29
922 188.59 185.74 191.45
