#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 12.60 11.90 13.30
15 12.90 12.32 13.48
21 13.06 12.56 13.56
25 13.29 12.94 13.64
41 13.40 12.97 13.83
138 13.40 12.97 13.83
143 13.40 12.97 13.83
147 13.40 12.97 13.83
148 13.40 12.97 13.83
152 13.40 12.97 13.83
159 13.40 12.97 13.83
163 13.40 12.97 13.83
164 13.40 12.97 13.83
184 13.40 12.97 13.83
193 13.40 12.97 13.83
194 13.40 12.97 13.83
200 13.40 12.97 13.83
220 13.40 12.97 13.83
256 13.60 12.90 14.30
261 13.60 12.90 14.30
264 13.60 12.90 14.30
266 13.60 12.90 14.30
267 13.71 13.05 14.36
276 13.74 13.07 14.41
279 14.01 13.39 14.64
287 14.26 13.78 14.73
292 14.34 13.90 14.78
297 14.39 13.96 14.83
302 14.60 14.16 15.03
305 14.60 14.17 15.03
307 14.60 14.17 15.03
313 14.60 14.17 15.03
317 14.60 14.17 15.03
318 14.60 14.17 15.03
320 14.60 14.17 15.03
322 14.60 14.17 15.03
328 14.60 14.17 15.03
333 14.75 14.35 15.16
341 14.85 14.43 15.27
342 14.93 14.45 15.41
346 14.95 14.46 15.45
347 14.96 14.46 15.47
348 14.97 14.46 15.48
351 14.97 14.46 15.48
353 15.00 14.45 15.55
356 15.00 14.45 15.55
359 15.00 14.45 15.55
361 15.00 14.45 15.55
363 15.00 14.45 15.55
364 15.00 14.45 15.55
371 15.00 14.45 15.55
374 15.10 14.67 15.53
377 15.20 14.85 15.55
379 15.20 14.85 15.55
382 15.20 14.85 15.55
384 15.20 14.85 15.55
389 15.20 14.85 15.55
394 15.20 14.85 15.55
395 15.20 14.85 15.55
399 15.20 14.85 15.55
405 15.40 14.97 15.83
415 15.40 14.97 15.83
419 15.40 14.97 15.83
423 15.40 14.97 15.83
424 15.40 14.97 15.83
425 15.40 14.97 15.83
428 15.40 14.97 15.83
429 15.40 14.97 15.83
430 15.40 14.97 15.83
433 15.40 14.97 15.83
434 15.40 14.97 15.83
435 15.40 14.97 15.83
439 15.40 14.97 15.83
440 15.40 14.97 15.83
444 15.40 14.97 15.83
445 15.40 14.97 15.83
449 15.40 14.97 15.83
455 15.40 14.97 15.83
460 15.40 14.97 15.83
466 15.40 14.97 15.83
467 15.40 14.97 15.83
472 15.40 14.97 15.83
477 15.40 14.97 15.83
481 15.40 14.97 15.83
492 15.40 14.97 15.83
497 15.40 14.97 15.83
500 15.40 14.97 15.83
502 15.40 14.97 15.83
