#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
15 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
41 0.00 0.00 0.00
138 0.00 0.00 0.00
143 0.00 0.00 0.00
147 0.00 0.00 0.00
148 0.00 0.00 0.00
152 0.00 0.00 0.00
159 0.00 0.00 0.00
163 0.00 0.00 0.00
164 0.00 0.00 0.00
184 0.00 0.00 0.00
193 0.00 0.00 0.00
194 0.00 0.00 0.00
200 0.00 0.00 0.00
220 0.00 0.00 0.00
256 0.00 0.00 0.00
261 0.00 0.00 0.00
264 0.00 0.00 0.00
266 0.00 0.00 0.00
267 0.00 0.00 0.00
276 0.00 0.00 0.00
279 0.00 0.00 0.00
287 0.00 0.00 0.00
292 0.00 0.00 0.00
297 0.00 0.00 0.00
302 0.00 0.00 0.00
305 0.00 0.00 0.00
307 0.00 0.00 0.00
313 0.00 0.00 0.00
317 0.00 0.00 0.00
318 0.00 0.00 0.00
320 0.00 0.00 0.00
322 0.00 0.00 0.00
328 0.00 0.00 0.00
333 0.00 0.00 0.00
341 0.00 0.00 0.00
342 0.00 0.00 0.00
346 0.00 0.00 0.00
347 0.00 0.00 0.00
348 0.00 0.00 0.00
351 0.00 0.00 0.00
353 0.00 0.00 0.00
356 0.00 0.00 0.00
359 0.00 0.00 0.00
361 0.00 0.00 0.00
363 0.00 0.00 0.00
364 0.00 0.00 0.00
371 0.00 0.00 0.00
374 0.00 0.00 0.00
377 0.00 0.00 0.00
379 0.00 0.00 0.00
382 0.00 0.00 0.00
384 0.00 0.00 0.00
389 0.00 0.00 0.00
394 0.00 0.00 0.00
395 0.00 0.00 0.00
399 0.00 0.00 0.00
405 0.00 0.00 0.00
415 0.00 0.00 0.00
419 0.00 0.00 0.00
423 0.00 0.00 0.00
424 0.00 0.00 0.00
425 0.00 0.00 0.00
428 0.00 0.00 0.00
429 0.00 0.00 0.00
430 0.00 0.00 0.00
433 0.00 0.00 0.00
434 0.00 0.00 0.00
435 0.00 0.00 0.00
439 0.00 0.00 0.00
440 0.00 0.00 0.00
444 0.00 0.00 0.00
445 0.00 0.00 0.00
449 0.00 0.00 0.00
455 0.00 0.00 0.00
460 0.00 0.00 0.00
466 0.00 0.00 0.00
467 0.00 0.00 0.00
472 0.00 0.00 0.00
477 0.00 0.00 0.00
481 0.00 0.00 0.00
492 0.00 0.00 0.00
497 0.00 0.00 0.00
500 0.00 0.00 0.00
502 0.00 0.00 0.00
505 0.00 0.00 0.00
507 0.00 0.00 0.00
510 0.00 0.00 0.00
515 0.00 0.00 0.00
518 0.00 0.00 0.00
521 0.00 0.00 0.00
522 0.00 0.00 0.00
523 0.00 0.00 0.00
527 0.00 0.00 0.00
528 0.00 0.00 0.00
531 0.00 0.00 0.00
532 0.00 0.00 0.00
533 0.00 0.00 0.00
536 0.00 0.00 0.00
537 0.00 0.00 0.00
538 0.00 0.00 0.00
542 0.00 0.00 0.00
547 0.00 0.00 0.00
551 0.00 0.00 0.00
552 0.00 0.00 0.00
553 0.00 0.00 0.00
556 0.00 0.00 0.00
557 0.00 0.00 0.00
558 0.00 0.00 0.00
561 0.00 0.00 0.00
562 0.00 0.00 0.00
563 0.00 0.00 0.00
566 0.00 0.00 0.00
567 0.00 0.00 0.00
571 0.00 0.00 0.00
572 0.00 0.00 0.00
574 0.00 0.00 0.00
576 0.00 0.00 0.00
577 0.00 0.00 0.00
579 0.00 0.00 0.00
581 0.00 0.00 0.00
582 0.00 0.00 0.00
584 0.00 0.00 0.00
587 0.00 0.00 0.00
589 0.00 0.00 0.00
591 0.00 0.00 0.00
592 0.00 0.00 0.00
595 0.00 0.00 0.00
596 0.00 0.00 0.00
597 0.00 0.00 0.00
598 0.00 0.00 0.00
600 0.00 0.00 0.00
601 0.00 0.00 0.00
603 0.00 0.00 0.00
605 0.00 0.00 0.00
606 0.00 0.00 0.00
608 0.00 0.00 0.00
610 0.00 0.00 0.00
613 0.00 0.00 0.00
618 0.00 0.00 0.00
622 0.00 0.00 0.00
627 0.00 0.00 0.00
630 0.00 0.00 0.00
632 0.00 0.00 0.00
635 0.00 0.00 0.00
637 0.00 0.00 0.00
642 0.00 0.00 0.00
645 0.00 0.00 0.00
651 0.00 0.00 0.00
656 0.00 0.00 0.00
661 0.00 0.00 0.00
665 0.00 0.00 0.00
670 0.00 0.00 0.00
675 0.00 0.00 0.00
689 0.00 0.00 0.00
810 0.00 0.00 0.00
880 0.00 0.00 0.00
4671 0.00 0.00 0.00
4694 0.00 0.00 0.00
5046 0.00 0.00 0.00
5051 0.00 0.00 0.00
5148 0.00 0.00 0.00
5153 0.00 0.00 0.00
5158 0.00 0.00 0.00
5163 0.00 0.00 0.00
6771 0.00 0.00 0.00
6776 0.00 0.00 0.00
6781 0.00 0.00 0.00
6786 0.00 0.00 0.00
6791 0.00 0.00 0.00
6796 0.00 0.00 0.00
6801 0.00 0.00 0.00
7148 0.00 0.00 0.00
7153 0.00 0.00 0.00
7158 0.00 0.00 0.00
7163 0.00 0.00 0.00
7168 0.00 0.00 0.00
7173 0.00 0.00 0.00
7179 0.00 0.00 0.00
7184 0.00 0.00 0.00
7189 0.00 0.00 0.00
12664 0.00 0.00 0.00
12669 0.00 0.00 0.00
12674 0.00 0.00 0.00
12679 0.00 0.00 0.00
12684 0.00 0.00 0.00
12690 0.00 0.00 0.00
12695 0.00 0.00 0.00
14576 0.00 0.00 0.00
14581 0.00 0.00 0.00
14586 0.00 0.00 0.00
14591 0.00 0.00 0.00
14596 0.00 0.00 0.00
14612 0.00 0.00 0.00
14617 0.00 0.00 0.00
14622 0.00 0.00 0.00
14627 0.00 0.00 0.00
14632 0.00 0.00 0.00
14637 0.00 0.00 0.00
14642 0.00 0.00 0.00
14647 0.00 0.00 0.00
15348 0.00 0.00 0.00
15353 0.00 0.00 0.00
15358 0.00 0.00 0.00
15363 0.00 0.00 0.00
15368 0.00 0.00 0.00
16769 0.00 0.00 0.00
19505 0.00 0.00 0.00
19510 0.00 0.00 0.00
19515 0.00 0.00 0.00
19520 0.00 0.00 0.00
19525 0.00 0.00 0.00
20183 0.00 0.00 0.00
20188 0.00 0.00 0.00
20193 0.00 0.00 0.00
20198 0.00 0.00 0.00
20490 0.00 0.00 0.00
20495 0.00 0.00 0.00
20500 0.00 0.00 0.00
20505 0.00 0.00 0.00
20510 0.00 0.00 0.00
20515 0.00 0.00 0.00
20684 0.00 0.00 0.00
20699 0.00 0.00 0.00
20719 0.00 0.00 0.00
20724 0.00 0.00 0.00
20730 0.00 0.00 0.00
20735 0.00 0.00 0.00
20740 0.00 0.00 0.00
21177 0.00 0.00 0.00
22468 0.00 0.00 0.00
22473 0.00 0.00 0.00
22478 0.00 0.00 0.00
22483 0.00 0.00 0.00
22493 0.00 0.00 0.00
22498 0.00 0.00 0.00
22503 0.00 0.00 0.00
22509 0.00 0.00 0.00
22759 0.00 0.00 0.00
22831 0.00 0.00 0.00
22841 0.00 0.00 0.00
28985 0.00 0.00 0.00
28990 0.00 0.00 0.00
28995 0.00 0.00 0.00
29000 0.00 0.00 0.00
29020 0.00 0.00 0.00
29025 0.00 0.00 0.00
29031 0.00 0.00 0.00
29036 0.00 0.00 0.00
29293 0.00 0.00 0.00
29298 0.00 0.00 0.00
29303 0.00 0.00 0.00
29308 0.00 0.00 0.00
29313 0.00 0.00 0.00
29318 0.00 0.00 0.00
29323 0.00 0.00 0.00
29329 0.00 0.00 0.00
29334 0.00 0.00 0.00
29339 0.00 0.00 0.00
29344 0.00 0.00 0.00
29349 0.00 0.00 0.00
29354 0.00 0.00 0.00
29359 0.00 0.00 0.00
29364 0.00 0.00 0.00
29369 0.00 0.00 0.00
29374 0.00 0.00 0.00
29380 0.00 0.00 0.00
29385 0.00 0.00 0.00
29390 0.00 0.00 0.00
29395 0.00 0.00 0.00
29400 0.00 0.00 0.00
29405 0.00 0.00 0.00
29410 0.00 0.00 0.00
29416 0.00 0.00 0.00
29421 0.00 0.00 0.00
29426 0.00 0.00 0.00
