#time #mean #95%top #95%bot
0 1.00 1.00 1.00
10 1.00 1.00 1.00
15 1.00 1.00 1.00
20 1.00 1.00 1.00
21 1.00 1.00 1.00
25 1.00 1.00 1.00
26 1.00 1.00 1.00
30 1.00 1.00 1.00
31 1.00 1.00 1.00
35 1.00 1.00 1.00
36 1.00 1.00 1.00
41 1.00 1.00 1.00
46 1.00 1.00 1.00
51 1.00 1.00 1.00
56 1.00 1.00 1.00
57 1.00 1.00 1.00
61 1.00 1.00 1.00
62 1.00 1.00 1.00
66 1.00 1.00 1.00
67 1.00 1.00 1.00
71 1.00 1.00 1.00
72 1.00 1.00 1.00
77 1.00 1.00 1.00
82 1.00 1.00 1.00
87 1.00 1.00 1.00
92 1.00 1.00 1.00
97 1.00 1.00 1.00
98 1.00 1.00 1.00
102 1.00 1.00 1.00
103 1.00 1.00 1.00
107 1.00 1.00 1.00
108 1.00 1.00 1.00
113 1.00 1.00 1.00
118 1.00 1.00 1.00
123 1.00 1.00 1.00
128 1.00 1.00 1.00
133 1.00 1.00 1.00
134 1.00 1.00 1.00
138 1.00 1.00 1.00
139 1.00 1.00 1.00
143 1.00 1.00 1.00
144 1.00 1.00 1.00
149 1.00 1.00 1.00
154 1.00 1.00 1.00
159 1.00 1.00 1.00
164 1.00 1.00 1.00
169 1.00 1.00 1.00
174 1.00 1.00 1.00
175 1.00 1.00 1.00
179 1.00 1.00 1.00
180 1.00 1.00 1.00
184 1.00 1.00 1.00
185 1.00 1.00 1.00
190 1.00 1.00 1.00
195 1.00 1.00 1.00
200 1.00 1.00 1.00
205 1.00 1.00 1.00
210 1.00 1.00 1.00
215 1.00 1.00 1.00
216 1.00 1.00 1.00
220 1.00 1.00 1.00
221 1.00 1.00 1.00
226 1.00 1.00 1.00
231 1.00 1.00 1.00
236 1.00 1.00 1.00
241 1.00 1.00 1.00
246 1.00 1.00 1.00
251 1.00 1.00 1.00
252 1.00 1.00 1.00
256 1.00 1.00 1.00
257 1.00 1.00 1.00
262 1.00 1.00 1.00
267 1.00 1.00 1.00
272 1.00 1.00 1.00
277 1.00 1.00 1.00
282 1.00 1.00 1.00
287 1.00 1.00 1.00
292 1.00 1.00 1.00
293 1.00 1.00 1.00
297 1.00 1.00 1.00
298 1.00 1.00 1.00
303 1.00 1.00 1.00
308 1.00 1.00 1.00
313 1.00 1.00 1.00
318 1.00 1.00 1.00
323 1.00 1.00 1.00
328 1.00 1.00 1.00
329 1.00 1.00 1.00
333 1.00 1.00 1.00
334 1.00 1.00 1.00
338 1.00 1.00 1.00
339 1.00 1.00 1.00
344 1.00 1.00 1.00
349 1.00 1.00 1.00
354 1.00 1.00 1.00
359 1.00 1.00 1.00
364 1.00 1.00 1.00
369 1.00 1.00 1.00
370 1.00 1.00 1.00
374 1.00 1.00 1.00
375 1.00 1.00 1.00
379 1.00 1.00 1.00
380 1.00 1.00 1.00
385 1.00 1.00 1.00
390 1.00 1.00 1.00
395 1.00 1.00 1.00
400 1.00 1.00 1.00
405 1.00 1.00 1.00
406 1.00 1.00 1.00
410 1.00 1.00 1.00
411 1.00 1.00 1.00
415 1.00 1.00 1.00
416 1.00 1.00 1.00
421 1.00 1.00 1.00
426 1.00 1.00 1.00
431 1.00 1.00 1.00
436 1.00 1.00 1.00
441 1.00 1.00 1.00
446 1.00 1.00 1.00
447 1.00 1.00 1.00
451 1.00 1.00 1.00
452 1.00 1.00 1.00
457 1.00 1.00 1.00
462 1.00 1.00 1.00
467 1.00 1.00 1.00
472 1.00 1.00 1.00
477 1.00 1.00 1.00
482 1.00 1.00 1.00
483 1.00 1.00 1.00
487 1.00 1.00 1.00
488 1.00 1.00 1.00
492 1.00 1.00 1.00
493 1.00 1.00 1.00
498 1.00 1.00 1.00
503 1.00 1.00 1.00
508 1.00 1.00 1.00
513 1.00 1.00 1.00
518 1.00 1.00 1.00
523 1.00 1.00 1.00
524 1.00 1.00 1.00
528 1.00 1.00 1.00
529 1.00 1.00 1.00
534 1.00 1.00 1.00
539 1.00 1.00 1.00
544 1.00 1.00 1.00
549 1.00 1.00 1.00
554 1.00 1.00 1.00
559 1.00 1.00 1.00
560 1.00 1.00 1.00
564 1.00 1.00 1.00
565 1.00 1.00 1.00
569 1.00 1.00 1.00
570 1.00 1.00 1.00
575 1.00 1.00 1.00
580 1.00 1.00 1.00
585 1.00 1.00 1.00
590 1.00 1.00 1.00
595 1.00 1.00 1.00
600 1.00 1.00 1.00
601 1.00 1.00 1.00
605 1.00 1.00 1.00
606 1.00 1.00 1.00
610 1.00 1.00 1.00
611 1.00 1.00 1.00
616 1.00 1.00 1.00
621 1.00 1.00 1.00
626 1.00 1.00 1.00
631 1.00 1.00 1.00
636 1.00 1.00 1.00
637 1.00 1.00 1.00
641 1.00 1.00 1.00
642 1.00 1.00 1.00
646 1.00 1.00 1.00
647 1.00 1.00 1.00
652 1.00 1.00 1.00
657 1.00 1.00 1.00
662 1.00 1.00 1.00
667 1.00 1.00 1.00
672 1.00 1.00 1.00
673 1.00 1.00 1.00
677 1.00 1.00 1.00
678 1.00 1.00 1.00
682 1.00 1.00 1.00
683 1.00 1.00 1.00
688 1.00 1.00 1.00
693 1.00 1.00 1.00
698 1.00 1.00 1.00
703 1.00 1.00 1.00
708 1.00 1.00 1.00
709 1.00 1.00 1.00
713 1.00 1.00 1.00
714 1.00 1.00 1.00
718 1.00 1.00 1.00
719 1.00 1.00 1.00
723 1.00 1.00 1.00
724 1.00 1.00 1.00
729 1.00 1.00 1.00
734 1.00 1.00 1.00
739 1.00 1.00 1.00
744 1.00 1.00 1.00
749 1.00 1.00 1.00
750 1.00 1.00 1.00
754 1.00 1.00 1.00
755 1.00 1.00 1.00
759 1.00 1.00 1.00
760 1.00 1.00 1.00
764 1.00 1.00 1.00
765 1.00 1.00 1.00
770 1.00 1.00 1.00
775 1.00 1.00 1.00
780 1.00 1.00 1.00
785 1.00 1.00 1.00
786 1.00 1.00 1.00
790 1.00 1.00 1.00
791 1.00 1.00 1.00
795 1.00 1.00 1.00
796 1.00 1.00 1.00
800 1.00 1.00 1.00
801 1.00 1.00 1.00
805 1.00 1.00 1.00
806 1.00 1.00 1.00
811 1.00 1.00 1.00
816 1.00 1.00 1.00
821 1.00 1.00 1.00
822 1.00 1.00 1.00
826 1.00 1.00 1.00
827 1.00 1.00 1.00
831 1.00 1.00 1.00
832 1.00 1.00 1.00
836 1.00 1.00 1.00
837 1.00 1.00 1.00
841 1.00 1.00 1.00
842 1.00 1.00 1.00
847 1.00 1.00 1.00
852 1.00 1.00 1.00
857 1.00 1.00 1.00
858 1.00 1.00 1.00
862 1.00 1.00 1.00
863 1.00 1.00 1.00
867 1.00 1.00 1.00
868 1.00 1.00 1.00
872 1.00 1.00 1.00
873 1.00 1.00 1.00
877 1.00 1.00 1.00
878 1.00 1.00 1.00
883 1.00 1.00 1.00
888 1.00 1.00 1.00
893 1.00 1.00 1.00
894 1.00 1.00 1.00
898 1.00 1.00 1.00
899 1.00 1.00 1.00
903 1.00 1.00 1.00
904 1.00 1.00 1.00
908 1.00 1.00 1.00
909 1.00 1.00 1.00
913 1.00 1.00 1.00
914 1.00 1.00 1.00
919 1.00 1.00 1.00
924 1.00 1.00 1.00
929 1.00 1.00 1.00
930 1.00 1.00 1.00
934 1.00 1.00 1.00
935 1.00 1.00 1.00
939 1.00 1.00 1.00
940 1.00 1.00 1.00
944 1.00 1.00 1.00
945 1.00 1.00 1.00
949 1.00 1.00 1.00
950 1.00 1.00 1.00
954 1.00 1.00 1.00
955 1.00 1.00 1.00
960 1.00 1.00 1.00
965 1.00 1.00 1.00
966 1.00 1.00 1.00
970 1.00 1.00 1.00
971 1.00 1.00 1.00
975 1.00 1.00 1.00
976 1.00 1.00 1.00
980 1.00 1.00 1.00
981 1.00 1.00 1.00
985 1.00 1.00 1.00
986 1.00 1.00 1.00
990 1.00 1.00 1.00
991 1.00 1.00 1.00
996 1.00 1.00 1.00
1001 1.00 1.00 1.00
1002 1.00 1.00 1.00
1006 1.00 1.00 1.00
1007 1.00 1.00 1.00
1011 1.00 1.00 1.00
1012 1.00 1.00 1.00
1016 1.00 1.00 1.00
1017 1.00 1.00 1.00
1021 1.00 1.00 1.00
1022 1.00 1.00 1.00
1026 1.00 1.00 1.00
1027 1.00 1.00 1.00
1031 1.00 1.00 1.00
1032 1.00 1.00 1.00
1037 1.00 1.00 1.00
1038 1.00 1.00 1.00
1042 1.00 1.00 1.00
1043 1.00 1.00 1.00
1047 1.00 1.00 1.00
1048 1.00 1.00 1.00
1052 1.00 1.00 1.00
1053 1.00 1.00 1.00
1057 1.00 1.00 1.00
1058 1.00 1.00 1.00
1062 1.00 1.00 1.00
1063 1.00 1.00 1.00
1067 1.00 1.00 1.00
1068 1.00 1.00 1.00
1073 1.00 1.00 1.00
1074 1.00 1.00 1.00
1078 1.00 1.00 1.00
1079 1.00 1.00 1.00
1083 1.00 1.00 1.00
1084 1.00 1.00 1.00
1088 1.00 1.00 1.00
1089 1.00 1.00 1.00
