#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 3.27 2.20 4.33
6 3.97 3.27 4.68
10 4.07 3.34 4.79
11 4.76 3.94 5.58
15 4.76 3.94 5.58
16 4.78 3.94 5.61
20 4.88 4.15 5.61
21 5.20 4.85 5.55
30 5.20 4.85 5.55
31 5.20 4.85 5.55
36 5.20 4.85 5.55
46 5.20 4.85 5.55
51 5.20 4.85 5.55
52 5.20 4.85 5.55
56 5.20 4.85 5.55
57 5.20 4.85 5.55
61 5.20 4.85 5.55
62 5.20 4.85 5.55
66 5.20 4.85 5.55
67 5.20 4.85 5.55
71 5.20 4.85 5.55
72 5.20 4.85 5.55
76 5.20 4.85 5.55
77 5.20 4.85 5.55
81 5.20 4.85 5.55
82 5.20 4.85 5.55
86 5.20 4.85 5.55
87 5.20 4.85 5.55
88 5.20 4.85 5.55
91 5.20 4.85 5.55
92 5.20 4.85 5.55
93 5.20 4.85 5.55
96 5.20 4.85 5.55
97 5.20 4.85 5.55
98 5.20 4.85 5.55
101 5.20 4.85 5.55
102 5.20 4.85 5.55
103 5.20 4.85 5.55
106 5.20 4.85 5.55
107 5.20 4.85 5.55
108 5.20 4.85 5.55
111 5.20 4.85 5.55
113 5.20 4.85 5.55
117 5.20 4.85 5.55
118 5.20 4.85 5.55
122 5.20 4.85 5.55
123 5.20 4.85 5.55
124 5.20 4.85 5.55
127 5.20 4.85 5.55
128 5.20 4.85 5.55
129 5.20 4.85 5.55
132 5.20 4.85 5.55
133 5.20 4.85 5.55
134 5.20 4.85 5.55
137 5.20 4.85 5.55
138 5.20 4.85 5.55
139 5.20 4.85 5.55
142 5.20 4.85 5.55
143 5.20 4.85 5.55
144 5.20 4.85 5.55
147 5.20 4.85 5.55
148 5.20 4.85 5.55
149 5.20 4.85 5.55
152 5.20 4.85 5.55
153 5.20 4.85 5.55
154 5.20 4.85 5.55
157 5.20 4.85 5.55
158 5.20 4.85 5.55
159 5.20 4.85 5.55
162 5.20 4.85 5.55
163 5.20 4.85 5.55
