#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 84.90 82.84 86.96
10 91.13 88.87 93.39
20 94.82 92.31 97.33
21 100.77 98.58 102.96
30 101.68 99.53 103.84
31 111.84 109.39 114.28
35 113.96 111.58 116.34
36 121.14 120.14 122.13
46 124.38 124.09 124.67
50 126.40 125.62 127.18
56 127.96 126.70 129.22
57 134.87 131.83 137.91
61 137.06 133.99 140.13
62 142.46 141.06 143.86
66 142.88 141.62 144.13
71 143.12 141.87 144.36
72 145.14 144.10 146.18
76 145.79 144.61 146.97
77 146.59 145.81 147.36
81 146.68 145.94 147.42
86 146.74 146.01 147.46
87 148.24 147.11 149.37
91 149.05 147.87 150.22
92 152.59 151.10 154.09
96 153.50 151.90 155.10
97 157.26 155.29 159.23
101 158.07 155.94 160.19
102 160.67 158.31 163.04
103 161.22 158.76 163.68
106 162.40 159.04 165.76
107 165.42 161.37 169.48
111 167.06 163.01 171.11
112 173.10 169.59 176.60
113 176.12 172.52 179.72
117 177.02 173.29 180.76
122 177.81 174.37 181.25
127 178.75 176.65 180.84
132 179.35 177.76 180.93
192 179.40 177.83 180.97
197 182.56 180.59 184.54
199 183.77 181.47 186.06
203 184.13 181.84 186.42
204 185.30 182.80 187.80
208 187.20 184.27 190.13
209 189.04 187.71 190.37
213 189.63 188.69 190.57
233 189.86 189.18 190.54
285 189.91 189.29 190.53
301 189.95 189.31 190.58
305 190.11 189.36 190.87
306 191.07 189.67 192.48
310 191.37 189.80 192.95
321 191.90 190.33 193.48
330 192.13 190.59 193.67
331 193.43 191.87 194.98
335 194.08 192.44 195.72
336 195.69 193.91 197.46
341 197.43 194.59 200.28
344 197.75 194.65 200.85
346 198.37 194.98 201.76
351 199.10 195.88 202.31
357 199.17 195.96 202.37
361 199.36 196.16 202.56
362 203.23 199.83 206.64
366 204.36 200.83 207.89
367 207.03 203.21 210.86
371 207.28 203.42 211.14
374 207.84 203.87 211.81
377 209.03 205.15 212.91
380 209.89 206.71 213.08
382 210.91 208.20 213.61
405 210.98 208.27 213.70
410 211.65 209.86 213.44
412 212.05 210.48 213.62
413 212.97 211.26 214.69
415 213.15 211.44 214.86
417 213.41 211.77 215.06
423 214.55 212.57 216.53
433 216.07 214.37 217.77
434 218.55 215.72 221.37
439 218.69 215.70 221.68
458 218.70 215.70 221.71
463 219.25 216.14 222.36
466 220.18 217.21 223.16
468 221.69 218.84 224.53
469 223.54 220.54 226.54
473 224.14 221.06 227.22
474 227.09 223.50 230.68
478 227.69 223.94 231.43
479 228.27 224.37 232.17
480 229.25 225.16 233.33
483 229.41 225.34 233.48
484 230.00 225.93 234.07
485 231.48 227.69 235.27
495 232.44 229.29 235.59
499 232.51 229.35 235.68
500 232.70 229.51 235.88
517 232.70 229.51 235.88
522 233.10 230.61 235.58
532 234.00 232.86 235.14
537 234.10 233.05 235.15
545 234.10 233.05 235.15
549 234.16 233.13 235.19
550 234.41 233.34 235.49
555 234.74 233.66 235.81
571 234.76 233.68 235.84
572 236.42 235.19 237.64
576 236.65 235.45 237.85
577 237.79 236.23 239.34
586 237.98 236.40 239.55
591 238.50 236.04 240.95
613 238.50 236.05 240.95
625 238.50 236.05 240.95
626 238.54 236.10 240.98
