#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
46 0.00 0.00 0.00
50 0.00 0.00 0.00
56 0.00 0.00 0.00
57 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
66 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
76 0.00 0.00 0.00
77 0.00 0.00 0.00
81 0.00 0.00 0.00
86 0.00 0.00 0.00
87 0.00 0.00 0.00
91 0.00 0.00 0.00
92 0.00 0.00 0.00
96 0.00 0.00 0.00
97 0.00 0.00 0.00
101 0.00 0.00 0.00
102 0.00 0.00 0.00
103 0.00 0.00 0.00
106 0.00 0.00 0.00
107 0.00 0.00 0.00
111 0.00 0.00 0.00
112 0.00 0.00 0.00
113 0.00 0.00 0.00
117 0.00 0.00 0.00
122 0.00 0.00 0.00
127 0.00 0.00 0.00
132 0.00 0.00 0.00
192 0.00 0.00 0.00
197 0.00 0.00 0.00
199 0.00 0.00 0.00
203 0.00 0.00 0.00
204 0.00 0.00 0.00
208 0.00 0.00 0.00
209 0.00 0.00 0.00
213 0.00 0.00 0.00
233 0.00 0.00 0.00
285 0.00 0.00 0.00
301 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
310 0.00 0.00 0.00
321 0.00 0.00 0.00
330 0.00 0.00 0.00
331 0.00 0.00 0.00
335 0.00 0.00 0.00
336 0.00 0.00 0.00
341 0.00 0.00 0.00
344 0.00 0.00 0.00
346 0.00 0.00 0.00
351 0.00 0.00 0.00
357 0.00 0.00 0.00
361 0.00 0.00 0.00
362 0.00 0.00 0.00
366 0.00 0.00 0.00
367 0.00 0.00 0.00
371 0.00 0.00 0.00
374 0.00 0.00 0.00
377 0.00 0.00 0.00
380 0.00 0.00 0.00
382 0.00 0.00 0.00
405 0.00 0.00 0.00
410 0.00 0.00 0.00
412 0.00 0.00 0.00
413 0.00 0.00 0.00
415 0.00 0.00 0.00
417 0.00 0.00 0.00
423 0.00 0.00 0.00
433 0.00 0.00 0.00
434 0.00 0.00 0.00
439 0.00 0.00 0.00
458 0.00 0.00 0.00
463 0.00 0.00 0.00
466 0.00 0.00 0.00
468 0.00 0.00 0.00
469 0.00 0.00 0.00
473 0.00 0.00 0.00
474 0.00 0.00 0.00
478 0.00 0.00 0.00
479 0.00 0.00 0.00
480 0.00 0.00 0.00
483 0.00 0.00 0.00
484 0.00 0.00 0.00
485 0.00 0.00 0.00
495 0.00 0.00 0.00
499 0.00 0.00 0.00
500 0.00 0.00 0.00
517 0.00 0.00 0.00
522 0.00 0.00 0.00
532 0.00 0.00 0.00
537 0.00 0.00 0.00
545 0.00 0.00 0.00
549 0.00 0.00 0.00
550 0.00 0.00 0.00
555 0.00 0.00 0.00
571 0.00 0.00 0.00
572 0.00 0.00 0.00
576 0.00 0.00 0.00
577 0.00 0.00 0.00
586 0.00 0.00 0.00
591 0.00 0.00 0.00
613 0.00 0.00 0.00
625 0.00 0.00 0.00
626 0.00 0.00 0.00
627 0.00 0.00 0.00
630 0.00 0.00 0.00
631 0.00 0.00 0.00
632 0.00 0.00 0.00
637 0.00 0.00 0.00
641 0.00 0.00 0.00
642 0.00 0.00 0.00
646 0.00 0.00 0.00
647 0.00 0.00 0.00
654 0.00 0.00 0.00
665 0.00 0.00 0.00
673 0.00 0.00 0.00
699 0.00 0.00 0.00
709 0.00 0.00 0.00
710 0.00 0.00 0.00
715 0.00 0.00 0.00
723 0.00 0.00 0.00
724 0.00 0.00 0.00
727 0.00 0.00 0.00
728 0.00 0.00 0.00
729 0.00 0.00 0.00
731 0.00 0.00 0.00
733 0.00 0.00 0.00
736 0.00 0.00 0.00
759 0.00 0.00 0.00
764 0.00 0.00 0.00
770 0.00 0.00 0.00
775 0.00 0.00 0.00
780 0.00 0.00 0.00
781 0.00 0.00 0.00
785 0.00 0.00 0.00
786 0.00 0.00 0.00
790 0.00 0.00 0.00
791 0.00 0.00 0.00
795 0.00 0.00 0.00
796 0.00 0.00 0.00
797 0.00 0.00 0.00
800 0.00 0.00 0.00
801 0.00 0.00 0.00
803 0.00 0.00 0.00
805 0.00 0.00 0.00
806 0.00 0.00 0.00
808 0.00 0.00 0.00
810 0.00 0.00 0.00
811 0.00 0.00 0.00
813 0.00 0.00 0.00
815 0.00 0.00 0.00
816 0.00 0.00 0.00
818 0.00 0.00 0.00
820 0.00 0.00 0.00
821 0.00 0.00 0.00
822 0.00 0.00 0.00
823 0.00 0.00 0.00
825 0.00 0.00 0.00
826 0.00 0.00 0.00
827 0.00 0.00 0.00
828 0.00 0.00 0.00
830 0.00 0.00 0.00
831 0.00 0.00 0.00
832 0.00 0.00 0.00
833 0.00 0.00 0.00
835 0.00 0.00 0.00
836 0.00 0.00 0.00
837 0.00 0.00 0.00
838 0.00 0.00 0.00
840 0.00 0.00 0.00
841 0.00 0.00 0.00
842 0.00 0.00 0.00
843 0.00 0.00 0.00
845 0.00 0.00 0.00
846 0.00 0.00 0.00
847 0.00 0.00 0.00
848 0.00 0.00 0.00
850 0.00 0.00 0.00
851 0.00 0.00 0.00
852 0.00 0.00 0.00
854 0.00 0.00 0.00
855 0.00 0.00 0.00
856 0.00 0.00 0.00
857 0.00 0.00 0.00
859 0.00 0.00 0.00
860 0.00 0.00 0.00
861 0.00 0.00 0.00
862 0.00 0.00 0.00
864 0.00 0.00 0.00
865 0.00 0.00 0.00
866 0.00 0.00 0.00
867 0.00 0.00 0.00
871 0.00 0.00 0.00
872 0.00 0.00 0.00
876 0.00 0.00 0.00
877 0.00 0.00 0.00
881 0.00 0.00 0.00
883 0.00 0.00 0.00
893 0.00 0.00 0.00
898 0.00 0.00 0.00
903 0.00 0.00 0.00
908 0.00 0.00 0.00
913 0.00 0.00 0.00
918 0.00 0.00 0.00
923 0.00 0.00 0.00
928 0.00 0.00 0.00
933 0.00 0.00 0.00
938 0.00 0.00 0.00
944 0.00 0.00 0.00
949 0.00 0.00 0.00
954 0.00 0.00 0.00
959 0.00 0.00 0.00
990 0.00 0.00 0.00
1364 0.00 0.00 0.00
1369 0.00 0.00 0.00
1595 0.00 0.00 0.00
1600 0.00 0.00 0.00
1616 0.00 0.00 0.00
1636 0.00 0.00 0.00
1641 0.00 0.00 0.00
1646 0.00 0.00 0.00
1650 0.00 0.00 0.00
1654 0.00 0.00 0.00
1655 0.00 0.00 0.00
1656 0.00 0.00 0.00
1665 0.00 0.00 0.00
1669 0.00 0.00 0.00
1670 0.00 0.00 0.00
1675 0.00 0.00 0.00
1680 0.00 0.00 0.00
1685 0.00 0.00 0.00
1696 0.00 0.00 0.00
1701 0.00 0.00 0.00
1707 0.00 0.00 0.00
1728 0.00 0.00 0.00
1736 0.00 0.00 0.00
1739 0.00 0.00 0.00
1754 0.00 0.00 0.00
1756 0.00 0.00 0.00
1765 0.00 0.00 0.00
1778 0.00 0.00 0.00
1789 0.00 0.00 0.00
1798 0.00 0.00 0.00
1808 0.00 0.00 0.00
1819 0.00 0.00 0.00
1824 0.00 0.00 0.00
1829 0.00 0.00 0.00
1833 0.00 0.00 0.00
1942 0.00 0.00 0.00
2013 0.00 0.00 0.00
2087 0.00 0.00 0.00
2109 0.00 0.00 0.00
2112 0.00 0.00 0.00
2118 0.00 0.00 0.00
2134 0.00 0.00 0.00
2139 0.00 0.00 0.00
2158 0.00 0.00 0.00
2163 0.00 0.00 0.00
2178 0.00 0.00 0.00
2181 0.00 0.00 0.00
2186 0.00 0.00 0.00
2194 0.00 0.00 0.00
2319 0.00 0.00 0.00
2343 0.00 0.00 0.00
2360 0.00 0.00 0.00
2362 0.00 0.00 0.00
2377 0.00 0.00 0.00
2406 0.00 0.00 0.00
2416 0.00 0.00 0.00
2421 0.00 0.00 0.00
2442 0.00 0.00 0.00
2453 0.00 0.00 0.00
2457 0.00 0.00 0.00
