#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 13.82 6.57 21.06
6 31.91 31.75 32.07
10 31.92 31.76 32.07
11 33.17 31.00 35.34
12 42.29 34.40 50.17
16 46.23 37.03 55.43
17 72.72 57.31 88.14
38 75.02 58.31 91.73
39 81.34 65.06 97.62
41 94.86 81.35 108.37
42 100.82 89.87 111.77
43 110.10 105.99 114.22
47 110.20 106.12 114.29
48 111.15 106.86 115.45
49 115.58 109.94 121.23
50 119.34 114.00 124.68
52 119.73 114.49 124.96
53 120.90 115.93 125.86
55 123.68 118.95 128.41
56 125.82 121.43 130.22
57 126.64 122.15 131.12
58 127.41 122.86 131.96
59 128.70 123.85 133.54
60 134.21 126.80 141.61
61 141.01 131.42 150.61
62 151.44 137.19 165.68
63 164.88 149.74 180.03
64 167.02 151.87 182.17
65 169.35 153.46 185.24
66 170.05 154.05 186.05
67 176.25 159.53 192.96
68 184.17 169.29 199.04
69 188.00 173.12 202.87
71 194.63 179.14 210.12
72 205.64 187.42 223.87
73 207.25 188.66 225.84
74 207.85 189.13 226.57
75 209.26 190.22 228.30
76 214.06 193.75 234.37
77 233.58 208.97 258.19
78 240.69 216.38 265.00
79 245.73 220.52 270.94
80 253.99 229.13 278.86
82 266.19 243.57 288.80
83 273.96 251.00 296.92
84 277.90 253.57 302.23
85 280.58 255.92 305.24
86 284.64 259.46 309.83
87 310.33 282.32 338.34
88 335.71 308.95 362.48
89 339.09 311.84 366.34
90 340.30 312.84 367.77
91 341.71 313.99 369.43
92 348.14 320.00 376.28
93 358.05 336.17 379.93
94 360.44 338.77 382.11
95 361.88 340.43 383.32
96 363.85 342.39 385.32
97 368.41 345.64 391.19
98 376.32 354.39 398.26
100 378.92 356.70 401.13
101 382.55 359.44 405.67
102 398.31 370.97 425.65
103 421.35 404.34 438.37
104 427.98 411.81 444.15
105 428.60 412.40 444.81
106 429.13 412.85 445.40
107 430.42 413.86 446.99
108 438.34 418.30 458.39
109 442.03 422.70 461.36
110 442.81 423.52 462.10
111 443.19 423.93 462.44
112 444.91 425.75 464.08
113 451.36 432.68 470.05
116 452.59 435.29 469.89
117 455.55 439.13 471.97
118 462.59 445.62 479.56
119 470.79 458.03 483.55
