#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 2.28 1.74 2.83
6 9.46 6.65 12.26
10 11.19 8.50 13.89
11 15.27 14.03 16.51
15 15.82 14.63 17.01
16 17.63 16.84 18.42
20 17.84 17.07 18.61
21 18.63 17.93 19.32
25 19.13 18.59 19.67
26 19.53 19.03 20.03
31 19.70 19.14 20.26
36 20.90 20.32 21.48
61 21.32 20.70 21.94
62 22.26 21.65 22.87
71 22.35 21.74 22.97
72 23.19 22.52 23.85
92 23.52 22.83 24.20
93 24.49 23.80 25.18
148 24.50 23.81 25.19
149 25.28 24.61 25.96
153 25.55 25.03 26.07
154 25.56 25.04 26.08
173 25.57 25.05 26.08
174 25.97 25.39 26.55
175 27.24 26.67 27.81
179 27.57 26.97 28.18
180 28.41 27.77 29.05
184 28.57 27.91 29.24
185 29.47 28.78 30.15
199 29.49 28.81 30.16
200 29.75 29.16 30.35
204 29.97 29.35 30.59
205 30.26 29.66 30.86
215 30.33 29.73 30.92
220 30.55 29.84 31.27
224 30.86 30.08 31.63
225 32.05 30.81 33.28
226 32.25 31.11 33.39
246 32.25 31.11 33.39
302 32.45 31.34 33.57
305 32.46 31.34 33.58
306 33.11 32.04 34.18
307 34.32 33.65 34.99
310 34.41 33.73 35.08
311 34.59 33.90 35.28
312 35.40 34.71 36.09
531 35.51 34.88 36.14
565 35.56 34.97 36.15
878 35.61 35.04 36.18
879 35.91 35.33 36.49
881 35.96 35.34 36.58
882 35.99 35.37 36.61
883 36.14 35.49 36.79
884 36.22 35.59 36.85
886 36.35 35.77 36.93
887 36.47 35.91 37.04
940 36.51 35.94 37.07
942 37.86 35.96 39.76
946 40.40 35.77 45.02
948 42.70 35.89 49.51
949 55.67 38.00 73.33
950 55.78 38.16 73.40
951 55.82 38.21 73.42
1732 63.22 43.55 82.88
1734 64.78 43.54 86.02
1737 68.91 46.84 90.98
1739 73.85 49.35 98.35
1742 74.85 49.51 100.19
1744 76.17 49.64 102.71
1745 76.26 49.65 102.87
1747 76.99 50.24 103.74
1748 78.54 51.24 105.84
1749 81.60 53.18 110.02
1750 83.65 54.08 113.23
1751 84.28 54.41 114.15
1752 89.72 60.91 118.53
1753 94.88 65.60 124.16
1754 99.83 70.06 129.60
1755 105.46 76.67 134.25
1756 110.45 82.35 138.54
1757 111.40 83.34 139.47
1758 112.34 84.31 140.38
1759 116.09 88.14 144.04
1760 117.96 89.88 146.04
1761 119.49 91.38 147.61
1762 120.32 92.69 147.95
1763 123.03 97.38 148.69
1764 127.12 102.53 151.71
1765 128.27 103.89 152.64
1766 129.10 105.02 153.18
1767 132.18 109.00 155.36
1768 134.48 112.48 156.48
1769 137.24 115.97 158.52
1770 139.74 119.04 160.44
1771 140.72 120.75 160.69
1772 141.58 122.35 160.81
1773 142.72 124.17 161.26
1774 144.00 126.07 161.94
1775 151.12 142.88 159.36
1777 151.69 143.71 159.68
1778 152.46 144.62 160.30
1779 153.42 145.60 161.24
1780 155.30 148.89 161.70
1782 155.59 149.26 161.91
1783 156.30 150.04 162.55
1784 157.20 150.85 163.55
1785 158.13 152.10 164.16
1787 158.69 152.87 164.52
1788 158.95 153.08 164.81
1789 159.10 153.24 164.96
1790 159.45 153.73 165.16
1792 159.88 154.38 165.38
1793 160.62 155.05 166.18
1794 161.12 155.58 166.66
1795 162.25 156.96 167.54
1797 162.40 157.16 167.64
1798 162.69 157.56 167.83
1799 163.05 157.96 168.14
1800 163.45 158.41 168.49
1801 163.51 158.47 168.54
1802 163.54 158.51 168.57
1803 163.81 158.85 168.77
1804 164.84 159.89 169.79
1805 165.45 160.63 170.28
1806 165.57 160.74 170.40
1807 165.65 160.82 170.47
1808 165.94 161.16 170.73
1809 166.94 162.25 171.64
