#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
6 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
20 0.00 0.00 0.00
21 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
31 0.00 0.00 0.00
36 0.00 0.00 0.00
61 0.00 0.00 0.00
62 0.00 0.00 0.00
71 0.00 0.00 0.00
72 0.00 0.00 0.00
92 0.00 0.00 0.00
93 0.00 0.00 0.00
148 0.00 0.00 0.00
149 0.00 0.00 0.00
153 0.00 0.00 0.00
154 0.00 0.00 0.00
173 0.00 0.00 0.00
174 0.00 0.00 0.00
175 0.00 0.00 0.00
179 0.00 0.00 0.00
180 0.00 0.00 0.00
184 0.00 0.00 0.00
185 0.00 0.00 0.00
199 0.00 0.00 0.00
200 0.00 0.00 0.00
204 0.00 0.00 0.00
205 0.00 0.00 0.00
215 0.00 0.00 0.00
220 0.00 0.00 0.00
224 0.00 0.00 0.00
225 0.00 0.00 0.00
226 0.00 0.00 0.00
246 0.00 0.00 0.00
302 0.00 0.00 0.00
305 0.00 0.00 0.00
306 0.00 0.00 0.00
307 0.00 0.00 0.00
310 0.00 0.00 0.00
311 0.00 0.00 0.00
312 0.00 0.00 0.00
531 0.00 0.00 0.00
565 0.00 0.00 0.00
878 0.00 0.00 0.00
879 0.00 0.00 0.00
881 0.00 0.00 0.00
882 0.00 0.00 0.00
883 0.00 0.00 0.00
884 0.00 0.00 0.00
886 0.00 0.00 0.00
887 0.00 0.00 0.00
940 0.00 0.00 0.00
942 0.00 0.00 0.00
946 0.00 0.00 0.00
948 0.00 0.00 0.00
949 0.00 0.00 0.00
950 0.00 0.00 0.00
951 0.00 0.00 0.00
1732 0.00 0.00 0.00
1734 0.00 0.00 0.00
1737 0.00 0.00 0.00
1739 0.00 0.00 0.00
1742 0.00 0.00 0.00
1744 0.00 0.00 0.00
1745 0.00 0.00 0.00
1747 0.00 0.00 0.00
1748 0.00 0.00 0.00
1749 0.00 0.00 0.00
1750 0.00 0.00 0.00
1751 0.00 0.00 0.00
1752 0.00 0.00 0.00
1753 0.00 0.00 0.00
1754 0.00 0.00 0.00
1755 0.00 0.00 0.00
1756 0.00 0.00 0.00
1757 0.00 0.00 0.00
1758 0.00 0.00 0.00
1759 0.00 0.00 0.00
1760 0.00 0.00 0.00
1761 0.00 0.00 0.00
1762 0.00 0.00 0.00
1763 0.00 0.00 0.00
1764 0.00 0.00 0.00
1765 0.00 0.00 0.00
1766 0.00 0.00 0.00
1767 0.00 0.00 0.00
1768 0.00 0.00 0.00
1769 0.00 0.00 0.00
1770 0.00 0.00 0.00
1771 0.00 0.00 0.00
1772 0.00 0.00 0.00
1773 0.00 0.00 0.00
1774 0.00 0.00 0.00
1775 0.00 0.00 0.00
1777 0.00 0.00 0.00
1778 0.00 0.00 0.00
1779 0.00 0.00 0.00
1780 0.00 0.00 0.00
1782 0.00 0.00 0.00
1783 0.00 0.00 0.00
1784 0.00 0.00 0.00
1785 0.00 0.00 0.00
1787 0.00 0.00 0.00
1788 0.00 0.00 0.00
1789 0.00 0.00 0.00
1790 0.00 0.00 0.00
1792 0.00 0.00 0.00
1793 0.00 0.00 0.00
1794 0.00 0.00 0.00
1795 0.00 0.00 0.00
1797 0.00 0.00 0.00
1798 0.00 0.00 0.00
1799 0.00 0.00 0.00
1800 0.00 0.00 0.00
1801 0.00 0.00 0.00
1802 0.00 0.00 0.00
1803 0.00 0.00 0.00
1804 0.00 0.00 0.00
1805 0.00 0.00 0.00
1806 0.00 0.00 0.00
1807 0.00 0.00 0.00
1808 0.00 0.00 0.00
1809 0.00 0.00 0.00
1810 0.00 0.00 0.00
1811 0.00 0.00 0.00
1812 0.00 0.00 0.00
1813 0.00 0.00 0.00
1814 0.00 0.00 0.00
1815 0.00 0.00 0.00
1816 0.00 0.00 0.00
1817 0.00 0.00 0.00
1818 0.00 0.00 0.00
1819 0.00 0.00 0.00
1820 0.00 0.00 0.00
1821 0.00 0.00 0.00
1822 0.00 0.00 0.00
1823 0.00 0.00 0.00
1824 0.00 0.00 0.00
1825 0.00 0.00 0.00
1828 0.00 0.00 0.00
1829 0.00 0.00 0.00
1830 0.00 0.00 0.00
1833 0.00 0.00 0.00
1834 0.00 0.00 0.00
1835 0.00 0.00 0.00
1836 0.00 0.00 0.00
1838 0.00 0.00 0.00
1841 0.00 0.00 0.00
1843 0.00 0.00 0.00
1845 0.00 0.00 0.00
1848 0.00 0.00 0.00
1849 0.00 0.00 0.00
1850 0.00 0.00 0.00
1853 0.00 0.00 0.00
1854 0.00 0.00 0.00
1855 0.00 0.00 0.00
1858 0.00 0.00 0.00
1860 0.00 0.00 0.00
1863 0.00 0.00 0.00
1866 0.00 0.00 0.00
1868 0.00 0.00 0.00
1871 0.00 0.00 0.00
1873 0.00 0.00 0.00
1879 0.00 0.00 0.00
1881 0.00 0.00 0.00
1890 0.00 0.00 0.00
2091 0.00 0.00 0.00
2102 0.00 0.00 0.00
2470 0.00 0.00 0.00
2474 0.00 0.00 0.00
2484 0.00 0.00 0.00
2485 0.00 0.00 0.00
2502 0.00 0.00 0.00
2503 0.00 0.00 0.00
2509 0.00 0.00 0.00
2511 0.00 0.00 0.00
2743 0.00 0.00 0.00
3149 0.00 0.00 0.00
3159 0.00 0.00 0.00
3164 0.00 0.00 0.00
3165 0.00 0.00 0.00
3170 0.00 0.00 0.00
3176 0.00 0.00 0.00
3186 0.00 0.00 0.00
3225 0.00 0.00 0.00
3230 0.00 0.00 0.00
3236 0.00 0.00 0.00
3240 0.00 0.00 0.00
3254 0.00 0.00 0.00
3259 0.00 0.00 0.00
3275 0.00 0.00 0.00
3296 0.00 0.00 0.00
3308 0.00 0.00 0.00
3313 0.00 0.00 0.00
3316 0.00 0.00 0.00
3323 0.00 0.00 0.00
3344 0.00 0.00 0.00
3388 0.00 0.00 0.00
3458 0.00 0.00 0.00
3463 0.00 0.00 0.00
3490 0.00 0.00 0.00
3520 0.00 0.00 0.00
3532 0.00 0.00 0.00
3537 0.00 0.00 0.00
3542 0.00 0.00 0.00
3547 0.00 0.00 0.00
3552 0.00 0.00 0.00
3557 0.00 0.00 0.00
3562 0.00 0.00 0.00
3634 0.00 0.00 0.00
3644 0.00 0.00 0.00
3655 0.00 0.00 0.00
3731 0.00 0.00 0.00
3736 0.00 0.00 0.00
3741 0.00 0.00 0.00
3747 0.00 0.00 0.00
3750 0.00 0.00 0.00
3752 0.00 0.00 0.00
3755 0.00 0.00 0.00
3757 0.00 0.00 0.00
3760 0.00 0.00 0.00
3766 0.00 0.00 0.00
3777 0.00 0.00 0.00
3798 0.00 0.00 0.00
3799 0.00 0.00 0.00
3805 0.00 0.00 0.00
3815 0.00 0.00 0.00
3862 0.00 0.00 0.00
3867 0.00 0.00 0.00
3871 0.00 0.00 0.00
3893 0.00 0.00 0.00
3902 0.00 0.00 0.00
4003 0.00 0.00 0.00
4005 0.00 0.00 0.00
4008 0.00 0.00 0.00
4041 0.00 0.00 0.00
4046 0.00 0.00 0.00
4051 0.00 0.00 0.00
4056 0.00 0.00 0.00
4096 0.00 0.00 0.00
4145 0.00 0.00 0.00
4150 0.00 0.00 0.00
4155 0.00 0.00 0.00
4160 0.00 0.00 0.00
4213 0.00 0.00 0.00
4218 0.00 0.00 0.00
4223 0.00 0.00 0.00
4236 0.00 0.00 0.00
4259 0.00 0.00 0.00
4281 0.00 0.00 0.00
4287 0.00 0.00 0.00
4304 0.00 0.00 0.00
4309 0.00 0.00 0.00
4314 0.00 0.00 0.00
4373 0.00 0.00 0.00
4429 0.00 0.00 0.00
4463 0.00 0.00 0.00
4494 0.00 0.00 0.00
4536 0.00 0.00 0.00
4562 0.00 0.00 0.00
4572 0.00 0.00 0.00
4581 0.00 0.00 0.00
4587 0.00 0.00 0.00
4593 0.00 0.00 0.00
4606 0.00 0.00 0.00
4633 0.00 0.00 0.00
4649 0.00 0.00 0.00
4677 0.00 0.00 0.00
