#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 19.33 14.79 23.88
6 24.28 23.88 24.68
10 24.68 24.28 25.08
11 25.76 25.33 26.19
15 26.03 25.54 26.52
16 27.75 27.27 28.22
20 28.09 27.64 28.54
21 30.23 29.07 31.40
25 31.07 30.05 32.08
26 34.18 33.85 34.51
35 34.37 34.03 34.71
36 36.07 35.69 36.45
41 37.75 37.29 38.21
46 46.60 42.61 50.59
47 53.84 49.81 57.87
51 55.07 50.84 59.30
52 59.22 54.79 63.65
56 60.03 55.52 64.54
57 63.51 59.55 67.47
61 64.01 60.16 67.86
62 65.70 62.72 68.68
63 66.22 63.30 69.14
66 66.32 63.45 69.18
67 67.40 65.39 69.41
68 67.65 65.65 69.65
71 67.76 65.75 69.77
72 68.73 66.89 70.58
73 69.09 67.36 70.82
76 69.14 67.42 70.87
77 69.86 68.28 71.44
78 70.85 69.40 72.31
81 70.90 69.46 72.34
82 71.18 69.89 72.47
83 71.47 70.23 72.70
84 71.70 70.47 72.93
86 71.81 70.58 73.04
87 72.06 70.83 73.29
88 73.05 72.01 74.09
89 73.35 72.22 74.48
91 73.40 72.27 74.52
92 73.43 72.29 74.57
93 73.89 72.51 75.27
94 74.22 72.68 75.75
96 74.23 72.70 75.77
97 74.27 72.72 75.83
98 74.97 73.33 76.62
102 75.14 73.49 76.79
103 75.32 73.69 76.95
104 75.51 73.87 77.14
107 75.85 74.15 77.55
108 77.10 75.01 79.20
109 77.61 75.47 79.75
112 78.01 75.82 80.21
113 79.02 77.09 80.96
115 79.24 77.31 81.18
117 79.48 77.53 81.43
119 80.17 78.21 82.13
129 80.50 78.63 82.36
134 80.68 78.93 82.42
139 80.89 79.37 82.42
145 81.00 79.56 82.43
148 81.01 79.58 82.44
150 81.03 79.59 82.48
151 81.08 79.61 82.55
153 81.29 79.76 82.82
154 81.68 79.91 83.45
155 81.75 79.97 83.53
156 81.83 80.04 83.62
158 82.22 80.48 83.97
159 82.61 80.37 84.85
161 82.65 80.40 84.89
163 82.81 80.55 85.07
168 82.92 80.67 85.17
184 82.92 80.67 85.17
189 82.92 80.67 85.17
191 82.92 80.67 85.18
194 83.05 80.78 85.33
195 83.20 80.92 85.48
196 83.65 81.35 85.95
199 83.75 81.45 86.04
200 84.12 81.90 86.33
201 84.79 82.77 86.81
204 85.33 83.47 87.19
205 85.53 83.69 87.38
207 85.61 83.76 87.46
209 86.10 84.14 88.05
210 86.40 84.45 88.36
211 86.63 84.68 88.59
212 86.83 84.86 88.79
215 86.90 84.97 88.83
216 87.05 85.15 88.95
230 87.06 85.16 88.96
235 87.20 85.34 89.05
240 87.25 85.41 89.09
241 87.43 85.64 89.21
242 87.53 85.69 89.38
245 87.58 85.71 89.45
246 87.63 85.72 89.53
247 87.66 85.74 89.58
251 87.66 85.74 89.58
256 87.66 85.74 89.58
257 87.80 85.92 89.67
261 87.83 85.99 89.67
262 87.94 86.13 89.74
263 88.13 86.33 89.92
266 88.22 86.42 90.02
267 88.26 86.48 90.04
