#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.83 0.63 1.04
6 1.00 1.00 1.00
10 1.00 1.00 1.00
11 1.00 1.00 1.00
15 1.00 1.00 1.00
16 1.00 1.00 1.00
20 1.00 1.00 1.00
21 1.00 1.00 1.00
25 1.00 1.00 1.00
26 1.00 1.00 1.00
35 1.00 1.00 1.00
36 1.00 1.00 1.00
41 1.00 1.00 1.00
46 1.20 0.83 1.57
47 1.36 0.97 1.75
51 1.42 1.01 1.83
52 1.51 1.10 1.92
56 1.54 1.14 1.94
57 1.86 1.32 2.40
61 1.92 1.35 2.50
62 2.18 1.59 2.77
63 2.31 1.69 2.93
66 2.33 1.71 2.95
67 2.50 1.86 3.14
68 2.55 1.90 3.19
71 2.57 1.92 3.22
72 2.92 2.13 3.71
73 3.10 2.21 4.00
76 3.12 2.21 4.02
77 3.33 2.49 4.17
78 3.56 2.71 4.41
81 3.59 2.74 4.43
82 3.63 2.81 4.45
83 3.73 2.97 4.48
84 3.82 3.12 4.52
86 3.85 3.17 4.52
87 3.93 3.30 4.56
88 4.05 3.35 4.75
89 4.08 3.38 4.77
91 4.09 3.40 4.79
92 4.16 3.45 4.86
93 4.23 3.49 4.98
94 4.37 3.50 5.24
96 4.40 3.52 5.29
97 4.45 3.55 5.35
98 4.69 3.87 5.51
102 4.76 3.92 5.60
103 4.79 3.97 5.62
104 4.83 4.01 5.64
107 4.88 4.08 5.67
108 5.10 4.31 5.90
109 5.20 4.40 6.00
112 5.26 4.41 6.12
113 5.53 4.71 6.36
115 5.64 4.78 6.51
117 5.69 4.84 6.53
119 5.95 5.17 6.74
129 6.09 5.38 6.79
134 6.10 5.39 6.80
139 6.10 5.40 6.80
145 6.20 5.53 6.87
148 6.20 5.53 6.87
150 6.21 5.55 6.87
151 6.27 5.64 6.89
153 6.34 5.75 6.93
154 6.40 5.79 7.01
155 6.43 5.83 7.04
156 6.44 5.83 7.05
158 6.56 5.81 7.31
159 6.59 5.81 7.37
161 6.60 5.81 7.39
163 6.60 5.81 7.39
168 6.60 5.81 7.39
184 6.61 5.82 7.41
189 6.62 5.82 7.42
191 6.64 5.84 7.45
194 6.65 5.84 7.45
195 6.65 5.84 7.46
196 6.77 5.95 7.58
199 6.77 5.96 7.59
200 6.79 5.99 7.60
201 6.89 6.09 7.70
204 6.96 6.15 7.78
205 7.03 6.23 7.83
207 7.06 6.27 7.86
209 7.21 6.39 8.02
210 7.25 6.43 8.07
211 7.29 6.46 8.12
212 7.29 6.46 8.12
215 7.29 6.46 8.12
216 7.29 6.46 8.12
230 7.29 6.46 8.12
235 7.49 6.80 8.18
240 7.49 6.80 8.18
241 7.49 6.80 8.18
242 7.49 6.80 8.18
245 7.49 6.80 8.18
246 7.49 6.80 8.18
247 7.49 6.80 8.18
251 7.49 6.80 8.18
256 7.69 7.07 8.31
257 8.04 7.47 8.61
261 8.09 7.51 8.67
262 8.09 7.51 8.68
263 8.10 7.51 8.68
266 8.10 7.51 8.68
267 8.15 7.56 8.74
268 8.20 7.59 8.80
277 8.20 7.59 8.81
281 8.20 7.59 8.81
282 8.29 7.74 8.84
283 8.38 7.87 8.89
286 8.58 8.03 9.13
287 8.68 8.06 9.30
288 8.85 8.16 9.54
303 8.86 8.17 9.55
304 8.97 8.30 9.64
309 8.98 8.31 9.66
312 9.03 8.30 9.77
315 9.08 8.28 9.89
317 9.09 8.28 9.89
320 9.21 8.40 10.03
348 9.22 8.40 10.04
350 9.44 8.62 10.26
354 9.52 8.72 10.32
355 9.59 8.76 10.43
358 9.69 8.90 10.48
368 9.69 8.91 10.48
379 9.70 8.91 10.48
384 9.86 9.10 10.62
389 9.87 9.12 10.63
394 9.87 9.12 10.63
395 9.87 9.12 10.63
400 9.87 9.12 10.63
401 9.88 9.12 10.63
404 9.89 9.13 10.64
405 9.89 9.14 10.65
406 9.90 9.14 10.65
411 9.90 9.14 10.66
412 9.90 9.14 10.66
415 9.90 9.14 10.66
418 9.90 9.14 10.66
423 9.90 9.14 10.66
425 9.90 9.14 10.66
426 9.90 9.14 10.66
429 9.90 9.14 10.66
430 9.98 9.25 10.72
431 10.00 9.26 10.73
435 10.00 9.27 10.73
436 10.00 9.27 10.73
440 10.00 9.27 10.73
441 10.00 9.27 10.73
442 10.08 9.33 10.83
446 10.10 9.34 10.86
447 10.10 9.35 10.86
450 10.10 9.35 10.86
451 10.13 9.36 10.90
452 10.13 9.36 10.90
455 10.13 9.36 10.90
456 10.20 9.46 10.94
460 10.27 9.51 11.03
461 10.49 9.74 11.23
462 10.65 9.89 11.41
466 10.69 9.91 11.48
471 10.69 9.91 11.48
472 10.69 9.91 11.48
476 10.69 9.91 11.48
477 10.69 9.91 11.48
481 10.71 9.92 11.50
482 10.80 9.98 11.62
483 10.80 9.98 11.62
486 10.80 9.98 11.62
487 10.80 9.98 11.62
488 10.80 9.98 11.62
491 10.80 9.98 11.62
492 10.80 9.98 11.62
493 10.80 9.98 11.62
494 10.80 9.98 11.62
497 10.80 9.98 11.62
498 10.80 9.98 11.62
499 10.80 9.98 11.62
502 10.80 9.98 11.62
503 10.80 9.98 11.62
504 10.80 9.98 11.62
509 10.90 10.14 11.66
513 10.90 10.14 11.66
518 10.90 10.14 11.66
523 10.90 10.14 11.66
527 10.90 10.14 11.66
528 10.90 10.14 11.66
532 10.92 10.14 11.70
533 11.00 10.12 11.88
538 11.00 10.12 11.88
539 11.00 10.12 11.88
543 11.00 10.12 11.88
544 11.08 10.16 12.01
548 11.09 10.16 12.01
549 11.10 10.16 12.04
553 11.10 10.16 12.04
554 11.18 10.23 12.13
555 11.26 10.34 12.19
558 11.27 10.35 12.20
559 11.29 10.36 12.21
560 11.30 10.37 12.22
563 11.30 10.37 12.22
564 11.30 10.38 12.22
569 11.30 10.38 12.22
570 11.30 10.38 12.22
572 11.31 10.38 12.24
573 11.31 10.38 12.25
574 11.32 10.38 12.26
575 11.40 10.39 12.41
578 11.40 10.39 12.41
579 11.56 10.48 12.64
583 11.67 10.61 12.73
584 11.73 10.71 12.75
585 11.80 10.81 12.79
588 11.84 10.81 12.87
590 11.90 10.81 12.99
593 11.98 10.93 13.03
595 12.10 11.08 13.12
598 12.10 11.08 13.12
600 12.10 11.08 13.12
603 12.10 11.08 13.12
605 12.10 11.08 13.12
606 12.10 11.08 13.12
611 12.10 11.08 13.12
615 12.12 11.12 13.12
616 12.20 11.25 13.15
620 12.22 11.28 13.16
621 12.30 11.38 13.22
626 12.30 11.38 13.22
631 12.30 11.38 13.22
636 12.30 11.38 13.22
637 12.30 11.38 13.22
641 12.30 11.38 13.22
642 12.30 11.38 13.22
645 12.35 11.43 13.27
646 12.44 11.52 13.36
650 12.46 11.54 13.39
651 12.47 11.54 13.39
654 12.47 11.54 13.39
656 12.47 11.54 13.39
657 12.47 11.54 13.39
659 12.49 11.54 13.43
661 12.49 11.54 13.44
662 12.50 11.54 13.45
664 12.53 11.56 13.50
666 12.56 11.57 13.54
667 12.74 11.74 13.73
669 12.75 11.75 13.75
671 12.87 11.79 13.95
674 12.95 11.79 14.10
676 12.95 11.79 14.11
681 12.96 11.80 14.12
682 13.01 11.82 14.21
685 13.03 11.83 14.23
686 13.07 11.85 14.30
687 13.08 11.85 14.30
688 13.10 11.88 14.32
691 13.10 11.88 14.32
692 13.18 11.90 14.46
696 13.19 11.90 14.47
697 13.29 12.02 14.56
702 13.40 12.03 14.76
703 13.48 12.03 14.93
705 13.49 12.03 14.95
707 13.50 12.03 14.97
708 13.50 12.03 14.97
712 13.50 12.03 14.97
713 13.50 12.03 14.97
717 13.50 12.03 14.97
718 13.58 12.01 15.15
722 13.62 12.01 15.23
723 13.78 12.01 15.55
726 13.79 12.01 15.56
727 13.80 12.01 15.59
728 13.88 11.98 15.79
731 13.93 12.03 15.83
732 13.96 12.06 15.87
733 14.00 12.10 15.90
736 14.04 12.15 15.93
738 14.10 12.21 15.99
741 14.10 12.21 15.99
744 14.10 12.21 15.99
748 14.10 12.21 15.99
749 14.10 12.21 15.99
753 14.12 12.23 16.01
754 14.20 12.30 16.10
756 14.21 12.31 16.11
762 14.21 12.31 16.11
763 14.21 12.31 16.11
764 14.30 12.38 16.22
768 14.30 12.38 16.22
769 14.30 12.38 16.22
770 14.38 12.35 16.41
773 14.38 12.35 16.42
774 14.40 12.34 16.46
775 14.40 12.34 16.46
777 14.40 12.34 16.46
778 14.40 12.34 16.46
779 14.41 12.34 16.47
780 14.41 12.35 16.47
782 14.48 12.38 16.58
783 14.57 12.44 16.70
784 14.60 12.45 16.75
785 14.66 12.48 16.84
788 14.71 12.50 16.91
789 14.72 12.51 16.93
790 14.87 12.52 17.23
793 14.87 12.52 17.23
794 14.88 12.52 17.24
795 14.88 12.52 17.24
798 14.88 12.52 17.24
799 14.88 12.51 17.24
800 14.88 12.51 17.24
803 14.88 12.51 17.24
804 14.88 12.51 17.25
805 14.88 12.51 17.25
809 14.90 12.52 17.29
810 14.98 12.54 17.43
811 14.98 12.54 17.43
814 14.98 12.54 17.43
816 14.98 12.54 17.43
819 14.98 12.54 17.43
821 14.98 12.54 17.43
824 14.98 12.54 17.43
826 14.98 12.54 17.43
829 15.02 12.60 17.44
830 15.05 12.65 17.46
831 15.16 12.80 17.53
834 15.17 12.80 17.53
835 15.18 12.82 17.54
836 15.18 12.82 17.54
839 15.18 12.82 17.54
841 15.21 12.84 17.59
844 15.27 12.88 17.67
845 15.56 12.99 18.12
846 15.79 13.03 18.55
849 15.86 13.03 18.69
851 15.88 13.03 18.73
852 15.89 13.03 18.74
854 15.89 13.03 18.75
855 15.89 13.03 18.76
856 15.90 13.03 18.77
857 15.98 13.03 18.93
860 15.98 13.03 18.94
861 16.00 13.03 18.97
862 16.00 13.03 18.97
864 16.06 13.12 19.00
865 16.08 13.16 19.01
867 16.11 13.19 19.03
869 16.12 13.20 19.04
870 16.20 13.31 19.09
872 16.20 13.31 19.09
874 16.26 13.39 19.13
875 16.29 13.43 19.14
877 16.30 13.45 19.15
880 16.34 13.50 19.18
882 16.40 13.57 19.23
885 16.40 13.57 19.23
887 16.40 13.57 19.23
891 16.40 13.57 19.23
892 16.40 13.57 19.23
896 16.40 13.57 19.23
897 16.40 13.57 19.23
898 16.40 13.57 19.23
901 16.40 13.57 19.23
902 16.40 13.57 19.23
907 16.41 13.57 19.24
908 16.76 13.93 19.59
912 16.90 14.00 19.80
913 16.90 14.00 19.80
914 16.90 14.00 19.80
915 16.90 14.00 19.80
916 16.90 14.00 19.80
917 16.91 14.01 19.80
918 16.91 14.02 19.81
919 16.94 14.05 19.83
921 17.00 14.13 19.87
923 17.00 14.13 19.87
924 17.00 14.13 19.87
926 17.00 14.13 19.87
928 17.00 14.13 19.87
933 17.00 14.13 19.87
934 17.16 14.34 19.98
938 17.20 14.39 20.01
939 17.20 14.39 20.01
943 17.20 14.39 20.01
944 17.23 14.42 20.04
947 17.32 14.52 20.12
948 17.54 14.72 20.36
949 17.60 14.78 20.42
952 17.60 14.78 20.42
953 17.60 14.78 20.42
954 17.60 14.78 20.42
959 17.60 14.78 20.42
964 17.61 14.79 20.42
967 17.62 14.81 20.43
