#time #mean #95%top #95%bot
0 1.00 1.00 1.00
6 125.00 125.00 125.00
11 153.00 153.00 153.00
16 177.00 177.00 177.00
21 199.00 199.00 199.00
26 207.00 207.00 207.00
31 222.00 222.00 222.00
36 225.00 225.00 225.00
41 226.00 226.00 226.00
57 228.00 228.00 228.00
62 236.00 236.00 236.00
67 250.00 250.00 250.00
72 253.00 253.00 253.00
77 255.00 255.00 255.00
87 269.00 269.00 269.00
92 286.00 286.00 286.00
102 291.00 291.00 291.00
107 359.00 359.00 359.00
112 390.00 390.00 390.00
117 407.00 407.00 407.00
122 416.00 416.00 416.00
127 424.00 424.00 424.00
132 436.00 436.00 436.00
137 443.00 443.00 443.00
142 445.00 445.00 445.00
147 446.00 446.00 446.00
163 446.00 446.00 446.00
173 446.00 446.00 446.00
193 446.00 446.00 446.00
199 446.00 446.00 446.00
209 448.00 448.00 448.00
214 448.00 448.00 448.00
219 449.00 449.00 449.00
224 450.00 450.00 450.00
275 450.00 450.00 450.00
290 451.00 451.00 451.00
336 452.00 452.00 452.00
423 452.00 452.00 452.00
484 455.00 455.00 455.00
489 458.00 458.00 458.00
494 462.00 462.00 462.00
555 462.00 462.00 462.00
621 469.00 469.00 469.00
637 470.00 470.00 470.00
713 473.00 473.00 473.00
718 477.00 477.00 477.00
723 479.00 479.00 479.00
728 480.00 480.00 480.00
794 481.00 481.00 481.00
799 481.00 481.00 481.00
840 482.00 482.00 482.00
865 482.00 482.00 482.00
931 483.00 483.00 483.00
936 485.00 485.00 485.00
942 487.00 487.00 487.00
947 488.00 488.00 488.00
998 488.00 488.00 488.00
1003 490.00 490.00 490.00
1008 491.00 491.00 491.00
1013 492.00 492.00 492.00
1023 493.00 493.00 493.00
1028 494.00 494.00 494.00
1089 498.00 498.00 498.00
1095 499.00 499.00 499.00
1100 502.00 502.00 502.00
1105 505.00 505.00 505.00
1110 508.00 508.00 508.00
1115 510.00 510.00 510.00
1120 512.00 512.00 512.00
1207 512.00 512.00 512.00
1264 512.00 512.00 512.00
1269 514.00 514.00 514.00
1274 515.00 515.00 515.00
1279 517.00 517.00 517.00
1356 521.00 521.00 521.00
1361 522.00 522.00 522.00
1366 523.00 523.00 523.00
1371 526.00 526.00 526.00
1376 527.00 527.00 527.00
1381 527.00 527.00 527.00
1443 527.00 527.00 527.00
1500 530.00 530.00 530.00
1505 531.00 531.00 531.00
1510 532.00 532.00 532.00
1515 534.00 534.00 534.00
1591 536.00 536.00 536.00
1596 537.00 537.00 537.00
1607 539.00 539.00 539.00
1652 540.00 540.00 540.00
1683 543.00 543.00 543.00
1688 545.00 545.00 545.00
1693 546.00 546.00 546.00
1709 549.00 549.00 549.00
1714 550.00 550.00 550.00
1719 553.00 553.00 553.00
1724 554.00 554.00 554.00
1729 558.00 558.00 558.00
1734 559.00 559.00 559.00
1739 564.00 564.00 564.00
1755 565.00 565.00 565.00
1800 565.00 565.00 565.00
1806 566.00 566.00 566.00
1882 566.00 566.00 566.00
1887 572.00 572.00 572.00
1979 576.00 576.00 576.00
1984 578.00 578.00 578.00
1989 580.00 580.00 580.00
1994 582.00 582.00 582.00
1999 584.00 584.00 584.00
2004 584.00 584.00 584.00
2081 584.00 584.00 584.00
2153 585.00 585.00 585.00
2158 587.00 587.00 587.00
2244 587.00 587.00 587.00
2249 592.00 592.00 592.00
2260 593.00 593.00 593.00
2265 600.00 600.00 600.00
2301 601.00 601.00 601.00
2337 601.00 601.00 601.00
2398 603.00 603.00 603.00
2403 604.00 604.00 604.00
2408 605.00 605.00 605.00
2490 605.00 605.00 605.00
2556 606.00 606.00 606.00
2561 608.00 608.00 608.00
2576 613.00 613.00 613.00
2592 614.00 614.00 614.00
2607 615.00 615.00 615.00
2652 617.00 617.00 617.00
2744 618.00 618.00 618.00
2836 620.00 620.00 620.00
2928 620.00 620.00 620.00
3020 620.00 620.00 620.00
3025 622.00 622.00 622.00
