#time #mean #95%top #95%bot
0 0.00 0.00 0.00
6 0.00 0.00 0.00
11 0.00 0.00 0.00
16 0.00 0.00 0.00
21 0.00 0.00 0.00
26 0.00 0.00 0.00
31 0.00 0.00 0.00
36 0.00 0.00 0.00
41 0.00 0.00 0.00
57 0.00 0.00 0.00
62 0.00 0.00 0.00
67 0.00 0.00 0.00
72 0.00 0.00 0.00
77 0.00 0.00 0.00
87 0.00 0.00 0.00
92 0.00 0.00 0.00
102 0.00 0.00 0.00
107 0.00 0.00 0.00
112 0.00 0.00 0.00
117 0.00 0.00 0.00
122 0.00 0.00 0.00
127 0.00 0.00 0.00
132 0.00 0.00 0.00
137 0.00 0.00 0.00
142 0.00 0.00 0.00
147 0.00 0.00 0.00
163 0.00 0.00 0.00
173 0.00 0.00 0.00
193 0.00 0.00 0.00
199 0.00 0.00 0.00
209 0.00 0.00 0.00
214 0.00 0.00 0.00
219 0.00 0.00 0.00
224 0.00 0.00 0.00
275 0.00 0.00 0.00
290 0.00 0.00 0.00
336 0.00 0.00 0.00
423 0.00 0.00 0.00
484 0.00 0.00 0.00
489 0.00 0.00 0.00
494 0.00 0.00 0.00
555 0.00 0.00 0.00
621 0.00 0.00 0.00
637 0.00 0.00 0.00
713 0.00 0.00 0.00
718 0.00 0.00 0.00
723 0.00 0.00 0.00
728 0.00 0.00 0.00
794 0.00 0.00 0.00
799 0.00 0.00 0.00
840 0.00 0.00 0.00
865 0.00 0.00 0.00
931 0.00 0.00 0.00
936 0.00 0.00 0.00
942 0.00 0.00 0.00
947 0.00 0.00 0.00
998 0.00 0.00 0.00
1003 0.00 0.00 0.00
1008 0.00 0.00 0.00
1013 0.00 0.00 0.00
1023 0.00 0.00 0.00
1028 0.00 0.00 0.00
1089 0.00 0.00 0.00
1095 0.00 0.00 0.00
1100 0.00 0.00 0.00
1105 0.00 0.00 0.00
1110 0.00 0.00 0.00
1115 0.00 0.00 0.00
1120 0.00 0.00 0.00
1207 0.00 0.00 0.00
1264 0.00 0.00 0.00
1269 0.00 0.00 0.00
1274 0.00 0.00 0.00
1279 0.00 0.00 0.00
1356 0.00 0.00 0.00
1361 0.00 0.00 0.00
1366 0.00 0.00 0.00
1371 0.00 0.00 0.00
1376 0.00 0.00 0.00
1381 0.00 0.00 0.00
1443 0.00 0.00 0.00
1500 0.00 0.00 0.00
1505 0.00 0.00 0.00
1510 0.00 0.00 0.00
1515 0.00 0.00 0.00
1591 0.00 0.00 0.00
1596 0.00 0.00 0.00
1607 0.00 0.00 0.00
1652 0.00 0.00 0.00
1683 0.00 0.00 0.00
1688 0.00 0.00 0.00
1693 0.00 0.00 0.00
1709 0.00 0.00 0.00
1714 0.00 0.00 0.00
1719 0.00 0.00 0.00
1724 0.00 0.00 0.00
1729 0.00 0.00 0.00
1734 0.00 0.00 0.00
1739 0.00 0.00 0.00
1755 0.00 0.00 0.00
1800 0.00 0.00 0.00
1806 0.00 0.00 0.00
1882 0.00 0.00 0.00
1887 0.00 0.00 0.00
1979 0.00 0.00 0.00
1984 0.00 0.00 0.00
1989 0.00 0.00 0.00
1994 0.00 0.00 0.00
1999 0.00 0.00 0.00
2004 0.00 0.00 0.00
2081 0.00 0.00 0.00
2153 0.00 0.00 0.00
2158 0.00 0.00 0.00
2244 0.00 0.00 0.00
2249 0.00 0.00 0.00
2260 0.00 0.00 0.00
2265 0.00 0.00 0.00
2301 0.00 0.00 0.00
2337 0.00 0.00 0.00
2398 0.00 0.00 0.00
2403 0.00 0.00 0.00
2408 0.00 0.00 0.00
2490 0.00 0.00 0.00
2556 0.00 0.00 0.00
2561 0.00 0.00 0.00
2576 0.00 0.00 0.00
2592 0.00 0.00 0.00
2607 0.00 0.00 0.00
2652 0.00 0.00 0.00
2744 0.00 0.00 0.00
2836 0.00 0.00 0.00
2928 0.00 0.00 0.00
3020 0.00 0.00 0.00
3025 0.00 0.00 0.00
3035 0.00 0.00 0.00
3112 0.00 0.00 0.00
3127 0.00 0.00 0.00
3178 0.00 0.00 0.00
3198 0.00 0.00 0.00
3270 0.00 0.00 0.00
3290 0.00 0.00 0.00
3351 0.00 0.00 0.00
3356 0.00 0.00 0.00
3377 0.00 0.00 0.00
3443 0.00 0.00 0.00
3453 0.00 0.00 0.00
3525 0.00 0.00 0.00
3530 0.00 0.00 0.00
3611 0.00 0.00 0.00
3616 0.00 0.00 0.00
3621 0.00 0.00 0.00
3627 0.00 0.00 0.00
3637 0.00 0.00 0.00
3668 0.00 0.00 0.00
3709 0.00 0.00 0.00
3714 0.00 0.00 0.00
3719 0.00 0.00 0.00
3729 0.00 0.00 0.00
3754 0.00 0.00 0.00
3770 0.00 0.00 0.00
3800 0.00 0.00 0.00
3805 0.00 0.00 0.00
3892 0.00 0.00 0.00
3902 0.00 0.00 0.00
3907 0.00 0.00 0.00
3973 0.00 0.00 0.00
3978 0.00 0.00 0.00
4061 0.00 0.00 0.00
4066 0.00 0.00 0.00
4071 0.00 0.00 0.00
4081 0.00 0.00 0.00
4112 0.00 0.00 0.00
4117 0.00 0.00 0.00
4127 0.00 0.00 0.00
4152 0.00 0.00 0.00
4157 0.00 0.00 0.00
4163 0.00 0.00 0.00
4168 0.00 0.00 0.00
4183 0.00 0.00 0.00
4198 0.00 0.00 0.00
4280 0.00 0.00 0.00
4290 0.00 0.00 0.00
4371 0.00 0.00 0.00
4382 0.00 0.00 0.00
4463 0.00 0.00 0.00
4473 0.00 0.00 0.00
4555 0.00 0.00 0.00
4596 0.00 0.00 0.00
4617 0.00 0.00 0.00
4658 0.00 0.00 0.00
4678 0.00 0.00 0.00
4694 0.00 0.00 0.00
4770 0.00 0.00 0.00
4775 0.00 0.00 0.00
4785 0.00 0.00 0.00
4861 0.00 0.00 0.00
4866 0.00 0.00 0.00
4877 0.00 0.00 0.00
4953 0.00 0.00 0.00
5025 0.00 0.00 0.00
5030 0.00 0.00 0.00
5035 0.00 0.00 0.00
5096 0.00 0.00 0.00
5101 0.00 0.00 0.00
5183 0.00 0.00 0.00
5198 0.00 0.00 0.00
5208 0.00 0.00 0.00
5264 0.00 0.00 0.00
5269 0.00 0.00 0.00
5274 0.00 0.00 0.00
5285 0.00 0.00 0.00
5351 0.00 0.00 0.00
5372 0.00 0.00 0.00
5407 0.00 0.00 0.00
5412 0.00 0.00 0.00
5443 0.00 0.00 0.00
5458 0.00 0.00 0.00
5535 0.00 0.00 0.00
5555 0.00 0.00 0.00
5626 0.00 0.00 0.00
5647 0.00 0.00 0.00
5718 0.00 0.00 0.00
5723 0.00 0.00 0.00
5728 0.00 0.00 0.00
5733 0.00 0.00 0.00
5744 0.00 0.00 0.00
5815 0.00 0.00 0.00
5835 0.00 0.00 0.00
5906 0.00 0.00 0.00
5999 0.00 0.00 0.00
6004 0.00 0.00 0.00
6024 0.00 0.00 0.00
6091 0.00 0.00 0.00
6183 0.00 0.00 0.00
6208 0.00 0.00 0.00
6274 0.00 0.00 0.00
6279 0.00 0.00 0.00
6345 0.00 0.00 0.00
6401 0.00 0.00 0.00
6437 0.00 0.00 0.00
6442 0.00 0.00 0.00
6533 0.00 0.00 0.00
6590 0.00 0.00 0.00
6600 0.00 0.00 0.00
