#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 22.20 21.83 22.57
10 37.80 37.43 38.17
15 40.40 39.82 40.98
16 43.73 42.91 44.55
20 44.43 43.64 45.21
21 46.17 45.62 46.72
25 46.53 45.97 47.10
26 48.32 47.50 49.14
30 48.84 48.01 49.67
31 50.21 49.70 50.72
35 50.37 49.86 50.88
36 51.53 50.57 52.49
40 52.16 51.26 53.06
41 54.45 53.80 55.09
45 54.77 54.17 55.37
46 56.18 55.59 56.77
51 57.35 56.60 58.11
127 57.97 57.22 58.72
128 58.60 57.83 59.37
129 59.34 58.59 60.10
132 59.41 58.65 60.18
133 59.69 58.88 60.51
137 59.78 58.94 60.61
138 60.49 59.46 61.51
139 61.61 60.71 62.51
142 61.76 60.91 62.61
143 63.06 62.26 63.86
144 63.74 62.92 64.56
147 63.82 62.98 64.65
148 64.54 63.23 65.84
149 66.06 64.57 67.54
152 66.20 64.68 67.71
153 67.37 65.38 69.36
154 69.39 67.39 71.39
157 69.54 67.52 71.56
158 70.19 68.06 72.33
159 71.97 69.76 74.19
160 73.41 71.13 75.68
162 73.51 71.21 75.81
163 73.65 71.32 75.98
164 75.84 71.35 80.33
165 77.93 73.01 82.84
168 78.39 73.35 83.43
169 91.22 84.53 97.91
170 100.48 96.51 104.45
173 101.50 97.52 105.48
174 105.86 101.85 109.87
175 108.76 105.88 111.64
178 109.09 106.24 111.94
179 111.34 107.87 114.81
180 113.14 110.10 116.18
183 113.31 110.24 116.38
184 114.82 111.31 118.33
185 115.95 112.65 119.26
188 116.09 112.77 119.42
189 117.48 113.72 121.24
190 118.25 114.54 121.96
193 118.36 114.63 122.08
194 118.99 115.17 122.82
195 119.85 116.17 123.53
198 119.90 116.21 123.59
199 120.31 116.47 124.15
200 120.77 117.03 124.51
203 121.02 117.36 124.68
204 121.07 117.41 124.72
205 121.10 117.44 124.76
363 121.10 117.44 124.76
364 121.20 117.55 124.85
367 121.31 117.78 124.84
369 121.54 118.01 125.08
372 121.74 118.21 125.26
373 122.13 118.95 125.32
374 122.44 119.51 125.38
378 122.50 119.62 125.38
383 122.70 119.97 125.43
388 123.10 120.54 125.66
398 123.30 120.75 125.85
533 123.30 120.75 125.85
534 123.32 120.77 125.87
