#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 13.73 10.56 16.90
6 60.36 48.77 71.95
10 73.54 61.66 85.42
11 97.45 93.27 101.64
15 101.49 97.37 105.60
16 116.98 112.39 121.57
20 121.12 116.50 125.74
21 129.46 128.05 130.88
25 130.57 129.20 131.93
26 134.05 133.12 134.97
30 134.69 133.82 135.57
31 136.32 136.08 136.57
35 136.51 136.27 136.74
36 137.24 137.01 137.47
40 137.43 137.21 137.64
41 138.18 137.96 138.40
50 138.28 138.06 138.50
51 139.16 138.96 139.37
55 139.33 139.14 139.52
56 140.08 139.73 140.43
57 141.47 141.16 141.78
60 141.59 141.30 141.87
61 142.94 140.98 144.90
62 150.99 148.90 153.08
65 151.57 149.39 153.75
66 153.18 150.79 155.57
67 156.09 155.71 156.48
71 156.48 156.07 156.89
72 158.89 158.30 159.48
76 159.48 158.89 160.07
77 161.12 160.67 161.57
81 161.52 161.07 161.97
82 162.67 162.40 162.94
106 162.71 162.44 162.98
107 167.34 164.43 170.25
121 167.56 164.70 170.43
122 170.18 167.75 172.62
123 173.22 172.32 174.12
126 174.31 173.63 174.99
127 174.76 174.08 175.44
128 175.77 175.53 176.01
171 175.79 175.56 176.03
172 176.30 175.87 176.72
173 177.91 177.13 178.68
186 177.96 177.17 178.75
187 178.14 177.33 178.96
188 179.81 178.82 180.80
189 182.02 180.99 183.05
191 182.26 181.34 183.19
192 182.42 181.54 183.30
193 182.76 181.96 183.55
194 183.97 183.52 184.42
197 184.59 184.08 185.11
198 186.80 185.52 188.09
199 191.55 190.13 192.97
203 193.53 191.76 195.29
204 195.67 193.53 197.81
205 199.81 198.26 201.37
208 201.88 199.77 203.98
209 202.89 200.87 204.90
210 205.12 204.17 206.06
214 205.60 204.68 206.51
215 206.00 205.32 206.69
218 206.04 205.36 206.72
219 206.66 205.97 207.35
220 208.20 207.46 208.94
223 208.51 207.70 209.32
224 209.01 208.18 209.84
225 210.25 209.76 210.75
229 210.34 209.90 210.78
230 210.50 210.19 210.81
330 210.50 210.20 210.81
331 210.99 210.66 211.32
332 211.76 211.53 212.00
360 211.78 211.54 212.02
361 211.82 211.57 212.08
362 211.96 211.64 212.28
363 212.40 212.00 212.79
367 212.60 212.29 212.90
522 212.60 212.30 212.90
524 212.65 212.32 212.98
525 212.84 212.39 213.29
528 213.13 212.82 213.44
531 213.36 213.15 213.57
532 213.60 213.37 213.83
533 213.67 213.40 213.93
534 213.76 213.44 214.07
535 214.06 213.57 214.54
536 214.59 214.29 214.90
572 214.60 214.30 214.90
573 214.60 214.30 214.90
574 214.60 214.31 214.90
576 214.61 214.32 214.91
577 214.95 214.86 215.04
578 215.00 215.00 215.00
638 215.00 215.00 215.00
641 215.56 214.52 216.59
643 215.94 214.74 217.15
644 216.00 214.75 217.24
645 216.87 215.44 218.30
649 217.66 216.03 219.29
650 218.16 216.42 219.91
678 218.17 216.43 219.91
679 218.18 216.44 219.93
680 218.21 216.45 219.96
681 218.29 216.50 220.09
682 218.61 216.67 220.55
684 219.81 218.38 221.25
685 221.09 220.20 221.98
686 221.56 221.28 221.83
704 221.56 221.29 221.84
705 221.58 221.30 221.86
706 221.70 221.34 222.06
707 221.99 221.46 222.51
709 222.20 221.77 222.63
710 222.45 222.12 222.79
716 222.48 222.17 222.80
717 222.52 222.23 222.81
831 222.52 222.23 222.81
833 222.82 222.14 223.50
837 223.19 222.52 223.86
838 223.26 222.57 223.94
839 223.60 222.83 224.36
844 223.71 222.90 224.51
845 224.07 223.28 224.87
872 224.08 223.28 224.87
874 224.21 223.33 225.10
875 224.92 224.10 225.75
877 225.19 224.33 226.04
879 225.41 224.56 226.26
880 225.71 224.84 226.59
881 226.06 225.38 226.74
885 226.17 225.55 226.79
886 226.50 226.19 226.81
953 226.50 226.20 226.81
955 226.53 226.22 226.84
956 226.66 226.27 227.05
958 227.11 226.68 227.53
961 228.53 226.15 230.90
962 231.45 227.17 235.73
963 231.53 227.29 235.78
964 231.59 227.36 235.82
966 231.65 227.43 235.86
968 232.06 227.96 236.16
969 232.14 228.08 236.21
1183 232.14 228.08 236.21
1184 240.26 225.94 254.58
1188 259.77 237.74 281.81
1189 296.09 273.98 318.19
1190 306.00 286.33 325.66
1193 307.75 287.87 327.62
1194 326.34 303.77 348.91
1196 339.49 319.61 359.38
1198 342.34 322.52 362.16
1199 350.13 328.97 371.29
1201 358.40 341.05 375.76
1203 360.46 344.06 376.85
1204 365.23 350.23 380.22
1205 371.58 358.07 385.08
1206 375.83 363.93 387.73
1209 380.14 369.49 390.79
1210 385.30 374.99 395.61
1211 388.51 378.79 398.23
1214 392.26 382.92 401.60
1215 395.01 385.81 404.21
1216 396.81 387.88 405.73
1217 398.60 390.25 406.95
1219 399.66 391.77 407.55
1220 401.81 393.84 409.78
1221 403.27 395.21 411.34
1222 404.46 396.43 412.48
1224 405.24 397.45 413.03
1225 408.30 400.44 416.15
1226 409.61 401.56 417.66
1227 409.95 401.92 417.98
1228 410.43 402.48 418.38
1229 411.88 404.24 419.52
1230 413.86 405.95 421.77
1231 414.83 406.83 422.82
1232 415.24 407.34 423.14
1233 415.67 407.85 423.49
1234 417.38 410.55 424.21
1235 419.18 412.21 426.15
1236 420.13 413.13 427.13
1238 420.59 413.67 427.50
1239 422.75 417.09 428.41
1240 424.35 418.40 430.29
1241 425.76 419.49 432.03
1243 426.08 419.90 432.27
1244 426.60 420.43 432.76
1245 427.67 421.30 434.04
1246 429.48 423.27 435.68
1248 429.61 423.43 435.79
1249 429.95 423.82 436.09
1250 431.07 425.23 436.91
1251 432.08 426.40 437.76
1252 432.55 426.93 438.17
1253 432.82 427.23 438.42
1254 433.03 427.44 438.61
1255 433.79 428.46 439.13
1256 435.00 429.55 440.46
1257 435.62 430.08 441.16
1259 435.95 430.44 441.45
1260 436.97 431.72 442.22
1261 437.96 432.96 442.95
1262 438.50 433.61 443.38
1263 438.65 433.78 443.52
1264 438.84 433.99 443.68
1265 439.53 434.78 444.28
1266 440.39 435.66 445.11
1267 440.91 436.07 445.75
1268 441.10 436.25 445.95
1269 441.27 436.41 446.14
1270 442.05 437.15 446.95
1271 443.07 437.95 448.20
1272 443.79 438.53 449.05
1273 444.28 438.85 449.70
1275 444.57 439.08 450.07
1276 445.25 439.73 450.77
1277 445.73 440.20 451.26
1279 445.91 440.42 451.40
1280 446.32 440.91 451.73
1281 447.24 441.65 452.84
1282 448.73 442.81 454.65
1284 448.92 442.88 454.97
1285 449.37 443.10 455.64
1286 450.35 444.20 456.50
1287 453.29 447.56 459.02
1289 454.10 448.60 459.61
1290 454.31 448.83 459.78
1291 455.20 449.84 460.57
1292 457.67 452.32 463.02
1295 457.98 452.79 463.17
1297 458.15 452.94 463.36
1300 458.52 453.22 463.83
1302 459.12 453.51 464.74
1306 459.15 453.52 464.79
1308 459.26 453.58 464.94
1317 459.31 453.60 465.02
1339 459.31 453.60 465.03
1343 459.38 453.68 465.07
1349 459.61 453.84 465.37
1392 459.66 453.85 465.48
1395 459.68 453.87 465.49
1397 459.69 453.89 465.50
1399 459.79 453.99 465.59
1400 460.26 454.45 466.08
1410 460.39 454.54 466.24
1453 460.40 454.54 466.25
1456 460.42 454.56 466.27
1457 460.46 454.61 466.30
1458 460.49 454.66 466.33
1461 460.54 454.71 466.37
1462 460.80 454.83 466.77
1471 460.81 454.84 466.79
1472 460.82 454.84 466.80
1474 460.82 454.84 466.81
1477 460.83 454.84 466.81
1478 460.92 454.86 466.98
1481 460.92 454.86 466.98
1487 460.99 454.99 466.99
1531 461.00 455.00 467.00
1910 461.00 455.00 467.00
1915 461.03 455.00 467.05
1917 464.98 458.21 471.75
1919 465.09 458.37 471.81
1936 465.80 459.07 472.53
2207 465.81 459.08 472.54
2209 468.77 459.19 478.34
2211 469.76 460.41 479.11
2212 469.76 460.41 479.11
2391 469.76 460.41 479.11
2392 470.14 460.70 479.59
2394 471.27 461.54 480.99
2395 476.24 465.80 486.69
2396 477.51 466.58 488.45
2398 477.73 466.71 488.75
2399 478.64 467.27 490.01
2400 481.86 469.82 493.89
2401 483.78 470.87 496.68
2403 484.17 471.14 497.19
2405 485.27 472.06 498.49
2406 487.50 473.58 501.43
2408 487.82 473.82 501.81
2410 488.49 474.37 502.61
2411 489.65 475.19 504.12
2413 489.92 475.38 504.45
2415 490.42 475.76 505.09
2416 491.88 476.63 507.13
2418 492.10 476.79 507.41
2420 493.52 478.32 508.72
2421 495.18 479.64 510.72
2423 495.64 480.03 511.25
2425 496.49 480.74 512.24
2426 497.64 481.62 513.67
2428 497.70 481.66 513.74
2429 497.93 481.86 514.01
2430 498.53 482.32 514.74
2431 499.62 483.16 516.08
2433 499.70 483.23 516.17
2434 499.80 483.31 516.29
2435 500.41 483.78 517.05
2436 500.84 484.06 517.62
2439 501.04 484.17 517.91
2441 501.48 484.43 518.53
2443 501.56 484.49 518.63
2444 501.68 484.58 518.78
2445 501.93 484.80 519.07
2446 502.46 485.22 519.71
2447 502.56 485.27 519.85
2448 502.67 485.33 520.01
2449 502.85 485.47 520.23
2450 503.11 485.69 520.54
2451 503.64 486.07 521.20
2452 503.79 486.16 521.42
2454 503.87 486.20 521.53
2455 504.15 486.38 521.91
2456 504.53 486.68 522.39
2457 504.72 486.81 522.63
2458 504.74 486.83 522.66
2459 504.85 486.92 522.78
2460 505.40 487.35 523.46
2461 506.05 487.80 524.29
2463 506.10 487.85 524.36
2464 506.18 487.91 524.45
2465 506.55 488.18 524.92
2466 506.80 488.32 525.27
2467 506.98 488.40 525.56
2470 507.16 488.53 525.78
2472 507.45 488.74 526.16
2474 508.04 489.16 526.92
2475 508.65 489.70 527.59
2477 508.74 489.78 527.71
2479 509.47 490.09 528.85
2480 511.57 491.79 531.35
2482 511.85 491.97 531.74
2485 512.44 492.93 531.96
2487 513.42 494.42 532.42
2489 513.85 494.61 533.10
2490 514.81 495.01 534.61
2492 515.15 495.46 534.84
2494 515.30 495.70 534.90
2495 515.56 495.91 535.21
2500 515.65 495.98 535.31
2505 515.89 496.20 535.59
2507 516.31 496.59 536.03
2512 518.22 497.02 539.42
2513 519.68 498.40 540.97
2514 520.37 499.05 541.69
2517 520.77 499.35 542.19
2518 522.74 501.83 543.65
2519 523.25 502.29 544.21
2522 523.75 502.58 544.93
2523 525.71 504.44 546.99
2525 526.50 505.25 547.74
2528 527.21 505.83 548.60
2530 528.17 506.10 550.24
2533 528.85 506.28 551.42
2535 530.05 506.81 553.29
2538 530.65 507.10 554.20
2540 530.88 507.19 554.57
2542 531.05 507.27 554.83
2543 531.59 507.78 555.40
2545 531.95 508.08 555.83
2548 532.38 508.30 556.45
2550 532.68 508.35 557.02
2554 532.69 508.35 557.03
2567 532.69 508.34 557.03
2574 533.02 508.41 557.62
2672 533.04 508.41 557.67
2701 533.16 508.46 557.86
2728 533.31 508.62 558.00
2820 533.91 509.32 558.50
2825 534.41 509.87 558.96
2830 534.61 510.08 559.15
2835 534.81 510.28 559.35
2840 535.01 510.47 559.55
2845 535.41 510.85 559.97
2850 535.61 511.03 560.19
2855 535.91 511.29 560.54
2861 536.01 511.37 560.65
2866 536.21 511.54 560.89
2871 536.31 511.62 561.01
2881 536.51 511.77 561.25
2886 536.71 511.92 561.51
3354 536.71 511.92 561.51
3558 536.72 511.92 561.53
3653 536.81 511.91 561.71
3658 538.45 514.47 562.42
3659 539.05 515.59 562.52
3663 539.08 515.62 562.53
3664 539.22 515.81 562.62
3667 539.31 515.92 562.69
3668 539.67 516.33 563.02
3671 540.02 516.83 563.21
3673 540.35 517.35 563.35
3676 540.57 517.70 563.44
3678 542.22 519.59 564.85
3683 542.25 519.63 564.87
3686 542.30 519.71 564.89
3688 542.63 520.21 565.05
3693 542.72 520.33 565.10
3696 542.90 520.60 565.19
3697 543.23 521.02 565.44
3698 543.53 521.34 565.72
3701 543.62 521.44 565.81
3702 544.66 522.34 566.98
3703 545.29 522.84 567.75
3707 545.50 523.08 567.92
3708 545.92 523.75 568.08
3709 546.02 523.94 568.11
3711 546.12 524.09 568.15
3713 546.40 524.56 568.24
3718 547.22 525.55 568.89
3719 547.36 525.71 569.01
3722 547.40 525.75 569.04
3723 547.85 526.23 569.47
3728 548.17 526.42 569.93
3729 548.77 526.85 570.70
3732 548.81 526.87 570.75
3733 548.90 526.90 570.90
3734 548.98 526.93 571.03
3737 549.88 528.53 571.24
3738 550.13 528.69 571.57
3739 550.29 528.75 571.84
3742 550.42 528.79 572.05
3744 550.72 529.00 572.44
3747 550.84 529.12 572.56
3749 550.90 529.13 572.67
3754 551.10 529.17 573.03
3757 551.26 529.20 573.32
3759 551.59 529.36 573.83
3764 551.70 529.38 574.02
3769 551.80 529.39 574.21
3788 551.90 529.40 574.39
3793 552.10 529.67 574.53
4076 552.10 529.67 574.53
4223 552.10 529.67 574.53
4237 552.16 529.74 574.57
4773 552.22 529.80 574.64
4846 552.34 529.91 574.78
4852 552.54 530.12 574.96
4862 552.55 530.13 574.96
4867 552.65 530.26 575.04
4872 552.75 530.38 575.12
4875 552.83 530.48 575.18
