#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.33 0.06 0.61
6 0.90 0.84 0.96
10 1.00 1.00 1.00
11 1.00 1.00 1.00
15 1.00 1.00 1.00
16 1.00 1.00 1.00
20 1.00 1.00 1.00
21 1.00 1.00 1.00
25 1.00 1.00 1.00
26 1.00 1.00 1.00
30 1.00 1.00 1.00
31 1.00 1.00 1.00
35 1.00 1.00 1.00
36 1.00 1.00 1.00
40 1.00 1.00 1.00
41 1.00 1.00 1.00
50 1.00 1.00 1.00
51 1.00 1.00 1.00
55 1.00 1.00 1.00
56 1.00 1.00 1.00
57 1.00 1.00 1.00
60 1.00 1.00 1.00
61 1.00 1.00 1.00
62 1.00 1.00 1.00
65 1.00 1.00 1.00
66 1.00 1.00 1.00
67 1.00 1.00 1.00
71 1.00 1.00 1.00
72 1.00 1.00 1.00
76 1.00 1.00 1.00
77 1.00 1.00 1.00
81 1.00 1.00 1.00
82 1.00 1.00 1.00
106 1.00 1.00 1.00
107 1.38 1.09 1.66
121 1.40 1.11 1.68
122 1.66 1.41 1.91
123 1.91 1.81 2.01
126 2.00 2.00 2.00
127 2.00 2.00 2.00
128 2.00 2.00 2.00
171 2.00 2.00 2.00
172 2.00 2.00 2.00
173 2.00 2.00 2.00
186 2.00 2.00 2.00
187 2.00 2.00 2.00
188 2.00 2.00 2.00
189 2.00 2.00 2.00
191 2.00 2.00 2.00
192 2.00 2.00 2.00
193 2.00 2.00 2.00
194 2.00 2.00 2.00
197 2.00 2.00 2.00
198 2.00 2.00 2.00
199 2.00 2.00 2.00
203 2.00 2.00 2.00
204 2.18 2.09 2.28
205 2.53 2.36 2.70
208 2.75 2.53 2.98
209 2.83 2.63 3.02
210 3.00 3.00 3.00
214 3.00 3.00 3.00
215 3.00 3.00 3.00
218 3.00 3.00 3.00
219 3.00 3.00 3.00
220 3.00 3.00 3.00
223 3.00 3.00 3.00
224 3.00 3.00 3.00
225 3.00 3.00 3.00
229 3.00 3.00 3.00
230 3.00 3.00 3.00
330 3.00 3.00 3.00
331 3.00 3.00 3.00
332 3.00 3.00 3.00
360 3.00 3.00 3.00
361 3.00 3.00 3.00
362 3.00 3.00 3.00
363 3.00 3.00 3.00
367 3.00 3.00 3.00
522 3.00 3.00 3.00
524 3.00 3.00 3.00
525 3.00 3.00 3.00
528 3.00 3.00 3.00
531 3.00 3.00 3.00
532 3.00 3.00 3.00
533 3.00 3.00 3.00
534 3.00 3.00 3.00
535 3.00 3.00 3.00
536 3.00 3.00 3.00
572 3.00 3.00 3.00
573 3.02 2.98 3.07
574 3.11 2.97 3.25
576 3.38 3.09 3.68
577 3.49 3.19 3.79
578 3.53 3.24 3.81
638 3.53 3.24 3.81
641 3.72 3.22 4.23
643 4.16 3.69 4.63
644 4.21 3.73 4.68
645 4.52 3.98 5.07
649 4.81 4.20 5.42
650 5.05 4.47 5.64
678 5.06 4.48 5.64
679 5.06 4.48 5.64
680 5.06 4.48 5.64
681 5.07 4.49 5.64
682 5.08 4.51 5.65
684 5.47 5.06 5.88
685 5.87 5.62 6.11
686 6.00 6.00 6.00
704 6.00 6.00 6.00
705 6.00 6.00 6.00
706 6.00 6.00 6.00
707 6.00 6.00 6.00
