#time #mean #95%top #95%bot
0 1.00 1.00 1.00
5 13.00 12.45 13.55
10 17.17 16.21 18.12
11 18.09 17.33 18.85
15 18.25 17.47 19.04
16 19.13 18.33 19.93
25 19.26 18.49 20.03
26 19.94 19.09 20.79
30 20.11 19.23 20.99
31 20.88 19.97 21.79
35 21.08 20.17 21.99
36 21.75 20.81 22.68
40 21.93 21.01 22.85
41 22.70 21.88 23.52
55 22.75 21.93 23.57
56 23.68 22.87 24.49
65 23.78 22.96 24.59
66 24.82 23.68 25.96
71 25.81 24.77 26.85
76 27.00 26.00 28.00
81 27.85 26.74 28.96
82 28.80 27.77 29.82
87 28.90 28.01 29.80
207 28.91 28.02 29.80
208 29.49 28.69 30.30
218 29.50 28.71 30.30
611 29.50 28.71 30.30
612 29.58 28.75 30.41
613 30.12 29.18 31.05
617 30.18 29.22 31.14
618 30.47 29.38 31.57
619 30.77 29.86 31.67
654 30.77 29.87 31.67
697 30.77 29.87 31.68
698 30.89 29.97 31.80
699 31.28 30.40 32.17
700 31.58 30.73 32.44
703 31.68 30.84 32.52
705 31.92 30.97 32.87
745 31.98 31.11 32.85
819 31.98 31.11 32.86
820 32.03 31.18 32.89
821 32.13 31.28 32.97
822 32.44 31.61 33.26
873 32.50 31.75 33.24
1062 32.50 31.75 33.24
1063 38.55 27.18 49.92
1064 40.94 28.89 52.99
1065 48.18 32.94 63.42
1070 51.71 36.78 66.65
1072 67.23 48.75 85.72
1132 67.39 48.91 85.87
1900 67.39 48.91 85.88
1905 68.49 49.38 87.59
1910 68.83 49.49 88.18
1913 68.98 49.60 88.36
1915 75.90 59.06 92.74
1918 80.76 65.02 96.51
1919 86.40 72.58 100.22
1920 92.98 79.45 106.52
1923 95.91 82.59 109.22
1924 98.39 85.10 111.68
1925 104.73 98.07 111.39
1928 105.14 98.87 111.41
1929 106.53 101.40 111.67
1930 107.87 102.95 112.78
1931 108.19 103.29 113.09
1933 108.24 103.34 113.14
1934 108.51 103.59 113.42
1935 109.06 104.12 114.00
1936 109.17 104.21 114.13
1938 109.18 104.22 114.14
1939 109.34 104.39 114.29
1940 109.71 104.72 114.70
1943 109.94 104.94 114.93
1944 110.17 105.15 115.19
1945 110.47 105.43 115.52
1946 110.68 105.56 115.80
1948 110.71 105.58 115.84
1949 110.77 105.62 115.93
1951 111.03 105.84 116.21
1954 111.12 105.93 116.31
1955 111.20 105.99 116.40
1956 111.28 106.06 116.50
1959 111.47 106.20 116.74
1960 111.57 106.25 116.88
1964 111.57 106.26 116.89
1965 111.70 106.39 117.01
1966 111.79 106.47 117.11
1970 111.90 106.54 117.26
2014 112.05 106.69 117.41
2019 113.56 110.59 116.52
2024 113.96 111.49 116.43
2030 114.06 111.69 116.42
2035 114.26 112.06 116.45
2060 114.36 112.23 116.48
2786 114.36 112.23 116.48
2796 114.66 112.34 116.97
2881 114.97 112.71 117.23
3040 114.98 112.72 117.25
3045 115.20 112.96 117.43
3136 115.39 113.20 117.58
3841 115.39 113.20 117.58
3846 115.49 113.24 117.74
3874 115.49 113.24 117.74
3875 115.61 113.37 117.85
3876 115.74 113.53 117.96
3879 115.78 113.56 117.99
3880 115.95 113.73 118.17
3884 115.99 113.78 118.19
3890 116.30 113.88 118.71
3898 116.58 114.00 119.17
3987 116.59 114.00 119.17
4661 116.59 114.00 119.18
4692 116.61 114.01 119.20
4694 117.06 114.33 119.79
4696 117.40 114.71 120.09
4909 117.44 114.74 120.14
4945 117.70 114.89 120.51
4948 117.80 114.93 120.68
5748 117.80 114.93 120.68
5787 117.83 114.93 120.73
5793 118.19 115.14 121.24
5795 118.64 115.27 122.01
5798 119.11 115.41 122.80
5803 119.39 115.85 122.92
5808 119.88 116.16 123.60
5819 120.02 116.24 123.79
5822 120.25 116.35 124.16
5826 120.74 116.94 124.55
5831 120.88 117.16 124.59
5884 120.97 117.34 124.60
5900 121.11 117.54 124.69
5956 121.21 117.68 124.75
6639 121.21 117.68 124.75
6652 121.27 117.71 124.83
6655 121.81 118.35 125.26
6893 121.83 118.36 125.29
6902 121.84 118.37 125.31
7576 121.84 118.37 125.31
7581 121.95 118.39 125.51
7586 122.15 118.40 125.90
7601 122.35 118.39 126.31
7616 122.35 118.39 126.31
7634 122.35 118.39 126.31
7639 122.55 118.46 126.64
7644 122.75 118.51 126.99
7649 122.95 118.53 127.37
7654 122.96 118.53 127.39
7660 123.18 118.80 127.55
7664 123.74 119.27 128.21
7665 124.78 120.39 129.16
7669 125.03 120.63 129.43
7670 125.42 120.89 129.95
7674 125.52 120.99 130.06
7675 125.63 121.07 130.19
7680 125.69 121.09 130.30
7684 125.73 121.11 130.34
7685 125.85 121.19 130.51
7689 125.87 121.20 130.54
7690 126.03 121.40 130.67
7695 126.20 121.55 130.84
7700 126.40 121.70 131.10
7705 126.50 121.79 131.21
7725 126.50 121.79 131.21
7735 126.60 122.00 131.20
7744 126.60 122.00 131.20
7751 126.60 122.00 131.20
7759 126.61 122.03 131.20
7762 126.66 122.13 131.20
7767 126.96 122.49 131.44
7772 127.16 122.69 131.64
7798 127.26 122.78 131.75
7808 127.26 122.78 131.75
8449 127.27 122.78 131.75
8520 127.46 123.00 131.93
8748 127.58 123.17 131.98
8862 127.95 123.69 132.20
8917 128.17 123.91 132.43
8985 128.28 124.01 132.54
9062 128.35 124.13 132.57
9098 128.45 124.32 132.59
9510 128.45 124.32 132.59
9515 128.75 124.68 132.83
9520 128.95 124.88 133.03
9525 129.05 124.96 133.14
9531 129.17 125.06 133.29
9535 129.43 125.29 133.56
9536 129.73 125.77 133.69
9541 129.93 126.19 133.67
9549 129.98 126.20 133.75
9554 129.99 126.20 133.77
9555 130.14 126.24 134.03
9556 130.81 126.93 134.70
9561 130.93 127.14 134.73
9574 130.98 127.21 134.75
9579 131.10 127.30 134.90
9581 131.23 127.42 135.04
9595 131.30 127.54 135.07
9600 131.43 127.63 135.24
9615 131.54 127.66 135.41
9617 131.63 127.69 135.56
9628 131.64 127.70 135.59
9638 131.78 127.87 135.69
9663 131.80 127.89 135.71
9673 131.90 128.00 135.81
9713 131.96 128.05 135.86
9770 132.00 128.10 135.90
10385 132.03 128.14 135.93
10659 132.12 128.24 136.00
10703 132.42 128.51 136.34
10740 132.46 128.55 136.37
10954 132.46 128.55 136.37
11060 132.47 128.56 136.38
11453 132.47 128.56 136.38
11454 132.61 128.69 136.53
11478 132.88 128.89 136.87
11479 133.19 129.11 137.26
11483 133.29 129.20 137.37
11484 133.47 129.42 137.52
11488 133.72 129.82 137.62
11508 133.77 129.90 137.65
11518 134.37 130.82 137.91
11524 134.57 131.10 138.05
11541 134.59 131.12 138.06
11544 134.65 131.18 138.11
11547 134.70 131.23 138.17
11550 134.70 131.24 138.17
11556 134.75 131.26 138.25
11561 135.37 132.60 138.13
11566 135.48 132.81 138.15
11571 135.56 132.93 138.18
11581 135.59 133.00 138.19
11602 135.59 133.00 138.19
11632 135.69 133.17 138.21
11662 135.71 133.19 138.22
11735 135.72 133.20 138.24
12345 135.75 133.26 138.24
12699 135.83 133.38 138.27
12794 135.93 133.40 138.45
12813 136.02 133.46 138.58
12845 136.10 133.59 138.60
13297 136.10 133.59 138.60
13312 136.20 133.64 138.75
13335 136.20 133.64 138.75
13337 136.31 133.85 138.77
13368 136.41 133.89 138.93
13417 136.42 133.90 138.95
13422 136.43 133.90 138.97
13444 136.44 133.90 138.97
13449 136.65 133.98 139.32
13468 136.67 133.99 139.36
13476 136.79 134.12 139.47
13482 136.81 134.14 139.49
13483 137.02 134.27 139.77
13492 137.04 134.29 139.80
13546 137.04 134.29 139.80
13552 137.17 134.48 139.87
13560 137.30 134.66 139.93
14182 137.30 134.66 139.94
14311 137.31 134.67 139.95
14760 137.31 134.67 139.95
15186 137.31 134.67 139.95
15220 137.35 134.69 140.01
15225 137.50 134.81 140.20
15299 137.51 134.81 140.22
15306 138.10 135.75 140.45
15311 138.76 136.46 141.07
15316 139.00 136.65 141.35
15326 139.10 136.71 141.49
15331 139.30 136.79 141.81
15347 139.30 136.79 141.81
15353 139.30 136.79 141.81
15358 139.80 136.74 142.86
15363 140.00 136.67 143.33
15368 140.20 136.59 143.81
15370 140.28 136.55 144.01
15378 140.64 136.77 144.50
15394 140.74 136.73 144.76
15395 140.89 136.80 144.99
15399 140.97 136.90 145.04
15410 141.00 136.94 145.06
15412 141.00 136.94 145.06
15417 141.00 136.94 145.06
15419 141.11 137.11 145.11
15458 141.16 137.15 145.17
15463 141.17 137.16 145.17
16305 141.17 137.16 145.17
17018 141.22 137.21 145.24
17023 141.25 137.25 145.25
17059 141.31 137.29 145.32
17106 141.38 137.37 145.39
17125 141.40 137.40 145.41
17150 141.61 137.71 145.50
17156 141.81 137.99 145.63
17163 141.82 138.00 145.63
17166 141.97 138.20 145.75
17168 142.21 138.48 145.94
17171 142.79 139.12 146.46
17176 143.21 139.62 146.80
17187 143.32 139.76 146.88
17192 143.35 139.78 146.91
17193 143.44 139.91 146.97
17196 143.47 139.95 146.99
17201 143.57 140.03 147.11
17204 143.57 140.03 147.11
17212 143.66 140.07 147.25
17231 143.67 140.07 147.26
17287 143.67 140.07 147.27
17302 143.84 140.26 147.42
17304 144.10 140.70 147.50
17309 144.30 141.00 147.60
17319 144.40 141.13 147.67
17338 144.40 141.13 147.67
17345 144.46 141.24 147.69
17358 144.60 141.42 147.77
18150 144.60 141.43 147.77
