#time #mean #95%top #95%bot
0 0.00 0.00 0.00
5 0.00 0.00 0.00
10 0.00 0.00 0.00
11 0.00 0.00 0.00
15 0.00 0.00 0.00
16 0.00 0.00 0.00
25 0.00 0.00 0.00
26 0.00 0.00 0.00
30 0.00 0.00 0.00
31 0.00 0.00 0.00
35 0.00 0.00 0.00
36 0.00 0.00 0.00
40 0.00 0.00 0.00
41 0.00 0.00 0.00
55 0.00 0.00 0.00
56 0.00 0.00 0.00
65 0.00 0.00 0.00
66 0.00 0.00 0.00
71 0.00 0.00 0.00
76 0.00 0.00 0.00
81 0.00 0.00 0.00
82 0.00 0.00 0.00
87 0.00 0.00 0.00
207 0.00 0.00 0.00
208 0.00 0.00 0.00
218 0.00 0.00 0.00
611 0.00 0.00 0.00
612 0.00 0.00 0.00
613 0.00 0.00 0.00
617 0.00 0.00 0.00
618 0.00 0.00 0.00
619 0.00 0.00 0.00
654 0.00 0.00 0.00
697 0.00 0.00 0.00
698 0.00 0.00 0.00
699 0.00 0.00 0.00
700 0.00 0.00 0.00
703 0.00 0.00 0.00
705 0.00 0.00 0.00
745 0.00 0.00 0.00
819 0.00 0.00 0.00
820 0.00 0.00 0.00
821 0.00 0.00 0.00
822 0.00 0.00 0.00
873 0.00 0.00 0.00
1062 0.00 0.00 0.00
1063 0.00 0.00 0.00
1064 0.00 0.00 0.00
1065 0.00 0.00 0.00
1070 0.00 0.00 0.00
1072 0.00 0.00 0.00
1132 0.00 0.00 0.00
1900 0.00 0.00 0.00
1905 0.00 0.00 0.00
1910 0.00 0.00 0.00
1913 0.00 0.00 0.00
1915 0.00 0.00 0.00
1918 0.00 0.00 0.00
1919 0.00 0.00 0.00
1920 0.00 0.00 0.00
1923 0.00 0.00 0.00
1924 0.00 0.00 0.00
1925 0.00 0.00 0.00
1928 0.00 0.00 0.00
1929 0.00 0.00 0.00
1930 0.00 0.00 0.00
1931 0.00 0.00 0.00
1933 0.00 0.00 0.00
1934 0.00 0.00 0.00
1935 0.00 0.00 0.00
1936 0.00 0.00 0.00
1938 0.00 0.00 0.00
1939 0.00 0.00 0.00
1940 0.00 0.00 0.00
1943 0.00 0.00 0.00
1944 0.00 0.00 0.00
1945 0.00 0.00 0.00
1946 0.00 0.00 0.00
1948 0.00 0.00 0.00
1949 0.00 0.00 0.00
1951 0.00 0.00 0.00
1954 0.00 0.00 0.00
1955 0.00 0.00 0.00
1956 0.00 0.00 0.00
1959 0.00 0.00 0.00
1960 0.00 0.00 0.00
1964 0.00 0.00 0.00
1965 0.00 0.00 0.00
1966 0.00 0.00 0.00
1970 0.00 0.00 0.00
2014 0.00 0.00 0.00
2019 0.00 0.00 0.00
2024 0.00 0.00 0.00
2030 0.00 0.00 0.00
2035 0.00 0.00 0.00
2060 0.00 0.00 0.00
2786 0.00 0.00 0.00
2796 0.00 0.00 0.00
2881 0.00 0.00 0.00
3040 0.00 0.00 0.00
3045 0.00 0.00 0.00
3136 0.00 0.00 0.00
3841 0.00 0.00 0.00
3846 0.00 0.00 0.00
3874 0.00 0.00 0.00
3875 0.00 0.00 0.00
3876 0.00 0.00 0.00
3879 0.00 0.00 0.00
3880 0.00 0.00 0.00
3884 0.00 0.00 0.00
3890 0.00 0.00 0.00
3898 0.00 0.00 0.00
3987 0.00 0.00 0.00
4661 0.00 0.00 0.00
4692 0.00 0.00 0.00
4694 0.00 0.00 0.00
4696 0.00 0.00 0.00
4909 0.00 0.00 0.00
4945 0.00 0.00 0.00
4948 0.00 0.00 0.00
5748 0.00 0.00 0.00
5787 0.00 0.00 0.00
5793 0.00 0.00 0.00
5795 0.00 0.00 0.00
5798 0.00 0.00 0.00
5803 0.00 0.00 0.00
5808 0.00 0.00 0.00
5819 0.00 0.00 0.00
5822 0.00 0.00 0.00
5826 0.00 0.00 0.00
5831 0.00 0.00 0.00
5884 0.00 0.00 0.00
5900 0.00 0.00 0.00
5956 0.00 0.00 0.00
6639 0.00 0.00 0.00
6652 0.00 0.00 0.00
6655 0.00 0.00 0.00
6893 0.00 0.00 0.00
6902 0.00 0.00 0.00
7576 0.00 0.00 0.00
7581 0.00 0.00 0.00
7586 0.00 0.00 0.00
7601 0.00 0.00 0.00
7616 0.00 0.00 0.00
7634 0.00 0.00 0.00
7639 0.00 0.00 0.00
7644 0.00 0.00 0.00
7649 0.00 0.00 0.00
7654 0.00 0.00 0.00
7660 0.00 0.00 0.00
7664 0.00 0.00 0.00
7665 0.00 0.00 0.00
7669 0.00 0.00 0.00
7670 0.00 0.00 0.00
7674 0.00 0.00 0.00
7675 0.00 0.00 0.00
7680 0.00 0.00 0.00
7684 0.00 0.00 0.00
7685 0.00 0.00 0.00
7689 0.00 0.00 0.00
7690 0.00 0.00 0.00
7695 0.00 0.00 0.00
7700 0.00 0.00 0.00
7705 0.00 0.00 0.00
7725 0.00 0.00 0.00
7735 0.00 0.00 0.00
7744 0.00 0.00 0.00
7751 0.00 0.00 0.00
7759 0.00 0.00 0.00
7762 0.00 0.00 0.00
7767 0.00 0.00 0.00
7772 0.00 0.00 0.00
7798 0.00 0.00 0.00
7808 0.00 0.00 0.00
8449 0.00 0.00 0.00
8520 0.00 0.00 0.00
8748 0.00 0.00 0.00
8862 0.00 0.00 0.00
8917 0.00 0.00 0.00
8985 0.00 0.00 0.00
9062 0.00 0.00 0.00
9098 0.00 0.00 0.00
9510 0.00 0.00 0.00
9515 0.00 0.00 0.00
9520 0.00 0.00 0.00
9525 0.00 0.00 0.00
9531 0.00 0.00 0.00
9535 0.00 0.00 0.00
9536 0.00 0.00 0.00
9541 0.00 0.00 0.00
9549 0.00 0.00 0.00
9554 0.00 0.00 0.00
9555 0.00 0.00 0.00
9556 0.00 0.00 0.00
9561 0.00 0.00 0.00
9574 0.00 0.00 0.00
9579 0.00 0.00 0.00
9581 0.00 0.00 0.00
9595 0.00 0.00 0.00
9600 0.00 0.00 0.00
9615 0.00 0.00 0.00
9617 0.00 0.00 0.00
9628 0.00 0.00 0.00
9638 0.00 0.00 0.00
9663 0.00 0.00 0.00
9673 0.00 0.00 0.00
9713 0.00 0.00 0.00
9770 0.00 0.00 0.00
10385 0.00 0.00 0.00
10659 0.00 0.00 0.00
10703 0.00 0.00 0.00
10740 0.00 0.00 0.00
10954 0.00 0.00 0.00
11060 0.00 0.00 0.00
11453 0.00 0.00 0.00
11454 0.00 0.00 0.00
11478 0.00 0.00 0.00
11479 0.00 0.00 0.00
11483 0.00 0.00 0.00
11484 0.00 0.00 0.00
11488 0.00 0.00 0.00
11508 0.00 0.00 0.00
11518 0.00 0.00 0.00
11524 0.00 0.00 0.00
11541 0.00 0.00 0.00
11544 0.00 0.00 0.00
11547 0.00 0.00 0.00
11550 0.00 0.00 0.00
11556 0.00 0.00 0.00
11561 0.00 0.00 0.00
11566 0.00 0.00 0.00
11571 0.00 0.00 0.00
11581 0.00 0.00 0.00
11602 0.00 0.00 0.00
11632 0.00 0.00 0.00
11662 0.00 0.00 0.00
11735 0.00 0.00 0.00
12345 0.00 0.00 0.00
12699 0.00 0.00 0.00
12794 0.00 0.00 0.00
12813 0.00 0.00 0.00
12845 0.00 0.00 0.00
13297 0.00 0.00 0.00
13312 0.00 0.00 0.00
13335 0.00 0.00 0.00
13337 0.00 0.00 0.00
13368 0.00 0.00 0.00
13417 0.00 0.00 0.00
13422 0.00 0.00 0.00
13444 0.00 0.00 0.00
13449 0.00 0.00 0.00
13468 0.00 0.00 0.00
13476 0.00 0.00 0.00
13482 0.00 0.00 0.00
13483 0.00 0.00 0.00
13492 0.00 0.00 0.00
13546 0.00 0.00 0.00
13552 0.00 0.00 0.00
13560 0.00 0.00 0.00
14182 0.00 0.00 0.00
14311 0.00 0.00 0.00
14760 0.00 0.00 0.00
15186 0.00 0.00 0.00
15220 0.00 0.00 0.00
15225 0.00 0.00 0.00
15299 0.00 0.00 0.00
15306 0.00 0.00 0.00
15311 0.00 0.00 0.00
15316 0.00 0.00 0.00
15326 0.00 0.00 0.00
15331 0.00 0.00 0.00
15347 0.00 0.00 0.00
